priority_basis	rank	image_identifier	subject	session	run	filename	model_estimated_artifact_probability	model_uncertainty	model_confidence	image_path
high_model_estimated_artifact_probability	1	sub-084_ses-01_run-03_T1w.nii.gz	sub-084	ses-01	03	sub-084_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-084/ses-01/anat/sub-084_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	2	sub-084_ses-01_run-02_T1w.nii.gz	sub-084	ses-01	02	sub-084_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-084/ses-01/anat/sub-084_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	3	sub-084_ses-01_run-01_T1w.nii.gz	sub-084	ses-01	01	sub-084_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-084/ses-01/anat/sub-084_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	4	sub-083_ses-01_run-03_T1w.nii.gz	sub-083	ses-01	03	sub-083_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-083/ses-01/anat/sub-083_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	5	sub-083_ses-01_run-02_T1w.nii.gz	sub-083	ses-01	02	sub-083_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-083/ses-01/anat/sub-083_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	6	sub-082_ses-01_run-03_T1w.nii.gz	sub-082	ses-01	03	sub-082_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-082/ses-01/anat/sub-082_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	7	sub-082_ses-01_run-02_T1w.nii.gz	sub-082	ses-01	02	sub-082_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-082/ses-01/anat/sub-082_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	8	sub-082_ses-01_run-01_T1w.nii.gz	sub-082	ses-01	01	sub-082_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-082/ses-01/anat/sub-082_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	9	sub-081_ses-01_run-03_T1w.nii.gz	sub-081	ses-01	03	sub-081_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-081/ses-01/anat/sub-081_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	10	sub-080_ses-01_run-03_T1w.nii.gz	sub-080	ses-01	03	sub-080_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-080/ses-01/anat/sub-080_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	11	sub-076_ses-01_run-01_T1w.nii.gz	sub-076	ses-01	01	sub-076_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-076/ses-01/anat/sub-076_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	12	sub-075_ses-01_run-03_T1w.nii.gz	sub-075	ses-01	03	sub-075_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-075/ses-01/anat/sub-075_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	13	sub-074_ses-02_run-03_T1w.nii.gz	sub-074	ses-02	03	sub-074_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-074/ses-02/anat/sub-074_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	14	sub-074_ses-02_run-01_T1w.nii.gz	sub-074	ses-02	01	sub-074_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-074/ses-02/anat/sub-074_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	15	sub-074_ses-01_run-03_T1w.nii.gz	sub-074	ses-01	03	sub-074_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-074/ses-01/anat/sub-074_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	16	sub-073_ses-02_run-03_T1w.nii.gz	sub-073	ses-02	03	sub-073_ses-02_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-073/ses-02/anat/sub-073_ses-02_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	17	sub-073_ses-01_run-03_T1w.nii.gz	sub-073	ses-01	03	sub-073_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-073/ses-01/anat/sub-073_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	18	sub-072_ses-02_run-01_T1w.nii.gz	sub-072	ses-02	01	sub-072_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-072/ses-02/anat/sub-072_ses-02_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	19	sub-072_ses-01_run-03_T1w.nii.gz	sub-072	ses-01	03	sub-072_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-072/ses-01/anat/sub-072_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	20	sub-072_ses-01_run-01_T1w.nii.gz	sub-072	ses-01	01	sub-072_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-072/ses-01/anat/sub-072_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	21	sub-071_ses-01_run-03_T1w.nii.gz	sub-071	ses-01	03	sub-071_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-071/ses-01/anat/sub-071_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	22	sub-071_ses-01_run-02_T1w.nii.gz	sub-071	ses-01	02	sub-071_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-071/ses-01/anat/sub-071_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	23	sub-071_ses-01_run-01_T1w.nii.gz	sub-071	ses-01	01	sub-071_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-071/ses-01/anat/sub-071_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	24	sub-070_ses-01_run-02_T1w.nii.gz	sub-070	ses-01	02	sub-070_ses-01_run-02_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-070/ses-01/anat/sub-070_ses-01_run-02_T1w.nii.gz
high_model_estimated_artifact_probability	25	sub-070_ses-01_run-01_T1w.nii.gz	sub-070	ses-01	01	sub-070_ses-01_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-070/ses-01/anat/sub-070_ses-01_run-01_T1w.nii.gz
high_model_estimated_artifact_probability	26	sub-069_ses-01_run-03_T1w.nii.gz	sub-069	ses-01	03	sub-069_ses-01_run-03_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-069/ses-01/anat/sub-069_ses-01_run-03_T1w.nii.gz
high_model_estimated_artifact_probability	27	sub-068_ses-02_run-01_T1w.nii.gz	sub-068	ses-02	01	sub-068_ses-02_run-01_T1w.nii.gz	100.0	0.0	100.0	/lustre07/scratch/alexrees/bids/sub-068/ses-02/anat/sub-068_ses-02_run-01_T1w.nii.gz
