subject	session	filename	run	artifact_probability	uncertainty	confidence	n_mc_runs	n_artifact_votes	image_path	model	date	label_proxy	transfer_proba_nonNORM	transfer_flag	has_transfer_score	screening_priority	screening_source
sub-037	ses-01	sub-037_ses-01_run-01_T1w.nii.gz	1	68	0.904381	68	50	34	/lustre07/scratch/alexrees/bids/sub-037/ses-01/anat/sub-037_ses-01_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.9999294791194636	1.0	True	99.99294791194636	transfer_lr_embeddings
sub-028	ses-01	sub-028_ses-01_run-01_T1w.nii.gz	1	60	0.970951	60	50	30	/lustre07/scratch/alexrees/bids/sub-028/ses-01/anat/sub-028_ses-01_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.9999277032558328	1.0	True	99.99277032558328	transfer_lr_embeddings
sub-033	ses-01	sub-033_ses-01_run-01_T1w.nii.gz	1	64	0.942683	64	50	32	/lustre07/scratch/alexrees/bids/sub-033/ses-01/anat/sub-033_ses-01_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.999923363805876	1.0	True	99.9923363805876	transfer_lr_embeddings
sub-001	ses-01	sub-001_ses-01_run-01_T1w.nii.gz	1	8	0.402179	92	50	4	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.9997853027835036	1.0	True	99.97853027835038	transfer_lr_embeddings
sub-023	ses-01	sub-023_ses-01_run-01_T1w.nii.gz	1	70	0.881291	70	50	35	/lustre07/scratch/alexrees/bids/sub-023/ses-01/anat/sub-023_ses-01_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.9997494213526092	1.0	True	99.97494213526092	transfer_lr_embeddings
sub-038	ses-02	sub-038_ses-02_run-01_T1w.nii.gz	1	90	0.468996	90	50	45	/lustre07/scratch/alexrees/bids/sub-038/ses-02/anat/sub-038_ses-02_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.9996520879618748	1.0	True	99.96520879618748	transfer_lr_embeddings
sub-036	ses-01	sub-036_ses-01_run-01_T1w.nii.gz	1	100	0.0	100	50	50	/lustre07/scratch/alexrees/bids/sub-036/ses-01/anat/sub-036_ses-01_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.9996385186193326	1.0	True	99.96385186193326	transfer_lr_embeddings
sub-022	ses-01	sub-022_ses-01_run-01_T1w.nii.gz	1	84	0.63431	84	50	42	/lustre07/scratch/alexrees/bids/sub-022/ses-01/anat/sub-022_ses-01_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.9995774584831388	1.0	True	99.95774584831388	transfer_lr_embeddings
sub-083	ses-01	sub-083_ses-01_run-01_T1w.nii.gz	1	94	0.327445	94	50	47	/lustre07/scratch/alexrees/bids/sub-083/ses-01/anat/sub-083_ses-01_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.999572386632372	1.0	True	99.95723866323722	transfer_lr_embeddings
sub-052	ses-01	sub-052_ses-01_run-01_T1w.nii.gz	1	90	0.468996	90	50	45	/lustre07/scratch/alexrees/bids/sub-052/ses-01/anat/sub-052_ses-01_run-01_T1w.nii.gz	Pizarro2023-FINAL	2026-07-28	non-NORM	0.9995575108373204	1.0	True	99.95575108373204	transfer_lr_embeddings
