subject	n_images	n_with_transfer	max_artifact_probability	max_screening_priority	mean_artifact_probability	mean_transfer_proba
sub-001	6	4	100	100.0	46.666666666666664	0.5036965488610955
sub-053	3	2	100	100.0	89.33333333333333	0.5482794082963582
sub-034	6	4	100	100.0	88.0	0.4704318631414352
sub-036	6	4	100	100.0	79.33333333333333	0.5591671167539922
sub-038	6	4	100	100.0	73.66666666666667	0.5049703799029568
sub-040	6	4	100	100.0	84.0	0.4984827629584656
sub-041	6	4	100	100.0	47.333333333333336	0.47852604523673953
sub-002	6	4	100	100.0	73.33333333333333	0.507541613780481
sub-044	6	4	100	100.0	24.666666666666668	0.4951522483554686
sub-046	6	4	100	100.0	74.0	0.500923286299248
sub-047	6	4	100	100.0	74.33333333333333	0.4895376799968545
sub-048	6	4	100	100.0	91.66666666666667	0.43969310689968544
sub-049	3	2	100	100.0	86.66666666666667	0.5562509121908248
sub-050	3	2	100	100.0	58.666666666666664	0.4754232990430412
sub-060	3	2	100	100.0	33.333333333333336	0.4917115029830597
sub-031	6	4	100	100.0	83.66666666666667	0.48118924527452545
sub-064	5	4	100	100.0	100.0	0.5513426804054836
sub-066	6	4	100	100.0	97.33333333333333	0.5613551254872421
sub-067	6	4	100	100.0	81.0	0.4975396392590329
sub-068	6	4	100	100.0	72.0	0.46206285945750175
sub-069	6	4	100	100.0	81.66666666666667	0.5257682137459938
sub-073	6	4	100	100.0	75.33333333333333	0.5115612080920996
sub-074	6	4	100	100.0	76.33333333333333	0.49836485144993925
sub-075	3	2	100	100.0	60.0	0.5055753852434386
sub-080	3	2	100	100.0	50.0	0.49853578781501506
sub-081	6	4	100	100.0	78.0	0.4805075456515921
sub-082	3	2	100	100.0	98.0	0.5869118012167056
sub-083	3	2	100	100.0	93.33333333333333	0.679275584079044
sub-032	3	2	100	100.0	40.666666666666664	0.45985079723408995
sub-042	3	2	100	100.0	38.0	0.5027129501908517
sub-030	6	4	100	100.0	45.333333333333336	0.48320120520794385
sub-021	6	4	100	100.0	81.66666666666667	0.5022014140273735
sub-003	6	4	100	100.0	75.33333333333333	0.43963564177916736
sub-004	6	4	100	100.0	92.66666666666667	0.4322532255628761
sub-006	6	4	100	100.0	78.0	0.4938931322149662
sub-007	6	4	100	100.0	55.666666666666664	0.48620951274032065
sub-008	6	4	100	100.0	68.33333333333333	0.5030405075866242
sub-011	6	4	100	100.0	71.0	0.4694811352450282
sub-012	6	4	100	100.0	88.66666666666667	0.46137697410459605
sub-013	3	2	100	100.0	85.33333333333333	0.5565695562006161
sub-014	3	2	100	100.0	88.66666666666667	0.4918990938310826
sub-015	6	4	100	100.0	77.66666666666667	0.4867191303272042
sub-017	6	4	100	100.0	81.66666666666667	0.49142123227479423
sub-084	3	2	100	100.0	96.66666666666667	0.5130819169695945
sub-028	6	4	100	100.0	65.66666666666667	0.5065175672060652
sub-025	6	4	100	100.0	54.333333333333336	0.4954359788895536
sub-024	6	4	100	100.0	32.333333333333336	0.4925989688259084
sub-023	6	4	100	100.0	56.0	0.5002355169622797
sub-037	3	2	98	99.99294791194637	60.666666666666664	0.5057379434601513
sub-033	2	2	64	99.99233638058759	44.0	0.5163227265216562
sub-022	5	4	84	99.95774584831388	46.8	0.49694753590704727
sub-052	5	4	100	99.95575108373203	70.0	0.4951586227830514
sub-009	6	4	94	99.93606050142603	42.0	0.4967971200406383
sub-005	6	4	98	99.91947014134023	50.666666666666664	0.5192729601856414
sub-018	2	2	68	99.82171434454308	59.0	0.5028083552660412
sub-039	6	4	98	99.79080817250916	78.33333333333333	0.4989720750856706
sub-035	6	4	98	99.78855955377716	67.0	0.49860520836522315
sub-019	6	4	98	99.77668252651841	87.0	0.5748348162555184
sub-077	3	2	90	99.767976407087	76.66666666666667	0.5230716548522687
sub-051	3	2	98	99.76640424521325	85.33333333333333	0.5079613076791248
sub-076	2	2	100	99.76200260318792	90.0	0.5169709457191409
sub-016	6	4	86	99.74317532778537	49.333333333333336	0.49826619280159606
sub-020	3	2	32	99.70913036639588	13.333333333333334	0.4985724903549608
sub-057	6	4	98	99.51770826990126	54.0	0.4842407801288021
sub-058	3	2	66	99.4065514670154	54.666666666666664	0.5112288711673623
sub-029	6	4	94	99.38865461352445	78.66666666666667	0.4927190756214701
sub-079	3	2	94	99.2493530958094	37.333333333333336	0.5675719810464757
sub-054	5	4	100	98.59099311056852	82.4	0.5435077990433007
sub-065	3	2	98	98.39950914792172	72.66666666666667	0.503524763651237
sub-072	6	4	100	98.0	82.33333333333333	0.4911518571192594
sub-078	3	2	88	97.68290710380474	69.33333333333333	0.48842686444856864
sub-045	2	2	98	97.65196320425845	89.0	0.4883749378634237
sub-027	6	4	100	97.18739781396076	85.0	0.5492838830369139
sub-059	3	2	74	97.09438459330943	34.0	0.494764962812328
sub-071	3	2	100	96.5935200662682	97.33333333333333	0.4833043915620646
sub-010	3	2	100	96.0	94.66666666666667	0.44697179936409
sub-026	6	4	94	94.0	52.666666666666664	0.42961571890025757
sub-043	6	2	100	94.0	65.33333333333333	0.5980265507519302
sub-070	2	2	100	93.64681365769356	100.0	0.4715510696545694
sub-062	3	2	100	87.84482486150455	44.666666666666664	0.4392241573750005
sub-056	2	2	100	70.15460423812647	99.0	0.5286613820813921
sub-061	2	2	88	58.177469734491794	78.0	0.5045454787924535
sub-063	2	2	32	49.937735511261266	29.0	0.3692971291029144
