subject	session	matlab_count	timing_count	stimulus_count	physiology_count	eye_tracking_count
SUBC001	ses-01	22	18	34	0	6
SUBC001	ses-02	20	18	26	3	2
SUBC002	ses-01	23	19	30	0	4
SUBC002	ses-02	20	18	26	3	2
SUBC003	ses-01	22	18	34	0	6
SUBC003	ses-02	20	18	26	3	2
SUBC004	ses-01	20	18	26	0	2
SUBC004	ses-02	0	0	0	3	0
SUBC005	ses-01	23	18	34	0	7
SUBC005	ses-02	21	18	26	3	3
SUBC006	ses-01	23	18	34	0	7
SUBC006	ses-02	22	19	26	3	3
SUBC007	ses-01	23	19	34	0	6
SUBC007	ses-02	20	18	26	3	2
SUBC008	ses-01	22	18	34	0	6
SUBC008	ses-02	20	18	26	3	2
SUBC009	ses-01	22	18	34	0	6
SUBC009	ses-02	21	18	26	3	3
SUBC010	ses-01	18	16	26	0	1
SUBC011	ses-01	24	20	31	0	7
SUBC011	ses-02	23	20	27	3	3
SUBC012	ses-01	54	42	64	0	18
SUBC012	ses-02	21	18	26	3	3
SUBC013	ses-01	38	34	50	0	2
SUBC014	ses-01	26	18	30	0	11
SUBC015	ses-01	21	18	26	3	4
SUBC015	ses-02	20	18	26	3	2
SUBC016	ses-01	22	18	26	0	5
SUBC016	ses-02	20	18	26	3	2
SUBC017	ses-01	21	18	26	6	4
SUBC017	ses-02	22	18	26	3	4
SUBC018	ses-01	21	18	26	3	4
SUBC020	ses-01	21	18	26	3	4
SUBC020	ses-02	21	18	26	3	3
SUBC021	ses-01	23	20	27	3	4
SUBC022	ses-01	21	18	26	3	4
SUBC022	ses-02	21	18	26	3	3
SUBC023	ses-01	21	18	26	3	4
SUBC023	ses-02	21	18	26	3	3
SUBC024	ses-01	20	18	26	3	4
SUBC024	ses-02	20	18	26	3	2
SUBC025	ses-01	20	18	26	3	3
SUBC025	ses-02	22	18	26	3	4
SUBC026	ses-01	20	18	26	3	2
SUBC026	ses-02	21	18	26	3	3
SUBC027	ses-01	20	18	26	3	2
SUBC027	ses-02	21	18	26	3	3
SUBC028	ses-01	20	18	26	3	2
SUBC028	ses-02	21	18	26	3	3
SUBC029	ses-01	20	17	25	3	3
SUBC029	ses-02	21	18	26	3	3
SUBC030	ses-01	21	18	26	3	3
SUBC030	ses-02	20	18	26	3	2
SUBC031	ses-01	22	19	27	3	3
SUBC031	ses-02	42	36	52	3	6
SUBC032	ses-01	22	19	27	3	3
SUBC032	ses-02	21	18	26	0	3
SUBC033	ses-01	21	18	26	3	3
SUBC033	ses-02	21	18	26	0	3
SUBC034	ses-01	21	18	26	3	3
SUBC035	ses-01	21	18	26	3	3
SUBC035	ses-02	20	18	26	0	2
SUBC036	ses-01	21	18	26	3	3
SUBC036	ses-02	20	18	26	3	2
SUBC037	ses-01	21	18	26	3	3
SUBC037	ses-02	20	18	26	3	2
SUBC038	ses-01	21	18	26	3	3
SUBC039	ses-01	21	18	26	3	3
SUBC039	ses-02	19	17	25	0	2
SUBC040	ses-01	21	18	26	3	3
SUBC040	ses-02	20	18	26	3	2
SUBC041	ses-01	34	29	48	3	3
SUBC041	ses-02	20	18	26	3	2
SUBC042	ses-01	23	20	27	3	3
SUBC042	ses-02	20	18	26	3	2
SUBC043	ses-01	21	18	26	3	3
SUBC044	ses-01	21	18	26	0	3
SUBC044	ses-02	20	18	26	3	2
SUBC045	ses-01	20	18	26	3	2
SUBC045	ses-02	19	17	25	3	2
SUBC046	ses-01	21	18	26	3	3
SUBC047	ses-01	19	17	25	3	2
SUBC047	ses-02	20	18	26	3	2
SUBC048	ses-01	7	5	21	3	2
SUBC048	ses-02	20	18	26	0	2
SUBC049	ses-01	21	18	26	0	3
SUBC049	ses-02	20	18	26	3	2
SUBC050	ses-01	20	18	26	3	2
SUBC050	ses-02	21	18	30	3	6
SUBC051	ses-01	21	18	26	3	3
SUBC052	ses-01	0	0	0	6	0
SUBC053	ses-01	20	18	26	3	2
SUBC053	ses-02	20	18	26	0	2
SUBC054	ses-01	21	18	26	3	3
SUBC054	ses-02	20	18	30	0	5
SUBC055	ses-01	21	18	26	0	3
SUBC055	ses-02	20	18	30	3	5
SUBC056		0	0	0	2	0
SUBC056	ses-01	21	18	30	0	6
SUBC057	ses-01	20	18	26	0	3
SUBG001	ses-01	20	18	26	3	3
SUBG001	ses-02	20	18	26	3	2
SUBG002	ses-01	21	18	26	3	4
SUBG002	ses-02	20	18	26	3	2
SUBG003	ses-01	23	20	27	3	4
SUBG003	ses-02	21	18	26	3	3
SUBG004	ses-01	20	18	26	3	3
SUBG004	ses-02	22	18	26	3	4
SUBG005	ses-01	21	18	26	3	3
SUBG006	ses-01	21	18	26	3	3
SUBG007	ses-01	21	18	26	3	3
SUBG007	ses-02	21	18	26	3	3
SUBG008	ses-01	21	18	26	6	3
SUBG008	ses-02	20	18	26	3	2
SUBG009	ses-01	21	18	26	3	3
SUBG009	ses-02	21	18	26	3	3
SUBG010	ses-01	20	18	26	3	2
SUBG011	ses-01	20	18	26	3	2
SUBG012	ses-01	21	18	26	3	3
SUBG013	ses-01	0	0	0	3	0
SUBG013	ses-02	21	18	30	3	6
SUBG014	ses-01	21	18	26	3	3
SUBG015	ses-01	20	18	26	3	2
SUBG016	ses-01	21	18	26	3	3
SUBG016	ses-02	20	18	30	2	5
SUBG017	ses-01	20	18	26	3	2
SUBG017	ses-02	20	17	26	0	4
SUBG018	ses-01	21	18	26	3	3
SUBG019	ses-01	20	18	26	3	2
SUBON001	ses-01	22	19	26	0	3
SUBON001	ses-02	20	18	26	3	2
SUBON002	ses-01	20	18	26	3	2
SUBON003	ses-01	20	18	26	3	2
SUBON004	ses-01	20	18	30	3	5
SUBON006	ses-01	24	21	28	3	4
SUBON007	ses-01	21	18	26	3	4
SUBON008	ses-01	0	0	0	2	0
SUBTON001	ses-01	21	18	26	3	3
SUBTON001	ses-02	21	18	26	3	3
SUBTON002	ses-01	20	18	26	3	2
