field	unique_value	count	suspicion_flag	reason
SeriesDescription	SpinEchoFieldMap_AP	481	False	
SeriesDescription	SpinEchoFieldMap_PA	481	False	
SeriesDescription	fMRI1_AP	257	False	
SeriesDescription	fMRI1_AP_SBRef	256	False	
SeriesDescription	Movie1_AP	248	False	
SeriesDescription	fMRI4_AP	247	False	
SeriesDescription	fMRI3_AP	246	False	
SeriesDescription	REST1_AP	245	False	
SeriesDescription	Control1_PA	244	False	
SeriesDescription	Movie1_AP_SBRef	244	False	
SeriesDescription	fMRI4_AP_SBRef	244	False	
SeriesDescription	Movie3_AP	243	False	
SeriesDescription	Movie2_AP	242	False	
SeriesDescription	fMRI2_AP	242	False	
SeriesDescription	fMRI3_AP_SBRef	242	False	
SeriesDescription	Control1_PA_SBRef	240	False	
SeriesDescription	Movie3_AP_SBRef	240	False	
SeriesDescription	REST1_AP_SBRef	240	False	
SeriesDescription	T1w_MPR	240	False	
SeriesDescription	gsld_76dir_b2000_1mmiso_AP	240	False	
SeriesDescription	Movie2_AP_SBRef	238	False	
SeriesDescription	Movie4_AP	238	False	
SeriesDescription	tfl_b1map_1mmiso	238	False	
SeriesDescription	fMRI2_AP_SBRef	236	False	
SeriesDescription	Movie4_AP_SBRef	234	False	
SeriesDescription	Control2_AP	225	False	
SeriesDescription	Control3_PA	221	False	
SeriesDescription	Control2_AP_SBRef	220	False	
SeriesDescription	Control3_PA_SBRef	216	False	
SeriesDescription	resolve_3scan_trace_tra_p3_160_1.4iso_AP	121	False	
SeriesDescription	Sag Flair 3D-0.8	119	True	name_like_tokens
SeriesDescription	WMn_MPRAGE_sagittal	111	False	
SeriesDescription	Control3_AP	18	False	
SeriesDescription	Control3_AP_SBRef	18	False	
SeriesDescription	Control2_PA	14	False	
SeriesDescription	Control2_PA_SBRef	14	False	
SeriesDescription	tfl_b1map_1mmiso_ND	10	False	
SeriesDescription	SpinEchoFieldMap_AP_Pha	9	False	
SeriesDescription	SpinEchoFieldMap_PA_Pha	9	False	
SeriesDescription	Control2_AP_Pha	5	False	
SeriesDescription	Control3_PA_Pha	5	False	
SeriesDescription	REST1_AP_Pha	5	False	
SeriesDescription	Sag Flair 3D-0.8_ND	5	True	name_like_tokens
SeriesDescription	T1w_MPR_ND	5	False	
SeriesDescription	fMRI1_AP_Pha	5	False	
SeriesDescription	Control1_PA_Pha	4	False	
SeriesDescription	Movie1_AP_Pha	4	False	
SeriesDescription	Movie2_AP_Pha	4	False	
SeriesDescription	Movie3_AP_Pha	4	False	
SeriesDescription	Movie4_AP_Pha	4	False	
SeriesDescription	fMRI2_AP_Pha	4	False	
SeriesDescription	fMRI3_AP_Pha	4	False	
SeriesDescription	fMRI4_AP_Pha	4	False	
SeriesDescription	Control2_AP_redo	2	False	
SeriesDescription	Control2_AP_redo_SBRef	2	False	
SeriesDescription	Movie4_AP_redo_cuz_gogle_moved	2	False	
SeriesDescription	Movie4_AP_redo_cuz_gogle_moved_SBRef	2	False	
SeriesDescription	SpinEchoFieldMap_AP_rerun	2	False	
SeriesDescription	fMRI1_AP_REDO	2	False	
SeriesDescription	fMRI1_AP_REDO_SBRef	2	False	
SeriesDescription	fMRI1_AP_Rerun	2	False	
SeriesDescription	fMRI1_AP_Rerun_SBRef	2	False	
SeriesDescription	fMRI2_AP_Rerun	2	False	
