filepath	tag	value_present	example_value_redacted	risk_category
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/FMRI4_AP_0020/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0020.0109.2023.05.08.12.17.15.267862.121599105.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_Sessoin01_2023MAY05_NII/MOVIE4_AP_0035/SUB050_CONTROLSUBJECT_2023MAY05.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0035.0087.2023.05.08.12.17.15.267862.121793177.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/1-Check_FOV_and_EyeTracking/main.m	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/2-Grating/CheckerFlickerSquare.m	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_PART2DATA_copy/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/RESOLVE_3SCAN_TRACE_TRA_P3_160_1_4ISO_AP_TENSOR_0072/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0072.0001.2023.12.16.14.10.50.58517.6676542.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/4-resting state/main.m	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/MOVIE2_AP_PHYSIOLOG_0029/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.12.16.13.47.11.921404.6379593.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/FMRI3_AP_SBREF_0010/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0010.0001.2023.12.16.13.47.11.921404.6170708.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/MOVIE3_AP_0035/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0035.0027.2023.12.16.13.47.11.921404.6392033.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/MOVIE4_AP_SBREF_0038/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0038.0001.2023.12.16.13.47.11.921404.6436133.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/CONTROL1_PA_0020/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0020.0017.2023.12.16.13.47.11.921404.6280552.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_Data/MOVIE2_AP_0027/SUBC02_SESSION02_20NOV2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0027.0014.2023.11.20.15.48.50.527321.70590284.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_Data/CONTROL1_PA_PHYSIOLOG_0014/SUBC02_SESSION02_20NOV2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0014.0001.2023.11.20.15.48.50.527321.70478996.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_Data/FMRI2_AP_0007/SUBC02_SESSION02_20NOV2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0007.0092.2023.11.20.15.48.50.527321.70392842.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_Data/FMRI4_AP_0020/SUBC02_SESSION02_20NOV2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0020.0012.2023.11.20.15.48.50.527321.70493906.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_Data/MOVIE2_AP_PHYSIOLOG_0029/SUBC02_SESSION02_20NOV2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0029.0001.2023.11.20.15.48.50.527321.70633607.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_Data/SPINECHOFIELDMAP_AP_0057/SUBC02_SESSION02_20NOV2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0057.0001.2023.11.20.16.53.54.735629.70857902.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_session01_2023DEC16_data/ON01_2023DEC16_23_12_16-11_16_49-STD-1_3_12_2_1107_5_2_43_166092/DR_SHMUEL_COMPLETE_PROTOCOL_20231216_111829_538000/FMRI3_AP_0012/SUBC029_SESSION01_2023DEC16.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0012.0039.2023.12.16.13.47.11.921404.6184462.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUBC02_Session2_2023NOV20_Data/TFL_B1MAP_1MMISO_0065/SUBC02_SESSION02_20NOV2023.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0065.0014.2023.11.20.16.53.54.735629.70922660.IMA	PARSE_ERROR	False		parse_error
/lustre07/scratch/alexrees/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_NII/MOVIE1_AP_0023/SUBC03_SESSION01_2023MAY19.MR.DR_SHMUEL_COMPLETE_PROTOCOL.0023.0002.2023.05.19.15.04.32.124295.128278016.IMA	PARSE_ERROR	False		parse_error
