Acquisition,Control,Data_ON,Data_TON,Glaucoma,Total availability (%)
T1w_MPR,98%,100%,100%,100%,99%
WMn_MPRAGE_sagittal,91%,71%,100%,89%,89%
Sag FLAIR 3D,95%,100%,100%,95%,95%
REST1_AP,98%,100%,100%,100%,99%
fMRI1_AP,100%,86%,100%,100%,99%
fMRI2_AP,100%,86%,100%,100%,99%
fMRI3_AP,100%,86%,100%,100%,99%
fMRI4_AP,100%,86%,100%,100%,99%
Movie1_AP,100%,86%,100%,100%,99%
Movie2_AP,98%,86%,100%,100%,98%
Movie3_AP,98%,86%,100%,100%,98%
Movie4_AP,96%,86%,100%,100%,96%
Control acquisitions,100%,100%,100%,100%,100%
SpinEchoFieldMap_AP,100%,100%,100%,100%,100%
SpinEchoFieldMap_PA,100%,100%,100%,100%,100%
gsld_76dir_b2000_1mmiso_AP,98%,100%,100%,95%,98%
RESOLVE diffusion,96%,100%,100%,95%,96%
