task	basename	sha256	pattern	severity	line_approx	match_preview	publishable
movie_fov	Show_movie.m	88923aeac42f475df28b7e0534d7bff21269fa4989bf60bbfdef003a68b6ac90		NONE			yes
movie_fov	main.m	fa01b62dff72ec1d7a9358caa3da20518d215b02aaad0cc9ce171974ab3839d3	Subject	LOW	44	Subject	review
movie_fov	main.m	fa01b62dff72ec1d7a9358caa3da20518d215b02aaad0cc9ce171974ab3839d3	Subject	LOW	46	Subject	review
grating	CheckerFlickerSine.m	ecabb3cc084a1001833f86c4f68f5a42424d38dc6d8b8b89840681ae1306412f		NONE			yes
grating	CheckerFlickerSquare.m	8b86145749ab438c9eaa8da62fa8a52cf018f3ce88ec5cdca6758450e2cbc36c		NONE			yes
grating	CheckerMoveSine.m	efbde7f7ed1e2f982f30e454a765a6014bf8d513c69412832c67f6d6b4a62337		NONE			yes
grating	CheckerMoveSquare.m	29be5c7f2fd2ced0aafb0577ae99237cfdcd9a71884441f13fa53aaddcd92a34		NONE			yes
grating	GratingStimulus1.m	1bb67cee02e61bb0b79df1ded4231be6d0401cbe0d45d99783e89e816f184c49		NONE			yes
grating	GratingStimulus2.m	3162e00be9173d911c0a664ea662c4da657d5c4ffcf9f298233288f18802a7ed		NONE			yes
grating	GratingStimulus3.m	a1be718f9b2a06b59968f9d3b34a5b343e18a189fbacc8da6f7be86691751dc3		NONE			yes
grating	GratingStimulus4.m	c5131f08f019fe78de4921dc1a3c155f8e07a2981e0199ab6ec2771738aeb040		NONE			yes
grating	GratingStimulus5.m	a2bba53c71aee6434132b4e35bab9c9a3e69e6aee761c88d831ed63d04a3bc33		NONE			yes
grating	RandomGenerator.m	2792bc41f6ebab876b03439b47f95ec75814a222dacb2e373f177afa521e2f6b	Subject	LOW	21	Subject	review
grating	main.m	f94dbbd903ed321a13ed625576c7cf8fbcc6752fe8765cd1f98391346a7c3549	Subject	LOW	18	Subject	review
grating	main.m	f94dbbd903ed321a13ed625576c7cf8fbcc6752fe8765cd1f98391346a7c3549	Subject	LOW	20	Subject	review
grating	presentStimParams.m	a27ac8fca0d2d39e90d6d219a43d950d1bb7f755b23acbae4acb3edd9a567a6f		NONE			yes
movie	Show_movie.m	83ade7957408103126c86b4ef0ac8892e804caafd7f901bd353ee8318027ccb4		NONE			yes
rest	main.m	74778260f4f032759fcd2c8710b6a7fce85209be1b63257f0540cbe1cb324253		NONE			yes
grating	main.m	7b6e48e0242beb02cd4d6ba2771ca5ff18a6c6ebeb5e4cd8408518f4796076a2	Subject	LOW	19	Subject	review
grating	main.m	7b6e48e0242beb02cd4d6ba2771ca5ff18a6c6ebeb5e4cd8408518f4796076a2	Subject	LOW	21	Subject	review
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	WindowsUserPath	HIGH	8	C:\Users\Mendola	no
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	WindowsUserPath	HIGH	86	C:\Users\Mendola	no
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	WindowsUserPath	HIGH	90	C:\Users\Mendola	no
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	WindowsUserPath	HIGH	95	C:\Users\Mendola	no
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	WindowsUserPath	HIGH	99	C:\Users\Mendola	no
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	DesktopPath	MEDIUM	8	\Desktop\	review
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	DesktopPath	MEDIUM	86	\Desktop\	review
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	DesktopPath	MEDIUM	90	\Desktop\	review
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	DesktopPath	MEDIUM	95	\Desktop\	review
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	DesktopPath	MEDIUM	99	\Desktop\	review
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	Subject	LOW	57	Subject	review
movie	main.m	1aab337d9f67bc7fea3f0b95dfdff182ad43057c04c553e95b256c38a0ae6f01	Subject	LOW	59	Subject	review
rest	main.m	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8		NONE			yes
grating	main.m	b16ca3d15659a836c2fd1bb9bf45247966a278933803365bc0f232b650d398f7	Subject	LOW	18	Subject	review
grating	main.m	b16ca3d15659a836c2fd1bb9bf45247966a278933803365bc0f232b650d398f7	Subject	LOW	20	Subject	review
