participant	session	bids_run	run_id	stimulus	protocol_name	mapping_confidence
sub-001	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-001	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-001	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-001	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-001	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-001	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-001	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-001	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-002	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-002	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-002	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-002	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-002	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-002	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-002	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-002	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-003	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-003	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-003	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-003	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-003	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-003	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-003	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-003	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-004	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-004	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-004	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-004	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-004	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-004	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-004	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-004	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-005	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-005	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-005	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-005	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-005	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-005	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-005	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-005	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-006	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-006	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-006	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-006	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-006	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-006	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-006	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-006	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-007	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-007	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-007	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-007	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-007	ses-01	run-09	4	Movie2B.mp4	Movie4_AP_redo_cuz_gogle_moved	high_protocolname
sub-007	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-007	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-007	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-007	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-008	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-008	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-008	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-008	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-008	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-008	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-008	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-008	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-009	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-009	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-009	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-009	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-009	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-009	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-009	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-009	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-010	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-010	ses-01	run-03	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-011	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-011	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-011	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-011	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-011	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-011	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-011	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-011	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-012	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-012	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-012	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-012	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-012	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-012	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-012	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-012	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-013	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-013	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-013	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-013	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-014	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-014	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-014	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-014	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-015	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-015	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-015	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-015	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-015	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-015	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-015	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-015	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-016	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-016	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-016	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-016	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-016	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-016	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-016	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-016	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-017	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-017	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-017	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-017	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-017	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-017	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-017	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-017	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-018	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-018	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-018	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-018	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-019	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-019	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-019	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-019	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-019	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-019	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-019	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-019	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-020	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-020	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-020	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-020	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-021	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-021	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-021	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-021	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-021	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-021	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-021	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-021	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-022	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-022	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-022	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-022	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-022	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-022	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-022	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-022	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-023	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-023	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-023	ses-01	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-023	ses-01	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-023	ses-02	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-023	ses-02	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
sub-023	ses-02	run-05	3	Movie1B.mp4	Movie3_AP	high_protocolname
sub-023	ses-02	run-07	4	Movie2B.mp4	Movie4_AP	high_protocolname
sub-024	ses-01	run-01	1	Movie1A.mp4	Movie1_AP	high_protocolname
sub-024	ses-01	run-03	2	Movie2A.mp4	Movie2_AP	high_protocolname
