subject	session	runtime	memory	CPU hours	files processed	job_id	array_task_id	node	timestamp	status
SUBC023	ses-01	00:00:11	0.136G	0.0003	0				2026-07-17T15:27:26.872835+00:00	failed
SUBC023	ses-01	00:24:36	0.374G	0.1149	0	65817837		nc10412	2026-07-17T18:55:10.165864+00:00	failed
SUBC023	ses-01	00:19:33	0.361G	0.1145	0	65820769		nc10406	2026-07-17T19:55:39.087084+00:00	failed
SUBC023	ses-01	00:20:05	0.351G	0.1289	0				2026-07-18T20:28:07.349030+00:00	failed
SUBC023	ses-01	00:17:00	0.301G	0.1090	0	65920983	1	nc30609	2026-07-19T16:50:44.850343+00:00	failed
SUBC025	ses-01	00:17:02	0.297G	0.1049	0	65920942	3	nc30635	2026-07-19T16:50:46.049736+00:00	failed
SUBC024	ses-01	00:17:07	0.313G	0.1192	0	65920984	2	nc30632	2026-07-19T16:50:50.685728+00:00	failed
SUBON01	ses-01	00:00:01	0.140G	0.0004	0	65930534	3	nc10914	2026-07-19T20:17:40.268181+00:00	failed
SUBON03	ses-01	00:00:01	0.143G	0.0004	0	65930594	3	nc10919	2026-07-19T20:17:40.268122+00:00	failed
SUBON01	ses-01	00:00:01	0.145G	0.0004	0	65930592	1	nc10917	2026-07-19T20:17:40.268544+00:00	failed
SUBTON02	ses-01	00:23:09	0.355G	0.1341	0	65929127	2	nc11023	2026-07-19T20:18:18.088484+00:00	failed
SUBTON01	ses-01	00:23:41	0.327G	0.1392	0	65929213	1	nc11020	2026-07-19T20:18:50.135061+00:00	failed
SUBG05	ses-01	00:18:23	0.314G	0.1167	36	65930479	5	nc30648	2026-07-19T20:28:48.502278+00:00	success
SUBG01	ses-01	00:21:40	0.349G	0.1332	0	65930475	1	nc30642	2026-07-19T20:32:05.436847+00:00	failed
SUBG07	ses-01	00:21:40	0.326G	0.1335	0	65930481	7	nc30504	2026-07-19T20:32:05.442099+00:00	failed
SUBG01	ses-01	00:21:40	0.330G	0.1344	0	65930473	1	nc30630	2026-07-19T20:32:05.482614+00:00	failed
SUBG04	ses-01	00:21:52	0.334G	0.1347	0	65930478	4	nc30648	2026-07-19T20:32:17.614608+00:00	failed
SUBG06	ses-01	00:22:15	0.336G	0.1345	0	65930480	6	nc30501	2026-07-19T20:32:40.525090+00:00	failed
SUBG03	ses-01	00:22:20	0.337G	0.1348	0	65930477	3	nc30646	2026-07-19T20:32:45.384275+00:00	failed
SUBG19	ses-01	00:22:32	0.328G	0.1336	0	65930429	3	nc30640	2026-07-19T20:32:57.562207+00:00	failed
SUBG13	ses-01	00:22:44	0.327G	0.1380	0	65930474	2	nc30631	2026-07-19T20:33:09.872353+00:00	failed
SUBG08	ses-01	00:21:29	0.322G	0.1331	0	65930531	8	nc30628	2026-07-19T20:35:26.575073+00:00	failed
SUBON02	ses-01	00:21:47	0.328G	0.1353	0	65930593	2	nc10918	2026-07-19T20:39:25.463756+00:00	failed
