filepath	filename	size_bytes	sha256	modified_date	contains_subject_identifier	contains_date	contains_absolute_path	review_status
/lustre06/project/6001995/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/4-resting state/main.m	main.m	6267	74778260f4f032759fcd2c8710b6a7fce85209be1b63257f0540cbe1cb324253	2023-05-04T14:32:12+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC01-Session2-2023NOV08/SUBC01-Session-2023NOV08-MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC02-Session1-2023MAY11/SUBC02_2023MAY11_session01_MATLAB/4-resting state/main.m	main.m	6267	74778260f4f032759fcd2c8710b6a7fce85209be1b63257f0540cbe1cb324253	2023-05-11T19:50:34+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC028_Session01_2023DEC09/SUBC028_Session01_2023DEC09_MATLAB/4-resting state/main.m	main.m	6310	9c436c36b0eb0436729fd80b4c5c593d233afa96d5e1c3547b9c546e3c0e4b43	2023-12-09T17:17:42+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC029_Session01_2023DEC16/SUBC029_Session01_2023DEC16_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-12-01T16:05:32+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC02_SESSION02_20NOV2023/SUB-C02-SESSION02-Matlab-Code/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-11-20T21:11:52+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC03-Session01-2023MAY19/SUBC03_Session01_2023MAY19_MATLAB/4-resting state/main.m	main.m	6267	74778260f4f032759fcd2c8710b6a7fce85209be1b63257f0540cbe1cb324253	2023-05-04T14:32:12+00:00	no	no	no	VARIANT_NOT_COPIED_REVIEWED
/lustre06/project/6001995/raw_original/Control/SUBC031_Session2_2024JUL30/SUBC031_Session2_2024JUL30_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2024-04-22T20:01:16+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC035_Session02_2024AUG27/SUBC035_Session02_2024AUG27_matlab/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2024-04-22T20:01:16+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC037_Session02_2024AUG30/SUBC037_Session02_2024AUG30_matlab/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2024-04-22T20:01:16+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC03_Session2_2023NOV10/SUBC03_Session02_2023NOV10_Matlab/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
/lustre06/project/6001995/raw_original/Control/SUBC04-SESSION01-2023MAY22/SUBC04-Session2-2023NOV19_MATLAB/4-resting state/main.m	main.m	6305	cbf1d5c8c657920e1b5bdef74da7008f11407abce4608a7e4120e7796f210ea8	2023-08-07T14:43:02+00:00	no	no	no	PASS_CANONICAL
