participant_id	session_id	bids_run	has_events_tsv	reconstruction_status	in_level1_session	can_reconstruct_complete_events	blockers
sub-042	ses-01	03	True	already_released	True	YES	
sub-042	ses-01	01	True	already_released	True	YES	
sub-042	ses-01	07	True	already_released	True	YES	
sub-042	ses-01	05	True	already_released	True	YES	
sub-035	ses-02	03	True	already_released	True	YES	
sub-035	ses-02	01	True	already_released	True	YES	
sub-035	ses-02	07	True	already_released	True	YES	
sub-035	ses-02	05	True	already_released	True	YES	
sub-035	ses-01	01	True	already_released	True	YES	
sub-035	ses-01	03	True	already_released	True	YES	
sub-035	ses-01	05	True	already_released	True	YES	
sub-035	ses-01	07	True	already_released	True	YES	
sub-048	ses-02	05	True	already_released	True	YES	
sub-048	ses-02	07	True	already_released	True	YES	
sub-048	ses-02	01	True	already_released	True	YES	
sub-048	ses-02	03	True	already_released	True	YES	
sub-048	ses-01	05	True	already_released	True	YES	
sub-048	ses-01	07	True	already_released	True	YES	
sub-048	ses-01	01	True	already_released	True	YES	
sub-048	ses-01	03	True	already_released	True	YES	
sub-007	ses-01	03	True	already_released	True	YES	
sub-007	ses-01	01	True	already_released	True	YES	
sub-007	ses-01	07	True	already_released	True	YES	
sub-007	ses-01	05	True	already_released	True	YES	
sub-007	ses-02	05	True	already_released	True	YES	
sub-007	ses-02	07	True	already_released	True	YES	
sub-007	ses-02	01	True	already_released	True	YES	
sub-007	ses-02	03	True	already_released	True	YES	
sub-070	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-070	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-070	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-070	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-051	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-051	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-051	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-051	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-026	ses-02	01	True	already_released	True	YES	
sub-026	ses-02	03	True	already_released	True	YES	
sub-026	ses-02	05	True	already_released	True	YES	
sub-026	ses-02	07	True	already_released	True	YES	
sub-026	ses-01	03	True	already_released	True	YES	
sub-026	ses-01	01	True	already_released	True	YES	
sub-026	ses-01	07	True	already_released	True	YES	
sub-026	ses-01	05	True	already_released	True	YES	
sub-069	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-069	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-069	ses-01	05	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-069	ses-01	07	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-014	ses-01	03	True	already_released	True	YES	
sub-014	ses-01	01	True	already_released	True	YES	
sub-014	ses-01	07	True	already_released	True	YES	
sub-014	ses-01	05	True	already_released	True	YES	
sub-080	ses-01	03	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
sub-080	ses-01	01	False	sources_uncertain_or_absent	False	UNCERTAIN	not in Level-1 events plan for this session
