path_original	path_resolved	exists	subject_source	session_source	extension	inventory_category	paradigm	role	size_bytes	contents_summary	potential_bids_destination
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/0-Islominance_Red_and_Green/main.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/0-Islominance_Red_and_Green/main.m	True	SUBC001	ses-01	.m	unknown	other	unknown	5172		reports/associated_data/unclassified/sub-001/ses-01/main.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie1A.mp4	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie1A.mp4	True	SUBC001	ses-01	.mp4	stimulus	task-movie	movie_stimulus_file	183368517	MP4 naturalistic movie segment (copyright-flagged)	bids/stimuli/Movie1A.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie1B.mp4	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie1B.mp4	True	SUBC001	ses-01	.mp4	stimulus	task-movie	movie_stimulus_file	181514135	MP4 naturalistic movie segment (copyright-flagged)	bids/stimuli/Movie1B.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie2A.mp4	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie2A.mp4	True	SUBC001	ses-01	.mp4	stimulus	task-movie	movie_stimulus_file	178229515	MP4 naturalistic movie segment (copyright-flagged)	bids/stimuli/Movie2A.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie2B.mp4	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Movie2B.mp4	True	SUBC001	ses-01	.mp4	stimulus	task-movie	movie_stimulus_file	173312179	MP4 naturalistic movie segment (copyright-flagged)	bids/stimuli/Movie2B.mp4
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Show_movie.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/Show_movie.m	True	SUBC001	ses-01	.m	eye_tracking	task-movie	stimulus_script	4196	Movie selection + playback (trigger t; no saved timing)	bids/sub-001/ses-01/eyetrack/Show_movie_eyetrack.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/main.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/3-Movie_Data/main.m	True	SUBC001	ses-01	.m	eye_tracking	task-movie	stimulus_script	2901	Movie selection + playback (trigger t; no saved timing)	bids/sub-001/ses-01/eyetrack/main_eyetrack.m
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/Results/May-05-2023_ 2-07-14_PM  The Right Eye is _ eye =0 .mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/Results/May-05-2023_ 2-07-14_PM  The Right Eye is _ eye =0 .mat	True	SUBC001	ses-01	.mat	eye_tracking	other	eye_tracking	2837		bids/sub-001/ses-01/eyetrack/May-05-2023__2-07-14_PM__The_Right_Eye_is___eye_=0__eyetrack.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/Results/May-05-2023_ 2-08-24_PM  The Right Eye is _ eye =0 .mat	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/Results/May-05-2023_ 2-08-24_PM  The Right Eye is _ eye =0 .mat	True	SUBC001	ses-01	.mat	eye_tracking	other	eye_tracking	2839		bids/sub-001/ses-01/eyetrack/May-05-2023__2-08-24_PM__The_Right_Eye_is___eye_=0__eyetrack.mat
/lustre07/scratch/alexrees/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/main.m	/project/def-amirs/raw_original/Control/SUBC01-Session1-2023MAY5/SUBC01_2023MAY05_session1_MATLAB/1-Check_FOV_and_EyeTracking/main.m	True	SUBC001	ses-01	.m	eye_tracking	other	eye_tracking	14422		bids/sub-001/ses-01/eyetrack/main_eyetrack.m
