iqm	family	T1w_n	T1w_n_valid	T1w_missing_pct	T1w_variance	WMn_n	WMn_n_valid	WMn_missing_pct	WMn_variance	available_in_both	missingness_diff_pp
cjv	contrast	264	264	0.0	0.023937905620366216	116	116	0.0	0.006636764016529547	True	0.0
cnr	contrast	264	264	0.0	0.13310948729043712	116	116	0.0	0.02904579653666866	True	0.0
efc	entropy	264	264	0.0	0.0012946463462092407	116	116	0.0	0.0005227924527736132	True	0.0
fber	energy	264	264	0.0	30865839.533572134	116	116	0.0	6932.1407984713305	True	0.0
fwhm_avg	smoothness	264	264	0.0	0.06864819869789375	116	116	0.0	0.020302662522474597	True	0.0
fwhm_x	smoothness	264	264	0.0	0.06584135160061143	116	116	0.0	0.02212620571481259	True	0.0
fwhm_y	smoothness	264	264	0.0	0.07073568975203923	116	116	0.0	0.02306724532212144	True	0.0
fwhm_z	smoothness	264	264	0.0	0.09102538057292903	116	116	0.0	0.02581364017070465	True	0.0
icvs_csf	tissue_fraction	264	264	0.0	6.353006618004515e-05	116	116	0.0	2.4868889413322735e-05	True	0.0
icvs_gm	tissue_fraction	264	264	0.0	7.061442607629116e-05	116	116	0.0	5.1908988330811355e-05	True	0.0
icvs_wm	tissue_fraction	264	264	0.0	0.0001547888522050789	116	116	0.0	7.856069808881299e-05	True	0.0
inu_med	bias_field	264	264	0.0	0.06016462534974593	116	116	0.0	0.009572243016951714	True	0.0
inu_range	bias_field	264	264	0.0	0.13255233795170243	116	116	0.0	0.000939648579943048	True	0.0
qi_1	artifact	264	264	0.0	0.0	116	116	0.0	0.0	True	0.0
qi_2	artifact	264	264	0.0	3.1117901966952216e-07	116	116	0.0	1.1900175136209355e-07	True	0.0
rpve_csf	partial_volume	264	264	0.0	0.38638541673541954	116	116	0.0	0.3807367918560012	True	0.0
rpve_gm	partial_volume	264	264	0.0	0.3898113266812067	116	116	0.0	0.38382741570008544	True	0.0
rpve_wm	partial_volume	264	264	0.0	0.38640149869068996	116	116	0.0	0.38170272043621817	True	0.0
snr_csf	snr	264	264	0.0	0.023453293013813832	116	116	0.0	0.027724418710220224	True	0.0
snr_gm	snr	264	264	0.0	0.5158489519933999	116	116	0.0	0.030323669664007968	True	0.0
snr_total	snr	264	264	0.0	0.4687633291359158	116	116	0.0	0.014802471148074214	True	0.0
snr_wm	snr	264	264	0.0	1.990778227677989	116	116	0.0	0.02938509353996719	True	0.0
snrd_csf	snr_dietrich	264	264	0.0	205.26043973547564	116	116	0.0	56.163144662786316	True	0.0
snrd_gm	snr_dietrich	264	264	0.0	756.4766088270886	116	116	0.0	43.46990298288275	True	0.0
snrd_total	snr_dietrich	264	264	0.0	676.9376547632105	116	116	0.0	23.987666430516093	True	0.0
snrd_wm	snr_dietrich	264	264	0.0	1322.986468301372	116	116	0.0	1.6657446412028192	True	0.0
summary_bg_k	intensity_summary	264	264	0.0	1727238.4949496037	116	116	0.0	22806.307091356317	True	0.0
summary_bg_mad	intensity_summary	264	264	0.0	12.451103570356034	116	116	0.0	327124.2459920948	True	0.0
summary_bg_mean	intensity_summary	264	264	0.0	72.25416892556517	116	116	0.0	381772.1930414432	True	0.0
summary_bg_median	intensity_summary	264	264	0.0	5.664477474363406	116	116	0.0	148820.73305847077	True	0.0
summary_bg_p05	intensity_summary	264	264	0.0	0.0	116	116	0.0	0.0	True	0.0
summary_bg_p95	intensity_summary	264	264	0.0	396.96714771287014	116	116	0.0	4332479.398125936	True	0.0
summary_bg_stdv	intensity_summary	264	264	0.0	1689.416755820537	116	116	0.0	2205821.8394319876	True	0.0
summary_csf_k	intensity_summary	264	264	0.0	0.2180360005317433	116	116	0.0	0.5618899941791605	True	0.0
summary_csf_mad	intensity_summary	264	264	0.0	236.140467139716	116	116	0.0	150013617.57152104	True	0.0
summary_csf_mean	intensity_summary	264	264	0.0	1930.2231402709263	116	116	0.0	272853265.25807416	True	0.0
summary_csf_median	intensity_summary	264	264	0.0	2299.746500172831	116	116	0.0	263846147.31296855	True	0.0
summary_csf_p05	intensity_summary	264	264	0.0	772.9868504435995	116	116	0.0	18488634.858395804	True	0.0
