iqm	family	role	n_valid	missing	missing_pct	missing_gt_0	missing_gt_5	missing_gt_10	variance	sd	zero_variance	near_zero_variance	n_outliers_iqr_within_sequence	n_outliers_robust_z_within_sequence	n_outliers_union_within_sequence	n_acquisitions_flagged
cjv	contrast	iqm	380	0	0.0	False	False	False	0.028983083157912995	0.17024418685497897	False	False	2	1	2	2
cnr	contrast	iqm	380	0	0.0	False	False	False	0.14592211814524814	0.38199753683138865	False	False	3	1	3	3
efc	entropy	iqm	380	0	0.0	False	False	False	0.0018454609006388002	0.042958827970963086	False	False	3	1	3	3
fber	energy	iqm	380	0	0.0	False	False	False	41262538.21788383	6423.592314109282	False	False	11	5	11	11
fwhm_avg	smoothness	iqm	380	0	0.0	False	False	False	0.7533286644996222	0.8679450814997584	False	False	17	6	17	17
fwhm_x	smoothness	iqm	380	0	0.0	False	False	False	0.7135452170513559	0.844716057057847	False	False	14	7	14	14
fwhm_y	smoothness	iqm	380	0	0.0	False	False	False	0.6724774970689879	0.8200472529488699	False	False	6	3	6	6
fwhm_z	smoothness	iqm	380	0	0.0	False	False	False	0.9007844364543923	0.9490966423154137	False	False	17	14	17	17
icvs_csf	tissue_fraction	iqm	380	0	0.0	False	False	False	8.66015226715696e-05	0.00930599391100003	False	False	2	0	2	2
icvs_gm	tissue_fraction	iqm	380	0	0.0	False	False	False	0.0001289571815476729	0.011355931557898406	False	False	2	2	2	2
icvs_wm	tissue_fraction	iqm	380	0	0.0	False	False	False	0.0001356573581800275	0.01164720387818585	False	False	6	3	6	6
inu_med	bias_field	iqm	380	0	0.0	False	False	False	0.06298601473689566	0.25097014710298843	False	False	5	6	6	6
inu_range	bias_field	iqm	380	0	0.0	False	False	False	0.1437105040800753	0.3790916829476417	False	False	5	5	6	6
qi_1	artifact	iqm	380	0	0.0	False	False	False	0.0	0.0	True	False	0	0	0	0
qi_2	artifact	iqm	380	0	0.0	False	False	False	2.781708919744476e-07	0.000527419085713105	False	False	3	1	3	3
rpve_csf	partial_volume	iqm	380	0	0.0	False	False	False	0.42727664987334	0.6536640191056412	False	False	0	0	0	0
rpve_gm	partial_volume	iqm	380	0	0.0	False	False	False	0.417372073205875	0.6460433988563578	False	False	0	0	0	0
rpve_wm	partial_volume	iqm	380	0	0.0	False	False	False	0.40198742896202233	0.6340247857631611	False	False	0	0	0	0
snr_csf	snr	iqm	380	0	0.0	False	False	False	0.031699671251392704	0.17804401492718788	False	False	2	0	2	2
snr_gm	snr	iqm	380	0	0.0	False	False	False	2.880274034116613	1.6971370110031225	False	False	1	0	1	1
snr_total	snr	iqm	380	0	0.0	False	False	False	4.5208267263139215	2.126223583331236	False	False	4	1	4	4
snr_wm	snr	iqm	380	0	0.0	False	False	False	22.920661511433334	4.787552768527291	False	False	5	2	5	5
snrd_csf	snr_dietrich	iqm	380	0	0.0	False	False	False	169.77455723710884	13.029756606978845	False	False	13	22	25	25
snrd_gm	snr_dietrich	iqm	380	0	0.0	False	False	False	556.6738648555261	23.59393703593205	False	False	12	24	24	24
snrd_total	snr_dietrich	iqm	380	0	0.0	False	False	False	512.0877761671888	22.629356512441728	False	False	14	26	28	28
snrd_wm	snr_dietrich	iqm	380	0	0.0	False	False	False	1196.3409611218265	34.588162152994286	False	False	21	28	33	33
summary_bg_k	intensity_summary	iqm	380	0	0.0	False	False	False	1369050.1607713099	1170.0641695100785	False	False	26	49	49	49
summary_bg_mad	intensity_summary	iqm	380	0	0.0	False	False	False	328473.50635225506	573.126082421883	False	False	1	1	1	1
summary_bg_mean	intensity_summary	iqm	380	0	0.0	False	False	False	547170.2402861568	739.709564819975	False	False	16	11	16	16
summary_bg_median	intensity_summary	iqm	380	0	0.0	False	False	False	149434.56222052494	386.5676683590144	False	False	1	1	1	1
summary_bg_p05	intensity_summary	iqm	380	0	0.0	False	False	False	0.0	0.0	True	False	0	0	0	0
summary_bg_p95	intensity_summary	iqm	380	0	0.0	False	False	False	6324184.062602416	2514.793045680383	False	False	5	5	5	5
summary_bg_stdv	intensity_summary	iqm	380	0	0.0	False	False	False	1912187.8589143495	1382.8188091410782	False	False	16	11	16	16
summary_csf_k	intensity_summary	iqm	380	0	0.0	False	False	False	0.531905485667199	0.7293185076955054	False	False	18	12	18	18
summary_csf_mad	intensity_summary	iqm	380	0	0.0	False	False	False	217725374.11067414	14755.52012335296	False	False	1	0	1	1
summary_csf_mean	intensity_summary	iqm	380	0	0.0	False	False	False	395332082.48544884	19882.959600759863	False	False	0	0	0	0
summary_csf_median	intensity_summary	iqm	380	0	0.0	False	False	False	383008004.2002222	19570.59028747529	False	False	2	0	2	2
summary_csf_p05	intensity_summary	iqm	380	0	0.0	False	False	False	13648372.10137481	3694.370325424187	False	False	8	3	8	8
summary_csf_p95	intensity_summary	iqm	380	0	0.0	False	False	False	1342355851.9301765	36638.17478983057	False	False	0	0	0	0
summary_csf_stdv	intensity_summary	iqm	380	0	0.0	False	False	False	89815616.17336105	9477.110117190843	False	False	0	0	0	0
summary_gm_k	intensity_summary	iqm	380	0	0.0	False	False	False	5.102755110227122	2.2589278674245272	False	False	11	82	82	82
summary_gm_mad	intensity_summary	iqm	380	0	0.0	False	False	False	35275370.46839442	5939.307238087151	False	False	0	0	0	0
summary_gm_mean	intensity_summary	iqm	380	0	0.0	False	False	False	316607248.96279824	17793.460848379054	False	False	0	0	0	0
summary_gm_median	intensity_summary	iqm	380	0	0.0	False	False	False	312635886.1595889	17681.512552934742	False	False	0	0	0	0
summary_gm_p05	intensity_summary	iqm	380	0	0.0	False	False	False	7708972.6661852505	2776.503676602149	False	False	11	8	11	11
summary_gm_p95	intensity_summary	iqm	380	0	0.0	False	False	False	1036940597.2598529	32201.562031365076	False	False	0	0	0	0
summary_gm_stdv	intensity_summary	iqm	380	0	0.0	False	False	False	70919548.05569802	8421.374475446275	False	False	0	0	0	0
summary_wm_k	intensity_summary	iqm	380	0	0.0	False	False	False	0.19777583897646164	0.44471995567599804	False	False	3	2	3	3
summary_wm_mad	intensity_summary	iqm	380	0	0.0	False	False	False	6838155.623696575	2614.9867348987786	False	False	10	9	10	10
summary_wm_mean	intensity_summary	iqm	380	0	0.0	False	False	False	9052377.745111274	3008.7169599534072	False	False	6	6	6	6
summary_wm_median	intensity_summary	iqm	380	0	0.0	False	False	False	2705717.5873073186	1644.9065588377105	False	False	20	18	21	21
summary_wm_p05	intensity_summary	iqm	380	0	0.0	False	False	False	130184.75225663102	360.81124186564784	False	False	0	0	0	0
summary_wm_p95	intensity_summary	iqm	380	0	0.0	False	False	False	122145295.14328565	11051.936262179837	False	False	0	55	55	55
summary_wm_stdv	intensity_summary	iqm	380	0	0.0	False	False	False	14934936.638752585	3864.5745740964276	False	False	0	0	0	0
tpm_overlap_csf	template_overlap	iqm	380	0	0.0	False	False	False	0.0012314086695048058	0.035091432993037	False	False	1	0	1	1
tpm_overlap_gm	template_overlap	iqm	380	0	0.0	False	False	False	0.00014536192720222997	0.01205661342177935	False	False	7	2	7	7
tpm_overlap_wm	template_overlap	iqm	380	0	0.0	False	False	False	0.0008068729044098363	0.028405508346266862	False	False	5	1	5	5
wm2max	intensity_ratio	iqm	380	0	0.0	False	False	False	0.10320336000503495	0.3212527976610242	False	False	6	6	6	6
