	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv	1.0	-0.9581057151704565	0.18160097301780237	-0.6962487547401232	0.08751936622847738	0.009140479646260998	-0.051766852577360675	0.2658728101862342	-0.6262935332556301	-0.7782917905488451	0.9269114374619333	0.9242858551884322	0.9066094112496591	0.038946628969235786	-0.0839009124527357	-0.1320517364181718	-0.13160770525314783	-0.30136556867042047	-0.7515574688161897	-0.7943456696332892	-0.7410870009720186	-0.24497760518546635	-0.2482277784854804	-0.2638683681076176	-0.2820492120623091	-0.16872573015578995	0.26701421242638756	0.6125475082703914	0.26701421242638734	0.6939192556684156	0.45700894266131276	0.31361725176958816	0.5020495792763066	0.5246360470781879	0.3979163534273419	0.12376268884831396	0.7104520008507925	0.6623392359517314	0.7151217077770191	0.6569876981933636	0.8686934937745352	0.8734162846504676	0.23813775936081633	0.911960461073202	0.8602150627734824	0.7437971986505704	0.8729646747985239	0.5860626067157749	0.42870392711388416	0.32315497240656677	0.8627951586946114	0.8258776923933622	0.40824403139299753	-0.009815124996446782	-0.6498351279590879	-0.9219472345342564
cnr	-0.9581057151704565	1.0	-0.3156266617795271	0.7350339883354428	-0.09331850156119324	-0.02704097174416036	0.04478957466556599	-0.25960634303651026	0.5933529135650413	0.8172682838501751	-0.9321337614121322	-0.9077394291891434	-0.8931689787244624	-0.15160208151121693	0.14612278420431266	0.19447596971481282	0.19374717092567278	0.2519223237766448	0.8129506875502444	0.8448532228897438	0.7887284659669602	0.31670828266350853	0.3151357425742316	0.33132582893404555	0.3479611198455696	0.24564746776074442	-0.2905707192304455	-0.7119930535137406	-0.2905707192304454	-0.7216842347337598	-0.599830755184287	-0.2910954560950257	-0.407184225095864	-0.4875368004218329	-0.3567333922270856	-0.17928018829201134	-0.6543719003097463	-0.5814158866885134	-0.6906077467199273	-0.6154109693966032	-0.8214429267974388	-0.8274019873152819	-0.13294548763581715	-0.9045229476415961	-0.8881030264733085	-0.7023395864370958	-0.8846412534661064	-0.5340219316340028	-0.3892463126263853	-0.24540421143574934	-0.8257098428750773	-0.844170609740569	-0.4258513275956125	0.02731713103672503	0.6167321142865647	0.9101642397473078
efc	0.18160097301780237	-0.3156266617795271	1.0	-0.5270240522299766	0.20613058840120607	0.15760716750979847	0.2543198386416111	0.17879407136468262	-0.23407612544948472	-0.237161353140976	0.3101451318240003	0.16100964160048523	0.18618956092672884	0.4823937220385613	-0.5660233042275424	-0.5718357514181798	-0.569734530659099	0.30365971200645975	-0.2614069448537615	-0.12632815000198516	-0.0837954518125041	-0.4001671753105523	-0.41077502103367197	-0.41259674373281013	-0.4171704777955324	-0.297612309702413	0.2568884312343519	0.518739461129355	0.2568884312343518	0.34914130542951743	0.6220842537063482	-0.02583087908711332	-0.13221746346174026	0.2686094028379092	0.23772585343592617	0.3753754983763044	0.17898182770474969	0.04535253111308646	0.15585625261991584	0.2709892676020809	0.17919986235707788	0.18862186279936016	-0.06643287377832219	0.2414621497870789	0.26655248405436793	0.07009850430462855	0.19508182104500849	0.18659164140353335	0.15934800118876397	0.17605619189142846	0.19183362294638368	0.09844967770834921	0.3714881422540489	-0.134451029299749	-0.142072205581732	-0.20455310828706513
fber	-0.6962487547401232	0.7350339883354428	-0.5270240522299766	1.0	-0.1667190496240278	-0.0737139886829439	-0.12086026988315794	-0.2651149376130711	0.4757499998950631	0.5891335268488284	-0.7027038031818467	-0.7200457527806189	-0.681084603579717	-0.1292289008425358	0.06090657830875755	0.0938583087873378	0.09208095944558076	0.15538833348830108	0.5903476572292198	0.5768729704498992	0.5224074867031416	0.25556248538326587	0.25624500866295646	0.26801255816890757	0.28071072612247766	0.19158918471683678	-0.34339459378037096	-0.6573233713754759	-0.34339459378037096	-0.6851569185207637	-0.5409990293694039	-0.10080388355543927	-0.30647955916693465	-0.37869411076657583	-0.3032276789907956	-0.09679267165294486	-0.48669413307014303	-0.4471418281649234	-0.47502679677976634	-0.5759309972706104	-0.5894518796511786	-0.5925657954376238	-0.10144994704029547	-0.6438101849746759	-0.6411453361632378	-0.5704115894541856	-0.624156107358774	-0.4188235695370066	-0.2870776880409478	-0.2596616972887739	-0.61874399559593	-0.5565759801487491	-0.35534445845016904	-0.10230941356723097	0.3549906622502677	0.7223803241994636
fwhm_avg	0.08751936622847738	-0.09331850156119324	0.20613058840120607	-0.1667190496240278	1.0	0.9608933046841559	0.9362198532140252	0.9627452469317425	-0.1794262340688795	-0.054113210121314155	0.1514985413230276	0.02676793865580934	0.2097447240597966	0.08193516098956273	-0.26398351385227886	-0.26512815880441065	-0.26928819790517	-0.13119040830432943	-0.00040917664663360357	0.0589683831463226	0.10029090482551127	-0.05701586764491448	-0.04013530317341368	-0.045216337934026844	-0.04422448530300447	-0.052628946790712436	0.023784257784868843	0.12430320744865175	0.023784257784868833	0.07345612150259143	0.16002324645506397	-0.07958898441820227	0.19449779784989046	0.04205635137705668	0.02834020068765089	-0.0014675568084565392	0.10690937964879195	0.1132501171628071	0.07664829928816029	0.18291010676969566	0.16407392083431055	0.16004661230447853	0.2028762060476416	0.11851164949061681	0.03608076975995348	0.04531495011680508	-0.03607580161083195	0.16427003111259356	0.1567615300914568	0.23830220343432842	0.08765281538194594	-0.08781183572229256	-0.0368231171332065	0.09370641669360573	-0.06308430103586457	-0.051211203463382926
fwhm_x	0.009140479646260998	-0.02704097174416036	0.15760716750979847	-0.0737139886829439	0.9608933046841559	1.0	0.8473807328850786	0.9059160669728648	-0.14168162049864477	0.0111048711529665	0.08326761451148881	-0.05722601934942099	0.13652349621183937	0.09012982798127785	-0.24777312902607576	-0.246252985745916	-0.25071197425126224	-0.13352291841121022	0.04766912633701074	0.08947283901613809	0.12047725766484468	-0.06702850884824837	-0.05017879774842826	-0.053848334106696386	-0.05120976570161615	-0.06704543721557023	-0.023689583103094203	0.06893348331603731	-0.023689583103094217	-0.006667155476046289	0.13380965317163035	-0.08160981247425542	0.12799534193706566	-0.029768308144201127	-0.044646154866471235	-0.003671218467655612	0.025856161319133278	0.036013383846977845	0.03821770042074029	0.06775404456406359	0.08022252137769602	0.07571056849980944	0.150192625677121	0.04227554821411484	-0.02557905464699776	-0.03408734858179832	-0.08251425488206797	0.08352931930433419	0.09190448072288539	0.1523726479300196	0.006360527303775	-0.11875791317598644	-0.06550047829705409	0.08667582142202548	-0.011522653207765484	0.03560126474432243
fwhm_y	-0.051766852577360675	0.04478957466556599	0.2543198386416111	-0.12086026988315794	0.9362198532140252	0.8473807328850786	1.0	0.8368968692437533	-0.05070041871729567	0.02703626802990134	0.014220186591919795	-0.1038049273361854	0.04095038256432181	0.1051337789843731	-0.2584029338166532	-0.25202259357534473	-0.25580816704248294	-0.03427666808541508	0.09238950594249146	0.18672610406396659	0.22851708519456854	-0.02210008041254384	-0.0036313285564347777	-0.006706077006263434	-0.0029399436714807473	-0.02197688877684933	0.006797593452169103	0.03286651704047501	0.0067975934521691045	-0.022687046700169536	0.09390571923299189	-0.15679812121256784	0.10220863197669085	-0.024576643442720265	-0.009391733296750592	0.006009939490526011	3.245527043615935e-05	0.001582803088295378	-0.0437528673714586	0.14992361126838946	0.03426396524790641	0.03327870385774491	0.1483395171721053	-0.01167564791198439	-0.07708120060351635	-0.08556368561105776	-0.15208952142830734	0.08617018980375218	0.09930873603489537	0.21817137573605114	-0.03868278747970334	-0.227944830274504	-0.10827766873177412	0.057250715648715915	0.028607166245004777	0.08497874493002444
fwhm_z	0.2658728101862342	-0.25960634303651026	0.17879407136468262	-0.2651149376130711	0.9627452469317425	0.9059160669728648	0.8368968692437533	1.0	-0.3022632272000506	-0.1742580108591132	0.3113426312506655	0.20991539448208824	0.3942333040143962	0.044131013316618894	-0.24923276605831665	-0.25913222484040127	-0.2628408763242153	-0.19801228326484527	-0.12305233219292173	-0.08707137534840624	-0.04262355937790339	-0.07205349873845272	-0.05868615350691523	-0.06609229191525166	-0.06907227423125281	-0.060718537077208375	0.07612008257075772	0.23624481295521416	0.07612008257075772	0.21704353006461555	0.22032115270183886	0.00027903327335577853	0.30776276567295013	0.15655129450686994	0.12008431231935299	-0.0059990247008745575	0.25651001638221216	0.26302414398587504	0.20575621881570527	0.28674578837699294	0.3290256128109561	0.32323924282668787	0.27004650528691876	0.2830937673827771	0.18370475919762216	0.22247617604605957	0.11026153894046367	0.2809671497030694	0.2427003734579712	0.2989280888857793	0.25705077736005105	0.07316829870498227	0.05522301479820824	0.11994648201384313	-0.17977058600445214	-0.23860949642372054
icvs_csf	-0.6262935332556301	0.5933529135650413	-0.23407612544948472	0.4757499998950631	-0.1794262340688795	-0.14168162049864477	-0.05070041871729567	-0.3022632272000506	1.0	0.15411150310686705	-0.7447392014316117	-0.6845236504851355	-0.7160360657693882	-0.1501518880101338	0.2117140440076422	0.2373248548837717	0.23516744352583485	0.041979645123099964	0.19750304326040177	0.25876834425837403	0.27160892312204765	0.22900540225939303	0.28672979116407266	0.2894271629979536	0.31407407507845336	0.14052848082797018	-0.19146498076267526	-0.5017261554546731	-0.19146498076267518	-0.4948576812050627	-0.45514804708093265	-0.204270771247013	-0.503964338034041	-0.7579994003705288	-0.7196775632062351	-0.10010006373974256	-0.8223148279945616	-0.8129205587419965	-0.3181614074892943	-0.40802906246769494	-0.7073435609515155	-0.6956069291721074	-0.573511795443317	-0.583452336443242	-0.3931500611047162	-0.7229447035864595	-0.3408978143509476	-0.5489481043666636	-0.4169788891631335	-0.4882465136849152	-0.6392893709303838	-0.3785912295338155	-0.6969580618559238	-0.1681511104204645	0.6150830584096505	0.6879323838517022
icvs_gm	-0.7782917905488451	0.8172682838501751	-0.237161353140976	0.5891335268488284	-0.054113210121314155	0.0111048711529665	0.02703626802990134	-0.1742580108591132	0.15411150310686705	1.0	-0.7741559075105986	-0.6962001699135766	-0.6685133118635374	-0.017737828518147904	0.1340075003891798	0.17456971812776514	0.17398198078338178	0.24045752872314152	0.920699771045081	0.7796072233757448	0.640142698768245	0.2233338080612116	0.19013001707142457	0.20784655163496638	0.2142867884444219	0.13903019809941586	-0.22050585236911077	-0.47722374691359254	-0.220505852369111	-0.5619175096622359	-0.34130812436915464	-0.18670541846424385	-0.12807619619980945	-0.15200191906792815	0.00032461008086713566	-0.25273213769672154	-0.29566838160300263	-0.1878113805474468	-0.7318549705874691	-0.5806569972186829	-0.594358224896638	-0.616023462272418	0.2552120891717175	-0.785943555766685	-0.913026555859721	-0.37706577533705393	-0.8470643776866332	-0.402303905656918	-0.2966079565244003	-0.17862465695571927	-0.636438723265851	-0.6739340254124906	-0.16911762666478658	0.32565378126193595	0.4335300430074239	0.6952552457117979
