	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv	1.0	-0.8219479845854882	0.14510270788778118	-0.0984052879582212	0.19441670394951088	0.09701625430457629	0.10817786936686404	0.3251759427160116	-0.4378934002032515	-0.27859954328848563	0.47283738063796166	0.30545550749952305	0.33033812180048205	0.009696817573597416	0.1809146814877497	0.16571219753752037	0.1468524494376115	-0.1567757048905986	-0.16844814362183916	0.2862895619861697	0.9329779008678837	-0.021870370144414022	-0.0857499495862026	0.010718929634852128	0.6870715190903768	-0.07219995631354491	-0.02902713315948609	-0.11337982030871323	-0.029027134890595187	-0.15386493353290678	-0.10199812853599147	0.27720294263885714	-0.3401773235820133	-0.3648842680045894	-0.35579325153656544	-0.3720570777001536	-0.3562637382127529	-0.32055688119566816	0.20818382165410687	-0.39303153119243367	-0.35778463183420506	-0.35361787663606775	-0.29836300465282	-0.3377518285281424	-0.3050489145236567	-0.5859692971390994	0.41306821119430664	0.13790046230528477	0.5135229077263649	-0.09304881906325162	-0.10647330023841775	0.3181094028896739	-0.2026447940063116	0.12973015884111233	0.7665106975753591
cnr	-0.8219479845854882	1.0	-0.3934787112299658	0.21874523889941966	-0.056839660544235976	0.040507766185478154	0.03901263235249815	-0.22560739471614308	0.4024434281642218	0.5070201328841308	-0.6385672257817605	-0.3769675045909173	-0.19700559426801373	-0.11384254177424945	0.12830502207353528	0.14611654327049928	0.16731623034952187	0.305170147959018	0.5335757338342035	0.08077333879169318	-0.6664657222606817	0.09501025794532958	0.1868010141005617	0.08867318596424154	-0.49645872186243967	0.06696693314151275	-0.08289434694118891	-0.1307952941965866	-0.08289434645725814	-0.0973626192124336	-0.1607285893268487	-0.34835546146255425	0.1845588760378597	0.1714862840578986	0.16540267847893253	0.36183393241695927	0.14638546653610765	0.09681671339899377	-0.3717201011336564	0.2216591606352707	0.19724662243786928	0.19208525266734944	0.578690042608793	0.15193898292508168	0.07841674271694829	0.5652463836362951	-0.4242234251531857	-0.25651576587674935	-0.5059628327662763	-0.08133305890366789	-0.07092789910074013	-0.20590530649857242	0.43097543404216054	0.027442903604313465	-0.5852028085830769
efc	0.14510270788778118	-0.3934787112299658	1.0	-0.3549005175534949	-0.07022687808571888	-0.16937198469609632	-0.12221318759486904	0.08549502413240584	0.058457568404070126	-0.24018713764790742	0.1623496217114908	0.39191246924157747	0.16100849534722775	0.17283951332691752	-0.5181546344474307	-0.5222387895751832	-0.5277358196382154	-0.19479418476472332	-0.3349302535103194	-0.21183408458763375	0.07840113370334427	-0.2861496373365594	-0.2956321864148868	-0.285497605658667	-0.07844511101419853	-0.06376753907590292	0.19314679919506533	0.34359873708830485	0.19314680431368822	0.33183788755945887	0.3309063507794993	0.22234535917020662	0.02332965437171597	0.012453324028486252	0.010270877984034085	-0.15653264877359313	0.02988848543033712	0.05764081911259867	0.15535983394772826	-0.016767608150156432	-0.014469330304167355	-0.010791523157443984	-0.42174737757996694	0.01268055624477109	0.06847392537798332	-0.2854012449644774	0.24279170538394287	0.14640031899565778	0.22535971307294264	0.09511875603855283	0.092182058785498	0.1087557407466459	-0.19326625753060236	0.16016799525456404	0.029603813157531005
fber	-0.0984052879582212	0.21874523889941966	-0.3549005175534949	1.0	0.2750521235675598	0.2736085364043811	0.3018631139002244	0.19312564840276156	0.26212903022620576	0.37428608763960625	-0.45172674842080124	-0.31904612006729016	0.25022220696083214	-6.0506594803764707e-05	0.18836086925330864	0.18855924428563628	0.19531470947266494	0.4042665816975668	0.44583808628259824	0.4064669983977076	0.019886876670711245	0.29233630719541687	0.3430429406041612	0.3273124656398037	0.2763636907560469	-0.008877465987230831	-0.3322760744042434	-0.29645519481717847	-0.3322760742180863	-0.2755945445203819	-0.12713699048022087	0.046961593332821704	-0.07196327778059877	-0.04498013834716399	-0.04119983539562711	0.14788112738430984	-0.07705073780295217	-0.10761951075032501	0.04543162054059177	-0.07079084611269258	-0.016319578755618076	-0.017308286585440907	0.2761963712389623	-0.04560589170843539	-0.08771584921334113	-0.018115790092165768	-0.01751344384208647	0.0058833526976885585	-0.018402976023608263	0.009239010723075971	0.008028092246458549	0.0836267674604562	0.40967020299284457	0.3651928475834094	0.14905109713355583
fwhm_avg	0.19441670394951088	-0.056839660544235976	-0.07022687808571888	0.2750521235675598	1.0	0.9391046171116044	0.9321501659576237	0.9099451831923362	0.25478257383421554	0.030658355127856543	-0.16827030675330418	0.04822482642050076	0.5989881925092013	0.09763769936164127	-0.12077477911095964	-0.12391675800762407	-0.12385401102617065	0.26952433035889867	0.19864787638819553	0.3417183201094519	0.26400766760708355	0.3374260364325937	0.27836946090173964	0.32971585656015723	0.3722891184267184	0.10754253124911589	-0.09550927695463214	-0.1451318092912864	-0.09550927920028124	-0.13243594770744813	-0.06339855824961957	0.183871780432684	-0.16232052117147094	-0.09199297693268553	-0.08812519232157037	0.16510333806731764	-0.12381836853962332	-0.1472878696365255	-0.07357822088525753	-0.1667989057475273	-0.12255990824971388	-0.12112280265087749	0.07457921699886619	-0.1384037889409275	-0.1486586819383805	-0.12763843535193292	0.10340931864121021	0.030252949573367254	0.15619368041473103	-0.04330699913481398	-0.05384094240408128	-0.11231659453478836	0.015557251702656691	0.22315619365061556	0.16713567388787842
fwhm_x	0.09701625430457629	0.040507766185478154	-0.16937198469609632	0.2736085364043811	0.9391046171116044	1.0	0.8488989971055745	0.7702488562518401	0.26328172746084233	0.1100746769253086	-0.23760699149724754	-0.0723429836508706	0.5432883169567025	0.058390360527044584	-0.06614705696865496	-0.06862824180867934	-0.06605795461366026	0.32846028573751296	0.2628620544674861	0.3572776646859002	0.1746592490141977	0.37299203463422315	0.329153229482751	0.3680919735257085	0.34323483190853604	0.12446734759995831	-0.13846378501824733	-0.21515826956694306	-0.13846378611403548	-0.19468958472724018	-0.14836027506702812	0.08277804802405032	-0.16895152473892217	-0.09460443193055748	-0.09156233810590839	0.20121692801748317	-0.13036989774265978	-0.1645173733090981	-0.030663302626736926	-0.16415352198452876	-0.1171766393939825	-0.1164227617713913	0.12750865661857463	-0.13837132260790455	-0.16018082127394823	-0.03846551809083491	0.012645292414076657	-0.018074947019000396	0.05410782894055867	-0.060253262068294906	-0.06834612291248265	-0.16812863882478576	0.07514693532933282	0.19298130409876477	0.13141302124166665
fwhm_y	0.10817786936686404	0.03901263235249815	-0.12221318759486904	0.3018631139002244	0.9321501659576237	0.8488989971055745	1.0	0.7488022298548674	0.2629861332902495	0.04408719050019765	-0.1838017385709528	0.03985219116686762	0.6159559422466401	0.20497820564967054	-0.08574333275906973	-0.08649805897146784	-0.08482985255853298	0.23891384734244325	0.22316044888130462	0.30698488239156	0.19488377961394932	0.4113068495247932	0.35839322244106087	0.4017777632523987	0.35487815793939553	0.21317856660018464	-0.1477855625602699	-0.19943364745471379	-0.1477855639381357	-0.19388859459335264	-0.05441361166116059	0.2187704019967674	-0.17349799237590285	-0.10670590528366429	-0.10459508892780864	0.1573907515719699	-0.13719790326103812	-0.16055484816206939	-0.17552823636861406	-0.16356904758756236	-0.13744437568749615	-0.1369538770455594	0.09386889197930538	-0.15508242241943185	-0.17049754669783196	-0.04384517200197964	-0.005623027752762933	-0.06515395958885314	0.028923501206248793	-0.10916035004418091	-0.1169119099729137	-0.1715443478789451	0.00977811376065329	0.16631871059673356	0.05413139514914482
fwhm_z	0.3251759427160116	-0.22560739471614308	0.08549502413240584	0.19312564840276156	0.9099451831923362	0.7702488562518401	0.7488022298548674	1.0	0.18550881621003204	-0.06201743315376126	-0.05396163748971159	0.15760941154612648	0.5083864826859127	0.011944253774853364	-0.17903416527388	-0.18438299874995198	-0.1881726609787686	0.18714193904451354	0.07419513557814875	0.2881904842784479	0.35647931708041747	0.16360548033827507	0.09708861356993073	0.1566365989678708	0.33725325743299767	-0.030630926214242488	0.013787859572913374	0.0015931132567858373	0.013787855915243525	0.011179020753351181	0.020117550184194373	0.20575863845691691	-0.11143502427366189	-0.05629581243796295	-0.05081715508500026	0.10419306405763366	-0.0790323082548749	-0.08778024942205556	-0.0014422432034667959	-0.1371780563089784	-0.08766575311682416	-0.08500387768617954	-0.008363169104300457	-0.09352340687983339	-0.08604335566743689	-0.2625302529634975	0.2687349063098122	0.15881458215179267	0.33812673911197166	0.043753211389577766	0.030547200790712714	0.018994800340331932	-0.037425221312311005	0.25783127032873193	0.27183828485549727
icvs_csf	-0.4378934002032515	0.4024434281642218	0.058457568404070126	0.26212903022620576	0.25478257383421554	0.26328172746084233	0.2629861332902495	0.18550881621003204	1.0	0.024810076748514674	-0.5828006761090161	-0.2120211818670935	0.20080262749767294	0.06705803761535284	-0.3884871146682523	-0.38719486544542137	-0.36890673605677926	0.6519916098206283	0.3007936529858664	0.2951197094611112	-0.3104789554409225	0.17458751348876697	0.08269877489712349	0.11280617660591208	-0.15198910891418516	-0.07313971201973636	-0.06426411687297291	-0.06288895668158008	-0.06426411589107366	-0.0449177356249464	-0.05327389187167716	0.3487944707144174	-0.08661371467931836	0.08390299010369603	0.07595094105447338	0.5678878616611994	0.03164294604824179	-0.04761150002644824	-0.3607787981219663	-0.059803371851096	-0.018960119445223154	-0.020301329172812497	0.1705237511518183	-0.050093311549347236	-0.07746923670705311	0.07521871738844738	-0.18773247137340543	-0.13540625463857736	-0.224303016881079	-0.07119968946094103	-0.06952781889824791	-0.5150612421494765	0.05320161443121997	0.47004999424063515	-0.24045981529860683
icvs_gm	-0.27859954328848563	0.5070201328841308	-0.24018713764790742	0.37428608763960625	0.030658355127856543	0.1100746769253086	0.04408719050019765	-0.06201743315376126	0.024810076748514674	1.0	-0.8268243362757335	-0.4082835659905793	0.23948463063551786	-0.04555820952936975	0.4847307527742745	0.4895591517276926	0.49889140787786546	0.3812535739552974	0.8304874656902073	0.5287942844105418	-0.08803962781513912	-0.056478797414886456	0.16846061447851135	0.05264881784786503	0.06675135112993832	-0.01994796151772536	0.00823485703503105	-0.1459594342240808	0.008234861359086264	-0.1708566828080352	-0.16877380175861498	-0.40765244313377513	0.06629139587638386	-0.03541514282562973	-0.026218703057366833	-0.004699005094530163	-0.06373544924693114	-0.08693746090751851	0.24277171822242896	0.009175422147815367	0.08954552002882239	0.09427954708389044	0.47271399162427186	0.036807972701756675	-0.03210837665713065	0.06787206206584902	0.04869537656655293	0.11176216354681692	0.04331323862626071	0.13514500091584286	0.13151760124192038	0.5009853633939924	0.8869779976973081	0.44355374743990233	0.20595046602350084
