	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv	1.0	-0.961357032920188	0.4978858393573547	0.03460192321541985	0.5973686745674794	0.5796753021435236	0.5646634590614346	0.6350647846395852	0.007520077606628974	-0.8106919374082453	0.7844097566147857	0.2644758342460715	0.9106581412176844	0.21010545927829125	0.16549992271821162	0.10394536511477358	0.06601592128425093	-0.46593465079188984	0.35531978103427003	0.4166642607106693	0.4465109337701106	-0.3189229627038574	-0.07686594281930674	-0.03456560725737785	0.10473139423777675	0.08574977437339135	-0.5025463271919363	-0.5400548496628461	-0.502546326917721	-0.5470745018855976	-0.48907655348555185	-0.20772827045763037	-0.57233306529895	-0.5748256525175292	-0.573937689605546	-0.521058888726853	-0.5737424696135649	-0.5693412894059471	0.6718061150545482	-0.5723041567413599	-0.5701696505886015	-0.5699160377008575	-0.47777652371956714	-0.5666596478453617	-0.562557529013769	0.22099250775285922	-0.440308323504092	-0.4688028959314027	-0.3196361078208061	0.6139114318964657	-0.5260953713528516	-0.5320111313060546	-0.42415117918202877	-0.3689856615969235	0.3514220307474433	0.11632245921383416
cnr	-0.961357032920188	1.0	-0.5654845503297269	0.03774964027342678	-0.5535118172915529	-0.5374739328511694	-0.5195173439682581	-0.5913116968063233	0.014155183470811765	0.835071485227569	-0.8254979292835132	-0.3091659055718601	-0.9019622526034994	-0.28604325848792883	-0.06843804924997236	-0.005917680380712823	0.03069509831978426	0.4426797896059659	-0.28179094006522354	-0.35220597906020873	-0.3858306569623419	0.3745593394003275	0.14948858024645104	0.11018686152994882	-0.02680303901193681	-0.007340984722060099	0.4501555462742103	0.47137926928881235	0.45015554559112125	0.47810419969033535	0.41101466815910037	0.17601903994134904	0.5129023026659425	0.5109042992540253	0.5104604699989167	0.48104558860316127	0.5080609078391654	0.5024573762047303	-0.6719387060401436	0.5098829810250184	0.5096684352461059	0.5093513516864567	0.49205915083456014	0.5031940452858299	0.49455138397383025	-0.2312688571045302	0.40568960050042885	0.417494118272046	0.29668099386238317	-0.5663628921303538	0.46555746939118203	0.47107339389139247	0.3759973948244763	0.38461930593678045	-0.3030479530209349	-0.06301691324643655
efc	0.4978858393573547	-0.5654845503297269	1.0	0.18758072696657985	0.6641608485449405	0.652177934320499	0.6700624587033557	0.662711620367989	0.3038842752938575	-0.5878145052205153	0.33031413502569396	-0.23648296949363554	0.4970992658840946	0.5151133506723696	-0.18298476438733266	-0.22566449909758854	-0.26927626599552795	-0.1850303212454304	0.5406983279714255	0.6037351016210033	0.6195925087331922	-0.44328541822186496	-0.1723720532378221	-0.11466981480736917	0.05950371422230016	0.030289840354180093	-0.5139518240027551	-0.5304780477229976	-0.5139518231018412	-0.535758876523138	-0.4585677780342833	-0.3835102066084202	-0.5782529988722246	-0.5791516168472863	-0.5795977801098906	-0.5293830971534803	-0.577084628202736	-0.5736114758252122	0.2659468242851365	-0.5733045072289575	-0.5779896144717491	-0.5777847143264914	-0.5515658010433958	-0.5724019702085791	-0.5648783095114447	-0.04743399568996281	-0.5092837028604655	-0.513662356085884	-0.4107529708286989	0.6607882649528994	-0.5499538430761693	-0.5547488609178342	-0.4999535736554622	-0.4507038399418294	0.5560186854852529	0.46402553930784535
fber	0.03460192321541985	0.03774964027342678	0.18758072696657985	1.0	0.6381964872655768	0.6542449937991792	0.6405914003828219	0.6151028364983403	0.6857638851503863	-0.22671597764582568	-0.3268718787945033	-0.7969515909781186	0.022387340692778205	0.13048033976297413	0.25703665942208354	0.24231458477871853	0.20179585448792997	-0.24444205367843974	0.7978627981422431	0.7792510444503328	0.7644876163918495	-0.0014584129644734406	0.3062105049860713	0.36666757368540476	0.511349665032235	0.3688251333116489	-0.5818328325990894	-0.6211502875696211	-0.5818328357040728	-0.6213146345744112	-0.5689858150443549	-0.47437414262179634	-0.6171370135270433	-0.6172186359322144	-0.617304399670644	-0.5319174699381446	-0.6175058169126354	-0.6178211669028049	-0.1643835189283956	-0.6064282547399688	-0.6123027792000851	-0.6125874136482474	-0.491649503953964	-0.6104492372819095	-0.611219768461463	-0.2715468975673331	-0.5833104364247997	-0.5742654822150179	-0.48971279332444817	0.6781335856294093	-0.6006727764589892	-0.6038981034595574	-0.7342660200110562	-0.4250932149517684	0.7184071698445805	0.865200877161675
fwhm_avg	0.5973686745674794	-0.5535118172915529	0.6641608485449405	0.6381964872655768	1.0	0.9969540135441569	0.9947793104802791	0.9966594528802231	0.5869544030466968	-0.6873621609001627	0.20120224376540963	-0.5134437750596333	0.6211512816547038	0.3166498663502037	0.24964408481207342	0.2004959662365307	0.1427704986709723	-0.46430683520839167	0.9010982556862315	0.9327712318928069	0.9406100870024803	-0.24077498147559878	0.16993785640233472	0.24480964330111946	0.4552826582654916	0.32136658455336214	-0.8096759178375967	-0.8612575196047286	-0.8096759195669231	-0.8629639108208733	-0.7789193988295068	-0.6069031617990193	-0.8636707083362131	-0.8605930087471574	-0.8606491207985882	-0.7299335505027403	-0.8620626711822287	-0.8631734698021536	0.24971777765445102	-0.8492115635716635	-0.8547008403316078	-0.8550875077911332	-0.6787258515292137	-0.8528558031210733	-0.8538766260320668	-0.020928669393518527	-0.8034869538604394	-0.7927545918419392	-0.6663534972539455	0.9654440827426264	-0.8341801747357073	-0.8402654868273662	-0.8908916602997135	-0.5212773461918356	0.8586842343457712	0.7939145955259551
fwhm_x	0.5796753021435236	-0.5374739328511694	0.652177934320499	0.6542449937991792	0.9969540135441569	1.0	0.987898126615432	0.9915373774090022	0.5936356076116787	-0.6737365657770988	0.18257918393735295	-0.5325891612787607	0.605897748370896	0.31712769291585147	0.2545699830639921	0.20612319113173247	0.14861212591840225	-0.4605258350581412	0.904829624991373	0.9339716758229127	0.940746149667229	-0.2411235206954118	0.16825610201328753	0.2430759318009154	0.4531582973875916	0.3176787113105706	-0.8114934903298486	-0.8640194459397869	-0.8114934920829057	-0.8653100829571779	-0.7833514498790484	-0.6114492331282882	-0.8635306942485871	-0.8600830083222122	-0.8601677894326376	-0.7261880504081245	-0.8618214232952136	-0.8634825326977591	0.240469658916373	-0.8487233471618909	-0.8539506387895172	-0.8543612481137154	-0.6741599541849331	-0.8523969389869549	-0.8539829925790413	-0.027379973090550746	-0.8070607048316628	-0.7945899348363367	-0.6721280029622764	0.9628521796005336	-0.8343243075084374	-0.8402408130783807	-0.8933523424292042	-0.5180195444017437	0.862409292258134	0.8051109322729249
fwhm_y	0.5646634590614346	-0.5195173439682581	0.6700624587033557	0.6405914003828219	0.9947793104802791	0.987898126615432	1.0	0.9858856560763007	0.606526939735453	-0.6694653248056446	0.16811471846137974	-0.5384540526644461	0.5844586134795007	0.32596315428161016	0.24606363647990473	0.19892781980778818	0.14167612667609067	-0.44436858816423386	0.9043767951100414	0.9363307707210284	0.9434489298751602	-0.22794753316359861	0.17940049019219584	0.2536638826528028	0.461374277145072	0.3268921882733772	-0.8080248547509069	-0.8592547338596214	-0.8080248564491488	-0.8611308680530816	-0.7741515341701604	-0.6116782107661576	-0.859521195724011	-0.8562512006765378	-0.8563543008269368	-0.7244099040715276	-0.857836121087387	-0.8590785785619537	0.2172346695243946	-0.8445442801052823	-0.8506539326667172	-0.8510676833261174	-0.6724210752150257	-0.849006769718686	-0.8503368334368387	-0.03694219334508906	-0.8037503526546881	-0.7930626422701379	-0.6700755989041377	0.9591493994627466	-0.8325588658818462	-0.8384291689058293	-0.8934921811293298	-0.522627090803249	0.8614858527208785	0.8082855673654392
fwhm_z	0.6350647846395852	-0.5913116968063233	0.662711620367989	0.6151028364983403	0.9966594528802231	0.9915373774090022	0.9858856560763007	1.0	0.5578971175315067	-0.7076924461118179	0.24424057766368504	-0.46937118374840947	0.6598699584272882	0.30483306514278563	0.24571671074554968	0.1947248294612906	0.1370089019291447	-0.4799950541197856	0.8854267730522821	0.9187749929701922	0.9281010753959905	-0.2490049107436109	0.16146371487820424	0.23611659193708237	0.44710118457420917	0.3164801943647239	-0.8009327118689553	-0.8514328935828318	-0.8009327135857537	-0.8533446283890338	-0.77086712109402	-0.5923209459388937	-0.858258216382862	-0.855708469142662	-0.8556978733583996	-0.7303298900988888	-0.8568238267660864	-0.8573193474026057	0.2833775429527785	-0.8447090710033828	-0.8498375174703554	-0.850175391364058	-0.6810681556171035	-0.8475817026260271	-0.8478214828854689	-0.0011296635743594837	-0.7915919310191842	-0.782481567653752	-0.6509597898145211	0.9629923462062813	-0.8266418339598167	-0.8329988862384157	-0.8770447497965626	-0.5175047167160004	0.8438784352108298	0.7631470614687557
icvs_csf	0.007520077606628974	0.014155183470811765	0.3038842752938575	0.6857638851503863	0.5869544030466968	0.5936356076116787	0.606526939735453	0.5578971175315067	1.0	-0.3780407094771562	-0.4304028280527442	-0.753886702648029	-0.02588791988078696	0.1074844643464538	0.2630779795484023	0.24745485391498667	0.21316744885454542	-0.17826732587368815	0.6482690872872044	0.6641102676696955	0.6616488343029066	0.009496532847120098	0.31839040025865256	0.36802514907913	0.5015790161753533	0.3119118145811015	-0.5419491016355505	-0.5761295512111402	-0.5419491035850175	-0.5739264012638098	-0.5294140396074142	-0.4188242447029195	-0.5771416382334913	-0.5546716735504764	-0.5559498481830887	-0.3806316879577366	-0.5617870270558978	-0.5728374497587783	-0.07540917194732646	-0.5640085835892839	-0.5639346521392987	-0.564340402758004	-0.4200972922886808	-0.5662971516958776	-0.5703937496046299	-0.31875311688523267	-0.5640917776508473	-0.5498105531947474	-0.4971115683259975	0.6086578113891781	-0.5612551724697523	-0.5633140364112719	-0.7885405648744528	-0.4111620248408855	0.7690225448939232	0.7979310211334985
icvs_gm	-0.8106919374082453	0.835071485227569	-0.5878145052205153	-0.22671597764582568	-0.6873621609001627	-0.6737365657770988	-0.6694653248056446	-0.7076924461118179	-0.3780407094771562	1.0	-0.6729415144928933	0.0006183296990011849	-0.748121201712156	-0.23161004579903707	-0.07193663254487712	-0.0134354319032415	0.031738367902835574	0.5067130348988262	-0.44261378566848536	-0.544646734814214	-0.5875994100458763	0.29361159442403717	-0.0058988214552615605	-0.05972406706468078	-0.22380671092116217	-0.16418303525677674	0.5903031642824201	0.6001525132625075	0.5903031652978774	0.5984723939909345	0.5284913074568524	0.30143026165266906	0.6380503851853025	0.6215456321094932	0.6233505306540899	0.5394600687388938	0.6170397292340022	0.6135118787660817	-0.5991969092921133	0.6177492377356382	0.6360726883539222	0.6371693030376226	0.618940481593592	0.6254320304193711	0.6139491066348202	-0.11330894644059102	0.5996765250862282	0.6019350780603844	0.5041815753971126	-0.7117108879487143	0.6316754937361017	0.6351084224512368	0.6287430340694441	0.6946351963048656	-0.49053813500908316	-0.3454633898543876
icvs_wm	0.7844097566147857	-0.8254979292835132	0.33031413502569396	-0.3268718787945033	0.20120224376540963	0.18257918393735295	0.16811471846137974	0.24424057766368504	-0.4304028280527442	-0.6729415144928933	1.0	0.6017447129787893	0.750096424842165	0.13993899948236138	-0.14005890316436032	-0.18461439682218858	-0.20126321641181857	-0.3516074705591129	-0.0864152746768471	0.00040910562449762076	0.0442542833533361	-0.29385661000971686	-0.24863929091458192	-0.23581774709238246	-0.1825466095752204	-0.08913711366049126	-0.14252925504453312	-0.12482247109236007	-0.1425292544769928	-0.1249446618389694	-0.09227856734376227	0.040744066570885445	-0.16096394920851695	-0.1628252120865717	-0.16356372573182607	-0.2218485634298121	-0.15274689953324466	-0.14047810125842317	0.6444633806624862	-0.15166366430183187	-0.16958795402257443	-0.1703329541614214	-0.2678087321168536	-0.1573257843878926	-0.14285688579737174	0.36515572750372344	-0.1339764413857418	-0.14758906141735806	-0.09438610730361842	0.207601263889184	-0.1674416002797585	-0.16914366786921534	0.017016172720338507	-0.3487496647113221	-0.1361701614473137	-0.30071445900249294
inu_med	0.2644758342460715	-0.3091659055718601	-0.23648296949363554	-0.7969515909781186	-0.5134437750596333	-0.5325891612787607	-0.5384540526644461	-0.46937118374840947	-0.753886702648029	0.0006183296990011849	0.6017447129787893	1.0	0.3041547982450624	-0.11208101206851531	-0.2286806650551315	-0.23197522410169608	-0.20194394014617048	0.01967848409997277	-0.7147494579483771	-0.6860477020152088	-0.661412717662245	-0.07901134091584536	-0.3234432797614475	-0.368128482120149	-0.47214804307598746	-0.30247329721755095	0.4523180554679677	0.48478268166679694	0.4523180576428092	0.4842408806388014	0.4494280718599085	0.49973573473707683	0.4590859882530898	0.45041377020910356	0.4498508870441805	0.35199529174274063	0.4543953168524095	0.46090873533256177	0.39614067301659583	0.43822485416644513	0.44086136156649924	0.4413062443150714	0.30030344751076715	0.44126206666471574	0.44885915945830335	0.37055768814963597	0.446403767033548	0.42136648440834923	0.37433108519067004	-0.5137484434568829	0.4370851949318096	0.4393645129058496	0.6505374922585629	0.26186206524542716	-0.696512931107398	-0.89064495818802
inu_range	0.9106581412176844	-0.9019622526034994	0.4970992658840946	0.022387340692778205	0.6211512816547038	0.605897748370896	0.5844586134795007	0.6598699584272882	-0.02588791988078696	-0.748121201712156	0.750096424842165	0.3041547982450624	1.0	0.24751110472316584	0.10553714583853062	0.04684982012574819	0.011706119816133818	-0.41915998469041893	0.36586629549349503	0.42605989971921787	0.4535510354620398	-0.32115029410132784	-0.0914090979044439	-0.04976518455455806	0.08565787173617234	0.09462592230560342	-0.5020584787211869	-0.5314925033420913	-0.5020584782114891	-0.5345473100891561	-0.4753640278843849	-0.22899746604110496	-0.5386235625552143	-0.537985555289452	-0.5381138230549011	-0.4614453212906227	-0.538634439360219	-0.5386496543519622	0.6780074219129218	-0.5315408505156066	-0.5332241611894893	-0.5334360932785629	-0.4239615960092656	-0.532501059557745	-0.5327757801076496	0.39744698808770057	-0.49815810596974863	-0.4896075260098108	-0.4101947556517191	0.6239626833354276	-0.5170794994180774	-0.5220132495558826	-0.38268452646767187	-0.32004681175122224	0.33090242633156536	0.07173771536813124
qi_2	0.21010545927829125	-0.28604325848792883	0.5151133506723696	0.13048033976297413	0.3166498663502037	0.31712769291585147	0.32596315428161016	0.30483306514278563	0.1074844643464538	-0.23161004579903707	0.13993899948236138	-0.11208101206851531	0.24751110472316584	1.0	-0.1500872634083334	-0.17011805771097915	-0.19179067061182736	-0.057000714336081885	0.2758961748780021	0.2939349119418234	0.2959401431507531	-0.5075181462614891	-0.41550702598501754	-0.3835014019844853	-0.27809761254578624	-0.29594598659015764	-0.27259340611609106	-0.2550868944787976	-0.2725934058362862	-0.276417498690774	-0.11591674927438263	-0.16969222554355465	-0.28659878172225683	-0.27908138733142646	-0.27913230998724103	-0.24573898124381272	-0.27981850273712744	-0.27882052575503313	0.10315740208423888	-0.2759596660451456	-0.279005291821023	-0.27963535553445606	-0.23397073798302437	-0.27762711487559916	-0.27684894951922234	0.014194286108907373	-0.2661794662076838	-0.2677421772839369	-0.2366540569868191	0.31173893034892314	-0.27524945254583655	-0.2766708463751454	-0.22857810023525968	-0.21557077235277228	0.22872460179054452	0.20693285411599555
rpve_csf	0.16549992271821162	-0.06843804924997236	-0.18298476438733266	0.25703665942208354	0.24964408481207342	0.2545699830639921	0.24606363647990473	0.24571671074554968	0.2630779795484023	-0.07193663254487712	-0.14005890316436032	-0.2286806650551315	0.10553714583853062	-0.1500872634083334	1.0	0.9977630195507462	0.9926135252632944	-0.29711889637022204	0.3595923478214551	0.3142172091935429	0.3022234845740996	0.08914629959954364	0.261468315772286	0.280800575302358	0.3392023943028247	0.19702894217875797	-0.28163002561988093	-0.3434601695270694	-0.28163002780565194	-0.35108819293690907	-0.3535080800423639	-0.3318178575790529	-0.2940116820552456	-0.32802247356738223	-0.3262629930614019	-0.3224778324276975	-0.32789296508351806	-0.3258025629553275	-0.059574716159065066	-0.3073530242160397	-0.30246938456114975	-0.3027281110764685	-0.11350134325480171	-0.307995375149888	-0.31933876414543566	-0.05843326366185606	-0.261488579149618	-0.26921184299616324	-0.21035079852842006	0.3005162602337499	-0.28990194011794346	-0.2913892092089129	-0.37737849372044213	0.061538687590031185	0.37844577418786074	0.3075027684076415
