	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv	1.0	-0.94450617641688	0.5655696462499231	0.22193046241390357	0.54321589193102	0.5083385459553714	0.5002704130113163	0.6160308006215235	0.13057504043073634	-0.8277579557519898	0.6924860611004378	0.05844288905630998	0.8539968748872367	0.23954700079932031	0.19067605439751917	0.13384995740967734	0.0921503684418284	-0.4692729684306751	0.21083489060465135	0.21044321272089286	0.2563786525712199	-0.38045319495505353	-0.14111994506449782	-0.06994129205589338	0.4461891229017842	0.24771712590224237	-0.47687051081971527	-0.23041419225457532	-0.47687051081971527	-0.20274895175127772	-0.3493115020114223	-0.196685268459425	-0.3405491581987191	-0.3526122246800805	-0.4064366453291676	-0.456095024361312	-0.28138124407184006	-0.29732551894725506	0.4376206361585134	-0.2888988515374614	-0.21968143094736406	-0.21373098141783148	-0.41038901308065884	-0.19054440292672878	-0.19989130993398774	0.22210864799745614	-0.15583096330086088	-0.3261255271850913	-0.38454427512300804	0.6178119469521188	-0.24294750973677257	-0.19904825117246402	-0.35392219147165693	-0.34194813275059127	0.2916069181117671	0.230940584586349
cnr	-0.94450617641688	1.0	-0.6111151903453986	-0.11668764290174047	-0.47997751843302605	-0.4504761724080418	-0.4307962476777613	-0.5552070086503733	-0.07041432346994676	0.8467461321535613	-0.7726722119740588	-0.14546842247413144	-0.8228102614794315	-0.3280139350724473	-0.06531179505908519	-0.00813119787606052	0.0314798797629813	0.44947475580272644	-0.07685371782353063	-0.08942524386923513	-0.14746420827378526	0.43931772595657304	0.24276483909168345	0.1845397675519695	-0.3104256079918909	-0.14722299068261516	0.39369049542131007	0.08533307381848759	0.39369049542131007	0.0860360141382229	0.18643932874589816	0.1008812702047974	0.2965471768466103	0.27674940160323314	0.34002735129770434	0.37059462145230626	0.20639810541641954	0.23318328672544894	-0.5178216756469152	0.20868667628183749	0.13735165828892967	0.13116418395044802	0.40576513977411605	0.0726384462537531	0.07558923902738793	-0.2886314697738583	0.061962642212200505	0.2657198748642741	0.3343410382726859	-0.5362820019871335	0.16876746983820137	0.09641443062916677	0.2772906650104371	0.36996961270689654	-0.19264494104602709	-0.11827775451134849
efc	0.5655696462499231	-0.6111151903453986	1.0	0.31326269514193933	0.6181598375534918	0.5911626604509754	0.639343750520792	0.6077574878724624	0.34629440895742103	-0.6100560603049239	0.33661965077848943	-0.22672206086739957	0.6890052056067189	0.5443272329138791	-0.16210539656139195	-0.2006167907112031	-0.24597163453922166	-0.1933300503883452	0.4247332342200982	0.49510961520502084	0.5363942548727467	-0.5238918252698268	-0.3374234567796799	-0.2606049277114851	0.3400553172942564	0.20895511616716514	-0.5063573879465889	-0.3259088346671297	-0.5063573879465889	-0.3963820292707835	-0.25905220764388825	-0.2988959170778639	-0.5770271894980166	-0.4285106084972201	-0.4410930056079415	-0.36272679378962674	-0.4624462864167553	-0.5082853475399705	-0.014918198697866009	-0.43149478338206404	-0.45194377863286284	-0.44970593308096446	-0.5174037953316678	-0.4216796617816857	-0.4308490923962078	0.0606270650774945	-0.468014453422617	-0.47321932395344785	-0.48262940805616267	0.6272032605715648	-0.44416385693355054	-0.5056511629597158	-0.39226192113323854	-0.46946534982382354	0.4784978067578915	0.4048505444080377
fber	0.22193046241390357	-0.11668764290174047	0.31326269514193933	1.0	0.6033322143578046	0.6338789687936488	0.6144920816990641	0.5640119974587956	0.7444259163480138	-0.30697158203092967	-0.3038256935005746	-0.7871203365236893	0.3855873036006591	0.11647070015428741	0.3072685661549632	0.28560381486823244	0.24417671648841424	-0.262595855562493	0.8550277903222103	0.8413394027732368	0.8049424456577007	-0.14335859648531973	0.14646106675910062	0.23938823019987382	0.7390207178136895	0.4800840215761809	-0.7615197326911372	-0.9138518600325632	-0.7615197326911372	-0.9280666601076222	-0.8288269236446819	-0.5869360490409654	-0.7477657849358192	-0.7687893304407634	-0.7406682187642137	-0.6237166632506493	-0.8131959407225023	-0.8040732971291891	-0.38291485826332083	-0.8445876392933177	-0.8366819131638541	-0.8381130880656517	-0.6440908439991943	-0.85144277246048	-0.8597788802298894	-0.2831592405580369	-0.843119477574672	-0.7782702971044048	-0.7155881007340678	0.538156656547952	-0.8510999807843774	-0.8179784741183147	-0.7487017879187821	-0.42040880148973186	0.7879999168969314	0.8999673055032821
fwhm_avg	0.54321589193102	-0.47997751843302605	0.6181598375534918	0.6033322143578046	1.0	0.9802777271899984	0.9723579511594518	0.9794685121379686	0.4886327030257171	-0.5711398351278858	0.14939329292628867	-0.48749637790901745	0.7156635069276249	0.2886300787182883	0.14660234197568797	0.10938835048063097	0.060701980367993506	-0.4328462691642784	0.6596306068601583	0.6900743225733084	0.7066686932151812	-0.3194841879728098	-0.04919964090726682	0.036954841136456335	0.6131390325271971	0.39227447631398527	-0.6702210194360854	-0.6149255298093987	-0.6702210194360854	-0.6282131139517294	-0.595561421368642	-0.5521083012844855	-0.5721302924899976	-0.6564123311832237	-0.6589605774340086	-0.6140112085631058	-0.6375274790018242	-0.6240881146258191	-0.0884416946556426	-0.5927114235008917	-0.6044917208567926	-0.6074867408180873	-0.543676302780669	-0.61782449238438	-0.6436455129263543	-0.00835929621522857	-0.6612121885759922	-0.6078958849766054	-0.6037075981754814	0.7073784554773039	-0.6306246036407912	-0.6862227140368737	-0.6800271615818888	-0.4106422227009153	0.6433424054183201	0.6651698637656406
fwhm_x	0.5083385459553714	-0.4504761724080418	0.5911626604509754	0.6338789687936488	0.9802777271899984	1.0	0.932994374851393	0.9497732133536374	0.504097883610757	-0.5411648065702173	0.10930656554189042	-0.5333392307356286	0.6954714675166226	0.2869003477699595	0.16480236038970772	0.12869669942476836	0.08061643235336051	-0.4293190047597838	0.6780778849655561	0.6994798786410842	0.7067614573851552	-0.3253113713768288	-0.05678848501949568	0.027974134605874695	0.6057826945395112	0.38400475786962923	-0.6818011924476403	-0.6332058339013419	-0.6818011924476403	-0.6589829433361584	-0.6041358321917148	-0.5711019855630756	-0.5946802333162525	-0.6782843304945807	-0.680884145234117	-0.6129999633333969	-0.6608188110021347	-0.6465792312943447	-0.10833756366339348	-0.6327161818468016	-0.6302496607672423	-0.6338460218705225	-0.5612124973647995	-0.6414379327538282	-0.6642082007534068	-0.03606324451762949	-0.6773259132482543	-0.6336204744977727	-0.6251475523693144	0.6773865711460021	-0.6580511263943848	-0.6935427107970967	-0.6907764719235457	-0.39309164153117687	0.6616856944456375	0.6960503460286227
fwhm_y	0.5002704130113163	-0.4307962476777613	0.639343750520792	0.6144920816990641	0.9723579511594518	0.932994374851393	1.0	0.92778540163385	0.5257089183807586	-0.5479249929198372	0.09546793041648852	-0.5158979450579371	0.6708932595757151	0.29844433242539586	0.15334265691444868	0.11971237590579611	0.07174790902838298	-0.3864891905870466	0.685759086391107	0.728228690897043	0.745843261051888	-0.28699383872722434	-0.017929268354023448	0.07043488054480622	0.6331342869045966	0.4138117299981302	-0.6640735772760691	-0.6451697981579548	-0.6640735772760691	-0.6560513256701782	-0.6099778355368404	-0.570365398358378	-0.6015404684607453	-0.6690006965349301	-0.6626537004937113	-0.6017120557207106	-0.6659168724933999	-0.6561767261205379	-0.15926673772709937	-0.6020093447213696	-0.6406782959934479	-0.6418328655564575	-0.5603301198987926	-0.6517370720420297	-0.6740102807243525	-0.048917869269544785	-0.6945803723532104	-0.6307940607549039	-0.6185819630256163	0.7030628005435603	-0.6597949837210226	-0.7290748113505671	-0.6945516097392422	-0.43124347340209745	0.6656586410242672	0.6841947804712163
fwhm_z	0.6160308006215235	-0.5552070086503733	0.6077574878724624	0.5640119974587956	0.9794685121379686	0.9497732133536374	0.92778540163385	1.0	0.4373452068665004	-0.6213856999301278	0.24036622210169847	-0.40661216125931765	0.7692509898559583	0.27020437887563736	0.14460305709946233	0.10249429486499578	0.05309826828513538	-0.4795829975495529	0.611679698904461	0.6309637659686373	0.6504033232479741	-0.33154703642139843	-0.05715457280102173	0.02770853129541282	0.6068577526962026	0.380595870870953	-0.6630188918976011	-0.56980931126145	-0.6630188918976011	-0.5701755640356392	-0.5810083245218567	-0.5090180268687183	-0.5275161914301054	-0.6191447600781607	-0.6303999446406248	-0.6263374804721733	-0.5846713065207769	-0.5694925666214656	0.005929186547622365	-0.5518013136845604	-0.5466312093574055	-0.5502483390784546	-0.5179858942902056	-0.5620782579425965	-0.5913559687138816	0.07339402592652702	-0.6069965031644587	-0.565301844560084	-0.5752665554178577	0.7284744764251159	-0.5754677309547832	-0.6248416941216607	-0.6493809368121444	-0.39908258586132506	0.5996441876511027	0.608972725791584
icvs_csf	0.13057504043073634	-0.07041432346994676	0.34629440895742103	0.7444259163480138	0.4886327030257171	0.504097883610757	0.5257089183807586	0.4373452068665004	1.0	-0.4009930816695407	-0.4065148431921638	-0.7181003950676141	0.2597983438433201	0.08938653533465933	0.2551255457739356	0.24109162441349463	0.20504326280142632	-0.21972407594308316	0.639621793561043	0.670825464967136	0.664724606271876	-0.09972084474929922	0.15114261251991468	0.2318553744175951	0.6421993008407625	0.37622508684817396	-0.619269656045035	-0.7824665646831641	-0.619269656045035	-0.7738233518434157	-0.7149151419258262	-0.49715680753068897	-0.7413640056553825	-0.8269536055250419	-0.8139969518344324	-0.5108752109863788	-0.8647105315871163	-0.8604420022832582	-0.3536210201822491	-0.7125101828595547	-0.8245243716150534	-0.8181435411712917	-0.7546932155204432	-0.7535445751357186	-0.6941236289360511	-0.3880677082436498	-0.6787228827672018	-0.7678343012289413	-0.700926653301338	0.3534318482510736	-0.788536892639158	-0.7006006383627821	-0.8313276699321069	-0.460509749848829	0.7874680572580143	0.7686423692247468
icvs_gm	-0.8277579557519898	0.8467461321535613	-0.6100560603049239	-0.30697158203092967	-0.5711398351278858	-0.5411648065702173	-0.5479249929198372	-0.6213856999301278	-0.4009930816695407	1.0	-0.647007032050448	0.06770713166478409	-0.7873943579577202	-0.2335323068646415	-0.09021056786732376	-0.03573256995146125	0.00988576608454425	0.51213884335837	-0.18906866609733775	-0.24399148412239333	-0.32711357893205995	0.35865580560529187	0.10314752872249808	0.023177883211758645	-0.4828740977576386	-0.30787346901731716	0.5474979194473629	0.3267525179683049	0.5474979194473629	0.2977211486768387	0.42932576074845247	0.21829185822983943	0.4940400884828988	0.4937474782045801	0.5562165467443672	0.4535508622435678	0.4362610408165743	0.46807959021874707	-0.36945051801653933	0.34021762069353884	0.3538915745516535	0.34182349937370843	0.6507595660897586	0.25879700416675017	0.22649150872527546	-0.23897791945397787	0.26319369409438687	0.4345997439113334	0.4848734336648924	-0.6409332782125301	0.3590491174601703	0.3215535462594325	0.5264997096859907	0.6359486379297713	-0.3717456127593827	-0.30225220250468277
