iqm	family	split	split_value	n	n_total	missing	missing_pct	mean	sd	median	iqr	min	max	p01	p99	variance	zero_variance	near_zero_variance
cjv	contrast	all	all	380	380	0	0.0	0.6897777522193035	0.17024418685497897	0.6282663227363043	0.30726254386298424	0.4021875210842482	1.166911801242236	0.43562815139837857	1.034146113617184	0.028983083157912995	False	False
cjv	contrast	sequence_group	T1w	264	264	0	0.0	0.7571519047446399	0.15471879530414595	0.7567784732365324	0.2960437855760828	0.493821033210332	1.166911801242236	0.5238553269230769	1.0579726474532853	0.023937905620366216	False	False
cjv	contrast	sequence_group	WMn	116	116	0	0.0	0.5364434740581934	0.0814663367074373	0.5278852203524582	0.11182938978562768	0.4021875210842482	0.874740560911481	0.41336566068144914	0.7509355432968159	0.006636764016529547	False	False
cjv	contrast	cohort	Control	277	277	0	0.0	0.682027892473349	0.17089821100325867	0.6183618025751073	0.31357803106884397	0.4021875210842482	1.0753941860465115	0.4332262796330258	1.0192716257434806	0.029206198524114317	False	False
cjv	contrast	cohort	Glaucoma	74	74	0	0.0	0.7121205201779641	0.17326619998519713	0.6738763561692221	0.29070015754177403	0.4233053770795195	1.166911801242236	0.45144727809561214	1.0630016921493566	0.030021176057310327	False	False
cjv	contrast	cohort	Data_ON	21	21	0	0.0	0.7056895540940862	0.154771593055256	0.6616797300944669	0.11442194587734378	0.5287480858244937	1.028679393939394	0.5348044276076386	1.0256927367084012	0.023954246016861767	False	False
cjv	contrast	cohort	Data_TON	8	8	0	0.0	0.7096775623840604	0.16517721256281384	0.7175270964100249	0.22921903788868592	0.45665985719418	0.8855138297872341	0.45979090696901	0.8851879331306992	0.02728351155002099	False	False
cjv	contrast	session	ses-01	230	230	0	0.0	0.6941109410382968	0.1692927030914222	0.6312380988458881	0.30401833450084326	0.4152473841203268	1.166911801242236	0.4392551047925115	1.0490895438765329	0.02866001932000043	False	False
cjv	contrast	session	ses-02	150	150	0	0.0	0.6831335293635135	0.1720485267337509	0.6277529607906678	0.3132874419874314	0.4021875210842482	1.0547113924050635	0.426819226045076	1.0266653920718816	0.029600695551254195	False	False
cnr	contrast	all	all	380	380	0	0.0	1.402036860525819	0.38199753683138865	1.5058959473256737	0.6957136756816635	0.614614408845813	2.17359158623553	0.6661144479394994	2.0341502251170054	0.14592211814524814	False	False
cnr	contrast	sequence_group	T1w	264	264	0	0.0	1.2620129092936139	0.36484172909692925	1.222978047884114	0.6689483530263731	0.614614408845813	2.17359158623553	0.6513833476782228	1.9733366281448805	0.13310948729043712	False	False
cnr	contrast	sequence_group	WMn	116	116	0	0.0	1.7207120598818721	0.17042827387692647	1.7217783007707113	0.20589443325081835	1.1344302649000932	2.1130919111164626	1.2789795193344562	2.076168232367721	0.02904579653666866	False	False
cnr	contrast	cohort	Control	277	277	0	0.0	1.4348623732413122	0.38543942813770815	1.5630021160725005	0.7146000089957887	0.614614408845813	2.17359158623553	0.6759319813098481	2.052013574641929	0.14856355276312347	False	False
cnr	contrast	cohort	Glaucoma	74	74	0	0.0	1.303295225450804	0.3801610169737052	1.3599117959114175	0.7080528334918766	0.6283226746732222	1.978752282335668	0.646111073954832	1.9412890261520148	0.14452239882648177	False	False
cnr	contrast	cohort	Data_ON	21	21	0	0.0	1.372755296800842	0.30214805300447267	1.457971402858596	0.2822511070539593	0.811292650466472	1.7941593253190948	0.8152749280501362	1.7795208562881022	0.09129344593439363	False	False
cnr	contrast	cohort	Data_TON	8	8	0	0.0	1.255677711973833	0.3197319715179501	1.2991930818318451	0.5749146419196466	0.9000164280095158	1.6555948331649295	0.9005249761783349	1.6546143978599526	0.10222853361075522	False	False
cnr	contrast	session	ses-01	230	230	0	0.0	1.3955415673573266	0.38315827630815047	1.4896382570660935	0.6779929328268282	0.614614408845813	2.1130919111164626	0.6600027055589741	2.0390734973278692	0.146810264703433	False	False
cnr	contrast	session	ses-02	150	150	0	0.0	1.4119963100508415	0.38127611701119823	1.540476906605528	0.6802380035844195	0.6283226746732222	2.17359158623553	0.6951215380487367	2.0258133649660492	0.14537147740313694	False	False
efc	entropy	all	all	380	380	0	0.0	0.5457886842105263	0.042958827970963086	0.5444	0.06372500000000003	0.4117	0.6614	0.457816	0.6418469999999997	0.0018454609006388002	False	False
efc	entropy	sequence_group	T1w	264	264	0	0.0	0.5643768939393939	0.03598119434106156	0.56515	0.04932499999999995	0.4722	0.6614	0.4887	0.6507809999999999	0.0012946463462092407	False	False
efc	entropy	sequence_group	WMn	116	116	0	0.0	0.5034844827586207	0.022864655098505493	0.5094000000000001	0.026600000000000068	0.4117	0.5581	0.448685	0.54409	0.0005227924527736132	False	False
efc	entropy	cohort	Control	277	277	0	0.0	0.5398916967509025	0.039939307710217954	0.5384	0.05910000000000004	0.4117	0.6227	0.456996	0.617344	0.001595148300371475	False	False
efc	entropy	cohort	Glaucoma	74	74	0	0.0	0.5682783783783785	0.04515869815718925	0.5706	0.07355000000000012	0.4759	0.6614	0.480718	0.6543189999999999	0.002039308019252128	False	False
efc	entropy	cohort	Data_ON	21	21	0	0.0	0.5298428571428571	0.03860736421239569	0.5327	0.0474	0.4622	0.613	0.46728	0.61238	0.0014905285714285712	False	False
efc	entropy	cohort	Data_TON	8	8	0	0.0	0.5838	0.04859370917545369	0.59765	0.06440000000000001	0.508	0.6317	0.508868	0.631567	0.0023613485714285725	False	False
