subject_id	session	sequence_group	run	mriqc_source_file	iqm	value	outlier_iqr	outlier_robust_z	robust_z	split
sub-012	ses-01	WMn	3	sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.json	cjv	0.7511371721943695	True	False	2.656039210639708	sequence_group=WMn
sub-030	ses-01	WMn	3	sub-030/ses-01/anat/sub-030_ses-01_run-03_T1w.json	cjv	0.874740560911481	True	True	4.12655467217109	sequence_group=WMn
sub-012	ses-01	WMn	3	sub-012/ses-01/anat/sub-012_ses-01_run-03_T1w.json	cnr	1.2705238772582883	True	False	-3.1791557102929007	sequence_group=WMn
sub-012	ses-02	WMn	3	sub-012/ses-02/anat/sub-012_ses-02_run-03_T1w.json	cnr	1.3268948244327403	True	False	-2.782013855794615	sequence_group=WMn
sub-030	ses-01	WMn	3	sub-030/ses-01/anat/sub-030_ses-01_run-03_T1w.json	cnr	1.1344302649000932	True	True	-4.137955806910753	sequence_group=WMn
sub-030	ses-01	WMn	3	sub-030/ses-01/anat/sub-030_ses-01_run-03_T1w.json	efc	0.4117	True	True	-5.168521568627484	sequence_group=WMn
sub-042	ses-01	WMn	3	sub-042/ses-01/anat/sub-042_ses-01_run-03_T1w.json	efc	0.4475	True	False	-3.2746313725490417	sequence_group=WMn
sub-082	ses-01	WMn	3	sub-082/ses-01/anat/sub-082_ses-01_run-03_T1w.json	efc	0.5581	True	False	2.5763254901960915	sequence_group=WMn
sub-011	ses-01	T1w	2	sub-011/ses-01/anat/sub-011_ses-01_run-02_T1w.json	fber	27062.5035	True	False	3.4114551227697913	sequence_group=T1w
sub-011	ses-02	T1w	2	sub-011/ses-02/anat/sub-011_ses-02_run-02_T1w.json	fber	25448.8724	True	False	3.1040288063516246	sequence_group=T1w
sub-031	ses-01	T1w	2	sub-031/ses-01/anat/sub-031_ses-01_run-02_T1w.json	fber	24456.1479	True	False	2.9148965838423617	sequence_group=T1w
sub-043	ses-02	T1w	4	sub-043/ses-02/anat/sub-043_ses-02_run-04_T1w.json	fber	25393.5008	True	False	3.093479501109442	sequence_group=T1w
sub-058	ses-01	T1w	2	sub-058/ses-01/anat/sub-058_ses-01_run-02_T1w.json	fber	24464.9322	True	False	2.916570154084849	sequence_group=T1w
sub-036	ses-02	WMn	3	sub-036/ses-02/anat/sub-036_ses-02_run-03_T1w.json	fber	583.9765	True	True	7.793308367826379	sequence_group=WMn
sub-044	ses-02	WMn	3	sub-044/ses-02/anat/sub-044_ses-02_run-03_T1w.json	fber	410.5999	True	True	4.820062512076803	sequence_group=WMn
sub-048	ses-02	WMn	3	sub-048/ses-02/anat/sub-048_ses-02_run-03_T1w.json	fber	356.7405	True	True	3.8964243864983876	sequence_group=WMn
sub-054	ses-02	WMn	2	sub-054/ses-02/anat/sub-054_ses-02_run-02_T1w.json	fber	329.4297	True	False	3.428069816635988	sequence_group=WMn
sub-062	ses-01	WMn	1	sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.json	fber	349.8761	True	True	3.7787063735012056	sequence_group=WMn
sub-081	ses-02	WMn	1	sub-081/ses-02/anat/sub-081_ses-02_run-01_T1w.json	fber	403.443	True	True	4.697328398793845	sequence_group=WMn
sub-008	ses-01	T1w	1	sub-008/ses-01/anat/sub-008_ses-01_run-01_T1w.json	fwhm_avg	5.329058382469982	True	False	2.918083977708788	sequence_group=T1w
sub-024	ses-01	T1w	1	sub-024/ses-01/anat/sub-024_ses-01_run-01_T1w.json	fwhm_avg	3.995962537124323	True	False	-3.0879150916421234	sequence_group=T1w
sub-043	ses-02	T1w	1	sub-043/ses-02/anat/sub-043_ses-02_run-01_T1w.json	fwhm_avg	5.575441720595156	True	True	4.028115266644111	sequence_group=T1w
sub-043	ses-02	T1w	2	sub-043/ses-02/anat/sub-043_ses-02_run-02_T1w.json	fwhm_avg	5.540504220037914	True	True	3.870711283603544	sequence_group=T1w
sub-049	ses-01	T1w	1	sub-049/ses-01/anat/sub-049_ses-01_run-01_T1w.json	fwhm_avg	5.848362551973891	True	True	5.257705970860989	sequence_group=T1w
sub-052	ses-01	T1w	1	sub-052/ses-01/anat/sub-052_ses-01_run-01_T1w.json	fwhm_avg	5.321120883522997	True	False	2.8823231496670463	sequence_group=T1w
sub-052	ses-02	T1w	1	sub-052/ses-02/anat/sub-052_ses-02_run-01_T1w.json	fwhm_avg	5.324454216390048	True	False	2.897340820127311	sequence_group=T1w
sub-064	ses-02	T1w	1	sub-064/ses-02/anat/sub-064_ses-02_run-01_T1w.json	fwhm_avg	5.402987546893527	True	False	3.2511571729152253	sequence_group=T1w
sub-065	ses-01	T1w	1	sub-065/ses-01/anat/sub-065_ses-01_run-01_T1w.json	fwhm_avg	5.393766717734567	True	False	3.209614555000158	sequence_group=T1w
sub-072	ses-01	T1w	1	sub-072/ses-01/anat/sub-072_ses-01_run-01_T1w.json	fwhm_avg	5.3557250545318	True	False	3.0382253825036085	sequence_group=T1w
sub-072	ses-02	T1w	1	sub-072/ses-02/anat/sub-072_ses-02_run-01_T1w.json	fwhm_avg	5.560583391009527	True	True	3.961174008087976	sequence_group=T1w
sub-011	ses-01	WMn	3	sub-011/ses-01/anat/sub-011_ses-01_run-03_T1w.json	fwhm_avg	3.216176666666667	True	False	2.8633970325230136	sequence_group=WMn
sub-014	ses-01	WMn	3	sub-014/ses-01/anat/sub-014_ses-01_run-03_T1w.json	fwhm_avg	2.5999966666666663	True	False	-2.642510233821283	sequence_group=WMn
sub-053	ses-01	WMn	3	sub-053/ses-01/anat/sub-053_ses-01_run-03_T1w.json	fwhm_avg	3.217333333333333	True	False	2.873732485482755	sequence_group=WMn
sub-054	ses-02	WMn	2	sub-054/ses-02/anat/sub-054_ses-02_run-02_T1w.json	fwhm_avg	3.4719466666666663	True	True	5.1488426839769295	sequence_group=WMn
sub-062	ses-01	WMn	1	sub-062/ses-01/anat/sub-062_ses-01_run-01_T1w.json	fwhm_avg	3.432163333333333	True	True	4.793356715462215	sequence_group=WMn
sub-071	ses-01	WMn	3	sub-071/ses-01/anat/sub-071_ses-01_run-03_T1w.json	fwhm_avg	2.5689766666666665	True	False	-2.9196909982115566	sequence_group=WMn
sub-024	ses-01	T1w	1	sub-024/ses-01/anat/sub-024_ses-01_run-01_T1w.json	fwhm_x	3.8924002320051327	True	False	-3.469474439989541	sequence_group=T1w
sub-024	ses-02	T1w	1	sub-024/ses-02/anat/sub-024_ses-02_run-01_T1w.json	fwhm_x	3.970537736662491	True	False	-3.1019768805020482	sequence_group=T1w
sub-043	ses-02	T1w	1	sub-043/ses-02/anat/sub-043_ses-02_run-01_T1w.json	fwhm_x	5.516712828821708	True	True	4.170018499956412	sequence_group=T1w
sub-043	ses-02	T1w	2	sub-043/ses-02/anat/sub-043_ses-02_run-02_T1w.json	fwhm_x	5.473312826234867	True	True	3.9658989148435415	sequence_group=T1w
sub-049	ses-01	T1w	1	sub-049/ses-01/anat/sub-049_ses-01_run-01_T1w.json	fwhm_x	5.601762833891084	True	True	4.5700270417501905	sequence_group=T1w
sub-052	ses-01	T1w	1	sub-052/ses-01/anat/sub-052_ses-01_run-01_T1w.json	fwhm_x	5.2135753107533045	True	False	2.744297284929831	sequence_group=T1w
sub-052	ses-02	T1w	1	sub-052/ses-02/anat/sub-052_ses-02_run-01_T1w.json	fwhm_x	5.196800309753437	True	False	2.6654008323890843	sequence_group=T1w
sub-065	ses-01	T1w	1	sub-065/ses-01/anat/sub-065_ses-01_run-01_T1w.json	fwhm_x	5.292525315459091	True	False	3.11561620761788	sequence_group=T1w
sub-072	ses-01	T1w	1	sub-072/ses-01/anat/sub-072_ses-01_run-01_T1w.json	fwhm_x	5.409175322411974	True	True	3.6642463828118146	sequence_group=T1w
