IQM	IQM_family	model	predictor	term	coefficient	SE	statistic	p_value	q_value	CI_low	CI_high	std_coefficient	n_observations	n_subjects	converged	status	exclusion_reason	fdr_family	exploratory	acquisition_variable
cjv	contrast	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.02263152545	0.02695583827	0.8395778762	0.4011451081	0.77167998	-0.03020094674	0.07546399763	0.3155584474	133	83	True	ok		model_A_Data_ON	False	
cnr	contrast	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.1393464367	0.08152034351	-1.709345553	0.08738695998	0.444879069	-0.299123374	0.02043050062	-0.6360448796	133	83	True	ok		model_A_Data_ON	False	
efc	entropy / information	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.007238029257	0.01332709643	-0.543106242	0.5870566552	0.9169726886	-0.03335865827	0.01888259976	-0.1866875363	133	83	True	ok		model_A_Data_ON	False	
fber	entropy / information	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	1482.985931	2065.746625	0.7178934308	0.4728229987	0.8274402477	-2565.803054	5531.774917	0.2866192902	133	83	True	ok		model_A_Data_ON	False	
fwhm_avg	smoothness / sharpness	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.1134008167	0.07889648661	-1.437336713	0.150622342	0.4652840493	-0.268035089	0.04123345557	-0.6033691979	133	83	True	ok		model_A_Data_ON	False	
fwhm_x	smoothness / sharpness	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.09565864824	0.07576613875	-1.262551449	0.2067504256	0.4711090889	-0.2441575514	0.05284025497	-0.5288970312	133	83	True	ok		model_A_Data_ON	False	
fwhm_y	smoothness / sharpness	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.1633984566	0.08774939171	-1.862103582	0.06258849123	0.3933403745	-0.335384104	0.0085871908	-0.7650432046	133	83	True	ok		model_A_Data_ON	False	
fwhm_z	smoothness / sharpness	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.08140050395	0.08449570684	-0.9633685189	0.3353626189	0.7223194869	-0.2470090462	0.0842080383	-0.4149432848	133	83	True	ok		model_A_Data_ON	False	
icvs_csf	morphology / tissue	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.003134687139	0.002502353708	1.252695464	0.2103165575	0.4711090889	-0.001769836006	0.008039210284	0.4917894601	133	83	True	ok		model_A_Data_ON	False	
icvs_gm	morphology / tissue	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.003847774787	0.002347732371	-1.638932459	0.1012273268	0.4652840493	-0.008449245679	0.0007536961045	-0.5712682289	133	83	True	ok		model_A_Data_ON	False	
icvs_wm	morphology / tissue	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.0008141844064	0.002411016544	0.3376934133	0.7355942389	0.9169726886	-0.003911321186	0.005539689999	0.1181301765	133	83	True	ok		model_A_Data_ON	False	
inu_med	homogeneity / bias field	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.00100842469	0.02342862736	0.0430424145	0.9656677233	0.9656677233	-0.04491084114	0.04692769052	0.01666474357	133	83	True	ok		model_A_Data_ON	False	
inu_range	homogeneity / bias field	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.003651236677	0.02007997526	0.1818347199	0.8557124362	0.9215364697	-0.03570479164	0.043007265	0.06818233782	133	83	True	ok		model_A_Data_ON	False	
qi_2	artifact	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	1.686255557e-05	0.0002317379993	0.07276560434	0.9419926421	0.9591197811	-0.0004373355768	0.000471060688	0.02905596006	133	83	True	ok		model_A_Data_ON	False	
rpve_csf	morphology / tissue	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.06285430629	0.2253316504	0.2789413124	0.7802898636	0.9169726886	-0.3787876131	0.5044962257	0.1010145509	133	83	True	ok		model_A_Data_ON	False	
rpve_gm	morphology / tissue	A_cohort_demographic	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.04799697657	0.2263016232	0.21209294	0.8320345275	0.9169726886	-0.3955460545	0.4915400076	0.07690580165	133	83	True	ok		model_A_Data_ON	False	
