predictor	IQM	IQM_family	model	coefficient	std_coefficient	SE	statistic	p_value	q_value	CI_low	CI_high	n_observations	n_subjects	converged	exploratory	rank_within_predictor	exclusion_reason
SAR	efc	entropy / information	B_acquisition_SAR	3.337377512	0.3887948735	0.4875796848	6.844783768	7.659147197e-12	4.28912243e-10	2.38173889	4.293016133	127	79	True	False	1	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	inu_range	homogeneity / bias field	B_acquisition_SAR	5.765818385	0.4885511235	0.991750925	5.813776664	6.107889186e-09	1.710208972e-07	3.82202229	7.709614479	127	79	True	False	2	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	fber	entropy / information	B_acquisition_SAR	-503931.7298	-0.4390170142	93379.17387	-5.396617992	6.790875906e-08	1.267630169e-06	-686951.5475	-320911.9121	127	79	True	False	3	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	inu_med	homogeneity / bias field	B_acquisition_SAR	5.625030044	0.4247596487	1.119445205	5.024837319	5.038594616e-07	7.054032463e-06	3.430957759	7.819102329	127	79	True	False	4	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	icvs_wm	morphology / tissue	B_acquisition_SAR	0.4440300831	0.2904523133	0.09919294919	4.476427878	7.590229238e-06	8.501056747e-05	0.2496154752	0.6384446911	127	79	True	False	5	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	summary_bg_mean	intensity	B_acquisition_SAR	427.4541274	0.3777326471	99.09332224	4.313652199	1.605795015e-05	0.0001498742014	233.2347847	621.6734701	127	79	True	False	6	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	cnr	contrast	B_acquisition_SAR	-10.54911824	-0.2177806068	2.863167523	-3.684422289	0.0002292219446	0.001833775557	-16.16082346	-4.937413011	127	79	True	False	7	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	wm2max	intensity	B_acquisition_SAR	-3.824881615	-0.2617991168	1.050233543	-3.641934349	0.0002705970905	0.001894179634	-5.883301535	-1.766461695	127	79	True	False	8	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	summary_wm_k	intensity	B_acquisition_SAR	8.023051389	0.2841384032	2.415844088	3.321013731	0.0008969112467	0.005022702982	3.288083984	12.75801879	127	79	True	False	9	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	cjv	contrast	B_acquisition_SAR	3.960815431	0.2510534909	1.185776883	3.340270408	0.0008369685274	0.005022702982	1.636735448	6.284895414	127	79	True	False	10	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	summary_bg_p95	intensity	B_acquisition_SAR	996.2254573	0.290951168	322.5972858	3.088139613	0.002014138228	0.009399311731	363.9463956	1628.504519	127	79	True	False	11	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	summary_bg_stdv	intensity	B_acquisition_SAR	1243.21432	0.2374905262	399.3744231	3.112904202	0.001852561403	0.009399311731	460.4548343	2025.973806	127	79	True	False	12	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	summary_csf_stdv	intensity	B_acquisition_SAR	311.5183638	0.113984987	102.6805417	3.033859762	0.002414466378	0.01040077824	110.2682002	512.7685275	127	79	True	False	13	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	summary_wm_p95	intensity	B_acquisition_SAR	470.0260152	0.2670432224	165.3968125	2.841808182	0.004485847248	0.01788856329	145.8542195	794.1978109	127	79	True	False	14	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	summary_gm_stdv	intensity	B_acquisition_SAR	510.9324863	0.1894820173	181.1353947	2.820721412	0.004791579452	0.01788856329	155.9136364	865.9513362	127	79	True	False	15	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	summary_gm_p95	intensity	B_acquisition_SAR	838.9204907	0.1778599023	300.3904587	2.792766769	0.005225935675	0.01829077486	250.1660103	1427.674971	127	79	True	False	16	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	tpm_overlap_csf	morphology / tissue	B_acquisition_SAR	0.4868939977	0.1561796797	0.1894793449	2.569641551	0.01018037914	0.03353536659	0.1155213059	0.8582666895	127	79	True	False	17	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	fwhm_x	smoothness / sharpness	B_acquisition_SAR	6.662045407	0.1712617339	2.695777181	2.471289339	0.01346268442	0.03967949091	1.378419222	11.94567159	127	79	True	False	18	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	icvs_csf	morphology / tissue	B_acquisition_SAR	-0.2347075462	-0.1675839304	0.09445559259	-2.484845416	0.01296077018	0.03967949091	-0.4198371059	-0.04957798664	127	79	True	False	19	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	fwhm_avg	smoothness / sharpness	B_acquisition_SAR	6.897450324	0.1736971334	2.835398033	2.432621538	0.01498995979	0.04030364761	1.340172298	12.45472835	127	79	True	False	20	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	icvs_gm	morphology / tissue	B_acquisition_SAR	-0.1954745349	-0.1329987943	0.08045414732	-2.42963901	0.01511386785	0.04030364761	-0.353161766	-0.0377873037	127	79	True	False	21	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	snr_gm	signal / SNR	B_acquisition_SAR	-19.00527523	-0.1454720197	7.909153444	-2.402946834	0.01626355172	0.04139813166	-34.50693113	-3.503619333	127	79	True	False	22	excluded 6/133 rows with missing ['sar']; no other rows were removed
SAR	fwhm_y	smoothness / sharpness	B_acquisition_SAR	8.251394743	0.1824636412	3.53682776	2.332993095	0.01964850771	0.04783984485	1.319339714	15.18344977	127	79	True	False	23	excluded 6/133 rows with missing ['sar']; no other rows were removed
TxRefAmp	efc	entropy / information	B_acquisition_TxRefAmp	0.001288171347	0.6881102011	0.0001033776205	12.4608338	1.220874271e-35	6.836895917e-34	0.001085554934	0.00149078776	127	79	True	False	1	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	inu_range	homogeneity / bias field	B_acquisition_TxRefAmp	0.001583477775	0.6152196477	0.0002036290217	7.776287302	7.468398792e-15	2.091151662e-13	0.001184372227	0.001982583324	127	79	True	False	2	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	inu_med	homogeneity / bias field	B_acquisition_TxRefAmp	0.001645523761	0.5697597045	0.0002515091621	6.542599671	6.045851493e-11	1.128558945e-09	0.001152574862	0.002138472661	127	79	True	False	3	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	fber	entropy / information	B_acquisition_TxRefAmp	-140.9291681	-0.5629628056	21.91072029	-6.431973313	1.2595786e-10	1.763410039e-09	-183.8733908	-97.9849455	127	79	True	False	4	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	wm2max	intensity	B_acquisition_TxRefAmp	-0.001646145068	-0.5166393142	0.0002619039993	-6.285299471	3.272222931e-10	3.664889683e-09	-0.002159467474	-0.001132822662	127	79	True	False	5	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_bg_mean	intensity	B_acquisition_TxRefAmp	0.1370717684	0.5554080749	0.02209631701	6.203376259	5.526449669e-10	5.158019691e-09	0.09376378284	0.1803797539	127	79	True	False	6	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_bg_stdv	intensity	B_acquisition_TxRefAmp	0.5185211062	0.4541882465	0.0965510809	5.370432949	7.854783482e-08	6.283826786e-07	0.3292844649	0.7077577474	127	79	True	False	7	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_bg_p95	intensity	B_acquisition_TxRefAmp	0.3388266138	0.4537421783	0.07023554953	4.824146974	1.406037118e-06	9.842259823e-06	0.2011674662	0.4764857613	127	79	True	False	8	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	cnr	contrast	B_acquisition_TxRefAmp	-0.004153566755	-0.3931817984	0.0008776275146	-4.732721668	2.215291654e-06	1.378403696e-05	-0.005873685075	-0.002433448434	127	79	True	False	9	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	icvs_wm	morphology / tissue	B_acquisition_TxRefAmp	0.000130982389	0.392866067	2.860274417e-05	4.579364422	4.663909867e-06	2.611789525e-05	7.492204059e-05	0.0001870427374	127	79	True	False	10	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_bg_mad	intensity	B_acquisition_TxRefAmp	0.04869700558	0.3829788248	0.01234383876	3.945045502	7.978482694e-05	0.0003723291924	0.02450352617	0.07289048498	127	79	True	False	11	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_bg_median	intensity	B_acquisition_TxRefAmp	0.03284568028	0.3829788248	0.008325805181	3.945045502	7.978482694e-05	0.0003723291924	0.01652740198	0.04916395857	127	79	True	False	12	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_wm_k	intensity	B_acquisition_TxRefAmp	0.002370456522	0.384938653	0.000613923785	3.861157655	0.0001128510531	0.0004861276136	0.001167188014	0.00357372503	127	79	True	False	13	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	cjv	contrast	B_acquisition_TxRefAmp	0.001177060413	0.3420972474	0.0003223808113	3.651149113	0.0002610696019	0.001044278408	0.0005452056338	0.001808915193	127	79	True	False	14	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_gm_p95	intensity	B_acquisition_TxRefAmp	0.3024082482	0.2939815304	0.08592741211	3.519345466	0.0004326129804	0.00161508846	0.1339936152	0.4708228813	127	79	True	False	15	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_gm_stdv	intensity	B_acquisition_TxRefAmp	0.1767470283	0.3005562545	0.05210868714	3.391891794	0.0006941184629	0.00242941462	0.07461587823	0.2788781784	127	79	True	False	16	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_wm_p95	intensity	B_acquisition_TxRefAmp	0.1253809029	0.3266331232	0.03775325573	3.321061997	0.0008967561485	0.002954020254	0.05138588136	0.1993759244	127	79	True	False	17	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	icvs_gm	morphology / tissue	B_acquisition_TxRefAmp	-8.257659138e-05	-0.2576224072	2.509457249e-05	-3.290615587	0.0009996842188	0.003110128681	-0.0001317610497	-3.33921331e-05	127	79	True	False	18	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_wm_median	intensity	B_acquisition_TxRefAmp	-0.1368377163	-0.2368490288	0.05313268001	-2.575396465	0.01001252445	0.02951059837	-0.2409758555	-0.03269957705	127	79	True	False	19	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_gm_median	intensity	B_acquisition_TxRefAmp	0.1209575045	0.2220119763	0.0480292679	2.518412414	0.01178851987	0.03300785564	0.02682186922	0.2150931398	127	79	True	False	20	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_bg_k	intensity	B_acquisition_TxRefAmp	-19.44832759	-0.2614902007	7.811166602	-2.48981088	0.01278110853	0.03408295608	-34.75793281	-4.138722374	127	79	True	False	21	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_csf_stdv	intensity	B_acquisition_TxRefAmp	0.1011928424	0.1697786057	0.0409295168	2.472368362	0.01342211352	0.03416537987	0.02097246356	0.1814132212	127	79	True	False	22	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	snr_gm	signal / SNR	B_acquisition_TxRefAmp	-0.006019001236	-0.2112510637	0.00246214245	-2.444619415	0.01450050684	0.03530558188	-0.01084471176	-0.001193290708	127	79	True	False	23	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	qi_2	artifact	B_acquisition_TxRefAmp	6.402679743e-06	0.2348984344	2.677359903e-06	2.391415415	0.01678355076	0.03696648219	1.155150761e-06	1.165020873e-05	127	79	True	False	24	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_wm_mad	intensity	B_acquisition_TxRefAmp	0.08188914121	0.2304336301	0.0343610466	2.383196943	0.01716300959	0.03696648219	0.01454272741	0.149235555	127	79	True	False	25	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_csf_p95	intensity	B_acquisition_TxRefAmp	0.2792261661	0.1895420563	0.1170252526	2.38603344	0.01703120234	0.03696648219	0.04986088569	0.5085914466	127	79	True	False	26	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
TxRefAmp	summary_gm_mean	intensity	B_acquisition_TxRefAmp	0.1153116301	0.2038533194	0.04953399004	2.327929367	0.01991585456	0.0413069576	0.0182267936	0.2123964666	127	79	True	False	27	excluded 6/133 rows with missing ['tx_ref_amp']; no other rows were removed
