IQM	parameter	estimate	p	q	N	analysis	se	ci_low	ci_high	spearman_rho	method	status	note
cjv	acquisition_block	109.6516716	1.168154488e-25	8.177081413e-25	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
cnr	acquisition_block	170.7161224	5.161311781e-39	4.817224329e-38	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
efc	acquisition_block	0.005728572822	0.9396678515	0.9396678515	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
fber	acquisition_block	32.49590655	1.194438526e-08	3.040388974e-08	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
fwhm_avg	acquisition_block	8.34639016	0.003864543636	0.005695116937	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
fwhm_x	acquisition_block	7.899190216	0.004945693347	0.007101508396	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
fwhm_y	acquisition_block	15.83640763	6.906082074e-05	0.0001137472342	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
fwhm_z	acquisition_block	3.076228631	0.07944454514	0.1034626634	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
icvs_csf	acquisition_block	59.17293925	1.444060965e-14	4.756906709e-14	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
icvs_gm	acquisition_block	122.407217	1.88004765e-28	1.50403812e-27	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
icvs_wm	acquisition_block	383.7553276	1.893990686e-85	3.535449281e-84	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
inu_med	acquisition_block	401.0308918	3.284907815e-89	9.197741881e-88	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
inu_range	acquisition_block	201.6783364	8.986463061e-46	1.258104829e-44	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
qi_2	acquisition_block	3.170576164	0.07497599259	0.09996799012	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
rpve_csf	acquisition_block	0.136531801	0.711753509	0.7381147501	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
rpve_gm	acquisition_block	0.3177580017	0.5729581292	0.6170318314	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
rpve_wm	acquisition_block	0.09413175595	0.7589887655	0.7727885613	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
snr_csf	acquisition_block	15.11030673	0.0001014081179	0.0001622529887	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
snr_gm	acquisition_block	48.84366128	2.771998407e-12	8.623995044e-12	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
snr_total	acquisition_block	34.62625457	3.994818769e-09	1.065285005e-08	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
snr_wm	acquisition_block	19.20755482	1.17248454e-05	2.051847946e-05	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
snrd_csf	acquisition_block	0.7879832188	0.3747106533	0.4196759317	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
snrd_gm	acquisition_block	1.092905533	0.2958283322	0.3380895225	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
snrd_total	acquisition_block	1.294480514	0.2552238879	0.3140117615	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
snrd_wm	acquisition_block	1.721705718	0.1894736296	0.2411482558	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_bg_k	acquisition_block	0.3633305994	0.5466622992	0.6002566423	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_bg_mad	acquisition_block	1.250036084	0.2635455855	0.3140117615	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_bg_mean	acquisition_block	14.734731	0.0001237456266	0.0001924931969	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_bg_median	acquisition_block	1.250036084	0.2635455855	0.3140117615	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_bg_p95	acquisition_block	27.03707545	1.995902664e-07	4.657106217e-07	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_bg_stdv	acquisition_block	4.681609456	0.03048717222	0.04164101571	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_csf_k	acquisition_block	0.2366434302	0.6266409871	0.6621112317	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_csf_mad	acquisition_block	26.65535708	2.431756221e-07	5.237628784e-07	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_csf_mean	acquisition_block	45.3547574	1.643882125e-11	4.845126263e-11	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_csf_median	acquisition_block	21.08911348	4.384117728e-06	7.919696541e-06	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_csf_p05	acquisition_block	1.203673623	0.2725886738	0.3180201194	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_csf_p95	acquisition_block	79.0093523	6.181660513e-19	2.662869144e-18	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_csf_stdv	acquisition_block	85.41464798	2.419218363e-20	1.354762284e-19	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_gm_k	acquisition_block	24.30874644	8.206557827e-07	1.531890794e-06	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
summary_gm_mad	acquisition_block	30.15800875	3.982392396e-08	9.696259747e-08	132	multivariate					MixedLM	ok	"wald_df=1 terms=['C(software_platform, Treatment(""E11""))[T.XA30]']"
