iqm	family_group	n_obs	R2_A	R2_B	R2_C	delta_R2_anatomy	variance_class	anatomy_sensitive_by_construction	selected_anatomy
cjv	contrast	132	0.0012443661750254353	0.1866123490924002	0.2800247145694188	0.09341236547701859	low-explained-variance	TRUE	icv_etiv+total_wm+mean_cortical_thickness
cnr	contrast	132	0.004832083553027666	0.18117811946969842	0.26134786159360657	0.08016974212390815	low-explained-variance	TRUE	icv_etiv+total_wm+mean_cortical_thickness
efc	entropy / information	132	0.0014421536450957007	0.3148120119520811	0.39729393366001065	0.08248192170792956	low-explained-variance	FALSE	icv_etiv+total_wm+mean_cortical_thickness
fber	entropy / information	132	0.001954851558329196	0.0562820996192136	0.1281292752631944	0.0718471756439808	low-explained-variance	TRUE	icv_etiv+total_wm+mean_cortical_thickness
fwhm_avg	smoothness / sharpness	132	0.07052179032196026	0.07726020895971031	0.13532472819469787	0.058064519234987566	mixed	TRUE	icv_etiv+total_wm+mean_cortical_thickness
fwhm_x	smoothness / sharpness	132	0.04395943633922683	0.059316763024932495	0.10621005952127271	0.04689329649634022	low-explained-variance	TRUE	icv_etiv+total_wm+mean_cortical_thickness
fwhm_y	smoothness / sharpness	132	0.0734935179442977	0.0793646968750723	0.14092845825618616	0.06156376138111386	mixed	TRUE	icv_etiv+total_wm+mean_cortical_thickness
fwhm_z	smoothness / sharpness	132	0.07566012841882941	0.08197927077940104	0.13337840258916345	0.05139913180976241	mixed	TRUE	icv_etiv+total_wm+mean_cortical_thickness
icvs_csf	morphology / tissue	132	0.02561364186740589	0.11139339749048549	0.18389440822180325	0.07250101073131776	low-explained-variance	TRUE	icv_etiv+total_wm+mean_cortical_thickness
icvs_gm	morphology / tissue	132	0.021374142105662464	0.3058518591712729	0.48411984544934894	0.17826798627807605	anatomy-associated	TRUE	icv_etiv+total_wm+mean_cortical_thickness
icvs_wm	morphology / tissue	132	2.8919964613516314e-05	0.2657347825853149	0.3782616301118903	0.11252684752657538	anatomy-associated	TRUE	icv_etiv+total_wm+mean_cortical_thickness
inu_med	homogeneity / bias field	132	0.00022561983272373354	0.02861673410258747	0.05860165870009726	0.029984924597509788	low-explained-variance	TRUE	icv_etiv+total_wm+mean_cortical_thickness
inu_range	homogeneity / bias field	132	0.0021484548423789107	0.056283257423180855	0.07510951132068233	0.018826253897501477	low-explained-variance	TRUE	icv_etiv+total_wm+mean_cortical_thickness
qi_2	artifact	132	0.010828940787114605	0.11402108638004171	0.18607870732266785	0.07205762094262613	low-explained-variance	FALSE	icv_etiv+total_wm+mean_cortical_thickness
rpve_csf	morphology / tissue	132	5.3550983334482716e-05	0.2323449134055081	0.7718983346796928	0.5395534212741847	anatomy-associated	TRUE	icv_etiv+total_wm+mean_cortical_thickness
rpve_gm	morphology / tissue	132	2.0577307204283635e-05	0.2334450043539108	0.7658005195059614	0.5323555151520506	anatomy-associated	TRUE	icv_etiv+total_wm+mean_cortical_thickness
rpve_wm	morphology / tissue	132	7.243894982522647e-06	0.22951184127153834	0.7615216516255997	0.5320098103540614	anatomy-associated	TRUE	icv_etiv+total_wm+mean_cortical_thickness
snr_csf	signal / SNR	132	3.155896498985289e-05	0.1899890882322659	0.2887390561928086	0.0987499679605427	low-explained-variance	TRUE	icv_etiv+total_wm+mean_cortical_thickness
snr_gm	signal / SNR	132	0.015246222764507378	0.18013119007395018	0.35593988846517854	0.17580869839122837	anatomy-associated	TRUE	icv_etiv+total_wm+mean_cortical_thickness
