IQM	IQM_family	model	predictor	term	coefficient	SE	statistic	p_value	q_value	CI_low	CI_high	std_coefficient	n_observations	n_subjects	converged	status	exclusion_reason	fdr_family	exploratory	acquisition_variable
cjv	contrast	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.02770452009	0.02867983865	0.9659928852	0.3340477412	0.7482669403	-0.02850693075	0.08391597092	0.3862928005	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
cnr	contrast	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.1420297888	0.08533815403	-1.664317566	0.09604898376	0.3658661801	-0.3092894972	0.02522991957	-0.6482930034	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
efc	entropy / information	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.01024038103	0.01397009232	-0.7330217149	0.4635451853	0.8614148555	-0.03762125884	0.01714049678	-0.2641259709	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
fber	entropy / information	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	1868.163528	2214.00671	0.8437930741	0.3987850464	0.7975700928	-2471.209885	6207.536941	0.3610632394	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
fwhm_avg	smoothness / sharpness	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.2210395402	0.07655469548	-2.887341382	0.003885124423	0.1087834838	-0.3710839862	-0.07099509425	-1.176080155	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
fwhm_x	smoothness / sharpness	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.1806655097	0.07546165092	-2.394136724	0.01665953736	0.2651900267	-0.3285676277	-0.0327633917	-0.9989002928	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
fwhm_y	smoothness / sharpness	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.2933132939	0.08521196821	-3.442160768	0.0005770871683	0.03231688143	-0.4603256827	-0.1263009052	-1.37331372	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
fwhm_z	smoothness / sharpness	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.1890725701	0.08140606891	-2.322585682	0.02020142062	0.2651900267	-0.3486255333	-0.02951960691	-0.9638072185	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
icvs_csf	morphology / tissue	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.003610748928	0.002640302631	1.367551161	0.1714526128	0.5053340165	-0.001564149137	0.008785646993	0.5664770317	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
icvs_gm	morphology / tissue	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.004044852939	0.002444568572	-1.654628544	0.09799986967	0.3658661801	-0.008836119298	0.0007464134208	-0.6005278641	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
icvs_wm	morphology / tissue	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.000713364653	0.002569101937	0.2776708245	0.7812650589	0.9747701562	-0.004321982616	0.005748711922	0.1035022186	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
inu_med	homogeneity / bias field	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.0008319785017	0.02532208042	-0.03285585102	0.9737895396	0.9747701562	-0.05046234414	0.04879838714	-0.01374887835	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
inu_range	homogeneity / bias field	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.003219020105	0.02171252349	-0.1482563787	0.8821404396	0.9747701562	-0.04577478415	0.03933674394	-0.06011122688	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
qi_2	artifact	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.0001749368814	0.0002464922205	-0.709705487	0.4778867888	0.8614148555	-0.000658052756	0.0003081789932	-0.3014346798	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
rpve_csf	morphology / tissue	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.08270036365	0.2255485876	0.3666631857	0.7138702703	0.9747701562	-0.3593667448	0.5247674721	0.1329095902	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
rpve_gm	morphology / tissue	C_full_software_platform	Data_ON	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.06808597634	0.2265665286	0.3005120692	0.7637865917	0.9747701562	-0.3759762599	0.5121482126	0.109094509	133	83	True	ok		model_C_software_platform_Data_ON	False	software_platform
