IQM	IQM_family	cohort	acquisition_variable	coefficient_model_A	p_model_A	q_model_A	coefficient_model_C	p_model_C	q_model_C	effect_change	significance_change	classification	n_observations_A	n_observations_C	std_coefficient_model_A	std_coefficient_model_C
snr_csf	signal / SNR	Glaucoma	software_platform	-0.004435758172	0.9126706877	0.9643312927	-0.002460016525	0.9517809648	0.9613687013	0.001975741647	ns_to_ns	neither	133	133	-0.02979124706	-0.01652185652
snr_csf	signal / SNR	Data_ON	software_platform	0.03516126965	0.5137771718	0.8462212241	0.01789856464	0.749779321	0.9747701562	-0.017262705	ns_to_ns	neither	133	133	0.2361485975	0.1202095652
snr_csf	signal / SNR	Data_TON	software_platform	0.2657463133	0.005272409373	0.2952549249	0.2685640231	0.005036418282	0.2820394238	0.002817709811	ns_to_ns	neither	133	133	1.784793888	1.803718069
snr_gm	signal / SNR	Glaucoma	software_platform	-0.2864577558	0.0903488841	0.2299789777	-0.2854990808	0.0925716173	0.235636844	0.0009586750352	ns_to_ns	neither	133	133	-0.4791586875	-0.4775551091
snr_gm	signal / SNR	Data_ON	software_platform	-0.3539917222	0.1167165117	0.4652840493	-0.3626354727	0.1244239698	0.4128267651	-0.008643750555	ns_to_ns	neither	133	133	-0.5921229415	-0.6065813672
snr_gm	signal / SNR	Data_TON	software_platform	-0.2238605682	0.5740766057	0.7306429527	-0.2223825031	0.5776975327	0.7478034804	0.001478065096	ns_to_ns	neither	133	133	-0.3744521972	-0.3719798336
snr_total	signal / SNR	Glaucoma	software_platform	-0.2699884524	0.1411861326	0.3294343095	-0.2668915784	0.1467581809	0.3424357554	0.003096873971	ns_to_ns	neither	133	133	-0.4464017805	-0.4412813762
snr_total	signal / SNR	Data_ON	software_platform	-0.4536433736	0.06268475428	0.3933403745	-0.4808201559	0.05612004628	0.2739654625	-0.02717678227	ns_to_ns	neither	133	133	-0.7500587818	-0.7949931628
snr_total	signal / SNR	Data_TON	software_platform	0.4289815857	0.3209316647	0.6296787815	0.4335310649	0.3167531575	0.5791134991	0.00454947926	ns_to_ns	neither	133	133	0.7092827192	0.7168048766
snr_wm	signal / SNR	Glaucoma	software_platform	-0.5216689958	0.2175116701	0.487226141	-0.5165135402	0.2227344474	0.4797357329	0.005155455567	ns_to_ns	neither	133	133	-0.3813285281	-0.3775600038
