iqm	family_group	n_obs	n_subjects	iqm_sd	beta_before	beta_before_std	se_before	p_before	ci_low_before	ci_high_before	r2_before	beta_after	beta_after_std	se_after	p_after	ci_low_after	ci_high_after	r2_after	effect_attenuation	anatomy_sensitive_by_construction	selected_anatomy	q_before	q_after	cohort_shift_class
cjv	contrast	132	83	0.07199197834358041	0.042769185219897456	0.594082649261037	0.016485422085931373	0.010608718529832695	0.010142488916001752	0.07539588152379316	0.24977757195591732	0.030986429248348147	0.4304150262473129	0.016908536537869463	0.0693019586075485	-0.0024857076269434	0.06445856612363969	0.31591649385154763	0.7245036137357223	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.039605882511375395	0.25872731213484773	attenuated_lost_fdr
cnr	contrast	132	83	0.21952861169904245	-0.15184614822411568	-0.6916918348314687	0.04976155468145377	0.002781748409478277	-0.25033044081538824	-0.05336185563284315	0.26487069388281637	-0.12098650788848293	-0.5511195417859541	0.0514960038415631	0.02040841005167822	-0.22292799083438247	-0.01904502494258338	0.31761402817401785	0.7967703448750916	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.012981492577565293	0.11428709628939802	attenuated_lost_fdr
efc	entropy / information	132	83	0.038899996580732905	0.025221241477329383	0.6483610204177092	0.008128968143599397	0.0023718666155885	0.00913300463979037	0.04130947831486839	0.3752160933533031	0.019021811210506223	0.4889926190874703	0.008355313640241748	0.024552095736058314	0.00248163334379407	0.03556198907721837	0.4278740023493234	0.7541980527645461	FALSE	icv_etiv+total_wm+mean_cortical_thickness	0.012074957315723273	0.12445889186830698	attenuated_lost_fdr
fber	entropy / information	132	83	5169.3341405844285	-2533.0307324955215	-0.4900110272633963	1305.0673822459783	0.054518952241961176	-5115.921053089583	49.859588098539916	0.08808412241531527	-1908.3222552658408	-0.36916210161065194	1356.1419605228598	0.16191954387107016	-4592.940715490493	776.2962049588114	0.14649436723336018	0.7533750896838812	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.1327417967630359	0.37781226903249704	not_fdr_significant
fwhm_avg	smoothness / sharpness	132	83	0.18865684569244578	-0.020328324228469696	-0.10775291060261634	0.045776894902851036	0.6577569677929793	-0.11092648058415462	0.07026983212721523	0.15762466698365407	-0.03015141651924902	-0.15982148121146258	0.048015214816145464	0.5312068178053737	-0.12520232993348923	0.06489949689499121	0.19669973586627365	1.483221940991188	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.8371452317365191	0.725550775539047	not_fdr_significant
fwhm_x	smoothness / sharpness	132	83	0.18147180326702886	-0.012164731045142957	-0.06703372549421917	0.045249623606469946	0.788499040325533	-0.10171935206596568	0.07738988997567976	0.11045125788231791	-0.020370806852487794	-0.1122532894133031	0.04768664423506952	0.6700008001054493	-0.11477128198436477	0.07402966827938919	0.14367128197651446	1.674579304457479	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.8989500194520144	0.81565314795446	not_fdr_significant
fwhm_y	smoothness / sharpness	132	83	0.21437443733827247	-0.008949730193745925	-0.04174812214025166	0.05082353505312704	0.8605048982873695	-0.1095358137423062	0.09163635335481435	0.1958411219088172	-0.020421822594243078	-0.0952623962437202	0.053435681093479924	0.7029959115466811	-0.1262030903922875	0.08535944520380134	0.22948340172751347	2.281836675759662	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.9103045530770693	0.8376121499279604	not_fdr_significant
fwhm_z	smoothness / sharpness	132	83	0.19680613015604995	-0.03987051144651979	-0.20258775178855445	0.04825939330160458	0.41028122709653514	-0.1353818402347238	0.05564081734168422	0.1397105649869662	-0.049661620111016935	-0.2523377705340766	0.05060675979839023	0.32837511263967245	-0.1498427556571308	0.05051951543509692	0.1800164977113129	1.24557268791574	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.6209661815515126	0.6331555033902525	not_fdr_significant
icvs_csf	morphology / tissue	132	83	0.006390291946312369	-0.0014556586755468653	-0.2277922022618824	0.0015782795822928196	0.35814511595774157	-0.004579269848235742	0.001667952497142011	0.12726057661229895	-0.00214077777919729	-0.3350046910505652	0.0016243350746498889	0.18999273641088793	-0.005356311295551438	0.0010747557371568583	0.19873690542727596	1.4706591697349913	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.5730321855323866	0.4255837295603889	not_fdr_significant
icvs_gm	morphology / tissue	132	83	0.006741010577237801	-0.0034430611215018683	-0.5107633465415357	0.0014264518531040677	0.017240514865666585	-0.006266186374877889	-0.0006199358681258471	0.3593477801225582	-0.0012329615952690436	-0.18290456321673096	0.0013469543033664251	0.36180314479443	-0.0038993921705034913	0.0014334689799654042	0.5048679922498205	0.3581004088394527	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.05644631992239547	0.6331555033902525	not_fdr_significant
icvs_wm	morphology / tissue	132	83	0.006915600036630588	0.004898719797046768	0.7083578823383657	0.001466454240296993	0.0011028527967877591	0.0019964248547436896	0.007801014739349847	0.3566676167860098	0.0033737393744663335	0.4878447794256886	0.0015037943888473178	0.026669762543208637	0.0003968281850763593	0.006350650563856308	0.41361550382271695	0.688698173041091	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.008822822374302073	0.12445889186830698	attenuated_lost_fdr
inu_med	homogeneity / bias field	132	83	0.06067869067248303	0.04726045027684422	0.7788640419407764	0.015221521961168062	0.002355517057611459	0.017135169181740764	0.07738573137194767	0.0996696867890946	0.04333702155398285	0.7142049552106702	0.01621012729694658	0.008535378190369586	0.011247455527137115	0.07542658758082858	0.11495420350439767	0.916982832370861	TRUE	icv_etiv+total_wm+mean_cortical_thickness	0.012074957315723273	0.059747647332587105	attenuated_lost_fdr
