iqm	model	term	coef	se	ci_low	ci_high	p_value	p_fdr_term	n_obs	n_subjects	r2	r2_adj	r2_marginal	r2_conditional	aic	bic	converged	status	global_test_method	global_test_stat	global_test_df	global_test_p	global_test_p_fdr
cjv	adjusted	Intercept	0.7172794456	0.04588208807	0.6269283742	0.807630517	3.270818747e-39		264	83	0.01334567291	-0.005775534978			-228.674438	-207.2187434	True	ok	nested_OLS_F_test_cohort	0.2255098938	3	0.8786113935	0.8786113935
cjv	adjusted	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.009170934946	0.04140918492	-0.09071395929	0.07237208939	0.8249008767	0.9344477877	264	83	0.01334567291	-0.005775534978			-228.674438	-207.2187434	True	ok	nested_OLS_F_test_cohort	0.2255098938	3	0.8786113935	0.8786113935
cjv	adjusted	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.0205511929	0.06620340136	-0.1098166368	0.1509190226	0.7564883838	0.8314411305	264	83	0.01334567291	-0.005775534978			-228.674438	-207.2187434	True	ok	nested_OLS_F_test_cohort	0.2255098938	3	0.8786113935	0.8786113935
cjv	adjusted	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.02074738098	0.02857493148	-0.03552241371	0.07701717567	0.4684544266	0.9369088531	264	83	0.01334567291	-0.005775534978			-228.674438	-207.2187434	True	ok	nested_OLS_F_test_cohort	0.2255098938	3	0.8786113935	0.8786113935
cjv	adjusted	C(sex)[T.M]	0.01685404102	0.02061562697	-0.0237422802	0.05745036223	0.4143758606		264	83	0.01334567291	-0.005775534978			-228.674438	-207.2187434	True	ok	nested_OLS_F_test_cohort	0.2255098938	3	0.8786113935	0.8786113935
cjv	adjusted	age	0.0006929834246	0.001161931917	-0.001595094517	0.002981061366	0.5514268107		264	83	0.01334567291	-0.005775534978			-228.674438	-207.2187434	True	ok	nested_OLS_F_test_cohort	0.2255098938	3	0.8786113935	0.8786113935
cnr	adjusted	Intercept	1.376352221	0.1065952266	1.166444753	1.586259689	9.335057638e-30		264	83	0.04229593513	0.02373577883			216.4105168	237.8662114	True	ok	nested_OLS_F_test_cohort	0.8154988547	3	0.4862914097	0.6027731871
cnr	adjusted	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.01285619805	0.09620358698	-0.2023004349	0.1765880388	0.893795124	0.9625485951	264	83	0.04229593513	0.02373577883			216.4105168	237.8662114	True	ok	nested_OLS_F_test_cohort	0.8154988547	3	0.4862914097	0.6027731871
cnr	adjusted	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.1054313345	0.1538065696	-0.4083074445	0.1974447756	0.4936564927	0.6742625266	264	83	0.04229593513	0.02373577883			216.4105168	237.8662114	True	ok	nested_OLS_F_test_cohort	0.8154988547	3	0.4862914097	0.6027731871
cnr	adjusted	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-0.09974536161	0.06638650126	-0.2304737519	0.0309830287	0.1341923809	0.4897953558	264	83	0.04229593513	0.02373577883			216.4105168	237.8662114	True	ok	nested_OLS_F_test_cohort	0.8154988547	3	0.4862914097	0.6027731871
cnr	adjusted	C(sex)[T.M]	-0.08852654882	0.04789510508	-0.1828416561	0.005788558492	0.06569711268		264	83	0.04229593513	0.02373577883			216.4105168	237.8662114	True	ok	nested_OLS_F_test_cohort	0.8154988547	3	0.4862914097	0.6027731871
cnr	adjusted	age	-0.001254086154	0.002699449855	-0.006569846551	0.004061674243	0.6426304947		264	83	0.04229593513	0.02373577883			216.4105168	237.8662114	True	ok	nested_OLS_F_test_cohort	0.8154988547	3	0.4862914097	0.6027731871
efc	adjusted	Intercept	0.5409900012	0.008291246457	0.5246628672	0.5573171352	2.250077253e-162		264	83	0.4042647114	0.3927194539			-1132.016168	-1110.560473	True	ok	nested_OLS_F_test_cohort	6.34998486	3	0.0003611644037	0.006741735537
efc	adjusted	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.00747739595	0.007482958431	-0.02221284807	0.007258056166	0.3186066463	0.6263482729	264	83	0.4042647114	0.3927194539			-1132.016168	-1110.560473	True	ok	nested_OLS_F_test_cohort	6.34998486	3	0.0003611644037	0.006741735537
efc	adjusted	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.02669962386	0.01196346418	0.003141153617	0.0502580941	0.02648973039	0.09889499344	264	83	0.4042647114	0.3927194539			-1132.016168	-1110.560473	True	ok	nested_OLS_F_test_cohort	6.34998486	3	0.0003611644037	0.006741735537
efc	adjusted	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.01925616381	0.005163710054	0.009087778816	0.02942454881	0.0002362246656	0.004409527091	264	83	0.4042647114	0.3927194539			-1132.016168	-1110.560473	True	ok	nested_OLS_F_test_cohort	6.34998486	3	0.0003611644037	0.006741735537
efc	adjusted	C(sex)[T.M]	0.03595977356	0.003725402468	0.02862370586	0.04329584127	5.083031407e-19		264	83	0.4042647114	0.3927194539			-1132.016168	-1110.560473	True	ok	nested_OLS_F_test_cohort	6.34998486	3	0.0003611644037	0.006741735537
efc	adjusted	age	7.283915998e-05	0.0002099700405	-0.0003406341348	0.0004863124548	0.7289472517		264	83	0.4042647114	0.3927194539			-1132.016168	-1110.560473	True	ok	nested_OLS_F_test_cohort	6.34998486	3	0.0003611644037	0.006741735537
fber	adjusted	Intercept	11702.46647	1617.677833	8516.933034	14887.9999	5.340716688e-12		264	83	0.0488022771	0.0303682127			5299.71125	5321.166945	True	ok	nested_OLS_F_test_cohort	1.929979967	3	0.1251316279	0.2361234494
fber	adjusted	"C(cohort, Treatment(""Control""))[T.Data_ON]"	1840.615414	1459.975414	-1034.370196	4715.601024	0.2085498481	0.5308541589	264	83	0.0488022771	0.0303682127			5299.71125	5321.166945	True	ok	nested_OLS_F_test_cohort	1.929979967	3	0.1251316279	0.2361234494
fber	adjusted	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-1431.842807	2334.152158	-6028.258473	3164.572858	0.5401313891	0.7034269254	264	83	0.0488022771	0.0303682127			5299.71125	5321.166945	True	ok	nested_OLS_F_test_cohort	1.929979967	3	0.1251316279	0.2361234494
fber	adjusted	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-1819.551113	1007.47449	-3803.471275	164.3690482	0.0720755939	0.4172463892	264	83	0.0488022771	0.0303682127			5299.71125	5321.166945	True	ok	nested_OLS_F_test_cohort	1.929979967	3	0.1251316279	0.2361234494
fber	adjusted	C(sex)[T.M]	-742.4833015	726.8510258	-2173.799349	688.8327461	0.3079712426		264	83	0.0488022771	0.0303682127			5299.71125	5321.166945	True	ok	nested_OLS_F_test_cohort	1.929979967	3	0.1251316279	0.2361234494
fber	adjusted	age	-31.28368675	40.96656419	-111.9551017	49.38772823	0.4457798501		264	83	0.0488022771	0.0303682127			5299.71125	5321.166945	True	ok	nested_OLS_F_test_cohort	1.929979967	3	0.1251316279	0.2361234494
fwhm_avg	adjusted	Intercept	4.642417868	0.07619273413	4.492379031	4.792456706	3.620026603e-155		264	83	0.05122595084	0.03283885686			39.12256987	60.57826449	True	ok	nested_OLS_F_test_cohort	3.005664172	3	0.03092824182	0.07673931134
fwhm_avg	adjusted	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.05373646239	0.06876493965	-0.1891484769	0.08167555208	0.4352535141	0.7318740463	264	83	0.05122595084	0.03283885686			39.12256987	60.57826449	True	ok	nested_OLS_F_test_cohort	3.005664172	3	0.03092824182	0.07673931134
fwhm_avg	adjusted	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.3131791546	0.1099387227	0.0966876694	0.5296706398	0.004744121104	0.02656707818	264	83	0.05122595084	0.03283885686			39.12256987	60.57826449	True	ok	nested_OLS_F_test_cohort	3.005664172	3	0.03092824182	0.07673931134
fwhm_avg	adjusted	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.005971904274	0.04745211583	-0.08747086799	0.09941467654	0.8999477505	0.9616145012	264	83	0.05122595084	0.03283885686			39.12256987	60.57826449	True	ok	nested_OLS_F_test_cohort	3.005664172	3	0.03092824182	0.07673931134
fwhm_avg	adjusted	C(sex)[T.M]	0.04124808071	0.03423473192	-0.02616700085	0.1086631623	0.229361134		264	83	0.05122595084	0.03283885686			39.12256987	60.57826449	True	ok	nested_OLS_F_test_cohort	3.005664172	3	0.03092824182	0.07673931134
fwhm_avg	adjusted	age	0.001111022318	0.001929527913	-0.002688606723	0.004910651358	0.5652522177		264	83	0.05122595084	0.03283885686			39.12256987	60.57826449	True	ok	nested_OLS_F_test_cohort	3.005664172	3	0.03092824182	0.07673931134
fwhm_x	adjusted	Intercept	4.615632179	0.07550648892	4.466944697	4.764319662	1.647783735e-155		264	83	0.02851826202	0.009691096559			34.34548617	55.80118079	True	ok	nested_OLS_F_test_cohort	1.83417522	3	0.1413437522	0.2495428382
fwhm_x	adjusted	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.004469678895	0.06814559436	-0.12972272	0.1386620778	0.947754936	0.97977617	264	83	0.02851826202	0.009691096559			34.34548617	55.80118079	True	ok	nested_OLS_F_test_cohort	1.83417522	3	0.1413437522	0.2495428382
fwhm_x	adjusted	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.2535686825	0.1089485375	0.03902707144	0.4681102935	0.02071719211	0.08924328907	264	83	0.02851826202	0.009691096559			34.34548617	55.80118079	True	ok	nested_OLS_F_test_cohort	1.83417522	3	0.1413437522	0.2495428382
fwhm_x	adjusted	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.006196744784	0.04702472879	-0.08640441633	0.0987979059	0.8952639372	0.9616145012	264	83	0.02851826202	0.009691096559			34.34548617	55.80118079	True	ok	nested_OLS_F_test_cohort	1.83417522	3	0.1413437522	0.2495428382
fwhm_x	adjusted	C(sex)[T.M]	0.02926555397	0.03392638991	-0.03754234007	0.09607344801	0.3891480074		264	83	0.02851826202	0.009691096559			34.34548617	55.80118079	True	ok	nested_OLS_F_test_cohort	1.83417522	3	0.1413437522	0.2495428382
fwhm_x	adjusted	age	0.0002782726856	0.001912149231	-0.00348713423	0.004043679601	0.88440705		264	83	0.02851826202	0.009691096559			34.34548617	55.80118079	True	ok	nested_OLS_F_test_cohort	1.83417522	3	0.1413437522	0.2495428382
fwhm_y	adjusted	Intercept	4.518271335	0.07552379405	4.369549775	4.666992895	2.970710142e-153		264	83	0.09532240941	0.07778989796			34.46648324	55.92217786	True	ok	nested_OLS_F_test_cohort	5.687352247	3	0.0008730761345	0.008148710588
fwhm_y	adjusted	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.1256977176	0.06816121247	-0.2599208717	0.008525436466	0.0663115913	0.412605457	264	83	0.09532240941	0.07778989796			34.46648324	55.92217786	True	ok	nested_OLS_F_test_cohort	5.687352247	3	0.0008730761345	0.008148710588
