iqm	model	term	coef	se	ci_low	ci_high	p_value	p_fdr_term	n_obs	n_subjects	r2	r2_adj	r2_marginal	r2_conditional	aic	bic	converged	status	global_test_method	global_test_stat	global_test_df	global_test_p	global_test_p_fdr
cjv	mixed	Intercept	0.7164413829	0.0466392533	0.6250301262	0.8078526397	2.973685761e-53		264	83			0.01308659225	0.01308660366			True	ok	wald_test_cohort_fixed_effects	0.6850120569	3	0.8767234742	0.8767234742
cjv	mixed	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.008539417582	0.04168332027	-0.09023722407	0.07315838891	0.8376782727	0.9171538914	264	83			0.01308659225	0.01308660366			True	ok	wald_test_cohort_fixed_effects	0.6850120569	3	0.8767234742	0.8767234742
cjv	mixed	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.02080652151	0.06637308525	-0.1092823351	0.1508953781	0.7539173094	0.8611825756	264	83			0.01308659225	0.01308660366			True	ok	wald_test_cohort_fixed_effects	0.6850120569	3	0.8767234742	0.8767234742
cjv	mixed	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.02104325294	0.02872947898	-0.03526549114	0.07735199703	0.4638866004	0.9806510959	264	83			0.01308659225	0.01308660366			True	ok	wald_test_cohort_fixed_effects	0.6850120569	3	0.8767234742	0.8767234742
cjv	mixed	C(sex)[T.M]	0.01678743315	0.02066293997	-0.023711185	0.0572860513	0.4165382524		264	83			0.01308659225	0.01308660366			True	ok	wald_test_cohort_fixed_effects	0.6850120569	3	0.8767234742	0.8767234742
cjv	mixed	C(session)[T.ses-02]	0.002095737228	0.01993739614	-0.03698084115	0.04117231561	0.9162838472		264	83			0.01308659225	0.01308660366			True	ok	wald_test_cohort_fixed_effects	0.6850120569	3	0.8767234742	0.8767234742
cjv	mixed	age	0.0006919130495	0.001163547253	-0.00158859766	0.002972423759	0.5520718907		264	83			0.01308659225	0.01308660366			True	ok	wald_test_cohort_fixed_effects	0.6850120569	3	0.8767234742	0.8767234742
cjv	mixed	Group Var	1.156171019e-08						264	83			0.01308659225	0.01308660366			True	ok	wald_test_cohort_fixed_effects	0.6850120569	3	0.8767234742	0.8767234742
cnr	mixed	Intercept	1.380497777	0.1083634466	1.168109324	1.592886229	3.566037545e-37		264	83			0.04155339636	0.04155345024			True	ok	wald_test_cohort_fixed_effects	2.504630743	3	0.4744547856	0.6549021958
cnr	mixed	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.01598005573	0.09616505822	-0.2044601064	0.1724999949	0.8680206472	0.9171538914	264	83			0.04155339636	0.04155345024			True	ok	wald_test_cohort_fixed_effects	2.504630743	3	0.4744547856	0.6549021958
