iqm	model	term	coef	se	ci_low	ci_high	p_value	p_fdr_term	n_obs	n_subjects	r2	r2_adj	r2_marginal	r2_conditional	aic	bic	converged	status	global_test_method	global_test_stat	global_test_df	global_test_p	global_test_p_fdr
cjv	raw	Intercept	0.750045719	0.01123619758	0.7279201853	0.7721712528	1.228096697e-165		264	83	0.009341922257	-0.002088747871			-231.6053185	-217.3015221	True	ok	nested_OLS_F_test_cohort	0.8172681175	3	0.4853132315	0.4941371084
cjv	raw	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.009339182597	0.04031744353	-0.08872947032	0.07005110512	0.8169988756	0.879844943	264	83	0.009341922257	-0.002088747871			-231.6053185	-217.3015221	True	ok	nested_OLS_F_test_cohort	0.8172681175	3	0.4853132315	0.4941371084
cjv	raw	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.03651619798	0.06422021837	-0.08994176084	0.1629741568	0.5701122702	0.6792827049	264	83	0.009341922257	-0.002088747871			-231.6053185	-217.3015221	True	ok	nested_OLS_F_test_cohort	0.8172681175	3	0.4853132315	0.4941371084
cjv	raw	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.03473774534	0.02423959608	-0.01299317058	0.08246866126	0.1530308313	0.3060616626	264	83	0.009341922257	-0.002088747871			-231.6053185	-217.3015221	True	ok	nested_OLS_F_test_cohort	0.8172681175	3	0.4853132315	0.4941371084
cnr	raw	Intercept	1.294455802	0.02623641762	1.242792885	1.34611872	5.075521207e-134		264	83	0.02866002956	0.01745226067			216.1428723	230.4466687	True	ok	nested_OLS_F_test_cohort	2.557157437	3	0.05566348577	0.09168103539
cnr	raw	"C(cohort, Treatment(""Control""))[T.Data_ON]"	0.002794611219	0.09414085842	-0.1825809776	0.1881702001	0.976340711	0.9813949537	264	83	0.02866002956	0.01745226067			216.1428723	230.4466687	True	ok	nested_OLS_F_test_cohort	2.557157437	3	0.05566348577	0.09168103539
cnr	raw	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-0.1697494277	0.149953617	-0.465027594	0.1255287386	0.2586719562	0.376841334	264	83	0.02866002956	0.01745226067			216.1428723	230.4466687	True	ok	nested_OLS_F_test_cohort	2.557157437	3	0.05566348577	0.09168103539
cnr	raw	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-0.1459834806	0.05659923306	-0.2574347286	-0.03453223263	0.01045166688	0.03251629695	264	83	0.02866002956	0.01745226067			216.1428723	230.4466687	True	ok	nested_OLS_F_test_cohort	2.557157437	3	0.05566348577	0.09168103539
efc	raw	Intercept	0.5577494737	0.002365192096	0.553092103	0.5624068444	3.23076778e-305		264	83	0.1883797236	0.1790148743			-1054.377819	-1040.074023	True	ok	nested_OLS_F_test_cohort	20.11561711	3	9.354982233e-12	5.23879005e-10
efc	raw	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.01653697368	0.008486723203	-0.03324843497	0.0001744876056	0.05242248679	0.1873507648	264	83	0.1883797236	0.1790148743			-1054.377819	-1040.074023	True	ok	nested_OLS_F_test_cohort	20.11561711	3	9.354982233e-12	5.23879005e-10
efc	raw	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.04925052632	0.01351819881	0.02263143544	0.07586961719	0.0003249196145	0.002274437302	264	83	0.1883797236	0.1790148743			-1054.377819	-1040.074023	True	ok	nested_OLS_F_test_cohort	20.11561711	3	9.354982233e-12	5.23879005e-10
efc	raw	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.03305244939	0.005102375659	0.02300520839	0.04309969039	4.628889333e-10	1.296089013e-08	264	83	0.1883797236	0.1790148743			-1054.377819	-1040.074023	True	ok	nested_OLS_F_test_cohort	20.11561711	3	9.354982233e-12	5.23879005e-10
fber	raw	Intercept	10230.4361	396.6287615	9449.422503	11011.44969	1.24337994e-73		264	83	0.04267034094	0.03162422949			5297.407675	5311.711472	True	ok	nested_OLS_F_test_cohort	3.862928699	3	0.009931982496	0.02528140999
fber	raw	"C(cohort, Treatment(""Control""))[T.Data_ON]"	1843.353152	1423.173416	-959.0603204	4645.766625	0.1963858388	0.3792278267	264	83	0.04267034094	0.03162422949			5297.407675	5311.711472	True	ok	nested_OLS_F_test_cohort	3.862928699	3	0.009931982496	0.02528140999
fber	raw	"C(cohort, Treatment(""Control""))[T.Data_TON]"	-2141.345331	2266.922193	-6605.209838	2322.519175	0.3457377023	0.4722271056	264	83	0.04267034094	0.03162422949			5297.407675	5311.711472	True	ok	nested_OLS_F_test_cohort	3.862928699	3	0.009931982496	0.02528140999
fber	raw	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	-2444.503184	855.6382976	-4129.366228	-759.6401406	0.004623334249	0.0176485341	264	83	0.04267034094	0.03162422949			5297.407675	5311.711472	True	ok	nested_OLS_F_test_cohort	3.862928699	3	0.009931982496	0.02528140999
fwhm_avg	raw	Intercept	4.700491249	0.01868673482	4.663694639	4.737287859	1.78393445e-312		264	83	0.04454794272	0.0335234959			36.97424217	51.27803858	True	ok	nested_OLS_F_test_cohort	4.040832476	3	0.007838226708	0.02194703478
fwhm_avg	raw	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.05776885087	0.06705127517	-0.1898015286	0.07426382683	0.3897223024	0.5545230249	264	83	0.04454794272	0.0335234959			36.97424217	51.27803858	True	ok	nested_OLS_F_test_cohort	4.040832476	3	0.007838226708	0.02194703478
fwhm_avg	raw	"C(cohort, Treatment(""Control""))[T.Data_TON]"	0.3474608814	0.1068035856	0.1371507364	0.5577710263	0.001291834072	0.006378722655	264	83	0.04454794272	0.0335234959			36.97424217	51.27803858	True	ok	nested_OLS_F_test_cohort	4.040832476	3	0.007838226708	0.02194703478
fwhm_avg	raw	"C(cohort, Treatment(""Control""))[T.Glaucoma]"	0.03353106759	0.04031247233	-0.04584943118	0.1129115664	0.4062969775	0.5987534405	264	83	0.04454794272	0.0335234959			36.97424217	51.27803858	True	ok	nested_OLS_F_test_cohort	4.040832476	3	0.007838226708	0.02194703478
fwhm_x	raw	Intercept	4.637551979	0.01848116776	4.601160157	4.673943801	3.337170594e-312		264	83	0.02561344768	0.01437052592			31.13369117	45.43748758	True	ok	nested_OLS_F_test_cohort	2.278184286	3	0.07998234207	0.1066431228
fwhm_x	raw	"C(cohort, Treatment(""Control""))[T.Data_ON]"	-0.00154792852	0.06631366457	-0.1321281551	0.129032298	0.9813949537	0.9813949537	264	83	0.02561344768	0.01437052592			31.13369117	45.43748758	True	ok	nested_OLS_F_test_cohort	2.278184286	3	0.07998234207	0.1066431228
