subset	IQM	family_group	in_core_quality	in_tissue_sensitive	n_obs	n_subjects	converged	status	cohort_stat	cohort_p	cohort_q	glaucoma_coef	glaucoma_p	on_coef	ton_coef	acquisition_stat	acquisition_p	acquisition_q	xa30_coef	xa30_p	r2_marginal	r2_conditional	finding_class_cohort	overall_cohort_finding	overall_acquisition_finding	formula
FULL_56	cjv	contrast	True	False	133	83	True	ok	6.590852918	0.08614753352	0.2010109115	0.0465488728	0.01982227146	0.02770452009	0.06406470819	0.2677706061	0.6048312042	0.9986040026	-0.01345168916	0.6048312042	0.260662158	0.7832404609	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""cjv"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	cnr	contrast	True	False	133	83	True	ok	8.229585803	0.04149767021	0.1659906809	-0.1527187337	0.01263506119	-0.1420297888	-0.1750844937	0.01150253462	0.914590753	0.9986040026	0.006986956094	0.914590753	0.2634245732	0.8845140448	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""cnr"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	efc	entropy / information	True	False	133	83	True	ok	7.621181653	0.05452518202	0.1980176833	0.02464914538	0.01291744473	-0.01024038103	0.01460414974	0.470377187	0.4928136961	0.9986040026	0.007949711649	0.4928136961	0.3652157553	0.8739811286	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""efc"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	fber	entropy / information	True	False	133	83	True	ok	3.763605689	0.2881478747	0.4034070246	-2352.242393	0.1204104484	1868.163528	165.4485654	0.2362882516	0.6268998828	0.9986040026	-1055.172327	0.6268998828	0.08891604142	0.6237746721	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""fber"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	fwhm_avg	smoothness / sharpness	True	False	133	83	True	ok	10.10034646	0.01773213261	0.1241249282	-0.02489758822	0.6483747309	-0.2210395402	0.1486369998	21.46617608	3.601251464e-06	6.946107705e-05	0.284692268	3.601251464e-06	0.1318885082	0.844022546	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""fwhm_avg"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	fwhm_x	smoothness / sharpness	True	False	133	83	True	ok	7.015863329	0.07139386932	0.1980176833	-0.02859066052	0.5967758428	-0.1806655097	0.1216377154	14.61239472	0.000132043212	0.001848604968	0.2245550797	0.000132043212	0.1039586603	0.8521263354	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""fwhm_x"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	fwhm_y	smoothness / sharpness	True	False	133	83	True	ok	14.8671589	0.001933762665	0.04054071702	-0.003837762261	0.948902419	-0.2933132939	0.2182989998	21.40338875	3.721129128e-06	6.946107705e-05	0.345464006	3.721129128e-06	0.1671964531	0.7946586592	ROBUST_ACROSS_FAMILIES	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""fwhm_y"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	fwhm_z	smoothness / sharpness	True	False	133	83	True	ok	6.444963715	0.09185845253	0.2057629337	-0.04315224122	0.4634521571	-0.1890725701	0.1060892036	23.47342566	1.266511277e-06	6.946107705e-05	0.2835164549	1.266511277e-06	0.1041208857	0.88708449	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""fwhm_z"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	icvs_csf	morphology / tissue	False	True	133	83	True	ok	2.951252517	0.3992023061	0.5322697415	-0.001363975258	0.4694251763	0.003610748928	-0.001961311236	0.3591605195	0.5489728315	0.9986040026	-0.001252426916	0.5489728315	0.08916485212	0.8444047899	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""icvs_csf"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
FULL_56	icvs_gm	morphology / tissue	False	True	133	83	True	ok	7.012481701	0.07150100053	0.1980176833	-0.003452865319	0.05084106964	-0.004044852939	-0.006690017013	0.08799127712	0.7667465331	0.9986040026	0.0005179551877	0.7667465331	0.3750697849	0.920005595	NOT_REPLICATED	ROBUST_ACROSS_FAMILIES	FAMILY_DEPENDENT	"Q(""icvs_gm"") ~ C(cohort, Treatment(""Control"")) + C(software_platform, Treatment(""E11"")) + age + C(sex) + C(session)"
