IQM	family_group	R2_acquisition	R2_cohort	R2_full	R2_conditional_acquisition	R2_conditional_cohort	R2_conditional_full	acq_converged	cohort_converged	full_converged	acq_status	cohort_status	full_status	n_obs	n_subjects	acquisition_p	cohort_p	full_acquisition_p	full_cohort_p
cjv	contrast	0.2165133145	0.2608419271	0.260662158	0.7810263102	0.7864512934	0.7832404609	True	True	True	ok	ok	ok	133	83	0.6295301265	0.08692097488	0.6048312042	0.08614753352
cnr	contrast	0.2054458132	0.2642863889	0.2634245732	0.8837076474	0.8859059594	0.8845140448	True	True	True	ok	ok	ok	133	83	0.885135885	0.04082430646	0.914590753	0.04149767021
efc	entropy / information	0.3249328242	0.3617570692	0.3652157553	0.8754088007	0.8777070628	0.8739811286	True	True	True	ok	ok	ok	133	83	0.8685377694	0.0684295168	0.4928136961	0.05452518202
fber	entropy / information	0.05761993636	0.08690615296	0.08891604142	0.6152246884	0.6280690932	0.6237746721	True	True	True	ok	ok	ok	133	83	0.9924978237	0.3169285972	0.6268998828	0.2881478747
fwhm_avg	smoothness / sharpness	0.07150263837	0.04604586728	0.1318885082	0.8475377286	0.8298738736	0.844022546	True	True	True	ok	ok	ok	133	83	8.978426553e-05	0.3275619165	3.601251464e-06	0.01773213261
fwhm_x	smoothness / sharpness	0.06198255974	0.04739670977	0.1039586603	0.8525471615	0.8406355766	0.8521263354	True	True	True	ok	ok	ok	133	83	0.001123781975	0.4311288154	0.000132043212	0.07139386932
fwhm_y	smoothness / sharpness	0.0717620871	0.06630240417	0.1671964531	0.7997492411	0.7818765384	0.7946586592	True	True	True	ok	ok	ok	133	83	0.0003639848632	0.1404133989	3.721129128e-06	0.001933762665
fwhm_z	smoothness / sharpness	0.07113121977	0.02963101762	0.1041208857	0.8891774601	0.8724302857	0.88708449	True	True	True	ok	ok	ok	133	83	9.12179066e-06	0.5622783637	1.266511277e-06	0.09185845253
icvs_csf	morphology / tissue	0.07292703507	0.08840354126	0.08916485212	0.837250715	0.8413135505	0.8444047899	True	True	True	ok	ok	ok	133	83	0.9443463255	0.4520380639	0.5489728315	0.3992023061
icvs_gm	morphology / tissue	0.3394426933	0.3762380733	0.3750697849	0.9192670346	0.9207581821	0.920005595	True	True	True	ok	ok	ok	133	83	0.9606294634	0.07333571886	0.7667465331	0.07150100053
icvs_wm	morphology / tissue	0.2815294491	0.3426613332	0.3411722533	0.8282326263	0.8289771245	0.8283485679	True	True	True	ok	ok	ok	133	83	0.9356249599	0.02082572694	0.9055589312	0.02152046067
inu_med	homogeneity / bias field	0.05610055442	0.1180265895	0.1177399436	0.4961969658	0.5154026619	0.5145772788	True	True	True	ok	ok	ok	133	83	0.9062225685	0.06048939709	0.844401316	0.06122848561
inu_range	homogeneity / bias field	0.09520586886	0.1335280194	0.1378620751	0.3418100621	0.350224697	0.3519118801	True	True	True	ok	ok	ok	133	83	0.5866569556	0.1377057348	0.4026515449	0.1161918686
qi_2	artifact	0.113097138	0.09308820306	0.1182240708	0.6826370211	0.6636255125	0.6934393793	True	True	True	ok	ok	ok	133	83	0.03999167512	0.8631907095	0.02597835601	0.692203968
rpve_csf	morphology / tissue	0.2565046439	0.2635058461	0.264500897	0.9956780195	0.9957436927	0.9957633478	True	True	True	ok	ok	ok	133	83	0.2296204318	0.5513422861	0.2132104735	0.528382104
rpve_gm	morphology / tissue	0.2580059146	0.2649064161	0.2658884585	0.9954121476	0.9954882053	0.995504037	True	True	True	ok	ok	ok	133	83	0.2394630294	0.5569471613	0.2234470407	0.5354428437
rpve_wm	morphology / tissue	0.2545507795	0.261080317	0.2621239161	0.9952200748	0.9952932063	0.9953162534	True	True	True	ok	ok	ok	133	83	0.2259507596	0.5677121791	0.2102310064	0.5447428522
snr_csf	signal / SNR	0.1868308384	0.2500539228	0.2508346091	0.9094448378	0.9078644681	0.9107972183	True	True	True	ok	ok	ok	133	83	0.2119051024	0.03453674954	0.2475421892	0.03917223779
snr_gm	signal / SNR	0.2103927021	0.2390859626	0.2380505822	0.883854823	0.8872926947	0.8863261785	True	True	True	ok	ok	ok	133	83	0.8700493731	0.2153744306	0.8980269281	0.2185367944
snr_total	signal / SNR	0.03345561448	0.0936703806	0.09380348509	0.9131544725	0.9158991546	0.9152446764	True	True	True	ok	ok	ok	133	83	0.9537575059	0.08774708175	0.6583414461	0.08132869137
snr_wm	signal / SNR	0.004224187263	0.0689251361	0.06915457199	0.9361838346	0.9384786918	0.9376650413	True	True	True	ok	ok	ok	133	83	0.9977952046	0.0827504347	0.7170910493	0.07848028927
snrd_csf	signal / SNR	0.1687701103	0.1670791616	0.1677995042	0.644691088	0.6526947896	0.6527443678	True	True	True	ok	ok	ok	133	83	0.6022498582	0.9323717642	0.6053303288	0.9328857773
snrd_gm	signal / SNR	0.1772693904	0.1764736341	0.1767257246	0.5789733708	0.587555014	0.5874872729	True	True	True	ok	ok	ok	133	83	0.65890296	0.9198747831	0.6550661566	0.9187201232
snrd_total	signal / SNR	0.1760958647	0.1753143437	0.175585746	0.5905869542	0.5990060644	0.5989661796	True	True	True	ok	ok	ok	133	83	0.6531643071	0.9189470312	0.6532442071	0.9188504626
snrd_wm	signal / SNR	0.1770703826	0.1766432693	0.1767663961	0.5794766674	0.587917342	0.5878309394	True	True	True	ok	ok	ok	133	83	0.6696769858	0.913235519	0.671415262	0.9136993524
summary_bg_k	intensity	0.02170309391	0.03620379787	0.03675168583	0.4110722928	0.4257677514	0.4265319107	True	True	True	ok	ok	ok	133	83	0.8317261272	0.643992205	0.7500132862	0.6342708398
summary_bg_mad	intensity	0.02178581244	0.107609373	0.106914112	0.3730768152	0.3812261986	0.3808091503	True	True	True	ok	ok	ok	133	83	0.6453638575	0.01322443575	0.9508898097	0.01531225065
summary_bg_mean	intensity	0.04065061448	0.1561457796	0.1553015558	0.4828228125	0.4877250444	0.4862122818	True	True	True	ok	ok	ok	133	83	0.4132539757	0.00147932753	0.7855966152	0.002171824126
summary_bg_median	intensity	0.02178581244	0.107609373	0.106914112	0.3730768152	0.3812261986	0.3808091503	True	True	True	ok	ok	ok	133	83	0.6453638575	0.01322443575	0.9508898097	0.01531225065
summary_bg_p95	intensity	0.01088991561	0.1070824814	0.1073684343	0.2936397496	0.30085641	0.3009045641	True	True	True	ok	ok	ok	133	83	0.3822710591	0.004427498479	0.6609251876	0.00622406863
summary_bg_stdv	intensity	0.1760156694	0.2396118264	0.2406315064	0.7932223645	0.7918796362	0.7961344195	True	True	True	ok	ok	ok	133	83	0.8055702186	0.03034017781	0.457987532	0.02519334936
summary_csf_k	intensity	0.1450004153	0.1882943262	0.1873971923	0.911108493	0.9127329643	0.9125334713	True	True	True	ok	ok	ok	133	83	0.4055844059	0.1171359877	0.7321723431	0.1527064861
summary_csf_mad	intensity	0.1610867739	0.1807372056	0.1830594033	0.9426651442	0.9425203381	0.9442004304	True	True	True	ok	ok	ok	133	83	0.09143261812	0.3200741403	0.1536173341	0.4416565073
summary_csf_mean	intensity	0.1189306243	0.1514497382	0.1519054194	0.9285815183	0.9316435167	0.9303144337	True	True	True	ok	ok	ok	133	83	0.5845425034	0.2592846131	0.6655011671	0.2716395651
summary_csf_median	intensity	0.1116118808	0.1518617664	0.151716017	0.9332998853	0.9359392635	0.9348870145	True	True	True	ok	ok	ok	133	83	0.7648549436	0.1873701804	0.8795450087	0.193698038
summary_csf_p05	intensity	0.2814822576	0.3128245305	0.3121774617	0.9453922004	0.947048202	0.9462809852	True	True	True	ok	ok	ok	133	83	0.8640888045	0.1652483549	0.9832690322	0.1682792982
summary_csf_p95	intensity	0.08471761298	0.09983580134	0.1062375369	0.9262124102	0.9274028708	0.9283163711	True	True	True	ok	ok	ok	133	83	0.0619749077	0.4179213469	0.08997256318	0.5182883872
summary_csf_stdv	intensity	0.1885721681	0.1899147192	0.1943703817	0.959691614	0.9598747723	0.9608763862	True	True	True	ok	ok	ok	133	83	0.0430032502	0.5127990989	0.08009302775	0.7282340452
summary_gm_k	intensity	0.08811046298	0.1563546518	0.1580034277	0.2336786095	0.2456035044	0.2469155187	True	True	True	ok	ok	ok	133	83	0.2131802338	0.008461496619	0.5074456768	0.01506554896
summary_gm_mad	intensity	0.1300687488	0.1970409509	0.1968339277	0.6604190542	0.661704794	0.6590908526	True	True	True	ok	ok	ok	133	83	0.6102632795	0.02541643163	0.8134321826	0.0285545807
summary_gm_mean	intensity	0.07555735257	0.1239372925	0.1236701602	0.9059009742	0.9101577997	0.9087157287	True	True	True	ok	ok	ok	133	83	0.5101071384	0.1433152287	0.7369783593	0.1663189383
summary_gm_median	intensity	0.1279361028	0.1789607319	0.1783250913	0.8902338842	0.8945682695	0.8932952884	True	True	True	ok	ok	ok	133	83	0.6982195194	0.1067899311	0.9624513023	0.1157972362
summary_gm_p05	intensity	0.1142262233	0.1365476177	0.1370991762	0.9184203796	0.9215518736	0.920655091	True	True	True	ok	ok	ok	133	83	0.4452952677	0.3650098804	0.6050352265	0.414019164
summary_gm_p95	intensity	0.3129196155	0.3570632928	0.3556512852	0.8651073972	0.8667185432	0.8655680796	True	True	True	ok	ok	ok	133	83	0.9880734998	0.05737512363	0.8924923733	0.05786023151
summary_gm_stdv	intensity	0.2576605407	0.2962120797	0.2952723987	0.8468208157	0.8499413989	0.848593064	True	True	True	ok	ok	ok	133	83	0.7708456334	0.1054273401	0.8799353743	0.1098848493
summary_wm_k	intensity	0.06875881038	0.1153202572	0.1164771395	0.6555519858	0.6646270576	0.6649330938	True	True	True	ok	ok	ok	133	83	0.1756709755	0.06930129389	0.4868784076	0.1300699131
summary_wm_mad	intensity	0.08848464188	0.1304611471	0.1300776445	0.8556355331	0.860253577	0.8584441936	True	True	True	ok	ok	ok	133	83	0.9570391231	0.1822327343	0.8102497569	0.1790012996
summary_wm_mean	intensity	0.01214015766	0.06753939302	0.06740141522	0.9268591843	0.9288912543	0.9278696053	True	True	True	ok	ok	ok	133	83	0.6100530197	0.09026958771	0.9786333489	0.1022845345
summary_wm_median	intensity	0.0469244772	0.08308470738	0.08306456392	0.8824877741	0.8859214054	0.8841558579	True	True	True	ok	ok	ok	133	83	0.8148932682	0.2325468589	0.8403389537	0.2346816619
summary_wm_p05	intensity	0.0004766458525	0.06843867471	0.06846981841	0.9631323056	0.9644888192	0.9638789348	True	True	True	ok	ok	ok	133	83	0.8124151414	0.06339421534	0.8921180864	0.06491691794
summary_wm_p95	intensity	0.04075326292	0.1713903952	0.1702906445	0.2983362172	0.3120229065	0.3113520445	True	True	True	ok	ok	ok	133	83	0.2107309762	0.0001236123701	0.9732444335	0.0003241306305
summary_wm_stdv	intensity	0.003292973089	0.06921628388	0.06944729341	0.9141717438	0.9171761123	0.9160401968	True	True	True	ok	ok	ok	133	83	0.9219183257	0.078146022	0.7482957054	0.07544092406
tpm_overlap_csf	morphology / tissue	0.2408212215	0.251042972	0.2501233061	0.8648087128	0.8680485063	0.8668394405	True	True	True	ok	ok	ok	133	83	0.8899893636	0.6422911312	0.9986040026	0.648199764
tpm_overlap_gm	morphology / tissue	0.1917245467	0.2146513871	0.2135586643	0.8372042467	0.8407117337	0.8395595555	True	True	True	ok	ok	ok	133	83	0.8175735672	0.3256619154	0.9549996807	0.3347058647
tpm_overlap_wm	morphology / tissue	0.06427848326	0.1492964732	0.1498362718	0.9212745072	0.9246517193	0.9235862684	True	True	True	ok	ok	ok	133	83	0.2753561876	0.01682977048	0.4736404414	0.02396915139
wm2max	intensity	0.2259532683	0.2466584798	0.2620181976	0.7833023244	0.7669533179	0.7886290976	True	True	True	ok	ok	ok	133	83	0.003286160817	0.03890277054	0.01702039739	0.1408735594
