iqm	n_obs	n_subjects	status	converged	r2_marginal	r2_conditional	cohort_p	glaucoma_coef	glaucoma_p	glaucoma_se	glaucoma_ci_low	glaucoma_ci_high	session_p	interaction_tested	interaction_p	formula	anatomy_sensitive_by_construction	interaction_reason	n_longitudinal_control	n_longitudinal_glaucoma	n_longitudinal_data_on	n_longitudinal_data_ton	selected_anatomy	cohort_q	glaucoma_q
cjv	132	83	ok	True	0.32572217573354184	0.8329567487821408	0.44695347697541854	0.02987138592417395	0.1473481802724123	0.02061571306885958	-0.010534669206402534	0.07027744105475044	0.6083188432665372	FALSE		"Q(""cjv"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.5894078125959615	0.5157186309534432
cnr	132	83	ok	True	0.32232655598904625	0.9208254626771497	0.19243357084939755	-0.10285498447939379	0.10547205649901224	0.06353446881372002	-0.22738025513116827	0.021670286172380704	0.7172107737226616	FALSE		"Q(""cnr"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.39376234426297907
efc	132	83	ok	True	0.3952669249591559	0.8687404881682167	0.18683640800548468	0.019285575059146538	0.053175581300454244	0.009974477325670313	-0.0002640412637786721	0.03883519138207175	0.6781179192270679	FALSE		"Q(""efc"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	FALSE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.29753317029663084
fber	132	83	ok	True	0.14719416089962686	0.6440330602651828	0.5814374928370867	-1335.7456701758294	0.38803532893251136	1547.4602292999873	-4368.711987111898	1697.2206467602393	0.09074621672453081	FALSE		"Q(""fber"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.7078369478016707	0.7438819362836511
fwhm_avg	132	83	ok	True	0.0995687120526665	0.8406388844325082	0.4525809989576134	-0.059014545353231675	0.32169519417852677	0.0595516829815752	-0.17573369921586593	0.05770460850940257	0.4464417678232807	FALSE		"Q(""fwhm_avg"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.5894078125959615	0.6650771110757023
fwhm_x	132	83	ok	True	0.09038994806809293	0.84973121369209	0.5500537578643727	-0.056814062153541525	0.32472618136425646	0.057691425166309596	-0.16988717769629602	0.056259053389212985	0.1528236385862829	FALSE		"Q(""fwhm_x"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.7000684191001108	0.6650771110757023
fwhm_y	132	83	ok	True	0.11918275548445487	0.7940236327628046	0.27781629603196994	-0.04161751615312258	0.5302850814591	0.06631524283051984	-0.1715930037269695	0.08835797142072434	0.8761334939696118	FALSE		"Q(""fwhm_y"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.7953071970419787
fwhm_z	132	83	ok	True	0.07904579698243402	0.8815752113287275	0.5709453583847228	-0.0788325062357073	0.21656222144185544	0.06379473576353722	-0.2038678907354896	0.046202878264075	0.3809566641345178	FALSE		"Q(""fwhm_z"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.7078369478016707	0.5936175530577773
icvs_csf	132	83	ok	True	0.11657849187783333	0.8502921424831913	0.2847829955398044	-0.0020868637950282984	0.28003353309992385	0.0019318448118029947	-0.005873210049882727	0.0016994824598261299	0.4567098558429372	FALSE		"Q(""icvs_csf"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.6650771110757023
icvs_gm	132	83	ok	True	0.4847506965713731	0.9469466053217431	0.21090437018577485	-0.0012835069428470528	0.4398093405488981	0.001661464942547986	-0.004539918391817015	0.00197290450612291	0.5490107650894002	FALSE		"Q(""icvs_gm"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.7438819362836511
icvs_wm	132	83	ok	True	0.38185162606716183	0.8247653079610032	0.26265332383273365	0.003350034177457131	0.06281712648138947	0.0018006254117638244	-0.00017912677924756962	0.006879195134161832	0.9428478915089499	FALSE		"Q(""icvs_wm"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.29753317029663084
inu_med	132	83	ok	True	0.12873351208624279	0.5319374002104357	0.13533831079874153	0.03737626839852443	0.038410256581700164	0.018052246971461725	0.0019945144944371884	0.07275802230261168	0.0657403245530635	FALSE		"Q(""inu_med"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.26887179607190115
inu_range	132	83	ok	True	0.1394151129342553	0.3698882437331578	0.22492162843953012	0.027748902914276116	0.06907020024743216	0.015263756231767145	-0.002167509568786301	0.05766531539733853	0.023846348282929707	FALSE		"Q(""inu_range"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.29753317029663084
qi_2	132	83	ok	True	0.15657107752003208	0.6676196942844606	0.9612947324550573	-4.419313275183134e-05	0.7986354528788904	0.00017322931237603536	-0.0003837163460754993	0.00029533008057183664	0.4907257657103812	FALSE		"Q(""qi_2"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	FALSE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.9676808584533012	0.8654089248871789
rpve_csf	132	83	ok	True	0.29098518612692065	0.994984969905281	0.6577075660867844	-0.07768179626359678	0.6323149268025963	0.16235420171454598	-0.395890184362858	0.24052659183566444	0.5589254470704818	FALSE		"Q(""rpve_csf"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.7755311085927933	0.7953071970419787
rpve_gm	132	83	ok	True	0.28521216261838256	0.9949209251310952	0.6653968641490478	-0.08409439475788048	0.6109687396411714	0.16531523658546188	-0.4081063045611041	0.2399175150453431	0.4937083567509045	FALSE		"Q(""rpve_gm"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.7755311085927933	0.7953071970419787
rpve_wm	132	83	ok	True	0.2844523680824715	0.994587999977575	0.6785897200186941	-0.08387512978490298	0.6093049952780774	0.16411807000495882	-0.40554063620684555	0.2377903766370396	0.5456389715840803	FALSE		"Q(""rpve_wm"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.7755311085927933	0.7953071970419787
snr_csf	132	83	ok	True	0.31303410974258267	0.9067284085537806	0.02454506637883529	-0.007171147028945916	0.8559172939670667	0.03949441590066155	-0.0845787797846886	0.07023648572679676	0.03293667663360074	FALSE		"Q(""snr_csf"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.27490474344295524	0.8876179344843654
snr_gm	132	83	ok	True	0.3548711241676249	0.9229935388434437	0.2837122286492592	-0.08988658691179414	0.579483526158818	0.16220937465285062	-0.4078111191861457	0.22803794536255745	0.6529080890773115	FALSE		"Q(""snr_gm"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.7953071970419787
snr_total	132	83	ok	True	0.17114834385419164	0.9470486001492241	0.20661462943311446	-0.1855285783316694	0.33253855553785117	0.19146133409840765	-0.560785897596539	0.1897287409332002	0.12131287103487363	FALSE		"Q(""snr_total"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.6650771110757023
snr_wm	132	83	ok	True	0.14252895154825343	0.9608838026312252	0.24369020230362	-0.4452028380081957	0.3135765119264028	0.4417808918208474	-1.3110774750350425	0.4206717990186509	0.06766337999077687	FALSE		"Q(""snr_wm"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.4832681136433044	0.6650771110757023
snrd_csf	132	83	ok	True	0.2305515777973743	0.6337971944806946	0.9499967623856235	-2.1407484003978716	0.6421344052862881	4.606567338958324	-11.169454477114702	6.887957676318958	0.4878042542966603	FALSE		"Q(""snrd_csf"") ~ C(cohort, Treatment(""Control"")) + C(session) + age + C(sex) + icv_etiv + total_wm + mean_cortical_thickness"	TRUE	not tested: longitudinal n by cohort={'Control': 38, 'Data_ON': 1, 'Data_TON': 1, 'Glaucoma': 8}; Data_ON and Data_TON are too small; Glaucoma returners < 10	38	8	1	1	icv_etiv+total_wm+mean_cortical_thickness	0.9676808584533012	0.7953071970419787
