IQM	N_subjects	N_observations	N_longitudinal_subjects	cohort_effect	cohort_p	cohort_q	session_effect	session_se	session_ci_low	session_ci_high	session_p	session_q	interaction	interaction_p	interaction_q	convergence	warnings	status	interaction_coefficients	change_Control	change_Glaucoma	change_Data_ON	change_Data_TON
cjv	83	133	49	8.737662553	0.03299000675	0.1421107983	0.004479438889	0.007514831067	-0.01024935935	0.01920823713	0.5511219279	0.9760619237	10.21166898	0.01684996721	0.1446497793	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0258716 SE=0.0460234 CI=[-0.0643327,0.116076] p=0.574 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0678676 SE=0.0469095 CI=[-0.0240734,0.159809] p=0.148 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0480009 SE=0.017993 CI=[-0.0832666,-0.0127353] p=0.007636"	0.004479438889	-0.04352150598	0.03035103512	0.07234708544
cnr	83	133	49	8.876809021	0.03097441913	0.1421107983	-0.008524291727	0.01745525414	-0.04273596118	0.02568737773	0.625301206	0.9760619237	3.47278983	0.3243083739	0.6056515924	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0507487 SE=0.108225 CI=[-0.262865,0.161367] p=0.6391 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0975923 SE=0.10958 CI=[-0.312364,0.11718] p=0.3731 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0621782 SE=0.0419474 CI=[-0.0200372,0.144394] p=0.1383"	-0.008524291727	0.05365395066	-0.05927296371	-0.10611663
efc	83	133	49	8.249166727	0.04113330755	0.1439665764	0.0009204569473	0.003194949951	-0.005341529889	0.007182443784	0.7732721413	0.9760619237	2.267519099	0.5187719273	0.7449032803	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00543007 SE=0.0196461 CI=[-0.0439357,0.0330756] p=0.7822 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0061889 SE=0.0200467 CI=[-0.0331019,0.0454797] p=0.7575 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0110056 SE=0.00765085 CI=[-0.026001,0.00398976] p=0.1503"	0.0009204569473	-0.01008516709	-0.004509617009	0.007109356782
fber	83	133	49	3.894206749	0.2731168254	0.4248483951	932.5861534	732.5478459	-503.1812415	2368.353548	0.2029924927	0.9760619237	1.250338104	0.7409581701	0.9020360332	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=576.297 SE=4364.26 CI=[-7977.5,9130.09] p=0.8949 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-4686.52 SE=4552.82 CI=[-13609.9,4236.84] p=0.3033 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=570.768 SE=1719.82 CI=[-2800.01,3941.55] p=0.74"	932.5861534	1503.354395	1508.883061	-3753.929032
fwhm_avg	83	133	49	3.032391697	0.3866579264	0.541321097	-0.0126779096	0.0183115998	-0.04856798571	0.02321216652	0.4887218957	0.9760619237	1.549784035	0.670828769	0.8537820697	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0647595 SE=0.113009 CI=[-0.286254,0.156735] p=0.5666 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0941505 SE=0.11488 CI=[-0.131011,0.319312] p=0.4125 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0322864 SE=0.0439165 CI=[-0.0537883,0.118361] p=0.4622"	-0.0126779096	0.01960844366	-0.07743736526	0.08147259084
fwhm_x	83	133	49	2.584351998	0.4602394502	0.5857593002	-0.02172851855	0.01718783651	-0.05541605908	0.01195902197	0.2061654402	0.9760619237	0.7704787373	0.8565143044	0.9931864865	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0375789 SE=0.106117 CI=[-0.245564,0.170406] p=0.7232 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0518513 SE=0.10786 CI=[-0.15955,0.263252] p=0.6307 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.026455 SE=0.0412908 CI=[-0.0544736,0.107384] p=0.5217"	-0.02172851855	0.00472645595	-0.05930739341	0.03012276126
fwhm_y	83	133	49	4.600548064	0.203495071	0.3561163742	-0.004506630345	0.02320295682	-0.04998359005	0.04097032936	0.8459984917	0.9796176168	2.012725038	0.5697697806	0.7910420422	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.124115 SE=0.142113 CI=[-0.402652,0.154422] p=0.3825 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0995299 SE=0.145074 CI=[-0.184811,0.38387] p=0.4927 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0468228 SE=0.0554474 CI=[-0.0618521,0.155498] p=0.3984"	-0.004506630345	0.0423161663	-0.1286218146	0.09502327224
fwhm_z	83	133	49	1.811551619	0.6124244062	0.6999136071	-0.01244601238	0.01673981176	-0.04525544054	0.02036341577	0.457180383	0.9760619237	1.967613501	0.5791557809	0.7910420422	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0346673 SE=0.104059 CI=[-0.238619,0.169284] p=0.739 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.133821 SE=0.105304 CI=[-0.0725712,0.340212] p=0.2038 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0210883 SE=0.0402748 CI=[-0.0578489,0.100026] p=0.6005"	-0.01244601238	0.008642336936	-0.04711333282	0.1213746298
icvs_csf	83	133	49	2.818790219	0.4204160462	0.5647743878	0.0001341241301	0.0005773252331	-0.0009974125341	0.001265660794	0.8162895711	0.9760619237	0.6645158084	0.881516716	0.9931864865	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=2.409e-05 SE=0.00356146 CI=[-0.00695625,0.00700443] p=0.9946 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.000454134 SE=0.00363692 CI=[-0.00667409,0.00758236] p=0.9006 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00112222 SE=0.00138447 CI=[-0.00159129,0.00383574] p=0.4176"	0.0001341241301	0.001256348967	0.0001582140921	0.0005882586123
icvs_gm	83	133	49	6.768836063	0.07964235081	0.1861073462	-0.0005302831676	0.0004343841035	-0.001381660366	0.0003210940306	0.2221730408	0.9760619237	7.665260383	0.0534608446	0.2672251388	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.000430268 SE=0.00270382 CI=[-0.00572966,0.00486912] p=0.8736 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00576699 SE=0.00273374 CI=[-0.011125,-0.000408949] p=0.0349 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00170832 SE=0.00104683 CI=[-0.000343437,0.00376007] p=0.1027"	-0.0005302831676	0.001178034809	-0.0009605511359	-0.006297271069
