IQM	N_subjects	N_observations	N_longitudinal_subjects	cohort_effect	cohort_p	cohort_q	session_effect	session_se	session_ci_low	session_ci_high	session_p	session_q	interaction	interaction_p	interaction_q	convergence	warnings	status	interaction_coefficients	change_Control	change_Glaucoma	change_Data_ON	change_Data_TON
cjv	83	264	49	1.400742057	0.7053607982	0.7877293497	0.002179465376	0.02282073615	-0.04254835558	0.04690728634	0.9239147294	0.9729486129	2.28221717	0.5159361828	0.9930506376	True	Random effects covariance is singular | The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.154468 SE=0.119337 CI=[-0.0794288,0.388366] p=0.1955 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0447689 SE=0.136804 CI=[-0.223361,0.312899] p=0.7435 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0304479 SE=0.0519982 CI=[-0.132362,0.0714666] p=0.5582"	0.002179465376	-0.02826846036	0.1566478813	0.04694838791
cnr	83	264	49	2.130440064	0.5457791203	0.7216778625	-0.006136874201	0.05306166035	-0.1101358174	0.09786206904	0.9079255553	0.9729486129	1.144963559	0.7662322644	0.9930506376	True	Maximum Likelihood optimization failed to converge. Check mle_retvals | Retrying MixedLM optimization with lbfgs | The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.272381 SE=0.274563 CI=[-0.810514,0.265753] p=0.3212 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0721514 SE=0.318513 CI=[-0.696425,0.552122] p=0.8208 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.028875 SE=0.120999 CI=[-0.208279,0.266029] p=0.8114"	-0.006136874201	0.02273808368	-0.2785173941	-0.07828830892
efc	83	264	49	7.834471635	0.04955946399	0.3575425972	3.957493677e-05	0.001829092956	-0.003545381381	0.003624531254	0.9827380192	0.9827380192	2.919488831	0.4042057119	0.9930506376	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00628858 SE=0.0114416 CI=[-0.0287138,0.0161366] p=0.5826 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00223612 SE=0.0115311 CI=[-0.0203644,0.0248366] p=0.8462 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00726779 SE=0.00448482 CI=[-0.0160579,0.00152229] p=0.1051"	3.957493677e-05	-0.007228216222	-0.006249009761	0.002275690547
fber	83	264	49	5.348227428	0.1480034207	0.6348495904	1012.601544	767.5027603	-491.6762241	2516.879312	0.1870535324	0.9729486129	1.814003879	0.6118922866	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3209.64 SE=4314.6 CI=[-11666.1,5246.82] p=0.4569 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-5410.5 SE=4681.98 CI=[-14587,3766.02] p=0.2478 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-361.202 SE=1780.67 CI=[-3851.25,3128.85] p=0.8393"	1012.601544	651.399604	-2197.040676	-4397.893885
fwhm_avg	83	264	49	3.508519531	0.319658846	0.6629961251	-0.01282335471	0.03025767755	-0.07212731297	0.04648060355	0.6717080392	0.9729486129	1.090099594	0.7794646028	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0245256 SE=0.181578 CI=[-0.331362,0.380413] p=0.8926 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.168405 SE=0.187976 CI=[-0.200021,0.536831] p=0.3703 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0428495 SE=0.0725154 CI=[-0.0992781,0.184977] p=0.5546"	-0.01282335471	0.03002612012	0.01170227777	0.155581527
fwhm_x	83	264	49	2.564704536	0.463710923	0.7216778625	-0.02194985987	0.02955890505	-0.0798842492	0.03598452945	0.4577358336	0.9729486129	0.9326163352	0.8175504473	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0920355 SE=0.17761 CI=[-0.256074,0.440145] p=0.6043 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.110849 SE=0.183829 CI=[-0.249448,0.471147] p=0.5465 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0450797 SE=0.0709197 CI=[-0.0939204,0.18408] p=0.525"	-0.02194985987	0.02312982339	0.07008559421	0.08889950368
fwhm_y	83	264	49	5.96613225	0.1132696413	0.6348495904	-0.006122135181	0.02868009922	-0.06233409673	0.05008982637	0.8309659773	0.9729486129	1.938551569	0.5852579926	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0800427 SE=0.173532 CI=[-0.420159,0.260073] p=0.6446 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.193678 SE=0.178439 CI=[-0.156057,0.543413] p=0.2777 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.052092 SE=0.0690064 CI=[-0.083158,0.187342] p=0.4503"	-0.006122135181	0.04596986714	-0.08616486908	0.1875559821
fwhm_z	83	264	49	2.226394762	0.5267681555	0.7216778625	-0.00926382256	0.03692463643	-0.08163478011	0.06310713499	0.8019033328	0.9729486129	0.8704044084	0.8325633856	0.9930506376	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0622838 SE=0.219066 CI=[-0.367077,0.491645] p=0.7762 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.194704 SE=0.228741 CI=[-0.25362,0.643028] p=0.3947 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0315173 SE=0.0880661 CI=[-0.141089,0.204124] p=0.7204"	-0.00926382256	0.02225352255	0.05301993896	0.1854402025
icvs_csf	83	264	49	4.516614097	0.2108131266	0.6482644799	0.0007477318379	0.001018088669	-0.001247685286	0.002743148962	0.4626765486	0.9729486129	0.549739338	0.907835624	0.9930506376	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00357473 SE=0.00586791 CI=[-0.0150756,0.00792617] p=0.5424 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0025635 SE=0.00626744 CI=[-0.0148475,0.00972045] p=0.6825 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.000224476 SE=0.00239943 CI=[-0.00447833,0.00492728] p=0.9255"	0.0007477318379	0.0009722079749	-0.002826999731	-0.001815767282
icvs_gm	83	264	49	2.848328212	0.4156058998	0.7066742889	-0.0008486288185	0.001096123422	-0.002996991248	0.001299733611	0.4388070989	0.9729486129	1.200517774	0.7528801307	0.9930506376	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00375897 SE=0.0061195 CI=[-0.015753,0.00823503] p=0.539 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00105844 SE=0.00667187 CI=[-0.0141351,0.0120182] p=0.874 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00213274 SE=0.00255154 CI=[-0.0028682,0.00713367] p=0.4032"	-0.0008486288185	0.001284106267	-0.004607598085	-0.001907068496
icvs_wm	83	264	49	3.109018187	0.3751202228	0.7066742889	0.0002474706142	0.001786362103	-0.003253734771	0.003748675999	0.8898189639	0.9729486129	1.853495854	0.6033633967	0.9930506376	True	Maximum Likelihood optimization failed to converge. Check mle_retvals | Retrying MixedLM optimization with lbfgs | The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00988602 SE=0.00933495 CI=[-0.00841014,0.0281822] p=0.2896 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00473661 SE=0.0107343 CI=[-0.0163023,0.0257755] p=0.659 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00253291 SE=0.00407945 CI=[-0.0105285,0.00546266] p=0.5347"	0.0002474706142	-0.002285440338	0.01013349309	0.00498408525
