IQM	N_subjects	N_observations	N_longitudinal_subjects	cohort_effect	cohort_se	cohort_ci_low	cohort_ci_high	cohort_p	cohort_q	cohort_wald	session_effect	session_se	session_ci_low	session_ci_high	session_p	session_q	interaction	interaction_se	interaction_ci_low	interaction_ci_high	interaction_p	interaction_q	glaucoma_cohort_estimate	glaucoma_interaction	convergence	warnings	status	interaction_coefficients	change_Control	change_Glaucoma	change_Data_ON	change_Data_TON
cjv	83	132	49	0.009962156438	0.02553880212	-0.04009297593	0.0600172888	0.06802810454	0.1731624479	7.124683297	-0.004450287447	0.01340575577	-0.03072508594	0.02182451104	0.7399131116	0.9722204101	5.067653407	0.03127508317	-0.06564618963	0.05694988364	0.1669097323	0.9446676846	0.009962156438	-0.004348152995	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.177271 SE=0.0800305 CI=[0.0204147,0.334128] p=0.02676 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0253412 SE=0.0821536 CI=[-0.135677,0.186359] p=0.7577 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00434815 SE=0.0312751 CI=[-0.0656462,0.0569499] p=0.8894"	-0.004450287447	-0.008798440443	0.172821195	0.02089093684
cnr	83	132	49	-0.07211485616	0.0505940315	-0.1712773357	0.02704762342	0.007602288073	0.06081830458	11.93695159	0.01554863116	0.02274699099	-0.02903465193	0.06013191425	0.4942614364	0.9321049595	2.559228464	0.05365745916	-0.1273628865	0.08297048844	0.4646821975	0.9611864791	-0.07211485616	-0.02219619902	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.215071 SE=0.137604 CI=[-0.48477,0.0546281] p=0.1181 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0226964 SE=0.140391 CI=[-0.297857,0.252464] p=0.8716 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0221962 SE=0.0536575 CI=[-0.127363,0.0829705] p=0.6791"	0.01554863116	-0.006647567863	-0.1995222416	-0.007147814033
efc	83	132	49	0.02107307423	0.008443049596	0.004525001099	0.03762114735	0.04708667375	0.172407776	7.948569028	-0.001316514871	0.00275218582	-0.006710699958	0.004077670216	0.6323993606	0.9321049595	1.708294718	0.006586277103	-0.0208891458	0.004928586033	0.6350912671	0.9674290517	0.02107307423	-0.007980279881	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00681456 SE=0.0168944 CI=[-0.039927,0.0262979] p=0.6867 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00486311 SE=0.0172864 CI=[-0.0290176,0.0387438] p=0.7785 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00798028 SE=0.00658628 CI=[-0.0208891,0.00492859] p=0.2256"	-0.001316514871	-0.009296794752	-0.008131075764	0.003546595343
fber	83	132	49	-1296.623468	946.8482896	-3152.412015	559.1650783	0.000870136325	0.01218190855	16.56051238	695.9070911	539.4892439	-361.472397	1753.286579	0.1970725623	0.8027424324	2.793839171	1251.662657	-2715.852585	2190.574871	0.4245151037	0.9611864791	-1296.623468	-262.6388569	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-4314.74 SE=3170.56 CI=[-10528.9,1899.45] p=0.1736 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3493.44 SE=3319.08 CI=[-9998.72,3011.84] p=0.2926 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-262.639 SE=1251.66 CI=[-2715.85,2190.57] p=0.8338"	695.9070911	433.2682342	-3618.833501	-2797.53512
fwhm_avg	83	132	49	0.005916207306	0.09682475538	-0.1838568261	0.1956892407	0.2588017191	0.381392007	4.024770849	-0.008302774028	0.03593442222	-0.07873294738	0.06212739932	0.8172732392	0.9949413347	2.736793403	0.08564559542	-0.08364471946	0.2520798455	0.4340108093	0.9611864791	0.005916207306	0.084217563	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.16408 SE=0.220392 CI=[-0.267881,0.596041] p=0.4566 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.275327 SE=0.224232 CI=[-0.164159,0.714813] p=0.2195 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0842176 SE=0.0856456 CI=[-0.0836447,0.25208] p=0.3254"	-0.008302774028	0.07591478898	0.1557772051	0.26702451
fwhm_x	83	132	49	-0.004288342513	0.09627776099	-0.1929892866	0.1844126015	0.2835092613	0.4070902213	3.803241963	-0.01920699883	0.03649976774	-0.09074522905	0.05233123139	0.5987336266	0.9321049595	2.581085536	0.086932838	-0.09607710258	0.2446933605	0.4608151498	0.9611864791	-0.004288342513	0.07430812897	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.25729 SE=0.223495 CI=[-0.180752,0.695332] p=0.2496 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.203767 SE=0.227905 CI=[-0.242919,0.650453] p=0.3713 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0743081 SE=0.0869328 CI=[-0.0960771,0.244693] p=0.3927"	-0.01920699883	0.05510113014	0.2380830784	0.1845596765
fwhm_y	83	132	49	0.009641554688	0.09360757904	-0.1738259289	0.1931090383	0.1491529971	0.3075208446	5.330226863	-0.002473260579	0.0350062105	-0.07108417239	0.06613765123	0.9436746829	0.9970317604	2.986483436	0.08331558578	-0.06757641573	0.2590146792	0.3937138628	0.9611864791	0.009641554688	0.09571913175	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0194057 SE=0.214584 CI=[-0.439983,0.401171] p=0.9279 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.293997 SE=0.217909 CI=[-0.133096,0.72109] p=0.1773 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0957191 SE=0.0833156 CI=[-0.0675764,0.259015] p=0.2506"	-0.002473260579	0.09324587117	-0.02187895603	0.2915238638
fwhm_z	83	132	49	0.01265633347	0.1102652803	-0.2034596446	0.2287723115	0.3812827469	0.4448298714	3.067844285	-0.003583622981	0.04099420658	-0.08393079144	0.07676354548	0.9303394284	0.9970317604	2.987844529	0.09778994511	-0.1091999687	0.2741295722	0.3935031102	0.9611864791	0.01265633347	0.08246480171	True		ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.246941 SE=0.250973 CI=[-0.244957,0.738839] p=0.3251 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.325654 SE=0.256029 CI=[-0.176153,0.827461] p=0.2034 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0824648 SE=0.0977899 CI=[-0.1092,0.27413] p=0.3991"	-0.003583622981	0.07888117873	0.2433573564	0.3220703641
icvs_csf	83	132	49	0.00125988548	0.001706540885	-0.002084873194	0.004604644153	0.01140055538	0.07980388764	11.06100036	0.001195376955	0.0005720519891	7.417565867e-05	0.002316578251	0.03665105631	0.4247353775	1.20219399	0.001368796112	-0.002868619242	0.002496962921	0.7524781503	0.9674290517	0.00125988548	-0.0001858281607	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00381067 SE=0.00352551 CI=[-0.0107206,0.00309921] p=0.2797 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.000760225 SE=0.00358579 CI=[-0.00778824,0.00626779] p=0.8321 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.000185828 SE=0.0013688 CI=[-0.00286862,0.00249696] p=0.892"	0.001195376955	0.001009548794	-0.002615297899	0.0004351518691
icvs_gm	83	132	49	-0.002221186295	0.001719723854	-0.005591783114	0.001149410523	0.5523971835	0.5779273237	2.097606268	-0.0003143703453	0.0005105215185	-0.001314974135	0.0006862334443	0.5380379129	0.9321049595	2.600183402	0.001223212098	-0.001006294807	0.003788608509	0.4574573951	0.9611864791	-0.002221186295	0.001391156851	True	The MLE may be on the boundary of the parameter space.	ok	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00277027 SE=0.00315446 CI=[-0.00895289,0.00341236] p=0.3798 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00181545 SE=0.00320193 CI=[-0.00809112,0.00446023] p=0.5707 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00139116 SE=0.00122321 CI=[-0.00100629,0.00378861] p=0.2554"	-0.0003143703453	0.001076786506	-0.003084639088	-0.002129816696
