iqm	previous_interaction_estimate	previous_interaction_p	previous_interaction_q	session_level_interaction_estimate	session_level_interaction_p	session_level_interaction_q	delta_estimate	delta_q	previous_significant_fdr	session_level_significant_fdr	previous_glaucoma_interaction	previous_glaucoma_ci_low	previous_glaucoma_ci_high	glaucoma_interaction	session_level_glaucoma_ci_low	session_level_glaucoma_ci_high	rank_previous	rank_session_level	interaction_coefficients_prev	interaction_coefficients_new
cjv	2.28221717	0.5159361828	0.9930506376	5.067653407	0.1669097323	0.9446676846	2.785436237	-0.048382953	False	False	-0.0304479	-0.132362	0.0714666	-0.004348152995	-0.06564618963	0.05694988364	6	5	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.154468 SE=0.119337 CI=[-0.0794288,0.388366] p=0.1955 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0447689 SE=0.136804 CI=[-0.223361,0.312899] p=0.7435 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0304479 SE=0.0519982 CI=[-0.132362,0.0714666] p=0.5582"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.177271 SE=0.0800305 CI=[0.0204147,0.334128] p=0.02676 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0253412 SE=0.0821536 CI=[-0.135677,0.186359] p=0.7577 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00434815 SE=0.0312751 CI=[-0.0656462,0.0569499] p=0.8894"
cnr	1.144963559	0.7662322644	0.9930506376	2.559228464	0.4646821975	0.9611864791	1.414264905	-0.03186415854	False	False	0.028875	-0.208279	0.266029	-0.02219619902	-0.1273628865	0.08297048844	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.272381 SE=0.274563 CI=[-0.810514,0.265753] p=0.3212 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0721514 SE=0.318513 CI=[-0.696425,0.552122] p=0.8208 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.028875 SE=0.120999 CI=[-0.208279,0.266029] p=0.8114"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.215071 SE=0.137604 CI=[-0.48477,0.0546281] p=0.1181 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0226964 SE=0.140391 CI=[-0.297857,0.252464] p=0.8716 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0221962 SE=0.0536575 CI=[-0.127363,0.0829705] p=0.6791"
efc	2.919488831	0.4042057119	0.9930506376	1.708294718	0.6350912671	0.9674290517	-1.211194113	-0.02562158586	False	False	-0.00726779	-0.0160579	0.00152229	-0.007980279881	-0.0208891458	0.004928586033	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00628858 SE=0.0114416 CI=[-0.0287138,0.0161366] p=0.5826 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00223612 SE=0.0115311 CI=[-0.0203644,0.0248366] p=0.8462 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00726779 SE=0.00448482 CI=[-0.0160579,0.00152229] p=0.1051"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00681456 SE=0.0168944 CI=[-0.039927,0.0262979] p=0.6867 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00486311 SE=0.0172864 CI=[-0.0290176,0.0387438] p=0.7785 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00798028 SE=0.00658628 CI=[-0.0208891,0.00492859] p=0.2256"
fber	1.814003879	0.6118922866	0.9930506376	2.793839171	0.4245151037	0.9611864791	0.9798352916	-0.03186415854	False	False	-361.202	-3851.25	3128.85	-262.6388569	-2715.852585	2190.574871	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3209.64 SE=4314.6 CI=[-11666.1,5246.82] p=0.4569 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-5410.5 SE=4681.98 CI=[-14587,3766.02] p=0.2478 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-361.202 SE=1780.67 CI=[-3851.25,3128.85] p=0.8393"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-4314.74 SE=3170.56 CI=[-10528.9,1899.45] p=0.1736 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-3493.44 SE=3319.08 CI=[-9998.72,3011.84] p=0.2926 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-262.639 SE=1251.66 CI=[-2715.85,2190.57] p=0.8338"
fwhm_avg	1.090099594	0.7794646028	0.9930506376	2.736793403	0.4340108093	0.9611864791	1.646693809	-0.03186415854	False	False	0.0428495	-0.0992781	0.184977	0.084217563	-0.08364471946	0.2520798455	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0245256 SE=0.181578 CI=[-0.331362,0.380413] p=0.8926 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.168405 SE=0.187976 CI=[-0.200021,0.536831] p=0.3703 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0428495 SE=0.0725154 CI=[-0.0992781,0.184977] p=0.5546"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.16408 SE=0.220392 CI=[-0.267881,0.596041] p=0.4566 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.275327 SE=0.224232 CI=[-0.164159,0.714813] p=0.2195 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0842176 SE=0.0856456 CI=[-0.0836447,0.25208] p=0.3254"
fwhm_x	0.9326163352	0.8175504473	0.9930506376	2.581085536	0.4608151498	0.9611864791	1.648469201	-0.03186415854	False	False	0.0450797	-0.0939204	0.18408	0.07430812897	-0.09607710258	0.2446933605	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0920355 SE=0.17761 CI=[-0.256074,0.440145] p=0.6043 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.110849 SE=0.183829 CI=[-0.249448,0.471147] p=0.5465 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0450797 SE=0.0709197 CI=[-0.0939204,0.18408] p=0.525"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.25729 SE=0.223495 CI=[-0.180752,0.695332] p=0.2496 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.203767 SE=0.227905 CI=[-0.242919,0.650453] p=0.3713 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0743081 SE=0.0869328 CI=[-0.0960771,0.244693] p=0.3927"
fwhm_y	1.938551569	0.5852579926	0.9930506376	2.986483436	0.3937138628	0.9611864791	1.047931867	-0.03186415854	False	False	0.052092	-0.083158	0.187342	0.09571913175	-0.06757641573	0.2590146792	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0800427 SE=0.173532 CI=[-0.420159,0.260073] p=0.6446 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.193678 SE=0.178439 CI=[-0.156057,0.543413] p=0.2777 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.052092 SE=0.0690064 CI=[-0.083158,0.187342] p=0.4503"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0194057 SE=0.214584 CI=[-0.439983,0.401171] p=0.9279 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.293997 SE=0.217909 CI=[-0.133096,0.72109] p=0.1773 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0957191 SE=0.0833156 CI=[-0.0675764,0.259015] p=0.2506"
fwhm_z	0.8704044084	0.8325633856	0.9930506376	2.987844529	0.3935031102	0.9611864791	2.11744012	-0.03186415854	False	False	0.0315173	-0.141089	0.204124	0.08246480171	-0.1091999687	0.2741295722	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0622838 SE=0.219066 CI=[-0.367077,0.491645] p=0.7762 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.194704 SE=0.228741 CI=[-0.25362,0.643028] p=0.3947 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0315173 SE=0.0880661 CI=[-0.141089,0.204124] p=0.7204"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.246941 SE=0.250973 CI=[-0.244957,0.738839] p=0.3251 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.325654 SE=0.256029 CI=[-0.176153,0.827461] p=0.2034 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.0824648 SE=0.0977899 CI=[-0.1092,0.27413] p=0.3991"
icvs_csf	0.549739338	0.907835624	0.9930506376	1.20219399	0.7524781503	0.9674290517	0.6524546525	-0.02562158586	False	False	0.000224476	-0.00447833	0.00492728	-0.0001858281607	-0.002868619242	0.002496962921	6	30	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00357473 SE=0.00586791 CI=[-0.0150756,0.00792617] p=0.5424 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.0025635 SE=0.00626744 CI=[-0.0148475,0.00972045] p=0.6825 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.000224476 SE=0.00239943 CI=[-0.00447833,0.00492728] p=0.9255"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00381067 SE=0.00352551 CI=[-0.0107206,0.00309921] p=0.2797 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.000760225 SE=0.00358579 CI=[-0.00778824,0.00626779] p=0.8321 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.000185828 SE=0.0013688 CI=[-0.00286862,0.00249696] p=0.892"
icvs_gm	1.200517774	0.7528801307	0.9930506376	2.600183402	0.4574573951	0.9611864791	1.399665628	-0.03186415854	False	False	0.00213274	-0.0028682	0.00713367	0.001391156851	-0.001006294807	0.003788608509	6	16	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00375897 SE=0.0061195 CI=[-0.015753,0.00823503] p=0.539 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00105844 SE=0.00667187 CI=[-0.0141351,0.0120182] p=0.874 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00213274 SE=0.00255154 CI=[-0.0028682,0.00713367] p=0.4032"	"C(cohort, Treatment(""Control""))[T.Data_ON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00277027 SE=0.00315446 CI=[-0.00895289,0.00341236] p=0.3798 || C(cohort, Treatment(""Control""))[T.Data_TON]:C(session, Treatment(""ses-01""))[T.ses-02]: est=-0.00181545 SE=0.00320193 CI=[-0.00809112,0.00446023] p=0.5707 || C(cohort, Treatment(""Control""))[T.Glaucoma]:C(session, Treatment(""ses-01""))[T.ses-02]: est=0.00139116 SE=0.00122321 CI=[-0.00100629,0.00378861] p=0.2554"
