pc	rank_abs_loading	iqm	iqm_family	family_group	loading	abs_loading	loading_squared	contribution	sign	in_top10	explained_variance_ratio	cumulative_ratio	sum_loading_squared
PC1	1	summary_gm_p95	intensity_summary	intensity	0.2005228347	0.2005228347	0.04020940724	0.04020940724	+	True	0.4110993108	0.4110993108	1
PC1	2	summary_wm_p95	intensity_summary	intensity	0.1992437513	0.1992437513	0.03969807243	0.03969807243	+	True	0.4110993108	0.4110993108	1
PC1	3	inu_range	bias_field	homogeneity / bias field	0.198724725	0.198724725	0.03949151633	0.03949151633	+	True	0.4110993108	0.4110993108	1
PC1	4	wm2max	intensity_ratio	intensity	-0.1964503504	0.1964503504	0.03859274017	0.03859274017	-	True	0.4110993108	0.4110993108	1
PC1	5	inu_med	bias_field	homogeneity / bias field	0.1960031378	0.1960031378	0.03841723003	0.03841723003	+	True	0.4110993108	0.4110993108	1
PC1	6	summary_gm_median	intensity_summary	intensity	0.1956384788	0.1956384788	0.03827441439	0.03827441439	+	True	0.4110993108	0.4110993108	1
PC1	7	summary_gm_mean	intensity_summary	intensity	0.1954268966	0.1954268966	0.03819167191	0.03819167192	+	True	0.4110993108	0.4110993108	1
PC1	8	icvs_wm	tissue_fraction	morphology / tissue	0.1944896465	0.1944896465	0.0378262226	0.0378262226	+	True	0.4110993108	0.4110993108	1
PC1	9	cjv	contrast	contrast	0.1922483915	0.1922483915	0.03695944403	0.03695944404	+	True	0.4110993108	0.4110993108	1
PC1	10	cnr	contrast	contrast	-0.1921610247	0.1921610247	0.03692585941	0.03692585942	-	True	0.4110993108	0.4110993108	1
PC1	11	summary_gm_stdv	intensity_summary	intensity	0.1812546972	0.1812546972	0.03285326526	0.03285326526	+	False	0.4110993108	0.4110993108	1
PC1	12	summary_csf_p95	intensity_summary	intensity	0.1772496192	0.1772496192	0.03141742751	0.03141742751	+	False	0.4110993108	0.4110993108	1
PC1	13	summary_wm_k	intensity_summary	intensity	0.1680915813	0.1680915813	0.0282547797	0.02825477971	+	False	0.4110993108	0.4110993108	1
PC1	14	summary_wm_mad	intensity_summary	intensity	0.1636304172	0.1636304172	0.02677491343	0.02677491343	+	False	0.4110993108	0.4110993108	1
PC1	15	summary_wm_mean	intensity_summary	intensity	0.1635024457	0.1635024457	0.02673304975	0.02673304975	+	False	0.4110993108	0.4110993108	1
PC1	16	summary_csf_stdv	intensity_summary	intensity	0.1617014565	0.1617014565	0.02614736103	0.02614736104	+	False	0.4110993108	0.4110993108	1
PC1	17	summary_wm_stdv	intensity_summary	intensity	0.1589912508	0.1589912508	0.02527821783	0.02527821783	+	False	0.4110993108	0.4110993108	1
PC1	18	summary_gm_mad	intensity_summary	intensity	0.1571982842	0.1571982842	0.02471130056	0.02471130056	+	False	0.4110993108	0.4110993108	1
PC1	19	summary_bg_p95	intensity_summary	intensity	0.1517352507	0.1517352507	0.0230235863	0.02302358631	+	False	0.4110993108	0.4110993108	1
PC1	20	tpm_overlap_wm	template_overlap	morphology / tissue	-0.1506456513	0.1506456513	0.02269411226	0.02269411226	-	False	0.4110993108	0.4110993108	1
PC1	21	snr_gm	snr	signal / SNR	-0.1504607928	0.1504607928	0.02263845017	0.02263845017	-	False	0.4110993108	0.4110993108	1
PC1	22	summary_gm_k	intensity_summary	intensity	0.1502803655	0.1502803655	0.02258418825	0.02258418826	+	False	0.4110993108	0.4110993108	1
PC1	23	icvs_csf	tissue_fraction	morphology / tissue	-0.1499643503	0.1499643503	0.02248930636	0.02248930636	-	False	0.4110993108	0.4110993108	1
PC1	24	fber	energy	entropy / information	-0.1494760132	0.1494760132	0.02234307852	0.02234307852	-	False	0.4110993108	0.4110993108	1
PC1	25	summary_csf_mean	intensity_summary	intensity	0.1476211092	0.1476211092	0.02179199188	0.02179199188	+	False	0.4110993108	0.4110993108	1
PC1	26	snr_total	snr	signal / SNR	-0.1459353365	0.1459353365	0.02129712244	0.02129712244	-	False	0.4110993108	0.4110993108	1
PC1	27	icvs_gm	tissue_fraction	morphology / tissue	-0.1457086546	0.1457086546	0.02123101203	0.02123101203	-	False	0.4110993108	0.4110993108	1
PC1	28	summary_bg_mean	intensity_summary	intensity	0.1433122201	0.1433122201	0.02053839243	0.02053839243	+	False	0.4110993108	0.4110993108	1
PC1	29	summary_wm_median	intensity_summary	intensity	0.1372009681	0.1372009681	0.01882410565	0.01882410565	+	False	0.4110993108	0.4110993108	1
PC1	30	snr_wm	snr	signal / SNR	-0.1318704854	0.1318704854	0.01738982492	0.01738982492	-	False	0.4110993108	0.4110993108	1
PC1	31	summary_csf_median	intensity_summary	intensity	0.1230861529	0.1230861529	0.01515020104	0.01515020104	+	False	0.4110993108	0.4110993108	1
PC1	32	tpm_overlap_csf	template_overlap	morphology / tissue	0.1215840111	0.1215840111	0.01478267176	0.01478267176	+	False	0.4110993108	0.4110993108	1
PC1	33	summary_bg_stdv	intensity_summary	intensity	0.1210809652	0.1210809652	0.01466060013	0.01466060013	+	False	0.4110993108	0.4110993108	1
PC1	34	summary_wm_p05	intensity_summary	intensity	0.1115322458	0.1115322458	0.01243944185	0.01243944185	+	False	0.4110993108	0.4110993108	1
PC1	35	summary_csf_mad	intensity_summary	intensity	0.1100239691	0.1100239691	0.01210527378	0.01210527378	+	False	0.4110993108	0.4110993108	1
PC1	36	snrd_wm	snr_dietrich	signal / SNR	-0.07658827663	0.07658827663	0.005865764117	0.005865764117	-	False	0.4110993108	0.4110993108	1
PC1	37	snrd_total	snr_dietrich	signal / SNR	-0.07239948564	0.07239948564	0.005241685521	0.005241685521	-	False	0.4110993108	0.4110993108	1
PC1	38	efc	entropy	entropy / information	0.07094344768	0.07094344768	0.005032972769	0.005032972769	+	False	0.4110993108	0.4110993108	1
PC1	39	snrd_gm	snr_dietrich	signal / SNR	-0.07005156181	0.07005156181	0.004907221312	0.004907221312	-	False	0.4110993108	0.4110993108	1
PC1	40	summary_gm_p05	intensity_summary	intensity	0.06824950527	0.06824950527	0.00465799497	0.00465799497	+	False	0.4110993108	0.4110993108	1
PC1	41	rpve_gm	partial_volume	morphology / tissue	-0.06814258009	0.06814258009	0.004643411221	0.004643411222	-	False	0.4110993108	0.4110993108	1
PC1	42	rpve_wm	partial_volume	morphology / tissue	-0.06766199415	0.06766199415	0.004578145452	0.004578145453	-	False	0.4110993108	0.4110993108	1
PC1	43	fwhm_z	smoothness	smoothness / sharpness	0.06585839739	0.06585839739	0.004337328507	0.004337328507	+	False	0.4110993108	0.4110993108	1
PC1	44	summary_csf_k	intensity_summary	intensity	0.06582176081	0.06582176081	0.004332504196	0.004332504196	+	False	0.4110993108	0.4110993108	1
PC1	45	snrd_csf	snr_dietrich	signal / SNR	-0.06551531227	0.06551531227	0.004292256142	0.004292256142	-	False	0.4110993108	0.4110993108	1
PC1	46	summary_bg_mad	intensity_summary	intensity	0.06141266237	0.06141266237	0.003771515099	0.0037715151	+	False	0.4110993108	0.4110993108	1
PC1	47	summary_bg_median	intensity_summary	intensity	0.06141266237	0.06141266237	0.003771515099	0.0037715151	+	False	0.4110993108	0.4110993108	1
PC1	48	rpve_csf	partial_volume	morphology / tissue	-0.05930516021	0.05930516021	0.003517102028	0.003517102028	-	False	0.4110993108	0.4110993108	1
PC1	49	summary_bg_k	intensity_summary	intensity	-0.04703570381	0.04703570381	0.002212357433	0.002212357433	-	False	0.4110993108	0.4110993108	1
PC1	50	summary_csf_p05	intensity_summary	intensity	0.04681050633	0.04681050633	0.002191223503	0.002191223503	+	False	0.4110993108	0.4110993108	1
PC1	51	snr_csf	snr	signal / SNR	-0.0367108476	0.0367108476	0.001347686332	0.001347686332	-	False	0.4110993108	0.4110993108	1
PC1	52	qi_2	artifact	artifact	0.0361189323	0.0361189323	0.00130457727	0.001304577271	+	False	0.4110993108	0.4110993108	1
PC1	53	fwhm_avg	smoothness	smoothness / sharpness	0.03062375052	0.03062375052	0.0009378140959	0.0009378140959	+	False	0.4110993108	0.4110993108	1
