pc	family_group	n_iqms	contribution	contribution_pct	explained_variance_ratio
PC1	signal / SNR	8	0.08298001096	8.298001096	0.4110993108
PC1	contrast	2	0.07388530345	7.388530345	0.4110993108
PC1	intensity	28	0.5991915129	59.91915129	0.4110993108
PC1	homogeneity / bias field	2	0.07790874636	7.790874636	0.4110993108
PC1	artifact	1	0.001304577271	0.1304577271	0.4110993108
PC1	entropy / information	2	0.02737605129	2.737605129	0.4110993108
PC1	morphology / tissue	9	0.1318898544	13.18898544	0.4110993108
PC1	smoothness / sharpness	4	0.00546394344	0.546394344	0.4110993108
PC1	other	0	0	0	0.4110993108
PC2	signal / SNR	8	0.2352684002	23.52684002	0.1142286296
PC2	contrast	2	0.02094797239	2.094797239	0.1142286296
PC2	intensity	28	0.3997761459	39.97761459	0.1142286296
PC2	homogeneity / bias field	2	0.006428739072	0.6428739072	0.1142286296
PC2	artifact	1	0.02003974608	2.003974608	0.1142286296
PC2	entropy / information	2	0.02100337691	2.100337691	0.1142286296
PC2	morphology / tissue	9	0.2055950748	20.55950748	0.1142286296
PC2	smoothness / sharpness	4	0.09094054465	9.094054465	0.1142286296
PC2	other	0	0	0	0.1142286296
PC3	signal / SNR	8	0.349522027	34.9522027	0.09591836085
PC3	contrast	2	0.003934840716	0.3934840716	0.09591836085
PC3	intensity	28	0.3918020663	39.18020663	0.09591836085
PC3	homogeneity / bias field	2	0.003981075932	0.3981075932	0.09591836085
PC3	artifact	1	0.0476146366	4.76146366	0.09591836085
PC3	entropy / information	2	0.06415059469	6.415059469	0.09591836085
PC3	morphology / tissue	9	0.1375180252	13.75180252	0.09591836085
PC3	smoothness / sharpness	4	0.001476733519	0.1476733519	0.09591836085
PC3	other	0	0	0	0.09591836085
PC4	signal / SNR	8	0.1262738135	12.62738135	0.07346847237
PC4	contrast	2	0.0002769958192	0.02769958192	0.07346847237
PC4	intensity	28	0.2186289732	21.86289732	0.07346847237
PC4	homogeneity / bias field	2	0.00272372575	0.272372575	0.07346847237
PC4	artifact	1	0.0007356635029	0.07356635029	0.07346847237
PC4	entropy / information	2	0.01716384076	1.716384076	0.07346847237
PC4	morphology / tissue	9	0.07851940892	7.851940892	0.07346847237
PC4	smoothness / sharpness	4	0.5556775785	55.56775785	0.07346847237
PC4	other	0	0	0	0.07346847237
PC5	signal / SNR	8	0.3473374797	34.73374797	0.06566834941
PC5	contrast	2	0.003979691676	0.3979691676	0.06566834941
PC5	intensity	28	0.3440645808	34.40645808	0.06566834941
PC5	homogeneity / bias field	2	0.005175439226	0.5175439226	0.06566834941
PC5	artifact	1	0.00899952903	0.899952903	0.06566834941
PC5	entropy / information	2	0.01197266848	1.197266848	0.06566834941
PC5	morphology / tissue	9	0.1752281822	17.52281822	0.06566834941
PC5	smoothness / sharpness	4	0.1032424289	10.32424289	0.06566834941
PC5	other	0	0	0	0.06566834941
PC6	signal / SNR	8	0.02469554248	2.469554248	0.04954463865
PC6	contrast	2	0.001079416882	0.1079416882	0.04954463865
