pc	explained_variance_ratio	cumulative_ratio	explained_variance_pct	top5_iqms	top10_iqms	top5_contribution	top10_contribution	dominant_family	dominant_family_contribution	n_iqms_for_50pct	n_iqms_for_75pct	n_iqms_for_90pct	n_positive_in_top10	n_negative_in_top10
PC1	0.4110993108	0.4110993108	41.10993108	summary_gm_p95;summary_wm_p95;inu_range;wm2max;inu_med	summary_gm_p95;summary_wm_p95;inu_range;wm2max;inu_med;summary_gm_median;summary_gm_mean;icvs_wm;cjv;cnr	0.1964089662	0.3845865786	intensity	0.5991915129	14	25	33	8	2
PC2	0.1142286296	0.5253279404	11.42286296	snr_total;snr_wm;summary_wm_p05;rpve_csf;summary_gm_p05	snr_total;snr_wm;summary_wm_p05;rpve_csf;summary_gm_p05;rpve_gm;summary_csf_median;rpve_wm;summary_wm_mad;summary_wm_stdv	0.2540236653	0.462593097	intensity	0.3997761459	12	22	31	5	5
PC3	0.09591836085	0.6212463013	9.591836085	snrd_csf;snrd_total;snrd_gm;snrd_wm;summary_gm_p05	snrd_csf;snrd_total;snrd_gm;snrd_wm;summary_gm_p05;efc;summary_csf_mad;qi_2;summary_csf_stdv;rpve_gm	0.3638496933	0.6014499521	intensity	0.3918020663	8	16	26	8	2
PC4	0.07346847237	0.6947147736	7.346847237	fwhm_avg;fwhm_y;fwhm_x;fwhm_z;summary_bg_median	fwhm_avg;fwhm_y;fwhm_x;fwhm_z;summary_bg_median;summary_bg_mad;snrd_gm;snrd_wm;snrd_total;summary_csf_median	0.5950760622	0.740659691	smoothness / sharpness	0.5556775785	4	11	20	9	1
PC5	0.06566834941	0.760383123	6.566834941	snr_csf;summary_csf_p05;snrd_csf;snrd_total;snrd_gm	snr_csf;summary_csf_p05;snrd_csf;snrd_total;snrd_gm;snrd_wm;summary_bg_mad;summary_bg_median;summary_csf_mad;tpm_overlap_gm	0.3617665748	0.6215534639	signal / SNR	0.3473374797	8	14	21	8	2
PC6	0.04954463865	0.8099277617	4.954463865	summary_bg_median;summary_bg_mad;summary_bg_mean;summary_bg_stdv;summary_bg_p95	summary_bg_median;summary_bg_mad;summary_bg_mean;summary_bg_stdv;summary_bg_p95;tpm_overlap_gm;summary_bg_k;qi_2;efc;icvs_gm	0.4522226829	0.6588338416	intensity	0.7058903411	6	14	24	9	1
PC7	0.03677002815	0.8466977898	3.677002815	tpm_overlap_gm;summary_wm_p05;snr_csf;summary_csf_k;tpm_overlap_csf	tpm_overlap_gm;summary_wm_p05;snr_csf;summary_csf_k;tpm_overlap_csf;summary_csf_p05;summary_wm_median;summary_bg_k;snr_wm;fwhm_z	0.340969451	0.5741928036	intensity	0.5089100624	9	16	24	3	7
PC8	0.02601507964	0.8727128695	2.601507964	rpve_wm;rpve_gm;rpve_csf;tpm_overlap_gm;snr_csf	rpve_wm;rpve_gm;rpve_csf;tpm_overlap_gm;snr_csf;summary_csf_mad;snr_wm;summary_wm_stdv;summary_wm_p05;fber	0.6067138794	0.785722228	morphology / tissue	0.5784004573	4	9	18	6	4
PC9	0.02046336668	0.8931762362	2.046336668	summary_csf_k;summary_bg_k;tpm_overlap_wm;fber;tpm_overlap_gm	summary_csf_k;summary_bg_k;tpm_overlap_wm;fber;tpm_overlap_gm;efc;qi_2;summary_wm_median;summary_wm_mean;summary_csf_p05	0.7703760708	0.8784249784	intensity	0.6247507448	2	5	13	3	7
PC10	0.01712710198	0.9103033381	1.712710198	summary_bg_k;tpm_overlap_wm;tpm_overlap_gm;qi_2;icvs_csf	summary_bg_k;tpm_overlap_wm;tpm_overlap_gm;qi_2;icvs_csf;summary_wm_median;summary_bg_p95;summary_bg_median;summary_bg_mad;summary_gm_mad	0.5534224112	0.7144185216	intensity	0.4703181895	5	12	21	4	6
