pc	rank_abs_loading	iqm	iqm_family	family_group	loading	abs_loading	loading_squared	contribution	sign	in_top10	explained_variance_ratio	cumulative_ratio	sum_loading_squared
PC1	1	summary_gm_p95	intensity_summary	intensity	0.2005228347	0.2005228347	0.04020940724	0.04020940724	+	True	0.4110993108	0.4110993108	1
PC1	2	summary_wm_p95	intensity_summary	intensity	0.1992437513	0.1992437513	0.03969807243	0.03969807243	+	True	0.4110993108	0.4110993108	1
PC1	3	inu_range	bias_field	homogeneity / bias field	0.198724725	0.198724725	0.03949151633	0.03949151633	+	True	0.4110993108	0.4110993108	1
PC1	4	wm2max	intensity_ratio	intensity	-0.1964503504	0.1964503504	0.03859274017	0.03859274017	-	True	0.4110993108	0.4110993108	1
PC1	5	inu_med	bias_field	homogeneity / bias field	0.1960031378	0.1960031378	0.03841723003	0.03841723003	+	True	0.4110993108	0.4110993108	1
PC1	6	summary_gm_median	intensity_summary	intensity	0.1956384788	0.1956384788	0.03827441439	0.03827441439	+	True	0.4110993108	0.4110993108	1
PC1	7	summary_gm_mean	intensity_summary	intensity	0.1954268966	0.1954268966	0.03819167191	0.03819167192	+	True	0.4110993108	0.4110993108	1
PC1	8	icvs_wm	tissue_fraction	morphology / tissue	0.1944896465	0.1944896465	0.0378262226	0.0378262226	+	True	0.4110993108	0.4110993108	1
PC1	9	cjv	contrast	contrast	0.1922483915	0.1922483915	0.03695944403	0.03695944404	+	True	0.4110993108	0.4110993108	1
PC1	10	cnr	contrast	contrast	-0.1921610247	0.1921610247	0.03692585941	0.03692585942	-	True	0.4110993108	0.4110993108	1
PC2	1	snr_total	snr	signal / SNR	0.2363990714	0.2363990714	0.05588452096	0.05588452096	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	2	snr_wm	snr	signal / SNR	0.2301709722	0.2301709722	0.05297867644	0.05297867645	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	3	summary_wm_p05	intensity_summary	intensity	0.2246826964	0.2246826964	0.05048231406	0.05048231407	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	4	rpve_csf	partial_volume	morphology / tissue	-0.2200433477	0.2200433477	0.04841907487	0.04841907487	-	True	0.1142286296	0.5253279404	0.9999999999
PC2	5	summary_gm_p05	intensity_summary	intensity	0.2150792388	0.2150792388	0.04625907896	0.04625907897	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	6	rpve_gm	partial_volume	morphology / tissue	-0.2112075376	0.2112075376	0.04460862394	0.04460862394	-	True	0.1142286296	0.5253279404	0.9999999999
PC2	7	summary_csf_median	intensity_summary	intensity	0.2109016406	0.2109016406	0.04447950201	0.04447950201	+	True	0.1142286296	0.5253279404	0.9999999999
PC2	8	rpve_wm	partial_volume	morphology / tissue	-0.2108584168	0.2108584168	0.04446127194	0.04446127194	-	True	0.1142286296	0.5253279404	0.9999999999
PC2	9	summary_wm_mad	intensity_summary	intensity	-0.1954733501	0.1954733501	0.0382098306	0.0382098306	-	True	0.1142286296	0.5253279404	0.9999999999
PC2	10	summary_wm_stdv	intensity_summary	intensity	-0.1918598531	0.1918598531	0.03681020323	0.03681020323	-	True	0.1142286296	0.5253279404	0.9999999999
PC3	1	snrd_csf	snr_dietrich	signal / SNR	0.2824242304	0.2824242304	0.07976344592	0.07976344591	+	True	0.09591836085	0.6212463013	1
PC3	2	snrd_total	snr_dietrich	signal / SNR	0.2721285355	0.2721285355	0.07405393983	0.07405393983	+	True	0.09591836085	0.6212463013	1
PC3	3	snrd_gm	snr_dietrich	signal / SNR	0.2713496602	0.2713496602	0.07363063809	0.07363063809	+	True	0.09591836085	0.6212463013	1
PC3	4	snrd_wm	snr_dietrich	signal / SNR	0.2675411006	0.2675411006	0.07157824051	0.07157824051	+	True	0.09591836085	0.6212463013	1
PC3	5	summary_gm_p05	intensity_summary	intensity	0.254604456	0.254604456	0.06482342902	0.06482342901	+	True	0.09591836085	0.6212463013	1
PC3	6	efc	entropy	entropy / information	-0.247892567	0.247892567	0.06145072477	0.06145072477	-	True	0.09591836085	0.6212463013	1
PC3	7	summary_csf_mad	intensity_summary	intensity	0.2366170081	0.2366170081	0.05598760852	0.05598760852	+	True	0.09591836085	0.6212463013	1
PC3	8	qi_2	artifact	artifact	-0.2182077831	0.2182077831	0.04761463661	0.0476146366	-	True	0.09591836085	0.6212463013	1
PC3	9	summary_csf_stdv	intensity_summary	intensity	0.2056784211	0.2056784211	0.04230361291	0.0423036129	+	True	0.09591836085	0.6212463013	1
PC3	10	rpve_gm	partial_volume	morphology / tissue	0.1739070899	0.1739070899	0.03024367592	0.03024367592	+	True	0.09591836085	0.6212463013	1
PC4	1	fwhm_avg	smoothness	smoothness / sharpness	0.385769908	0.385769908	0.1488184219	0.1488184219	+	True	0.07346847237	0.6947147736	1
PC4	2	fwhm_y	smoothness	smoothness / sharpness	0.3755763688	0.3755763688	0.1410576088	0.1410576088	+	True	0.07346847237	0.6947147736	1
PC4	3	fwhm_x	smoothness	smoothness / sharpness	0.3685950923	0.3685950923	0.1358623421	0.1358623421	+	True	0.07346847237	0.6947147736	1
PC4	4	fwhm_z	smoothness	smoothness / sharpness	0.3604708112	0.3604708112	0.1299392057	0.1299392057	+	True	0.07346847237	0.6947147736	1
PC4	5	summary_bg_median	intensity_summary	intensity	0.1984905129	0.1984905129	0.03939848371	0.03939848371	+	True	0.07346847237	0.6947147736	1
PC4	6	summary_bg_mad	intensity_summary	intensity	0.1984905129	0.1984905129	0.03939848371	0.03939848371	+	True	0.07346847237	0.6947147736	1
PC4	7	snrd_gm	snr_dietrich	signal / SNR	0.1663757297	0.1663757297	0.02768088343	0.02768088343	+	True	0.07346847237	0.6947147736	1
PC4	8	snrd_wm	snr_dietrich	signal / SNR	0.1634468875	0.1634468875	0.02671488503	0.02671488503	+	True	0.07346847237	0.6947147736	1
PC4	9	snrd_total	snr_dietrich	signal / SNR	0.1611214782	0.1611214782	0.02596013074	0.02596013074	+	True	0.07346847237	0.6947147736	1
PC4	10	summary_csf_median	intensity_summary	intensity	-0.1607147964	0.1607147964	0.02582924578	0.02582924578	-	True	0.07346847237	0.6947147736	1
PC5	1	snr_csf	snr	signal / SNR	0.2954185837	0.2954185837	0.0872721396	0.0872721396	+	True	0.06566834941	0.760383123	1
PC5	2	summary_csf_p05	intensity_summary	intensity	0.2865259429	0.2865259429	0.08209711595	0.08209711596	+	True	0.06566834941	0.760383123	1
PC5	3	snrd_csf	snr_dietrich	signal / SNR	0.2668776095	0.2668776095	0.07122365845	0.07122365846	+	True	0.06566834941	0.760383123	1
PC5	4	snrd_total	snr_dietrich	signal / SNR	0.2477704778	0.2477704778	0.06139020967	0.06139020967	+	True	0.06566834941	0.760383123	1
PC5	5	snrd_gm	snr_dietrich	signal / SNR	0.2445065462	0.2445065462	0.05978345113	0.05978345114	+	True	0.06566834941	0.760383123	1
PC5	6	snrd_wm	snr_dietrich	signal / SNR	0.2416917763	0.2416917763	0.05841491473	0.05841491473	+	True	0.06566834941	0.760383123	1
PC5	7	summary_bg_mad	intensity_summary	intensity	0.2388477964	0.2388477964	0.05704826985	0.05704826985	+	True	0.06566834941	0.760383123	1
PC5	8	summary_bg_median	intensity_summary	intensity	0.2388477964	0.2388477964	0.05704826985	0.05704826985	+	True	0.06566834941	0.760383123	1
PC5	9	summary_csf_mad	intensity_summary	intensity	-0.2255441181	0.2255441181	0.05087014921	0.05087014921	-	True	0.06566834941	0.760383123	1
PC5	10	tpm_overlap_gm	template_overlap	morphology / tissue	-0.1908016913	0.1908016913	0.0364052854	0.0364052854	-	True	0.06566834941	0.760383123	1
PC6	1	summary_bg_median	intensity_summary	intensity	0.3321233569	0.3321233569	0.1103059242	0.1103059242	+	True	0.04954463865	0.8099277617	0.9999999999
PC6	2	summary_bg_mad	intensity_summary	intensity	0.3321233569	0.3321233569	0.1103059242	0.1103059242	+	True	0.04954463865	0.8099277617	0.9999999999
