pc	rank_abs_loading	iqm	iqm_family	loading	abs_loading	sign	loading_squared	contribution	sum_loading_squared	in_top10
PC1	1	summary_gm_p95	intensity_summary	0.2005228347	0.2005228347	+	0.04020940724	0.04020940724	1	True
PC1	2	summary_wm_p95	intensity_summary	0.1992437513	0.1992437513	+	0.03969807243	0.03969807243	1	True
PC1	3	inu_range	bias_field	0.198724725	0.198724725	+	0.03949151633	0.03949151633	1	True
PC1	4	wm2max	intensity_ratio	-0.1964503504	0.1964503504	-	0.03859274017	0.03859274017	1	True
PC1	5	inu_med	bias_field	0.1960031378	0.1960031378	+	0.03841723003	0.03841723003	1	True
PC1	6	summary_gm_median	intensity_summary	0.1956384788	0.1956384788	+	0.03827441439	0.03827441439	1	True
PC1	7	summary_gm_mean	intensity_summary	0.1954268966	0.1954268966	+	0.03819167191	0.03819167192	1	True
PC1	8	icvs_wm	tissue_fraction	0.1944896465	0.1944896465	+	0.0378262226	0.0378262226	1	True
PC1	9	cjv	contrast	0.1922483915	0.1922483915	+	0.03695944403	0.03695944404	1	True
PC1	10	cnr	contrast	-0.1921610247	0.1921610247	-	0.03692585941	0.03692585942	1	True
PC1	11	summary_gm_stdv	intensity_summary	0.1812546972	0.1812546972	+	0.03285326526	0.03285326526	1	False
PC1	12	summary_csf_p95	intensity_summary	0.1772496192	0.1772496192	+	0.03141742751	0.03141742751	1	False
PC1	13	summary_wm_k	intensity_summary	0.1680915813	0.1680915813	+	0.0282547797	0.02825477971	1	False
PC1	14	summary_wm_mad	intensity_summary	0.1636304172	0.1636304172	+	0.02677491343	0.02677491343	1	False
PC1	15	summary_wm_mean	intensity_summary	0.1635024457	0.1635024457	+	0.02673304975	0.02673304975	1	False
PC1	16	summary_csf_stdv	intensity_summary	0.1617014565	0.1617014565	+	0.02614736103	0.02614736104	1	False
PC1	17	summary_wm_stdv	intensity_summary	0.1589912508	0.1589912508	+	0.02527821783	0.02527821783	1	False
PC1	18	summary_gm_mad	intensity_summary	0.1571982842	0.1571982842	+	0.02471130056	0.02471130056	1	False
PC1	19	summary_bg_p95	intensity_summary	0.1517352507	0.1517352507	+	0.0230235863	0.02302358631	1	False
PC1	20	tpm_overlap_wm	template_overlap	-0.1506456513	0.1506456513	-	0.02269411226	0.02269411226	1	False
PC1	21	snr_gm	snr	-0.1504607928	0.1504607928	-	0.02263845017	0.02263845017	1	False
PC1	22	summary_gm_k	intensity_summary	0.1502803655	0.1502803655	+	0.02258418825	0.02258418826	1	False
PC1	23	icvs_csf	tissue_fraction	-0.1499643503	0.1499643503	-	0.02248930636	0.02248930636	1	False
PC1	24	fber	energy	-0.1494760132	0.1494760132	-	0.02234307852	0.02234307852	1	False
PC1	25	summary_csf_mean	intensity_summary	0.1476211092	0.1476211092	+	0.02179199188	0.02179199188	1	False
PC1	26	snr_total	snr	-0.1459353365	0.1459353365	-	0.02129712244	0.02129712244	1	False
PC1	27	icvs_gm	tissue_fraction	-0.1457086546	0.1457086546	-	0.02123101203	0.02123101203	1	False
PC1	28	summary_bg_mean	intensity_summary	0.1433122201	0.1433122201	+	0.02053839243	0.02053839243	1	False
PC1	29	summary_wm_median	intensity_summary	0.1372009681	0.1372009681	+	0.01882410565	0.01882410565	1	False
PC1	30	snr_wm	snr	-0.1318704854	0.1318704854	-	0.01738982492	0.01738982492	1	False
PC1	31	summary_csf_median	intensity_summary	0.1230861529	0.1230861529	+	0.01515020104	0.01515020104	1	False
PC1	32	tpm_overlap_csf	template_overlap	0.1215840111	0.1215840111	+	0.01478267176	0.01478267176	1	False
PC1	33	summary_bg_stdv	intensity_summary	0.1210809652	0.1210809652	+	0.01466060013	0.01466060013	1	False
PC1	34	summary_wm_p05	intensity_summary	0.1115322458	0.1115322458	+	0.01243944185	0.01243944185	1	False
PC1	35	summary_csf_mad	intensity_summary	0.1100239691	0.1100239691	+	0.01210527378	0.01210527378	1	False
PC1	36	snrd_wm	snr_dietrich	-0.07658827663	0.07658827663	-	0.005865764117	0.005865764117	1	False
PC1	37	snrd_total	snr_dietrich	-0.07239948564	0.07239948564	-	0.005241685521	0.005241685521	1	False
PC1	38	efc	entropy	0.07094344768	0.07094344768	+	0.005032972769	0.005032972769	1	False
PC1	39	snrd_gm	snr_dietrich	-0.07005156181	0.07005156181	-	0.004907221312	0.004907221312	1	False
PC1	40	summary_gm_p05	intensity_summary	0.06824950527	0.06824950527	+	0.00465799497	0.00465799497	1	False
PC1	41	rpve_gm	partial_volume	-0.06814258009	0.06814258009	-	0.004643411221	0.004643411222	1	False
PC1	42	rpve_wm	partial_volume	-0.06766199415	0.06766199415	-	0.004578145452	0.004578145453	1	False
PC1	43	fwhm_z	smoothness	0.06585839739	0.06585839739	+	0.004337328507	0.004337328507	1	False
PC1	44	summary_csf_k	intensity_summary	0.06582176081	0.06582176081	+	0.004332504196	0.004332504196	1	False
PC1	45	snrd_csf	snr_dietrich	-0.06551531227	0.06551531227	-	0.004292256142	0.004292256142	1	False
PC1	46	summary_bg_mad	intensity_summary	0.06141266237	0.06141266237	+	0.003771515099	0.0037715151	1	False
PC1	47	summary_bg_median	intensity_summary	0.06141266237	0.06141266237	+	0.003771515099	0.0037715151	1	False
PC1	48	rpve_csf	partial_volume	-0.05930516021	0.05930516021	-	0.003517102028	0.003517102028	1	False
PC1	49	summary_bg_k	intensity_summary	-0.04703570381	0.04703570381	-	0.002212357433	0.002212357433	1	False
PC1	50	summary_csf_p05	intensity_summary	0.04681050633	0.04681050633	+	0.002191223503	0.002191223503	1	False
PC1	51	snr_csf	snr	-0.0367108476	0.0367108476	-	0.001347686332	0.001347686332	1	False
PC1	52	qi_2	artifact	0.0361189323	0.0361189323	+	0.00130457727	0.001304577271	1	False
PC1	53	fwhm_avg	smoothness	0.03062375052	0.03062375052	+	0.0009378140959	0.0009378140959	1	False
PC1	54	fwhm_x	smoothness	0.01344745109	0.01344745109	+	0.0001808339408	0.0001808339408	1	False
PC1	55	tpm_overlap_gm	template_overlap	-0.01130799184	0.01130799184	-	0.0001278706795	0.0001278706795	1	False
PC1	56	fwhm_y	smoothness	0.002822569179	0.002822569179	+	7.96689677e-06	7.966896771e-06	1	False
PC2	1	snr_total	snr	0.2363990714	0.2363990714	+	0.05588452096	0.05588452096	0.9999999999	True
PC2	2	snr_wm	snr	0.2301709722	0.2301709722	+	0.05297867644	0.05297867645	0.9999999999	True
PC2	3	summary_wm_p05	intensity_summary	0.2246826964	0.2246826964	+	0.05048231406	0.05048231407	0.9999999999	True
PC2	4	rpve_csf	partial_volume	-0.2200433477	0.2200433477	-	0.04841907487	0.04841907487	0.9999999999	True
PC2	5	summary_gm_p05	intensity_summary	0.2150792388	0.2150792388	+	0.04625907896	0.04625907897	0.9999999999	True
PC2	6	rpve_gm	partial_volume	-0.2112075376	0.2112075376	-	0.04460862394	0.04460862394	0.9999999999	True
PC2	7	summary_csf_median	intensity_summary	0.2109016406	0.2109016406	+	0.04447950201	0.04447950201	0.9999999999	True
PC2	8	rpve_wm	partial_volume	-0.2108584168	0.2108584168	-	0.04446127194	0.04446127194	0.9999999999	True
PC2	9	summary_wm_mad	intensity_summary	-0.1954733501	0.1954733501	-	0.0382098306	0.0382098306	0.9999999999	True
PC2	10	summary_wm_stdv	intensity_summary	-0.1918598531	0.1918598531	-	0.03681020323	0.03681020323	0.9999999999	True
PC2	11	summary_csf_mean	intensity_summary	0.1875906974	0.1875906974	+	0.03519026975	0.03519026975	0.9999999999	False
PC2	12	snr_gm	snr	0.1854364121	0.1854364121	+	0.03438666293	0.03438666294	0.9999999999	False
PC2	13	snr_csf	snr	0.1803271724	0.1803271724	+	0.03251788911	0.03251788911	0.9999999999	False
PC2	14	icvs_gm	tissue_fraction	0.1706364456	0.1706364456	+	0.02911679657	0.02911679657	0.9999999999	False
PC2	15	fwhm_y	smoothness	0.1692963065	0.1692963065	+	0.02866123939	0.0286612394	0.9999999999	False
PC2	16	fwhm_avg	smoothness	0.1546995458	0.1546995458	+	0.02393194947	0.02393194947	0.9999999999	False
PC2	17	fwhm_x	smoothness	0.1489854337	0.1489854337	+	0.02219665945	0.02219665946	0.9999999999	False
PC2	18	summary_wm_median	intensity_summary	0.1485200482	0.1485200482	+	0.02205820472	0.02205820472	0.9999999999	False
PC2	19	tpm_overlap_csf	template_overlap	0.1455424307	0.1455424307	+	0.02118259913	0.02118259914	0.9999999999	False
PC2	20	qi_2	artifact	0.1415618101	0.1415618101	+	0.02003974608	0.02003974608	0.9999999999	False
PC2	21	efc	entropy	0.1316543658	0.1316543658	+	0.01733287203	0.01733287204	0.9999999999	False
PC2	22	summary_gm_stdv	intensity_summary	-0.1306116054	0.1306116054	-	0.01705939147	0.01705939147	0.9999999999	False
PC2	23	snrd_gm	snr_dietrich	-0.1290535574	0.1290535574	-	0.01665482068	0.01665482068	0.9999999999	False
PC2	24	summary_wm_mean	intensity_summary	0.1283008391	0.1283008391	+	0.01646110531	0.01646110532	0.9999999999	False
PC2	25	fwhm_z	smoothness	0.1270853899	0.1270853899	+	0.01615069633	0.01615069633	0.9999999999	False
PC2	26	snrd_wm	snr_dietrich	-0.125744579	0.125744579	-	0.01581169915	0.01581169915	0.9999999999	False
PC2	27	summary_csf_p95	intensity_summary	0.1242381686	0.1242381686	+	0.01543512254	0.01543512254	0.9999999999	False
PC2	28	snrd_total	snr_dietrich	-0.1239090826	0.1239090826	-	0.01535346075	0.01535346075	0.9999999999	False
PC2	29	icvs_csf	tissue_fraction	-0.1228374399	0.1228374399	-	0.01508903664	0.01508903664	0.9999999999	False
PC2	30	summary_csf_p05	intensity_summary	0.1117398764	0.1117398764	+	0.01248579998	0.01248579998	0.9999999999	False
PC2	31	snrd_csf	snr_dietrich	-0.1080771492	0.1080771492	-	0.01168067018	0.01168067018	0.9999999999	False
PC2	32	summary_bg_mad	intensity_summary	-0.1062315685	0.1062315685	-	0.01128514615	0.01128514615	0.9999999999	False
PC2	33	summary_bg_median	intensity_summary	-0.1062315685	0.1062315685	-	0.01128514615	0.01128514615	0.9999999999	False
PC2	34	cnr	contrast	0.1036492649	0.1036492649	+	0.01074317011	0.01074317012	0.9999999999	False
PC2	35	cjv	contrast	-0.1010188214	0.1010188214	-	0.01020480228	0.01020480228	0.9999999999	False
PC2	36	summary_bg_p95	intensity_summary	-0.09903071387	0.09903071387	-	0.00980708229	0.00980708229	0.9999999999	False
PC2	37	summary_gm_k	intensity_summary	-0.09640279087	0.09640279087	-	0.009293498088	0.009293498088	0.9999999999	False
PC2	38	summary_csf_stdv	intensity_summary	0.09465696493	0.09465696493	+	0.00895994101	0.008959941011	0.9999999999	False
PC2	39	inu_med	bias_field	-0.07514577911	0.07514577911	-	0.005646888118	0.005646888119	0.9999999999	False
PC2	40	wm2max	intensity_ratio	0.06066838661	0.06066838661	+	0.003680653134	0.003680653134	0.9999999999	False
PC2	41	fber	energy	0.06058469177	0.06058469177	+	0.003670504877	0.003670504877	0.9999999999	False
PC2	42	summary_bg_stdv	intensity_summary	0.04953178632	0.04953178632	+	0.002453397856	0.002453397856	0.9999999999	False
PC2	43	summary_gm_mean	intensity_summary	0.04002075957	0.04002075957	+	0.001601661197	0.001601661197	0.9999999999	False
PC2	44	summary_bg_mean	intensity_summary	-0.0372372277	0.0372372277	-	0.001386611127	0.001386611127	0.9999999999	False
PC2	45	summary_gm_p95	intensity_summary	-0.0365628339	0.0365628339	-	0.001336840823	0.001336840823	0.9999999999	False
PC2	46	icvs_wm	tissue_fraction	-0.03655643205	0.03655643205	-	0.001336372724	0.001336372724	0.9999999999	False
PC2	47	summary_gm_median	intensity_summary	0.03607318785	0.03607318785	+	0.001301274882	0.001301274882	0.9999999999	False
PC2	48	tpm_overlap_wm	template_overlap	-0.03361364735	0.03361364735	-	0.001129877288	0.001129877288	0.9999999999	False
PC2	49	summary_csf_mad	intensity_summary	0.03072020313	0.03072020313	+	0.0009437308803	0.0009437308804	0.9999999999	False
PC2	50	summary_bg_k	intensity_summary	-0.02933639124	0.02933639124	-	0.000860623851	0.0008606238511	0.9999999999	False
PC2	51	inu_range	bias_field	-0.02796159784	0.02796159784	-	0.0007818509538	0.0007818509538	0.9999999999	False
PC2	52	summary_gm_mad	intensity_summary	0.02248608635	0.02248608635	+	0.0005056240793	0.0005056240794	0.9999999999	False
PC2	53	tpm_overlap_gm	template_overlap	-0.01585628279	0.01585628279	-	0.0002514217039	0.0002514217039	0.9999999999	False
PC2	54	summary_csf_k	intensity_summary	-0.01198206347	0.01198206347	-	0.000143569845	0.000143569845	0.9999999999	False
PC2	55	summary_wm_p95	intensity_summary	-0.0006632986994	0.0006632986994	-	4.399651646e-07	4.399651647e-07	0.9999999999	False
PC2	56	summary_wm_k	intensity_summary	-0.0002861367407	0.0002861367407	-	8.187423438e-08	8.187423439e-08	0.9999999999	False
PC3	1	snrd_csf	snr_dietrich	0.2824242304	0.2824242304	+	0.07976344592	0.07976344591	1	True
PC3	2	snrd_total	snr_dietrich	0.2721285355	0.2721285355	+	0.07405393983	0.07405393983	1	True
PC3	3	snrd_gm	snr_dietrich	0.2713496602	0.2713496602	+	0.07363063809	0.07363063809	1	True
PC3	4	snrd_wm	snr_dietrich	0.2675411006	0.2675411006	+	0.07157824051	0.07157824051	1	True
PC3	5	summary_gm_p05	intensity_summary	0.254604456	0.254604456	+	0.06482342902	0.06482342901	1	True
PC3	6	efc	entropy	-0.247892567	0.247892567	-	0.06145072477	0.06145072477	1	True
PC3	7	summary_csf_mad	intensity_summary	0.2366170081	0.2366170081	+	0.05598760852	0.05598760852	1	True
PC3	8	qi_2	artifact	-0.2182077831	0.2182077831	-	0.04761463661	0.0476146366	1	True
PC3	9	summary_csf_stdv	intensity_summary	0.2056784211	0.2056784211	+	0.04230361291	0.0423036129	1	True
PC3	10	rpve_gm	partial_volume	0.1739070899	0.1739070899	+	0.03024367592	0.03024367592	1	True
PC3	11	rpve_wm	partial_volume	0.1734950523	0.1734950523	+	0.03010053317	0.03010053317	1	False
PC3	12	rpve_csf	partial_volume	0.1726723806	0.1726723806	+	0.02981575102	0.02981575102	1	False
PC3	13	summary_csf_p05	intensity_summary	-0.1647691645	0.1647691645	-	0.02714887757	0.02714887757	1	False
PC3	14	summary_wm_p05	intensity_summary	0.1512626441	0.1512626441	+	0.0228803875	0.0228803875	1	False
PC3	15	summary_bg_stdv	intensity_summary	-0.1510934821	0.1510934821	-	0.02282924033	0.02282924033	1	False
PC3	16	snr_gm	snr	0.1463122177	0.1463122177	+	0.02140726505	0.02140726505	1	False
PC3	17	summary_csf_p95	intensity_summary	0.142597264	0.142597264	+	0.0203339797	0.0203339797	1	False
PC3	18	summary_wm_k	intensity_summary	0.1408947328	0.1408947328	+	0.01985132573	0.01985132573	1	False
PC3	19	tpm_overlap_gm	template_overlap	0.139636555	0.139636555	+	0.01949836749	0.01949836749	1	False
PC3	20	icvs_gm	tissue_fraction	0.1321909526	0.1321909526	+	0.01747444795	0.01747444795	1	False
PC3	21	summary_wm_mean	intensity_summary	0.1217158148	0.1217158148	+	0.01481473957	0.01481473957	1	False
PC3	22	summary_wm_median	intensity_summary	0.1176051436	0.1176051436	+	0.0138309698	0.0138309698	1	False
PC3	23	summary_csf_median	intensity_summary	0.1171148406	0.1171148406	+	0.01371588589	0.01371588589	1	False
PC3	24	snr_csf	snr	-0.1146910369	0.1146910369	-	0.01315403395	0.01315403394	1	False
PC3	25	summary_bg_k	intensity_summary	0.1018916509	0.1018916509	+	0.01038190852	0.01038190852	1	False
PC3	26	snr_total	snr	0.09760114654	0.09760114654	+	0.009525983806	0.009525983805	1	False
PC3	27	summary_gm_mean	intensity_summary	0.09732324339	0.09732324339	+	0.009471813704	0.009471813703	1	False
PC3	28	summary_csf_mean	intensity_summary	0.09556033177	0.09556033177	+	0.009131777008	0.009131777007	1	False
PC3	29	summary_wm_mad	intensity_summary	-0.09471260695	0.09471260695	-	0.008970477915	0.008970477915	1	False
PC3	30	icvs_csf	tissue_fraction	-0.09240596042	0.09240596042	-	0.008538861521	0.008538861521	1	False
PC3	31	summary_gm_median	intensity_summary	0.08935025443	0.08935025443	+	0.007983467967	0.007983467966	1	False
PC3	32	summary_gm_stdv	intensity_summary	-0.08577720135	0.08577720135	-	0.007357728271	0.007357728271	1	False
PC3	33	snr_wm	snr	0.08005298192	0.08005298192	+	0.006408479914	0.006408479914	1	False
PC3	34	summary_bg_mean	intensity_summary	-0.07504190513	0.07504190513	-	0.005631287526	0.005631287525	1	False
PC3	35	summary_wm_p95	intensity_summary	0.07282134992	0.07282134992	+	0.005302949004	0.005302949004	1	False
PC3	36	cnr	contrast	0.06218880533	0.06218880533	+	0.003867447508	0.003867447508	1	False
PC3	37	fber	energy	0.0519602725	0.0519602725	+	0.002699869918	0.002699869918	1	False
PC3	38	inu_range	bias_field	0.04673008898	0.04673008898	+	0.002183701216	0.002183701216	1	False
PC3	39	inu_med	bias_field	0.04239545631	0.04239545631	+	0.001797374716	0.001797374716	1	False
PC3	40	summary_gm_k	intensity_summary	-0.04186780578	0.04186780578	-	0.001752913161	0.001752913161	1	False
PC3	41	summary_wm_stdv	intensity_summary	-0.04128884525	0.04128884525	-	0.001704768742	0.001704768742	1	False
PC3	42	summary_bg_mad	intensity_summary	0.04065674331	0.04065674331	+	0.001652970777	0.001652970776	1	False
PC3	43	summary_bg_median	intensity_summary	0.04065674331	0.04065674331	+	0.001652970777	0.001652970776	1	False
PC3	44	fwhm_z	smoothness	0.03598757262	0.03598757262	+	0.001295105383	0.001295105383	1	False
PC3	45	summary_gm_mad	intensity_summary	0.0343877937	0.0343877937	+	0.001182520356	0.001182520355	1	False
PC3	46	icvs_wm	tissue_fraction	-0.03008528184	0.03008528184	-	0.0009051241834	0.0009051241833	1	False
PC3	47	wm2max	intensity_ratio	-0.02918553233	0.02918553233	-	0.0008517952974	0.0008517952973	1	False
PC3	48	tpm_overlap_csf	template_overlap	-0.02643605632	0.02643605632	-	0.0006988650738	0.0006988650737	1	False
PC3	49	tpm_overlap_wm	template_overlap	-0.01556916421	0.01556916421	-	0.0002423988742	0.0002423988742	1	False
PC3	50	summary_csf_k	intensity_summary	0.01157379959	0.01157379959	+	0.0001339528369	0.0001339528369	1	False
PC3	51	summary_gm_p95	intensity_summary	0.01064914314	0.01064914314	+	0.0001134042496	0.0001134042496	1	False
PC3	52	fwhm_avg	smoothness	0.01019379413	0.01019379413	+	0.0001039134388	0.0001039134388	1	False
PC3	53	fwhm_x	smoothness	-0.00843634155	0.00843634155	-	7.117185875e-05	7.117185874e-05	1	False
PC3	54	cjv	contrast	0.008209336636	0.008209336636	+	6.7393208e-05	6.7393208e-05	1	False
PC3	55	fwhm_y	smoothness	-0.002557897354	0.002557897354	-	6.542838874e-06	6.542838873e-06	1	False
PC3	56	summary_bg_p95	intensity_summary	-0.002302968845	0.002302968845	-	5.303665501e-06	5.303665501e-06	1	False
PC4	1	fwhm_avg	smoothness	0.385769908	0.385769908	+	0.1488184219	0.1488184219	1	True
PC4	2	fwhm_y	smoothness	0.3755763688	0.3755763688	+	0.1410576088	0.1410576088	1	True
PC4	3	fwhm_x	smoothness	0.3685950923	0.3685950923	+	0.1358623421	0.1358623421	1	True
PC4	4	fwhm_z	smoothness	0.3604708112	0.3604708112	+	0.1299392057	0.1299392057	1	True
PC4	5	summary_bg_median	intensity_summary	0.1984905129	0.1984905129	+	0.03939848371	0.03939848371	1	True
PC4	6	summary_bg_mad	intensity_summary	0.1984905129	0.1984905129	+	0.03939848371	0.03939848371	1	True
PC4	7	snrd_gm	snr_dietrich	0.1663757297	0.1663757297	+	0.02768088343	0.02768088343	1	True
PC4	8	snrd_wm	snr_dietrich	0.1634468875	0.1634468875	+	0.02671488503	0.02671488503	1	True
PC4	9	snrd_total	snr_dietrich	0.1611214782	0.1611214782	+	0.02596013074	0.02596013074	1	True
PC4	10	summary_csf_median	intensity_summary	-0.1607147964	0.1607147964	-	0.02582924578	0.02582924578	1	True
PC4	11	tpm_overlap_csf	template_overlap	-0.1582724901	0.1582724901	-	0.02505018112	0.02505018112	1	False
PC4	12	summary_csf_mean	intensity_summary	-0.1475645985	0.1475645985	-	0.02177531073	0.02177531073	1	False
PC4	13	snrd_csf	snr_dietrich	0.143445836	0.143445836	+	0.02057670787	0.02057670787	1	False
PC4	14	snr_csf	snr	-0.143233806	0.143233806	-	0.02051592318	0.02051592318	1	False
PC4	15	summary_csf_k	intensity_summary	-0.1260544667	0.1260544667	-	0.01588972858	0.01588972858	1	False
PC4	16	rpve_wm	partial_volume	-0.1203357549	0.1203357549	-	0.01448069391	0.01448069391	1	False
PC4	17	rpve_csf	partial_volume	-0.118136147	0.118136147	-	0.01395614923	0.01395614923	1	False
PC4	18	rpve_gm	partial_volume	-0.1178509843	0.1178509843	-	0.0138888545	0.0138888545	1	False
PC4	19	summary_bg_p95	intensity_summary	0.1088075486	0.1088075486	+	0.01183908263	0.01183908263	1	False
PC4	20	efc	entropy	0.1074210841	0.1074210841	+	0.01153928931	0.01153928931	1	False
PC4	21	summary_bg_mean	intensity_summary	0.106813011	0.106813011	+	0.01140901932	0.01140901932	1	False
PC4	22	summary_csf_p95	intensity_summary	-0.09581476106	0.09581476106	-	0.009180468437	0.009180468437	1	False
PC4	23	summary_wm_k	intensity_summary	-0.08496599258	0.08496599258	-	0.007219219895	0.007219219895	1	False
PC4	24	icvs_gm	tissue_fraction	-0.08047005367	0.08047005367	-	0.006475429538	0.006475429538	1	False
PC4	25	summary_bg_stdv	intensity_summary	0.07507259639	0.07507259639	+	0.005635894729	0.005635894729	1	False
PC4	26	summary_csf_stdv	intensity_summary	-0.07505639767	0.07505639767	-	0.005633462831	0.005633462831	1	False
PC4	27	fber	energy	-0.07499700961	0.07499700961	-	0.00562455145	0.005624551451	1	False
PC4	28	summary_gm_p05	intensity_summary	-0.07213712499	0.07213712499	-	0.005203764802	0.005203764802	1	False
PC4	29	summary_gm_k	intensity_summary	0.0620389494	0.0620389494	+	0.003848831243	0.003848831243	1	False
PC4	30	summary_csf_p05	intensity_summary	-0.06117582438	0.06117582438	-	0.003742481489	0.003742481489	1	False
PC4	31	snr_gm	snr	-0.05976554014	0.05976554014	-	0.003571919788	0.003571919788	1	False
PC4	32	summary_gm_mad	intensity_summary	0.05824825303	0.05824825303	+	0.003392858981	0.003392858981	1	False
PC4	33	icvs_csf	tissue_fraction	0.05714800709	0.05714800709	+	0.003265894714	0.003265894714	1	False
PC4	34	inu_med	bias_field	-0.05107306284	0.05107306284	-	0.002608457748	0.002608457748	1	False
PC4	35	wm2max	intensity_ratio	0.04641070162	0.04641070162	+	0.002153953225	0.002153953225	1	False
PC4	36	summary_gm_stdv	intensity_summary	0.04021149054	0.04021149054	+	0.001616963971	0.001616963972	1	False
PC4	37	summary_wm_stdv	intensity_summary	-0.04018756094	0.04018756094	-	0.001615040054	0.001615040054	1	False
PC4	38	summary_bg_k	intensity_summary	-0.03740014204	0.03740014204	-	0.001398770625	0.001398770625	1	False
PC4	39	snr_wm	snr	0.03451783946	0.03451783946	+	0.001191481241	0.001191481241	1	False
PC4	40	tpm_overlap_wm	template_overlap	0.03203675144	0.03203675144	+	0.001026353443	0.001026353443	1	False
PC4	41	summary_csf_mad	intensity_summary	0.02716811325	0.02716811325	+	0.0007381063776	0.0007381063776	1	False
PC4	42	qi_2	artifact	-0.0271231175	0.0271231175	-	0.0007356635029	0.0007356635029	1	False
PC4	43	summary_wm_p95	intensity_summary	-0.02603336071	0.02603336071	-	0.0006777358699	0.0006777358699	1	False
PC4	44	icvs_wm	tissue_fraction	0.01773966909	0.01773966909	+	0.0003146958594	0.0003146958594	1	False
PC4	45	cnr	contrast	-0.01664104723	0.01664104723	-	0.0002769244529	0.0002769244529	1	False
PC4	46	summary_gm_mean	intensity_summary	-0.01524057957	0.01524057957	-	0.0002322752656	0.0002322752656	1	False
PC4	47	summary_wm_p05	intensity_summary	0.01441457053	0.01441457053	+	0.0002077798436	0.0002077798436	1	False
PC4	48	summary_gm_p95	intensity_summary	0.01392671786	0.01392671786	+	0.0001939534704	0.0001939534704	1	False
PC4	49	summary_wm_mad	intensity_summary	0.01356427519	0.01356427519	+	0.0001839895614	0.0001839895614	1	False
PC4	50	summary_gm_median	intensity_summary	-0.01251077689	0.01251077689	-	0.0001565195384	0.0001565195384	1	False
PC4	51	inu_range	bias_field	0.01073629369	0.01073629369	+	0.0001152680022	0.0001152680022	1	False
PC4	52	snr_total	snr	-0.007866523107	0.007866523107	-	6.188218579e-05	6.18821858e-05	1	False
PC4	53	tpm_overlap_gm	template_overlap	-0.007820268904	0.007820268904	-	6.115660573e-05	6.115660573e-05	1	False
PC4	54	summary_wm_mean	intensity_summary	-0.007530270299	0.007530270299	-	5.670497078e-05	5.670497078e-05	1	False
PC4	55	summary_wm_median	intensity_summary	-0.0009184726447	0.0009184726447	-	8.435919991e-07	8.435919991e-07	1	False
PC4	56	cjv	contrast	-0.0002671447191	0.0002671447191	-	7.136630094e-08	7.136630095e-08	1	False
PC5	1	snr_csf	snr	0.2954185837	0.2954185837	+	0.0872721396	0.0872721396	1	True
PC5	2	summary_csf_p05	intensity_summary	0.2865259429	0.2865259429	+	0.08209711595	0.08209711596	1	True
PC5	3	snrd_csf	snr_dietrich	0.2668776095	0.2668776095	+	0.07122365845	0.07122365846	1	True
PC5	4	snrd_total	snr_dietrich	0.2477704778	0.2477704778	+	0.06139020967	0.06139020967	1	True
PC5	5	snrd_gm	snr_dietrich	0.2445065462	0.2445065462	+	0.05978345113	0.05978345114	1	True
PC5	6	snrd_wm	snr_dietrich	0.2416917763	0.2416917763	+	0.05841491473	0.05841491473	1	True
PC5	7	summary_bg_mad	intensity_summary	0.2388477964	0.2388477964	+	0.05704826985	0.05704826985	1	True
