iqm	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56
cjv	0.1922483915	-0.1010188214	0.008209336636	-0.0002671447191	-0.0493555754	-0.02374257708	-0.05386644216	0.008712901631	0.0248799842	0.04671735054	-0.06722964847	-0.06675196934	0.01886163157	-0.2109714067	0.0007932277752	0.04746754792	-0.09857771558	0.02000863962	0.2692146989	-0.124021337	-0.08199057485	0.1133530527	0.1605463773	0.06138810388	0.1397855667	-0.1903918646	0.0454377237	0.09866908695	-0.1894401774	0.1272753616	0.01983768855	-0.2998992149	0.08116799666	-0.1592382683	0.1018320639	-0.3888528467	-0.4224166882	0.09875921706	0.08596160522	-0.04206160175	-0.02270080197	-0.08105158333	0.2416209007	0.1488650432	-0.01121428504	0.01804413326	0.1995984578	0.08541066592	-0.06815054731	-0.004091047787	-0.007300737102	-0	-0	-0	0	0
cnr	-0.1921610247	0.1036492649	0.06218880533	-0.01664104723	0.03929018774	-0.02270918131	0.05634510907	-0.009150613261	-0.02568466466	0.02057133811	0.1107630995	0.07912364825	-0.06980384354	0.1266827962	-0.03488827933	-0.02070262483	0.175946036	-0.03907625048	-0.113663127	-0.0413310308	0.03922869269	0.03946520909	-0.106830745	0.05187312955	0.1391247659	-0.08540176189	0.04506363924	0.06620012364	-0.0640019093	0.07760602838	0.01039771292	-0.02470017787	-0.06308514221	-0.05358550588	0.03481547138	-0.01619845789	-0.2018150581	-0.05245700906	0.6662457506	0.3142203877	-0.359960361	0.1519658583	-0.1084700904	-0.1043632076	0.05772688178	-0.124276266	-0.04498223052	-0.01929070125	0.03945855117	-0.0008414853125	0.001243593474	-2.374617596e-15	5.381687521e-16	7.014499561e-16	1.035311489e-15	-1.062527896e-16
efc	0.07094344768	0.1316543658	-0.247892567	0.1074210841	0.1013475676	0.1978137463	0.02216643794	0.02425451401	-0.1830263351	-0.1372611676	0.08078893912	-0.2312566235	0.1806521732	-0.139384341	0.1160991999	-0.2231304904	0.3377176207	0.2401857604	0.005606274324	0.03607643656	-0.20028855	-0.5530484301	0.1340687368	0.1213645168	0.231662111	0.01231724181	0.0904651527	-0.04486118765	-0.0337038961	0.04103845794	-0.08184687012	0.00219260612	-0.003230497394	0.01510853091	-0.002256128966	0.007216210031	-0.008921579221	0.009604085525	0.01230439819	-0.009849419315	0.003101788267	0.02062091426	0.004598847936	0.001541700165	-0.0007441370234	-0.001338527389	0.003722937738	-0.000706274984	4.225813849e-05	-3.097754698e-05	0.0001042798333	-1.482085584e-15	-2.706014917e-15	1.300607878e-16	-9.840336552e-17	3.542882716e-16
fber	-0.1494760132	0.06058469177	0.0519602725	-0.07499700961	0.04124729104	-0.1547439818	0.05387222583	-0.1606474381	0.2488698078	0.1100284938	-0.1678612906	0.3052478716	-0.08751531325	0.2162535872	-0.05931128103	0.1990018609	-0.367279228	0.03103797747	0.1195734638	-0.05157637406	-0.3422905864	-0.5237464751	-0.03735832699	-0.03683770978	0.2177393876	-0.02644186606	0.05537126208	-0.08317867566	-0.08121294031	-0.03979709551	-0.04195677179	-0.01642968461	-0.03868155042	0.007959455476	-0.0275879763	0.006991643149	0.00553564236	0.004651069054	-0.005360000873	0.004734770299	-0.001232652097	0.004465686957	0.01664037335	0.01353646645	-0.00586588885	-0.003923848211	-0.003460805368	0.001784874567	0.0003608857151	-0.0002073630647	-6.020913137e-05	-1.458051449e-15	-1.890688028e-15	1.522385852e-16	-1.087937025e-16	1.811988273e-16
fwhm_avg	0.03062375052	0.1546995458	0.01019379413	0.385769908	-0.1656719395	-0.07019367874	-0.1886511932	0.1043169436	0.05434195347	0.003880048624	-0.006735462343	0.07621897636	-0.03245794543	0.02526363168	0.01670151476	0.006360427925	0.01881945907	0.006096128264	-0.002989343602	0.02637416082	-0.02795419248	0.001185551538	-0.01463368058	-0.004318777729	-0.00229468658	-0.01732358139	0.003996093051	0.02093921401	0.01998797867	-0.001519274748	0.008477928977	-0.03493171954	-0.02693750899	-0.008081667622	-0.005729864541	0.01542517726	0.004534973134	0.006331018351	-0.001797447054	-0.003482812809	-0.003145877469	-0.005142048028	0.0004262429595	-0.001167978025	-0.0006251891938	1.298665104e-05	5.816000763e-05	0.000203348304	-0.0001038679223	-0.0001523973268	1.302933119e-05	0.7543832073	-0.3833249706	-0.1069164868	-0.05648851849	-0.01152612194
fwhm_x	0.01344745109	0.1489854337	-0.00843634155	0.3685950923	-0.1745765966	-0.07407115731	-0.1927869993	0.07569119957	0.1044652203	0.01554290646	-0.08161706627	0.1149847203	-0.01045650994	0.1061867061	-0.0935715024	0.04726265435	0.03307136763	0.1334367486	-0.1515389665	0.01136093927	0.1664790165	0.05850203623	0.3298560684	0.2227169587	0.1061136346	0.3169210873	-0.1881273813	-0.1591121239	-0.3937768236	-0.2451927005	0.0514052969	-0.04216776054	-0.05341572328	-0.04023213037	0.03620618275	-0.01800353804	0.02796652918	0.01151346531	0.01390354504	0.02312161131	-0.003963390032	-0.0005637141352	0.01308827932	0.0007148000405	0.003483790133	-0.001102637537	0.005564013954	-0.002913331417	0.001801118412	-0.0002310288973	0.000105329763	-0.2462666221	0.1251355342	0.03490263543	0.01844054388	0.003762675373
fwhm_y	0.002822569179	0.1692963065	-0.002557897354	0.3755763688	-0.1297348504	-0.05911103378	-0.1449956264	0.1376583166	-0.01270047321	-0.04147219959	0.07450879248	0.02531197095	-0.08544467276	-0.07581735837	0.182864728	-0.08858266972	0.06928918083	-0.02630620013	0.230788661	-0.0717402004	-0.1382679183	-0.06504910514	-0.5206479381	-0.3852006253	-0.1632135445	-0.122962172	-0.1357985244	-0.07295337029	-0.1925393514	0.03071988798	0.05262543608	0.03735467418	0.0708312554	-0.0004107224779	0.002512363839	-0.01349516632	-0.03398307754	-0.0479639618	-0.01105206978	-2.442982966e-05	0.006691004368	-0.02499738125	-0.003203412607	-0.0004561611127	0.001504071853	-0.0008870407561	-0.003064625857	0.00113740083	-0.00241106408	-0.0006000770735	4.261775994e-07	-0.2552557189	0.1297031668	0.03617663337	0.01911365107	0.003900018602
fwhm_z	0.06585839739	0.1270853899	0.03598757262	0.3604708112	-0.1687812722	-0.06776937597	-0.1997080982	0.08605030663	0.06392553141	0.03344863175	-0.01381532767	0.07846543394	-0.0003467277468	0.04234377791	-0.03810752954	0.05446283987	-0.04017744189	-0.07441445183	-0.08235360177	0.1222910367	-0.09252932498	0.01067628635	0.1403043478	0.13889695	0.04765128888	-0.2062752541	0.2901217332	0.254186191	0.5567062931	0.1774947147	-0.06802319524	-0.08807311554	-0.08719036985	0.01352398801	-0.04793555505	0.067395132	0.01798685372	0.04898378308	-0.006764898574	-0.02871682009	-0.01072341373	0.009118941478	-0.007197029455	-0.003248719154	-0.0059176021	0.001753568456	-0.001879037609	0.002004877328	0.0003229954937	0.0003284365058	-5.60123044e-05	-0.2895592455	0.1471338283	0.0410383701	0.02168231296	0.00442413768
icvs_csf	-0.1499643503	-0.1228374399	-0.09240596042	0.05714800709	0.04528213841	-0.1683289779	0.1319997872	0.01431289576	-0.05291749341	-0.2510270638	0.2123349504	0.2226807808	0.07465848208	-0.08738608497	0.1931283938	0.01253673095	-0.005233578095	-0.2646891533	-0.06194256927	0.2170936696	-0.2938505063	0.07996450281	0.1370665811	0.0828066284	-0.2127443808	0.1132919548	0.1995474145	0.07028557032	-0.2855258794	0.1294305389	-0.0142057131	-0.1156445168	-0.06695638092	0.03594518716	0.0326130118	0.03612307866	0.01045107657	0.01122828725	-0.0757801834	-0.006869752517	-0.04643479984	0.009804421503	-0.02613673493	-0.01356379932	-0.003658143027	-0.001046555406	0.01040197198	0.0004006848565	0.001990123695	0.002623390386	0.001147531566	0.2129310287	0.4177294239	0.004679479553	-0.00077294934	0.004235810853
icvs_gm	-0.1457086546	0.1706364456	0.1321909526	-0.08047005367	-0.03493472031	0.1828206242	-0.05862050691	-0.1267942638	0.03598329751	0.01670698657	-0.046924024	0.08605172787	0.002053243221	0.2382642476	0.1089175272	-0.0168364158	0.2523243837	0.03555515771	-0.06969260119	-0.1467523478	0.1023523419	0.07487185431	0.001308949656	-0.02742825962	0.1948624467	-0.2354266338	-0.06280979245	-0.1380296457	0.09142066098	-0.03411891563	0.03125814545	-0.1157471006	0.2547300687	-0.1620541078	-0.2117242151	-0.08986787111	-0.06156971243	0.1010877461	-0.3336740725	0.1440823499	-0.04164560352	-0.03229230795	-0.03262243075	-0.05419457865	-0.03357006108	0.002477202045	0.01062789061	0.01166020772	-0.01636811126	-0.001441821523	-0.002287621124	0.224489491	0.4404048876	0.004933494143	-0.000814907085	0.004465741927
