component	explained_variance	explained_variance_ratio	cumulative_ratio	singular_value
PC1	23.10909586	0.4110993108	0.4110993108	77.95955497
PC2	6.421125702	0.1142286296	0.5253279404	41.09447724
PC3	5.391851889	0.09591836085	0.6212463013	37.65709823
PC4	4.12987793	0.07346847237	0.6947147736	32.95690968
PC5	3.691410181	0.06566834941	0.760383123	31.15831956
PC6	2.785049193	0.04954463865	0.8099277617	27.06414487
PC7	2.066950936	0.03677002815	0.8466977898	23.3154047
PC8	1.462383792	0.02601507964	0.8727128695	19.61139815
PC9	1.150305753	0.02046336668	0.8931762362	17.39340142
PC10	0.9627645466	0.01712710198	0.9103033381	15.91248176
PC11	0.7894698247	0.01404427516	0.9243476133	14.40939152
PC12	0.6609997011	0.01175885561	0.9361064689	13.18495056
PC13	0.5817278165	0.01034864825	0.9464551172	12.36909114
PC14	0.4734497793	0.008422435874	0.954877553	11.15873165
PC15	0.4028604352	0.007166686584	0.9620442396	10.29331309
PC16	0.3853659638	0.006855468648	0.9688997083	10.06733572
PC17	0.318860147	0.005672363276	0.9745720715	9.157522518
PC18	0.231851705	0.004124526407	0.978696598	7.808777011
PC19	0.2110968605	0.003755308057	0.982451906	7.451072024
PC20	0.165570253	0.002945412374	0.9853973184	6.59886176
PC21	0.1437672878	0.002557548477	0.9879548669	6.149048437
PC22	0.1132049874	0.002013860369	0.9899687272	5.456455964
PC23	0.1046433563	0.001861553214	0.9918302804	5.246065451
PC24	0.08635987072	0.001536299107	0.9933665796	4.765778635
PC25	0.0782126942	0.001391364893	0.9947579444	4.535409416
PC26	0.0596261025	0.001060718679	0.9958186631	3.960008202
PC27	0.05567920246	0.0009905052927	0.9968091684	3.826699655
PC28	0.04446478558	0.0007910063994	0.9976001748	3.419683992
PC29	0.03394199822	0.0006038112508	0.9982039861	2.987765977
PC30	0.02187845706	0.0003892068591	0.9985931929	2.398756804
PC31	0.0181569486	0.0003230030764	0.998916196	2.185240829
PC32	0.01061191633	0.0001887807085	0.9991049767	1.670608869
PC33	0.0101491354	0.0001805480662	0.9992855248	1.633775569
PC34	0.008642963358	0.0001537540154	0.9994392788	1.507680126
PC35	0.007244880254	0.000128882813	0.9995681616	1.380363542
PC36	0.006098705773	0.0001084929395	0.9996766545	1.266475273
PC37	0.005586822555	9.938679194e-05	0.9997760413	1.212161017
PC38	0.003176210428	5.650320228e-05	0.9998325445	0.9139711934
PC39	0.002917763229	5.190555528e-05	0.9998844501	0.8759975624
PC40	0.001836154956	3.266428256e-05	0.9999171144	0.6949163643
PC41	0.001337526362	2.379392811e-05	0.9999409083	0.5931015369
PC42	0.001022974573	1.819820838e-05	0.9999591065	0.5186928886
PC43	0.000846486147	1.505856714e-05	0.9999741651	0.4718324455
PC44	0.0005475680714	9.740963391e-06	0.999983906	0.3794870258
PC45	0.0003389033078	6.028921128e-06	0.999989935	0.2985491081
PC46	0.0002482814391	4.416803198e-06	0.9999943518	0.2555347696
PC47	0.0002173793282	3.86707003e-06	0.9999982188	0.2391040847
PC48	5.980782511e-05	1.063951434e-06	0.9999992828	0.125417136
PC49	3.809344073e-05	6.776633464e-07	0.9999999605	0.1000928315
PC50	1.673779041e-06	2.977569587e-08	0.9999999902	0.02098103638
PC51	5.493364535e-07	9.772422028e-09	1	0.01201979564
PC52	1.456816288e-28	2.591603651e-30	1	1.957403085e-13
PC53	1.329981685e-29	2.365971206e-31	1	5.91426397e-14
PC54	2.862904809e-31	5.09296513e-33	1	8.67723438e-15
PC55	1.912291055e-31	3.401870586e-33	1	7.091773737e-15
PC56	1.912291055e-31	3.401870586e-33	1	7.091773737e-15
