PC	IQM	loading	absolute_loading	rank	iqm_family
PC2	snr_total	0.2363990714	0.2363990714	1	snr
PC2	snr_wm	0.2301709722	0.2301709722	2	snr
PC2	summary_wm_p05	0.2246826964	0.2246826964	3	intensity_summary
PC2	rpve_csf	-0.2200433477	0.2200433477	4	partial_volume
PC2	summary_gm_p05	0.2150792388	0.2150792388	5	intensity_summary
PC2	rpve_gm	-0.2112075376	0.2112075376	6	partial_volume
PC2	summary_csf_median	0.2109016406	0.2109016406	7	intensity_summary
PC2	rpve_wm	-0.2108584168	0.2108584168	8	partial_volume
PC2	summary_wm_mad	-0.1954733501	0.1954733501	9	intensity_summary
PC2	summary_wm_stdv	-0.1918598531	0.1918598531	10	intensity_summary
PC3	snrd_csf	0.2824242304	0.2824242304	1	snr_dietrich
PC3	snrd_total	0.2721285355	0.2721285355	2	snr_dietrich
PC3	snrd_gm	0.2713496602	0.2713496602	3	snr_dietrich
PC3	snrd_wm	0.2675411006	0.2675411006	4	snr_dietrich
PC3	summary_gm_p05	0.254604456	0.254604456	5	intensity_summary
PC3	efc	-0.247892567	0.247892567	6	entropy
PC3	summary_csf_mad	0.2366170081	0.2366170081	7	intensity_summary
PC3	qi_2	-0.2182077831	0.2182077831	8	artifact
PC3	summary_csf_stdv	0.2056784211	0.2056784211	9	intensity_summary
PC3	rpve_gm	0.1739070899	0.1739070899	10	partial_volume
PC4	fwhm_avg	0.385769908	0.385769908	1	smoothness
PC4	fwhm_y	0.3755763688	0.3755763688	2	smoothness
PC4	fwhm_x	0.3685950923	0.3685950923	3	smoothness
PC4	fwhm_z	0.3604708112	0.3604708112	4	smoothness
PC4	summary_bg_median	0.1984905129	0.1984905129	5	intensity_summary
PC4	summary_bg_mad	0.1984905129	0.1984905129	6	intensity_summary
PC4	snrd_gm	0.1663757297	0.1663757297	7	snr_dietrich
PC4	snrd_wm	0.1634468875	0.1634468875	8	snr_dietrich
PC4	snrd_total	0.1611214782	0.1611214782	9	snr_dietrich
PC4	summary_csf_median	-0.1607147964	0.1607147964	10	intensity_summary
PC5	snr_csf	0.2954185837	0.2954185837	1	snr
PC5	summary_csf_p05	0.2865259429	0.2865259429	2	intensity_summary
PC5	snrd_csf	0.2668776095	0.2668776095	3	snr_dietrich
PC5	snrd_total	0.2477704778	0.2477704778	4	snr_dietrich
PC5	snrd_gm	0.2445065462	0.2445065462	5	snr_dietrich
PC5	snrd_wm	0.2416917763	0.2416917763	6	snr_dietrich
PC5	summary_bg_mad	0.2388477964	0.2388477964	7	intensity_summary
PC5	summary_bg_median	0.2388477964	0.2388477964	8	intensity_summary
PC5	summary_csf_mad	-0.2255441181	0.2255441181	9	intensity_summary
PC5	tpm_overlap_gm	-0.1908016913	0.1908016913	10	template_overlap
PC7	tpm_overlap_gm	-0.3076702255	0.3076702255	1	template_overlap
PC7	summary_wm_p05	0.2563981657	0.2563981657	2	intensity_summary
PC7	snr_csf	-0.2511999893	0.2511999893	3	snr
PC7	summary_csf_k	-0.2431875819	0.2431875819	4	intensity_summary
PC7	tpm_overlap_csf	-0.2415094808	0.2415094808	5	template_overlap
PC7	summary_csf_p05	-0.2254958286	0.2254958286	6	intensity_summary
PC7	summary_wm_median	0.2236808085	0.2236808085	7	intensity_summary
PC7	summary_bg_k	-0.2195257052	0.2195257052	8	intensity_summary
PC7	snr_wm	0.2103972909	0.2103972909	9	snr
PC7	fwhm_z	-0.1997080982	0.1997080982	10	smoothness
PC8	rpve_wm	0.390264182	0.390264182	1	partial_volume
PC8	rpve_gm	0.3860702314	0.3860702314	2	partial_volume
PC8	rpve_csf	0.3842889492	0.3842889492	3	partial_volume
PC8	tpm_overlap_gm	-0.315663753	0.315663753	4	template_overlap
PC8	snr_csf	0.2409064603	0.2409064603	5	snr
PC8	summary_csf_mad	-0.2191707927	0.2191707927	6	intensity_summary
PC8	snr_wm	0.1938038571	0.1938038571	7	snr
PC8	summary_wm_stdv	-0.188638634	0.188638634	8	intensity_summary
PC8	summary_wm_p05	0.1789425706	0.1789425706	9	intensity_summary
PC8	fber	-0.1606474381	0.1606474381	10	energy
PC9	summary_csf_k	0.5200007757	0.5200007757	1	intensity_summary
PC9	summary_bg_k	-0.4937201908	0.4937201908	2	intensity_summary
PC9	tpm_overlap_wm	-0.3727853806	0.3727853806	3	template_overlap
PC9	fber	0.2488698078	0.2488698078	4	energy
PC9	tpm_overlap_gm	-0.2351818786	0.2351818786	5	template_overlap
PC9	efc	-0.1830263351	0.1830263351	6	entropy
PC9	qi_2	0.1777985375	0.1777985375	7	artifact
PC9	summary_wm_median	-0.1393035597	0.1393035597	8	intensity_summary
PC9	summary_wm_mean	-0.1106398176	0.1106398176	9	intensity_summary
PC9	summary_csf_p05	-0.1062605166	0.1062605166	10	intensity_summary
