PC	IQM	loading	absolute_loading	rank	iqm_family
PC1	cnr	-0.2385939462	0.2385939462	1	contrast
PC1	summary_wm_mad	0.2330069752	0.2330069752	2	intensity_summary
PC1	summary_gm_stdv	0.2279713157	0.2279713157	3	intensity_summary
PC1	snr_total	-0.2242914009	0.2242914009	4	snr
PC1	snr_gm	-0.2211775341	0.2211775341	5	snr
PC1	icvs_gm	-0.2143689405	0.2143689405	6	tissue_fraction
PC1	cjv	0.2139462739	0.2139462739	7	contrast
PC1	snr_wm	-0.2012055939	0.2012055939	8	snr
PC1	summary_wm_stdv	0.1996514978	0.1996514978	9	intensity_summary
PC1	summary_wm_median	-0.1993789038	0.1993789038	10	intensity_summary
PC2	summary_csf_mean	0.2435228172	0.2435228172	1	intensity_summary
PC2	summary_csf_median	0.2298617548	0.2298617548	2	intensity_summary
PC2	summary_csf_p95	0.2297682551	0.2297682551	3	intensity_summary
PC2	tpm_overlap_csf	0.2217360393	0.2217360393	4	template_overlap
PC2	icvs_csf	-0.2071262194	0.2071262194	5	tissue_fraction
PC2	rpve_csf	-0.196950082	0.196950082	6	partial_volume
PC2	rpve_gm	-0.1947946856	0.1947946856	7	partial_volume
PC2	efc	0.1929341927	0.1929341927	8	entropy
PC2	rpve_wm	-0.1928757354	0.1928757354	9	partial_volume
PC2	snr_csf	0.1851034363	0.1851034363	10	snr
PC5	summary_gm_mad	0.3482963251	0.3482963251	1	intensity_summary
PC5	tpm_overlap_gm	-0.3019855154	0.3019855154	2	template_overlap
PC5	icvs_gm	-0.2238685428	0.2238685428	3	tissue_fraction
PC5	summary_gm_stdv	0.212014472	0.212014472	4	intensity_summary
PC5	summary_wm_p05	0.2035074238	0.2035074238	5	intensity_summary
PC5	snr_gm	-0.2013621149	0.2013621149	6	snr
PC5	summary_wm_mean	0.1942655381	0.1942655381	7	intensity_summary
PC5	summary_gm_p95	0.1899851764	0.1899851764	8	intensity_summary
PC5	snr_wm	0.1760633073	0.1760633073	9	snr
PC5	snrd_wm	0.1709375049	0.1709375049	10	snr_dietrich
