PC	variance_explained	raw_p	raw_q	adjusted_p	adjusted_q	mixed_cohort_p	mixed_cohort_q	mixed_estimate	mixed_ci_low	mixed_ci_high	mixed_on_coef	mixed_ton_coef	N_subjects	N_observations	convergence	raw_F	adjusted_F	mixed_wald
PC1	0.2659987891	5.440052679e-05	0.0002720026339	0.01808074014	0.09040370069	0.09512338144	0.3114069011	2.496822157	0.3587336643	4.63491065	2.136966997	0.4725569946	83	133	True	8.112107733	3.474858519	6.365430361
PC2	0.1893545269	1.476313963e-05	0.0001476313963	0.001084239959	0.01084239959	0.03198228617	0.3114069011	1.307809878	-0.3418679674	2.957487723	-1.128762732	4.704625362	83	133	True	9.194873688	5.696242709	8.806158204
PC3	0.1096446591	0.3082004487	0.3852505608	0.05979369238	0.149484231	0.1245627604	0.3114069011	0.6302955327	-0.8344126684	2.095003734	-2.004630122	0.5995203531	83	133	True	1.211676898	2.534916457	5.74749316
PC4	0.09646927137	0.5039236736	0.510403071	0.04934282875	0.149484231	0.103106867	0.3114069011	1.482469039	0.2321858555	2.732752223	0.01434950607	-0.4706549025	83	133	True	0.7858117192	2.686372482	6.181483449
PC5	0.07201943656	0.004775729319	0.01591909773	0.0749314331	0.1498628662	0.1942271184	0.3316584056	0.226053694	-0.9368979586	1.389005347	-0.4864706665	2.841322956	83	133	True	4.517645153	2.356530978	4.710964659
PC6	0.0486367535	0.2286645118	0.3811075197	0.1534227425	0.2514761127	0.5078802409	0.6348503012	0.4000113292	-0.5636908442	1.363713503	-0.3728206595	-1.034125694	83	133	True	1.459582243	1.784587236	2.324307475
PC7	0.0409516183	0.2856266329	0.3852505608	0.4533752678	0.5667190848	0.4291379179	0.6130541684	0.2463975503	-0.6573887397	1.15018384	1.022068193	0.3923189328	83	133	True	1.275397083	0.8801296618	2.76593769
PC8	0.03259170193	0.1722126399	0.3444252798	0.5884291684	0.5986309012	0.7704921171	0.7704921171	0.07594663286	-0.6810013394	0.8328946051	-0.0140230463	0.9612403269	83	133	True	1.690785753	0.6435154354	1.127283651
PC9	0.02523553243	0.510403071	0.510403071	0.5986309012	0.5986309012	0.6556351999	0.7284835555	-0.08665027191	-0.7617511486	0.5884506048	-0.08399707406	-1.022722176	83	133	True	0.7742855848	0.6273504187	1.616584807
PC10	0.01774760389	0.137613109	0.3440327724	0.1760332789	0.2514761127	0.1989950433	0.3316584056	0.1584613105	-0.4198067075	0.7367293286	-0.4135389242	-1.128448293	83	133	True	1.871602697	1.673411066	4.653563029
