PC	variance_explained	raw_p	raw_q	adjusted_p	adjusted_q	mixed_cohort_p	mixed_cohort_q	mixed_estimate	mixed_ci_low	mixed_ci_high	N_subjects	N_observations	convergence	raw_F	adjusted_F	adjusted_age_p	adjusted_sex_p	mixed_wald	mixed_glaucoma_se	n_Control_acq	n_Glaucoma_acq	n_Data_ON_acq	n_Data_TON_acq
PC1	0.4110993108	0.0445150467	0.06359292385	0.264331534	0.264331534	0.2626265545	0.4875654677	1.122598187	-0.591762502	2.836958877	83	264	True	2.728110602	1.332183811	0.3838684906	0.01574087337	3.989256673	0.8746898937	190	52	16	6
PC2	0.1142286296	2.358443468e-07	2.358443468e-06	1.068248687e-05	0.0001068248687	0.03069283919	0.153464196	-0.6115964384	-1.939096599	0.7159037225	83	264	True	11.9473998	9.013550709	0.05627256324	8.650669117e-06	8.896949832	0.6773084462	190	52	16	6
PC3	0.09591836085	3.236294323e-06	1.618147162e-05	0.06169692636	0.1122670515	0.3412958274	0.4875654677	-0.7914487326	-1.930238559	0.3473410935	83	264	True	9.923153703	2.47842493	0.08580940057	2.067908479e-11	3.345968007	0.5810258939	190	52	16	6
PC4	0.07346847237	0.01539169906	0.02565283177	0.1994773115	0.2493466394	0.5535575714	0.6286166639	0.6207748973	-0.4514268446	1.692976639	83	264	True	3.533128682	1.560273676	0.1151579933	0.9094072641	2.091878369	0.5470517573	190	52	16	6
PC5	0.06566834941	0.00733726839	0.01834317097	0.1694300043	0.2420428633	0.6573848279	0.6573848279	0.5027298699	-0.4854000476	1.490859787	83	264	True	4.09042992	1.690682409	0.5560523091	0.0001105728248	1.608849923	0.5041571811	190	52	16	6
PC6	0.04954463865	0.3559131769	0.3559131769	0.06736023088	0.1122670515	0.2332108063	0.4875654677	0.727893561	-0.1773054772	1.633092599	83	264	True	1.085062272	2.410882554	7.772404718e-06	0.9090614894	4.27549965	0.4618447305	190	52	16	6
PC7	0.03677002815	0.01156351888	0.02312703776	0.01511337084	0.05037790281	0.1930744575	0.4875654677	0.352522206	-0.3711209877	1.0761654	83	264	True	3.748524728	3.547388128	0.01604198902	0.01567314783	4.725038512	0.3692124954	190	52	16	6
PC8	0.02601507964	0.0007338824961	0.002446274987	0.03473983555	0.08684958888	0.2976890454	0.4875654677	0.1572001669	-0.5036684466	0.8180687805	83	264	True	5.816239636	2.917337154	1.851124425e-06	0.6937322481	3.683845124	0.3371840599	190	52	16	6
PC9	0.02046336668	0.0737573475	0.09219668438	0.009850714291	0.04925357145	0.02389291936	0.153464196	0.3851804555	-0.170497882	0.9408587931	83	264	True	2.340752544	3.869707685	0.0001000608361	0.984563829	9.447827077	0.2835145655	190	52	16	6
PC10	0.01712710198	0.3296630037	0.3559131769	0.2427034713	0.264331534	0.5657549975	0.6286166639	0.2864938089	-0.1886988531	0.7616864709	83	264	True	1.14943119	1.401844917	0.3048571146	0.8691797835	2.032177883	0.2424496908	190	52	16	6
