PC	variance_explained	rank	IQM	loading	abs_loading	family
PC1	0.4110993108	1	summary_gm_p95	0.2005228347	0.2005228347	intensity_summary
PC1	0.4110993108	2	summary_wm_p95	0.1992437513	0.1992437513	intensity_summary
PC1	0.4110993108	3	inu_range	0.198724725	0.198724725	bias_field
PC1	0.4110993108	4	wm2max	-0.1964503504	0.1964503504	intensity_ratio
PC1	0.4110993108	5	inu_med	0.1960031378	0.1960031378	bias_field
PC1	0.4110993108	6	summary_gm_median	0.1956384788	0.1956384788	intensity_summary
PC1	0.4110993108	7	summary_gm_mean	0.1954268966	0.1954268966	intensity_summary
PC1	0.4110993108	8	icvs_wm	0.1944896465	0.1944896465	tissue_fraction
PC1	0.4110993108	9	cjv	0.1922483915	0.1922483915	contrast
PC1	0.4110993108	10	cnr	-0.1921610247	0.1921610247	contrast
PC2	0.1142286296	1	snr_total	0.2363990714	0.2363990714	snr
PC2	0.1142286296	2	snr_wm	0.2301709722	0.2301709722	snr
PC2	0.1142286296	3	summary_wm_p05	0.2246826964	0.2246826964	intensity_summary
PC2	0.1142286296	4	rpve_csf	-0.2200433477	0.2200433477	partial_volume
PC2	0.1142286296	5	summary_gm_p05	0.2150792388	0.2150792388	intensity_summary
PC2	0.1142286296	6	rpve_gm	-0.2112075376	0.2112075376	partial_volume
PC2	0.1142286296	7	summary_csf_median	0.2109016406	0.2109016406	intensity_summary
PC2	0.1142286296	8	rpve_wm	-0.2108584168	0.2108584168	partial_volume
PC2	0.1142286296	9	summary_wm_mad	-0.1954733501	0.1954733501	intensity_summary
PC2	0.1142286296	10	summary_wm_stdv	-0.1918598531	0.1918598531	intensity_summary
PC3	0.09591836085	1	snrd_csf	0.2824242304	0.2824242304	snr_dietrich
PC3	0.09591836085	2	snrd_total	0.2721285355	0.2721285355	snr_dietrich
PC3	0.09591836085	3	snrd_gm	0.2713496602	0.2713496602	snr_dietrich
PC3	0.09591836085	4	snrd_wm	0.2675411006	0.2675411006	snr_dietrich
PC3	0.09591836085	5	summary_gm_p05	0.254604456	0.254604456	intensity_summary
PC3	0.09591836085	6	efc	-0.247892567	0.247892567	entropy
PC3	0.09591836085	7	summary_csf_mad	0.2366170081	0.2366170081	intensity_summary
PC3	0.09591836085	8	qi_2	-0.2182077831	0.2182077831	artifact
PC3	0.09591836085	9	summary_csf_stdv	0.2056784211	0.2056784211	intensity_summary
PC3	0.09591836085	10	rpve_gm	0.1739070899	0.1739070899	partial_volume
PC4	0.07346847237	1	fwhm_avg	0.385769908	0.385769908	smoothness
PC4	0.07346847237	2	fwhm_y	0.3755763688	0.3755763688	smoothness
PC4	0.07346847237	3	fwhm_x	0.3685950923	0.3685950923	smoothness
PC4	0.07346847237	4	fwhm_z	0.3604708112	0.3604708112	smoothness
PC4	0.07346847237	5	summary_bg_median	0.1984905129	0.1984905129	intensity_summary
PC4	0.07346847237	6	summary_bg_mad	0.1984905129	0.1984905129	intensity_summary
PC4	0.07346847237	7	snrd_gm	0.1663757297	0.1663757297	snr_dietrich
PC4	0.07346847237	8	snrd_wm	0.1634468875	0.1634468875	snr_dietrich
PC4	0.07346847237	9	snrd_total	0.1611214782	0.1611214782	snr_dietrich
PC4	0.07346847237	10	summary_csf_median	-0.1607147964	0.1607147964	intensity_summary
PC5	0.06566834941	1	snr_csf	0.2954185837	0.2954185837	snr
PC5	0.06566834941	2	summary_csf_p05	0.2865259429	0.2865259429	intensity_summary
PC5	0.06566834941	3	snrd_csf	0.2668776095	0.2668776095	snr_dietrich
PC5	0.06566834941	4	snrd_total	0.2477704778	0.2477704778	snr_dietrich
PC5	0.06566834941	5	snrd_gm	0.2445065462	0.2445065462	snr_dietrich
PC5	0.06566834941	6	snrd_wm	0.2416917763	0.2416917763	snr_dietrich
PC5	0.06566834941	7	summary_bg_mad	0.2388477964	0.2388477964	intensity_summary
PC5	0.06566834941	8	summary_bg_median	0.2388477964	0.2388477964	intensity_summary
PC5	0.06566834941	9	summary_csf_mad	-0.2255441181	0.2255441181	intensity_summary
PC5	0.06566834941	10	tpm_overlap_gm	-0.1908016913	0.1908016913	template_overlap
PC6	0.04954463865	1	summary_bg_median	0.3321233569	0.3321233569	intensity_summary
