PC	var_original	var_physical	var_delta	loading_cosine_raw	sign_flip	loading_cosine_aligned	score_pearson_aligned	n_scores_compared
PC1	0.4110993108	0.2659987891	-0.1451005217	0.4512218469	0	0.4512218469	0.6704746596	133
PC2	0.1142286296	0.1893545269	0.0751258973	0.6167889062	0	0.6167889062	0.7436314995	133
PC3	0.09591836085	0.1096446591	0.01372629825	0.2292285934	0	0.2292285934	0.1400613316	133
PC4	0.07346847237	0.09646927137	0.023000799	-0.05881071704	1	0.05881071704	-0.02484418213	133
PC5	0.06566834941	0.07201943656	0.00635108715	0.4840970564	0	0.4840970564	0.5011842613	133
PC6	0.04954463865	0.0486367535	-0.00090788515	0.308273077	0	0.308273077	0.3016817842	133
PC7	0.03677002815	0.0409516183	0.00418159015	0.4624601393	0	0.4624601393	0.4221726423	133
PC8	0.02601507964	0.03259170193	0.00657662229	0.7145693141	0	0.7145693141	0.7870143869	133
PC9	0.02046336668	0.02523553243	0.00477216575	-0.5728977446	1	0.5728977446	0.6330174751	133
PC10	0.01712710198	0.01774760389	0.00062050191	-0.4942274566	1	0.4942274566	0.4428301729	133
