PC	variance_explained	rank	IQM	loading	abs_loading	family
PC1	0.2659987891	1	cnr	-0.2385939462	0.2385939462	contrast
PC1	0.2659987891	2	summary_wm_mad	0.2330069752	0.2330069752	intensity_summary
PC1	0.2659987891	3	summary_gm_stdv	0.2279713157	0.2279713157	intensity_summary
PC1	0.2659987891	4	snr_total	-0.2242914009	0.2242914009	snr
PC1	0.2659987891	5	snr_gm	-0.2211775341	0.2211775341	snr
PC1	0.2659987891	6	icvs_gm	-0.2143689405	0.2143689405	tissue_fraction
PC1	0.2659987891	7	cjv	0.2139462739	0.2139462739	contrast
PC1	0.2659987891	8	snr_wm	-0.2012055939	0.2012055939	snr
PC1	0.2659987891	9	summary_wm_stdv	0.1996514978	0.1996514978	intensity_summary
PC1	0.2659987891	10	summary_wm_median	-0.1993789038	0.1993789038	intensity_summary
PC2	0.1893545269	1	summary_csf_mean	0.2435228172	0.2435228172	intensity_summary
PC2	0.1893545269	2	summary_csf_median	0.2298617548	0.2298617548	intensity_summary
PC2	0.1893545269	3	summary_csf_p95	0.2297682551	0.2297682551	intensity_summary
PC2	0.1893545269	4	tpm_overlap_csf	0.2217360393	0.2217360393	template_overlap
PC2	0.1893545269	5	icvs_csf	-0.2071262194	0.2071262194	tissue_fraction
PC2	0.1893545269	6	rpve_csf	-0.196950082	0.196950082	partial_volume
PC2	0.1893545269	7	rpve_gm	-0.1947946856	0.1947946856	partial_volume
PC2	0.1893545269	8	efc	0.1929341927	0.1929341927	entropy
PC2	0.1893545269	9	rpve_wm	-0.1928757354	0.1928757354	partial_volume
PC2	0.1893545269	10	snr_csf	0.1851034363	0.1851034363	snr
PC3	0.1096446591	1	fwhm_avg	0.3138429485	0.3138429485	smoothness
PC3	0.1096446591	2	fwhm_z	0.3077441061	0.3077441061	smoothness
PC3	0.1096446591	3	fwhm_x	0.3044253862	0.3044253862	smoothness
PC3	0.1096446591	4	summary_csf_k	-0.2922360193	0.2922360193	intensity_summary
PC3	0.1096446591	5	fwhm_y	0.2880685714	0.2880685714	smoothness
PC3	0.1096446591	6	summary_csf_mad	0.2826388067	0.2826388067	intensity_summary
PC3	0.1096446591	7	snr_csf	-0.2617755495	0.2617755495	snr
PC3	0.1096446591	8	summary_csf_p05	-0.2188120476	0.2188120476	intensity_summary
PC3	0.1096446591	9	tpm_overlap_csf	-0.1769054585	0.1769054585	template_overlap
PC3	0.1096446591	10	summary_gm_mean	0.1696624172	0.1696624172	intensity_summary
PC4	0.09646927137	1	summary_bg_median	0.314147528	0.314147528	intensity_summary
PC4	0.09646927137	2	summary_bg_mad	0.314147528	0.314147528	intensity_summary
PC4	0.09646927137	3	summary_bg_p95	0.2701605974	0.2701605974	intensity_summary
PC4	0.09646927137	4	snrd_csf	0.2617587715	0.2617587715	snr_dietrich
PC4	0.09646927137	5	summary_gm_k	0.2519492678	0.2519492678	intensity_summary
PC4	0.09646927137	6	snrd_total	0.2480495646	0.2480495646	snr_dietrich
PC4	0.09646927137	7	snrd_gm	0.2458042179	0.2458042179	snr_dietrich
PC4	0.09646927137	8	snrd_wm	0.2435274984	0.2435274984	snr_dietrich
PC4	0.09646927137	9	qi_2	-0.2033805834	0.2033805834	artifact
PC4	0.09646927137	10	fwhm_x	-0.1886001394	0.1886001394	smoothness
PC5	0.07201943656	1	summary_gm_mad	0.3482963251	0.3482963251	intensity_summary
PC5	0.07201943656	2	tpm_overlap_gm	-0.3019855154	0.3019855154	template_overlap
PC5	0.07201943656	3	icvs_gm	-0.2238685428	0.2238685428	tissue_fraction
PC5	0.07201943656	4	summary_gm_stdv	0.212014472	0.212014472	intensity_summary
PC5	0.07201943656	5	summary_wm_p05	0.2035074238	0.2035074238	intensity_summary
PC5	0.07201943656	6	snr_gm	-0.2013621149	0.2013621149	snr
PC5	0.07201943656	7	summary_wm_mean	0.1942655381	0.1942655381	intensity_summary
PC5	0.07201943656	8	summary_gm_p95	0.1899851764	0.1899851764	intensity_summary
PC5	0.07201943656	9	snr_wm	0.1760633073	0.1760633073	snr
PC5	0.07201943656	10	snrd_wm	0.1709375049	0.1709375049	snr_dietrich
PC6	0.0486367535	1	summary_gm_mean	-0.29205968	0.29205968	intensity_summary
PC6	0.0486367535	2	summary_gm_median	-0.2852354035	0.2852354035	intensity_summary
