iqm	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56
cjv	0.2139462739	0.03450926502	0.08384066126	0.06615812936	0.03107914691	-0.202055663	0.0513087905	0.1516527174	-0.05162617344	-0.02124498561	0.02265260244	0.2115185217	-0.02993264023	-0.05660273928	-0.1200907543	0.1282780763	-0.1309860584	0.04966480354	-0.07866098332	0.1695858775	-0.005893232925	0.0189252626	-0.03945563154	-0.02952955751	0.153818068	0.09104513802	0.1265724461	0.01842481248	-0.2597174572	-0.06415530817	-0.04352901501	-0.03271384684	0.03497074163	-0.212943735	-0.3402862254	0.03400338047	0.07486248303	-0.01845641799	-0.1372310097	-0.07108780591	0.1328556263	-0.3425213177	0.3125480763	-0.2413683182	0.291601006	0.1691093081	0.03473979321	0.1068493055	0.0005310463227	0.0087385898	-0.005317581001	-3.163616085e-14	0	-0	0	-0
cnr	-0.2385939462	-0.03679742097	-0.03219799673	0.01053502652	0.01870428519	0.1413781351	-0.1056013491	-0.0743799214	0.1037947191	-0.03231512282	0.03536176708	-0.003736773022	-0.0335923646	-0.06469568693	0.03546178617	-0.06088941715	-0.074474756	0.1015205529	-0.1178594315	0.05489148104	-0.02874757526	-0.1610589604	0.02206300715	0.006396086839	0.01452528884	0.04879683481	0.0007952190581	-0.1327951639	-0.006012561729	-0.04451440886	0.02910536869	-0.03029050065	0.01698458349	-0.1006740548	-0.0325217316	0.1234897427	0.4199496466	-0.2449940705	-0.5247449952	-0.4267733996	0.04812633929	0.1778469457	0.01274285934	0.1944822984	-0.002100730951	-0.04138936834	0.006966916491	0.02251074393	-0.03628954676	0.0003292660988	-0.001708692363	-5.482273206e-15	-2.978957234e-15	1.24946161e-14	5.344870984e-16	1.051041761e-15
efc	0.1390644451	0.1929341927	0.06719336877	-0.06883323641	-0.01249131996	0.04121124321	-0.1791920355	-0.01540996743	-0.08113476263	0.1923370056	-0.0536910154	-0.1741008324	0.1906515662	-0.04867881419	0.08846486646	-0.06593792628	0.06122975312	-0.01576452775	-0.00459122817	-0.1167625432	0.1615931461	-0.2777559558	-0.5171209565	0.5052401671	0.1166696016	0.1498254954	0.2265868642	0.08294906535	-0.08116038125	0.05022263008	-0.0007571260078	0.1225360042	-0.004292487714	-0.03428049659	0.05952827726	-0.01741526374	0.05319644516	-0.01882361708	-0.01612963749	0.03175981565	-0.0009484252718	-0.0165048535	0.01010323305	-0.0106749779	-0.01301827518	-0.01150588007	0.0006453612562	-0.000996675694	-0.00580999971	0.0001664130783	-0.0002409846537	-3.05118214e-15	4.353238495e-16	-2.235266211e-15	3.903186219e-17	-7.488146086e-16
fber	-0.1317216739	-0.06048564532	-0.1292205889	-0.03019147872	0.06031364722	0.02622802626	0.3679495039	-0.1330124202	0.09297698329	-0.1774524081	-0.01714582662	0.1457902699	-0.262718819	-0.1473490204	-0.04937149372	-0.09057046523	-0.2363115373	-0.2621522895	-0.2882508769	-0.2283370683	-0.2200650148	0.3069910188	-0.2897681137	0.2720506178	-0.1838375802	0.01475143359	0.04680253633	0.1273723992	-0.07881105254	0.08165240317	-0.07336584665	0.04841403351	-0.03373413046	-0.001791938916	0.02359864471	-0.04678664028	0.04663256691	0.01932789977	-0.01004097154	-0.002913548328	-0.02444214029	-0.009841490549	0.01041403896	-0.004359198028	-0.0001730342589	-0.007609939263	0.002311062752	-0.001489268086	-0.003603969408	0.0003580428946	-9.649540129e-05	-1.651973924e-15	-2.487731061e-16	6.429231565e-16	1.170639861e-16	2.96969295e-16
fwhm_avg	-0.002707835925	-0.06105985274	0.3138429485	-0.18706501	0.1038356545	-0.08342290078	-0.1233094888	-0.03569460477	-0.06237706459	-0.1967988885	0.02115816078	-0.08006892525	-0.1275907005	-0.0768221735	0.00371302679	-0.009073320753	-0.01318509472	-0.08613592412	0.01352507186	-0.06202994353	0.04859776811	-0.02613593536	-0.02951287947	-0.04731441418	-0.002911874771	-0.05032612693	0.01337673703	-0.03209363499	0.02886497506	-0.03267059928	-0.01546911817	-0.03281933989	-0.00174436672	-0.02145077891	0.001162159876	-0.0142263796	0.001826627855	-0.000737086461	-0.000171182421	0.0009324322385	-0.00604705303	-0.003767180601	-0.003414661654	-5.669449794e-05	-0.002530924238	0.003360385017	-0.00131045881	-0.001070886604	8.162579337e-05	7.927970122e-05	4.336565279e-06	0.1034095194	0.2751758863	-0.8026958249	-0.02091927828	0.01108487745
fwhm_x	0.001435064669	-0.06164247318	0.3044253862	-0.1886001394	0.06149180909	-0.0493571605	-0.06688024367	-0.02689460115	-0.07747468519	-0.2246434122	-0.03655086003	-0.1066778559	-0.1310454867	-0.06883516408	0.2229994567	-0.03358390168	0.1012021519	-0.1441307939	0.0639497955	-0.1271130306	-0.2287738407	-0.07524836294	0.3359257802	0.01823614388	0.0121039689	-0.03727544896	0.5232597644	0.1814253927	-0.08486398559	-0.2218214896	0.1446005055	0.1472514696	-0.06305220875	0.03908655995	0.004755103867	-0.02145656204	0.01576558374	0.02620108397	-0.02163935275	-0.03370400647	-0.02091753906	0.003507807845	-0.01271942938	-0.01427070902	0.006313173212	-0.006503512186	-0.01199595737	0.008978965666	0.001204031172	-0.0002478711308	-0.0002828731474	-0.03317105837	-0.08826919843	0.2574837425	0.006710355147	-0.003555737606
fwhm_y	-0.001475971523	-0.04125729438	0.2880685714	-0.1772235422	0.1344850363	-0.1007118473	-0.1755692599	-0.004244758725	-0.05973960679	-0.1376057304	0.1205296728	-0.04053411629	-0.1044899201	-0.103858262	-0.1811123433	-0.04255093288	-0.07823862354	-0.02267859684	0.003732535886	0.01920844615	0.3450924656	-0.0889203876	-0.2990114717	-0.2613102716	-0.5284322096	0.03145995872	-0.06804633347	0.006064050616	0.02554465903	-0.0663525609	-0.1524734454	-0.1209691166	0.0296685645	0.037802296	-0.03135558486	0.02579357488	-0.01288630643	-0.002675883144	-0.005690760878	0.003222906426	-0.02688084977	7.145433876e-05	0.002571488275	0.01070359346	-0.002750923349	0.01447345422	0.007545360046	-0.00856316823	0.002038515425	0.0004896616842	0.0002268368303	-0.03917131997	-0.1042360776	0.3040595796	0.007924180942	-0.004198929498
fwhm_z	-0.007498976597	-0.07374715442	0.3077441061	-0.170827994	0.09533133288	-0.08461904149	-0.1016049605	-0.07317585595	-0.04281391187	-0.2087078226	-0.03671403234	-0.08764917469	-0.1321386611	-0.04426360232	0.00225811489	0.0512115733	-0.04602000782	-0.08999657147	-0.02414960431	-0.08200516326	-0.02511449792	0.09106774392	-0.06899241589	0.1316947252	0.5557958287	-0.1445319965	-0.3698955491	-0.2661134582	0.1333937387	0.182850786	-0.01177420638	-0.09838617259	0.02081701353	-0.1388469688	0.03309426604	-0.04918961027	0.004744573723	-0.02336169182	0.02565448058	0.03024502501	0.03117107461	-0.0141394782	-0.0008871983119	0.001340737333	-0.01009985761	-0.000103398179	-0.0009215756694	-0.002033181061	-0.003094877632	-7.671974405e-05	2.629744289e-05	-0.03597862578	-0.09574022098	0.2792769261	0.007278313342	-0.003856691917
icvs_csf	0.05539205588	-0.2071262194	-0.09108505383	-0.06016934885	0.1659672383	0.1485629557	-0.05039477541	0.07721452988	0.1286978849	0.2844451628	-0.005006614324	-0.1597583666	-0.1470584212	-0.04242090374	-0.3260147987	0.2032062895	-0.06284302403	0.02708860178	0.1322191476	-0.2612534826	0.131733306	0.1177792982	0.09069652845	0.05458862067	0.04614914041	-0.1684964106	0.1729454037	-0.1060935319	-0.1940659439	-0.07805058043	-0.04016331663	-0.05887125805	0.0819755637	-0.02708204533	0.1072768304	-0.02950857616	-0.03710195029	-0.05619196381	-0.06313855392	0.02858498857	0.04788843494	-0.005049349336	-0.01083754631	0.02432393083	-0.001518138022	0.002734840018	-0.00339453341	0.005336517267	-0.004245721049	-0.0008871008837	0.0005039764397	0.5414694057	-0.09867689556	0.03594473178	0.004582035942	0.009828723584
icvs_gm	-0.2143689405	0.02314771439	0.00141238336	0.02647541946	-0.2238685428	0.07788601952	-0.04925269832	-0.1386748915	-0.03162970992	-0.1209325648	0.03229469108	0.03561436791	0.01428238952	-0.07719610707	0.1020007424	-0.04341016618	0.1152784532	-0.06121594036	0.008603541372	0.05509473899	-0.03378417506	-0.1460080725	-0.04549976806	-0.07519740634	0.03412501905	0.1560749248	-0.1449864128	0.2638185702	0.009400606418	0.07555899018	-0.01044549652	-0.05604742491	-0.3267470932	-0.2534243539	-0.3244673836	-0.05193887709	-0.1486369156	0.01125313863	-0.01413941359	0.05840554242	-0.06060670887	0.06335314078	-0.04234780121	-0.07678642748	-0.05246755063	0.009477330418	-0.00486306985	-0.01318081089	0.003077237555	-0.001110580045	-0.001671205214	0.572174516	-0.1042725671	0.03798304999	0.004841869494	0.0103860811
