physical_acquisition_id	subject_id	session	run	bids_name	selected_run	selected_reconstruction	selection_rule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56
sub-001_ses-01_phys01	sub-001	ses-01	2	sub-001_ses-01_run-02_T1w	2	NORM	prefer_NORM	-4.198091721	3.678774369	1.003920596	-0.5916136214	-4.014547888	0.2695481032	1.115248858	-0.6904043279	0.1773999892	-0.08500856384	-0.8036603789	0.8470631579	-0.8833093022	-1.677980234	0.7991064208	0.7166973479	0.09454916174	-0.03037139583	-0.1068164722	0.2278725167	0.09429944146	0.557887221	-0.5378565425	0.06412948579	-0.288789408	0.009616462934	-0.3255113232	-0.2469525209	-0.03080712903	-0.158767491	0.05098457328	-0.03711882763	0.05285362831	0.2351995324	0.2365211946	-0.07392897021	-0.2112938969	0.04270284668	-0.0318824877	0.09439038818	-0.02788472176	-0.04163691911	-0.001483672631	-0.0521036584	-0.02550912151	0.02758757474	-0.01940733969	0.01992907063	-0.007856751465	0.0005611872772	-0.0001481509091	6.790850497e-15	3.914243275e-15	2.510180058e-15	2.896303813e-16	-2.570397017e-16
sub-001_ses-02_phys01	sub-001	ses-02	2	sub-001_ses-02_run-02_T1w	2	NORM	prefer_NORM	-2.832174414	2.776918997	2.398121648	-0.4591250185	-3.41463809	0.06960359191	-1.305377601	-1.280391149	0.4744310206	0.1824146334	0.2173011273	0.8495332748	-0.7071205535	-0.4787592096	0.1859347987	0.416529962	-0.07833607169	0.6149153425	0.2094139281	0.3412479689	0.3513289001	-0.001528434633	-0.135015981	-0.06624261653	0.04409821691	0.06535651592	-0.1636043617	0.1799291692	0.0372556982	0.08291448581	0.2694310649	-0.1415497826	0.2741199444	0.131473757	0.03473037374	-0.02030558305	0.02979110133	-0.01471394634	-0.09156741558	0.0171525124	-0.02158318949	0.07058527529	-0.0146456508	-0.009736301795	0.004438851759	0.01253190228	-0.005895796414	0.001648566031	-0.006679638399	-0.0008441140721	-0.0002139437475	-7.968180772e-15	4.401428865e-15	-1.396014113e-15	-1.289391066e-16	-4.112230446e-16
sub-002_ses-01_phys01	sub-002	ses-01	2	sub-002_ses-01_run-02_T1w	2	NORM	prefer_NORM	-0.03967239684	-3.735545819	-2.110533269	0.3075959679	-2.532118213	1.751220244	-1.016047804	3.329557494	0.1311677637	-0.9085304648	0.7825372936	-0.2252616987	-1.108722148	0.2789191334	-0.2378473939	-0.2212311859	-0.1389129282	-0.3711832614	0.315933577	-0.4727901886	-0.8465241955	0.1927835239	0.4848536055	-0.4456488531	0.102406418	-0.6444560338	-0.05959877736	-0.114637097	-0.006725007402	-0.05275090488	-0.09082237195	-0.1037219291	-0.04245381145	-0.03030432593	0.03803691673	0.06177657986	-0.04661311379	0.08714919679	0.0120778202	-0.01883188765	-0.07920160737	0.00210825519	-0.03890376559	0.01744053997	0.0357431782	-0.01056573526	-0.014426431	0.01534304877	-0.001379026505	-0.0004583086663	3.847362694e-05	-6.276151536e-15	4.27104155e-15	-1.865017527e-15	-1.533777782e-16	-4.6812627e-16
sub-002_ses-02_phys01	sub-002	ses-02	2	sub-002_ses-02_run-02_T1w	2	NORM	prefer_NORM	-0.09009959545	-4.501413882	-2.256310761	1.667136232	-2.343343543	0.5070440911	-2.421978432	2.433373977	0.3963510553	-1.033705032	0.9251465714	-0.5199823545	0.2682520885	0.09519347419	0.3406327323	-0.6428110639	0.5024890733	-0.3647063736	0.4948208321	-0.3432756793	-0.1843245275	-0.1946785421	-0.2057948035	0.4657340847	0.1814664165	-0.2512688007	0.2063734517	0.05373898745	-0.1823145181	-0.241471607	-0.09471225514	0.09633064371	-0.03608263837	0.01942811998	0.1800962594	0.1053259419	0.0137492988	0.05744945551	0.05484673536	-0.0008018079372	-0.01319282679	-0.03464784387	-0.01657529713	0.005520955389	0.01390813889	-0.01678570527	-0.001016478877	-0.002625561404	0.002435560101	-9.706410357e-05	-0.0002969279796	-3.287183105e-15	5.089173128e-15	-1.252324957e-15	-3.172955564e-16	5.877773077e-16
sub-003_ses-01_phys01	sub-003	ses-01	2	sub-003_ses-01_run-02_T1w	2	NORM	prefer_NORM	0.08816236775	-3.457615252	1.348706017	-2.661806509	0.290283535	1.804742949	2.309419236	-0.2829547974	0.6946150699	-0.6912527712	-0.3381578798	-0.8722701774	-1.303857717	-0.2759866754	-0.1038816879	0.3421445573	0.1982258257	-0.3916028287	-0.06481008976	0.6028726544	-0.05014564873	-0.3166038433	0.6129281539	-0.2331762365	0.1300214405	0.3360343043	0.001339517437	-0.1182779645	-0.03795804267	0.3987285658	-0.2157247333	0.1605126371	-0.106285961	0.200695592	0.09184699651	0.02921506922	0.09643030792	-0.1302137381	-0.02726527968	0.05225213649	-0.04715098359	0.04009347391	0.04092426865	-0.01770280137	-0.001774258095	-0.02284103129	0.008541168062	0.004665081548	-0.01129570897	-0.0002030058558	-0.0002665827438	2.19332122e-15	3.65664083e-15	5.636242985e-16	9.171286834e-17	-2.652255328e-16
sub-003_ses-02_phys01	sub-003	ses-02	2	sub-003_ses-02_run-02_T1w	2	NORM	prefer_NORM	0.1997921801	-2.250480315	2.086718594	-2.333119523	-1.465269402	0.5380803986	1.698910676	-0.008547905075	0.2833671966	-0.9250274106	-0.9636027438	-0.5381574433	-0.9818219176	0.190635483	0.7754681592	-0.4495407374	0.5504827015	-0.08559398167	-0.05984043793	0.4814473248	-0.2828794945	-0.02557876022	0.5223898227	-0.2030802659	-0.2906769723	0.08662235051	-0.1338267405	-0.2904105298	0.161464111	0.07193184361	-0.2702359288	-0.02661640534	-0.07227289074	0.09693269394	0.1520646433	0.00656619672	0.08188209761	-0.06943456714	-0.01123657031	-0.04593220055	-0.03256388274	0.0488889934	0.01165608617	-0.02792981533	-0.001418250431	-0.001499260882	0.01476327647	0.00518307021	0.0009453587452	-0.0003482597625	0.0001576887662	7.497166206e-15	4.063862512e-15	-5.721863603e-16	1.641439087e-16	-2.999490376e-17
sub-004_ses-01_phys01	sub-004	ses-01	2	sub-004_ses-01_run-02_T1w	2	NORM	prefer_NORM	-1.962213085	2.8771131	-1.516328471	-0.4257795518	-0.55948355	1.977331407	-1.202683138	-1.471323728	0.6622452734	-0.231177222	0.1026429631	-0.1132121711	-0.3732170446	0.6465544582	1.009216174	-0.0305033229	0.5088928752	1.051156032	0.2218737481	0.457938991	-0.2790404465	-0.2503826118	0.2789492366	0.2301172516	-0.03235154616	-0.5042929994	0.2053864769	-0.145451837	-0.09260246258	-0.1965101925	-0.03351653234	-0.01677010967	-0.03597998105	-0.02870265625	-0.08273189322	-0.1007937874	-0.03379652977	0.01477220442	-0.05477409983	0.04229645144	0.04922922802	0.0008025792081	0.01101982278	0.02153663964	-0.01900034799	-0.01018055822	0.01519066869	-0.01271537434	-0.008628515356	-0.0004206332874	0.0002285626757	8.129598801e-15	4.557699985e-15	7.570175882e-16	4.622770677e-16	-2.507612999e-18
sub-004_ses-02_phys01	sub-004	ses-02	2	sub-004_ses-02_run-02_T1w	2	NORM	prefer_NORM	-1.355349879	2.786767127	-0.4954312845	-1.33729703	-0.6669651983	2.64743547	-1.009181118	-1.47728846	0.3015714617	0.4791289298	0.1625473423	-0.3535411128	-0.5329088623	-0.07770292186	0.8634169687	-0.4430989553	0.2369266956	0.9817811766	0.581540985	0.3860717272	-0.07055632999	0.5718059638	0.5009789724	0.3661713369	0.1194653559	-0.3177477385	0.2166765027	0.09077825332	-0.1149361906	-0.2961044817	0.0366338836	-0.002250376862	-0.03765339245	-0.06322824541	-0.0538074201	-0.111812113	-0.0217231072	0.02419631446	0.02524610413	-0.04176921878	0.03686940636	0.007172299122	0.03031016667	-0.03221445825	-0.003748468541	-0.0007581016259	0.0352588977	-0.00635331463	0.0007912351693	-0.0005635588107	-0.0002136692333	-1.002865415e-14	3.266971294e-15	2.627024524e-15	-3.147808398e-17	-1.853773508e-16
sub-005_ses-01_phys01	sub-005	ses-01	2	sub-005_ses-01_run-02_T1w	2	NORM	prefer_NORM	-3.416363995	-1.317333742	-4.158944176	2.637425326	0.2950069586	-0.03168621661	-1.116391523	-1.857451536	-0.2454651313	-0.258848001	0.1631029561	-0.3692702616	-1.600217528	-0.4539018259	0.9742724142	0.6061214947	0.07227042925	-0.3651987147	0.2672477941	-0.5197858354	-0.8056939955	-0.134451714	0.1950669093	0.3618858516	-0.293144468	0.1116931492	0.0183465683	-0.1707797279	0.05778430872	-0.05113660167	-0.02650960988	0.01911749403	0.1667447261	-0.02018068334	-0.1399667814	0.06367146708	0.04693318782	-0.09893357062	0.03274798856	0.05213312709	0.05816310185	-0.01629363916	0.00157448296	0.008312629222	-0.01307393213	-0.007562605342	-0.01095856042	0.005002814004	0.01377643359	0.0007792837648	2.739843426e-05	8.947967313e-15	4.688849894e-15	-8.33023054e-17	-1.854662047e-16	-1.381787803e-16
sub-005_ses-02_phys01	sub-005	ses-02	2	sub-005_ses-02_run-02_T1w	2	NORM	prefer_NORM	-1.787698199	-1.980462493	-3.899814544	1.91853288	0.5398047676	0.4203634957	-1.012696959	-1.653795119	-0.04281211156	-0.3378835775	0.04936330524	0.2681208872	-1.242585027	0.09116114487	0.8159625486	0.3956698086	-0.01197217105	-0.07106419942	0.3152278118	-0.7100449187	-0.9750197291	-0.04179037038	0.4219773276	0.4764778769	-0.2667956275	0.06926229768	0.1314522058	-0.1035507688	0.2662321817	0.1008566455	-0.1199669995	-0.02725488427	0.1011704639	0.005416901764	-0.1181897089	-0.04091646921	0.0349473958	-0.007335802603	0.006279309489	0.02271239247	0.03384140658	-0.04047884873	-0.002647430776	-0.01235459417	0.02104714471	0.0009310770883	-0.01225196357	0.008468567092	0.01416085787	0.0002354235629	0.0001377129236	-5.958097524e-15	3.517064997e-15	1.058067643e-15	8.061544198e-17	-4.527475908e-16
