component	explained_variance	explained_variance_ratio	cumulative_ratio	singular_value
PC1	15.00878016	0.2659987891	0.2659987891	44.5102121
PC2	10.68418573	0.1893545269	0.455353316	37.55412782
PC3	6.186616824	0.1096446591	0.5649979751	28.57679865
PC4	5.443205554	0.09646927137	0.6614672465	26.80490875
PC5	4.063642148	0.07201943656	0.733486683	23.16032736
PC6	2.74429197	0.0486367535	0.7821234365	19.03277542
PC7	2.310664038	0.0409516183	0.8230750548	17.4644683
PC8	1.838962091	0.03259170193	0.8556667567	15.58021168
PC9	1.4238958	0.02523553243	0.8809022892	13.70964061
PC10	1.001395104	0.01774760389	0.8986498931	11.49713676
PC11	0.8056342389	0.01427815783	0.9129280509	10.31230913
PC12	0.7173968316	0.01271433697	0.9256423879	9.731206594
PC13	0.6443412229	0.01141958129	0.9370619692	9.222420584
PC14	0.5498046273	0.009744120676	0.9468060898	8.519049876
PC15	0.5125155217	0.009083250385	0.9558893402	8.225086557
PC16	0.3959550279	0.0070174629	0.9629068031	7.22952721
PC17	0.3434018451	0.006086069221	0.9689928723	6.732684721
PC18	0.3006330427	0.005328082927	0.9743209553	6.299488998
PC19	0.2661875079	0.004717608894	0.9790385642	5.927626088
PC20	0.224857881	0.003985128932	0.9830236931	5.448049219
PC21	0.1658553775	0.002939434725	0.9859631278	4.678985983
PC22	0.1446828219	0.002564196091	0.9885273239	4.370141015
PC23	0.1306156817	0.002314885873	0.9908422098	4.152260827
PC24	0.09336165754	0.001654637325	0.9924968471	3.510518309
PC25	0.07974555073	0.001413320717	0.9939101678	3.244443357
PC26	0.06420769477	0.001137945181	0.995048113	2.911256723
PC27	0.054343804	0.0009631286423	0.9960112416	2.678317033
PC28	0.04626172771	0.0008198909852	0.9968311326	2.471143067
PC29	0.04252029201	0.0007535819744	0.9975847146	2.36910923
PC30	0.03525197138	0.00062476641	0.998209481	2.157141679
PC31	0.02707229242	0.0004797989526	0.99868928	1.890381601
PC32	0.0185573212	0.0003288891513	0.9990181691	1.565109069
PC33	0.01359430166	0.0002409301584	0.9992590993	1.339570013
PC34	0.008846138143	0.0001567790326	0.9994158783	1.080597166
PC35	0.007753217269	0.0001374093286	0.9995532876	1.011644542
PC36	0.006381485162	0.000113098287	0.9996663859	0.9177995649
PC37	0.004537203676	8.041231004e-05	0.9997467982	0.7738933293
PC38	0.004190285875	7.426392796e-05	0.9998210622	0.7437188551
PC39	0.002818448808	4.995102613e-05	0.9998710132	0.6099469179
PC40	0.002239623553	3.969257639e-05	0.9999107058	0.5437189614
PC41	0.001546738864	2.741266514e-05	0.9999381184	0.4518512255
PC42	0.001019619872	1.807059923e-05	0.999956189	0.3668648567
PC43	0.0007105332534	1.259269461e-05	0.9999687817	0.3062521664
PC44	0.0005655511117	1.002319371e-05	0.9999788049	0.2732265484
PC45	0.000539479283	9.561125854e-06	0.999988366	0.2668543898
PC46	0.0003287657662	5.82667577e-06	0.9999941927	0.2083196609
PC47	0.0001573449118	2.788604774e-06	0.9999969813	0.1441163709
PC48	0.0001056103261	1.871718992e-06	0.999998853	0.1180701616
PC49	6.423879959e-05	1.138496448e-06	0.9999999915	0.09208431759
PC50	3.452008417e-07	6.117952618e-09	0.9999999977	0.006750297112
PC51	1.321300462e-07	2.341724772e-09	1	0.004176262217
PC52	4.059913793e-29	7.195335939e-31	1	7.320577988e-14
PC53	1.638468503e-29	2.903837841e-31	1	4.650568163e-14
PC54	2.736545939e-30	4.849947153e-32	1	1.90058955e-14
PC55	1.019350928e-31	1.806583277e-33	1	3.668164697e-15
PC56	9.200972508e-32	1.63067719e-33	1	3.485008423e-15
