iqm	family	n_rows	n_valid	n_missing	missing_pct	nunique	mean	sd	variance	zero_variance	near_zero_variance
cjv	contrast	133	133	0	0.0	133	0.6240246382838625	0.07144883674694431	0.005104936272491501	False	False
cnr	contrast	133	133	0	0.0	133	1.5675358216931252	0.21825753797888675	0.047636352884605195	False	False
efc	entropy	133	133	0	0.0	126	0.5623097744360903	0.03862479211742808	0.0014918745661145342	False	False
fber	energy	133	133	0	0.0	133	13268.830767669173	5154.573776685906	26569630.819298	False	False
fwhm_avg	smoothness	133	133	0	0.0	133	4.687679802007257	0.1872380855094599	0.03505810066524781	False	False
fwhm_x	smoothness	133	133	0	0.0	133	4.644697629072769	0.18018318332119018	0.032465979551757625	False	False
fwhm_y	smoothness	133	133	0	0.0	133	4.663142505701731	0.21277624151107172	0.04527372895157792	False	False
fwhm_z	smoothness	133	133	0	0.0	133	4.755199271247272	0.19543371975037854	0.0381943388154695	False	False
icvs_csf	tissue_fraction	133	133	0	0.0	133	0.2702455296190953	0.006350035165475337	4.032294660277339e-05	False	False
icvs_gm	tissue_fraction	133	133	0	0.0	133	0.3755321153632914	0.006710126664601368	4.502579985499428e-05	False	False
icvs_wm	tissue_fraction	133	133	0	0.0	133	0.3542223550176133	0.00686630470987442	4.7146140368843636e-05	False	False
inu_med	bias_field	133	133	0	0.0	133	0.5237733751983571	0.06028454398405524	0.003634226243365491	False	False
inu_range	bias_field	133	133	0	0.0	133	0.2256777628696054	0.05334936349174225	0.0028461545849740406	False	False
qi_1	artifact	133	133	0	0.0	1	0.0	0.0	0.0	True	False
qi_2	artifact	133	133	0	0.0	133	0.0008027859468309308	0.0005781616872277439	3.342709365780316e-07	False	False
rpve_csf	partial_volume	133	133	0	0.0	133	6.639619579747875	0.6198865958443709	0.3842593917075224	False	False
rpve_gm	partial_volume	133	133	0	0.0	133	6.53973460419834	0.6217501844094161	0.3865732918131429	False	False
rpve_wm	partial_volume	133	133	0	0.0	133	6.6168239927469585	0.6187174133985306	0.3828112376425682	False	False
snr_csf	snr	133	133	0	0.0	133	1.9380250351290498	0.14833386854714148	0.022002936558160647	False	False
snr_gm	snr	133	133	0	0.0	133	6.070003020503098	0.5955830969106939	0.354719225325733	False	False
snr_total	snr	133	133	0	0.0	133	6.477786557918809	0.6025324155443283	0.36304531178168314	False	False
snr_wm	snr	133	133	0	0.0	133	11.425331618124275	1.3628776646274268	1.8574355287403088	False	False
snrd_csf	snr_dietrich	133	133	0	0.0	133	18.01566806114318	16.36521328181692	267.82020575935695	False	False
snrd_gm	snr_dietrich	133	133	0	0.0	133	34.72301818798058	31.483810649168266	991.230332992681	False	False
snrd_total	snr_dietrich	133	133	0	0.0	133	32.98463168328548	29.93902540011557	896.3452419087652	False	False
snrd_wm	snr_dietrich	133	133	0	0.0	133	46.21520880073267	42.116373457527125	1773.7889132138955	False	False
summary_bg_k	intensity_summary	133	133	0	0.0	133	1191.610145112782	1542.986426089407	2380807.111096161	False	False
summary_bg_mad	intensity_summary	133	133	0	0.0	5	0.5127789473684211	2.6033819194471173	6.777597418504158	False	False
summary_bg_mean	intensity_summary	133	133	0	0.0	133	6.179872932330827	5.075012525057736	25.7557521294929	False	False
summary_bg_median	intensity_summary	133	133	0	0.0	5	0.3458646616541353	1.7559570480555218	3.0833851546158617	False	False
summary_bg_p05	intensity_summary	133	133	0	0.0	1	0.0	0.0	0.0	True	False
summary_bg_p95	intensity_summary	133	133	0	0.0	20	17.57894736842105	15.319755061115313	234.69489513256823	False	False
summary_bg_stdv	intensity_summary	133	133	0	0.0	133	32.01005563909775	23.653058827096917	559.4671918781073	False	False
summary_csf_k	intensity_summary	133	133	0	0.0	130	-0.7762541353383458	0.14944710207121933	0.022334436317485447	False	False
summary_csf_mad	intensity_summary	133	133	0	0.0	133	162.42904360902256	12.065310386145816	145.5717147140381	False	False
summary_csf_mean	intensity_summary	133	133	0	0.0	133	391.81927819548866	31.37899723908137	984.6414677302764	False	False
summary_csf_median	intensity_summary	133	133	0	0.0	85	375.85714285714283	36.738487093809375	1349.716433941998	False	False
summary_csf_p05	intensity_summary	133	133	0	0.0	76	96.66917293233082	25.56569653198565	653.6048391655831	False	False
summary_csf_p95	intensity_summary	133	133	0	0.0	81	724.3233082706766	31.679681795741025	1003.6022386794053	False	False
summary_csf_stdv	intensity_summary	133	133	0	0.0	132	194.01354210526313	12.907756381398567	166.61017480153544	False	False
summary_gm_k	intensity_summary	133	133	0	0.0	130	-0.4532827067669173	0.29455730859513357	0.08676400804680874	False	False
summary_gm_mad	intensity_summary	133	133	0	0.0	133	79.58790225563912	4.6042495400757915	21.19911382728814	False	False
summary_gm_mean	intensity_summary	133	133	0	0.0	133	719.414739849624	11.833714889278971	140.03680808074282	False	False
summary_gm_median	intensity_summary	133	133	0	0.0	44	716.5338345864661	11.347914830938429	128.77517101023233	False	False
summary_gm_p05	intensity_summary	133	133	0	0.0	71	522.9172932330827	28.59597876793115	817.7300016959692	False	False
summary_gm_p95	intensity_summary	133	133	0	0.0	68	939.2631578947369	21.197565024314272	449.3367629600317	False	False
summary_gm_stdv	intensity_summary	133	133	0	0.0	133	119.21039999999999	12.284719046248602	150.91432204526316	False	False
summary_wm_k	intensity_summary	133	133	0	0.0	130	-0.4751518796992481	0.12985450307998928	0.01686219197015094	False	False
summary_wm_mad	intensity_summary	133	133	0	0.0	133	65.38648571428573	7.424498169438214	55.1231730679914	False	False
summary_wm_mean	intensity_summary	133	133	0	0.0	133	931.9728563909775	13.75511209439517	189.20310872937628	False	False
summary_wm_median	intensity_summary	133	133	0	0.0	47	950.4135338345865	11.912669580516766	141.9116965345695	False	False
summary_wm_p05	intensity_summary	133	133	0	0.0	77	767.0451127819549	27.786745545219922	772.1032279947991	False	False
summary_wm_p95	intensity_summary	133	133	0	0.0	29	1041.639097744361	7.93899516933451	63.027644298716694	False	False
summary_wm_stdv	intensity_summary	133	133	0	0.0	133	84.23193684210527	8.8949356133327	79.11987956533437	False	False
tpm_overlap_csf	template_overlap	133	133	0	0.0	133	0.19614771022769556	0.014130564157512878	0.00019967284340958763	False	False
tpm_overlap_gm	template_overlap	133	133	0	0.0	133	0.526128065348223	0.008213306348077664	6.745840116737286e-05	False	False
tpm_overlap_wm	template_overlap	133	133	0	0.0	133	0.5519929080538066	0.01059989633697223	0.00011235780235455731	False	False
wm2max	intensity_ratio	133	133	0	0.0	133	0.8153924211309513	0.06637741671838558	0.004405961450206213	False	False
