	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv	1	-0.9451225796	0.1908409381	-0.7031631329	0.03939763515	-0.03112718403	-0.06999067365	0.2188979254	-0.5967201247	-0.7941863574	0.8646198697	0.8222436721	0.8112164039		0.09024907226	-0.09193107631	-0.1411526847	-0.1411096401	-0.2991006268	-0.7587931833	-0.8222769339	-0.7923347834	-0.2437191014	-0.2350416425	-0.2509173085	-0.2676558251	-0.1292801753	0.232242873	0.7551800377	0.232242873		0.8289241041	0.4480378793	0.4070897954	0.5086995937	0.4832549616	0.345048152	0.1302869716	0.6675376966	0.6259824668	0.738897765	0.632764839	0.8123531752	0.8256078592	0.2975159839	0.8752935243	0.8480059219	0.6633539627	0.8719479029	0.5092800449	0.2931317037	0.2640705073	0.7366140439	0.8332239824	0.3588114447	0.02146365006	-0.6319593815	-0.8408402846
cnr	-0.9451225796	1	-0.3291166236	0.7431255666	-0.04321817791	0.01241448128	0.06950283378	-0.211742071	0.5953589993	0.817024829	-0.8970005674	-0.8358855794	-0.8441253775		-0.2195403348	0.1703793803	0.2186885716	0.2182039927	0.2619210978	0.8129297132	0.8391367582	0.7859406896	0.3574337466	0.3473159024	0.3621611046	0.376383463	0.2680360532	-0.2778357924	-0.8651592328	-0.2778357924		-0.8679008761	-0.6238500218	-0.4519147003	-0.425817034	-0.4763104175	-0.3325071248	-0.1834441681	-0.6448782094	-0.5862466634	-0.7837784032	-0.613410379	-0.7849258783	-0.7987089558	-0.2102433545	-0.8980429098	-0.889146215	-0.6428470688	-0.8727872744	-0.5033353117	-0.3060726144	-0.2445417382	-0.7222810401	-0.8319795994	-0.4054008048	0.06593273288	0.66398333	0.861820008
efc	0.1908409381	-0.3291166236	1	-0.4963725753	0.2101511151	0.1528594085	0.27331616	0.1623511223	-0.2253690973	-0.2055162943	0.3194683832	0.2726147247	0.3563613999		0.5291450267	-0.5567641627	-0.5570227578	-0.5564964368	0.3034243965	-0.2192762955	-0.06556772967	-0.007978948463	-0.4532306301	-0.4709878579	-0.4667668546	-0.4693404144	-0.3438346987	0.19175008	0.5086547036	0.19175008		0.3287355646	0.678269643	0.2148021598	-0.09427276962	0.282902442	0.2629926579	0.3845934988	0.1944168477	0.08369320893	0.01328863407	0.275411335	0.2021653186	0.20709425	0.02968709327	0.2654684549	0.2456918064	0.1278419393	0.1479451224	0.154312172	0.1227968533	0.2018643396	0.2330168146	0.06045648077	0.361151443	-0.1505630314	-0.1495615867	-0.3288991168
fber	-0.7031631329	0.7431255666	-0.4963725753	1	-0.1072634661	-0.01780028566	-0.07299858474	-0.2170528732	0.5209679839	0.6186383528	-0.7091548239	-0.7489639925	-0.726410529		-0.1704335123	0.08362018927	0.1139086539	0.1133582036	0.1608749812	0.6117740284	0.5797279054	0.5099472376	0.2858327984	0.2856139413	0.2942574464	0.3041290297	0.2095102688	-0.3206880374	-0.8098552785	-0.3206880374		-0.8534046027	-0.5653764128	-0.2869506109	-0.3449686622	-0.4151073835	-0.3314576911	-0.1033077105	-0.5404100983	-0.5075280129	-0.5086884291	-0.627451428	-0.6154426103	-0.6197151593	-0.1942954938	-0.6543437985	-0.6700643714	-0.6176946065	-0.631184577	-0.4529456267	-0.2735652347	-0.3099213698	-0.6614924945	-0.5561081074	-0.3583601276	-0.05795315955	0.4405696248	0.7848560938
fwhm_avg	0.03939763515	-0.04321817791	0.2101511151	-0.1072634661	1	0.9500146743	0.926492053	0.9460271703	-0.1185281323	-0.009582009926	0.1014028657	-0.07385360891	0.208056532		0.1271305493	-0.2045940429	-0.1999217369	-0.2044257773	-0.1896125325	0.05107448689	0.1314115399	0.1877590019	-0.09382668866	-0.07671021138	-0.08133164633	-0.07998682571	-0.0387200073	0.02221901849	0.07764480301	0.02221901849		0.03719460921	0.1255176777	-0.2052184252	0.2034624892	-0.05362195019	-0.0619276808	-0.06339700726	0.0057306637	0.04765831116	-0.01980383023	0.1443960373	0.1031696548	0.09433483289	0.1664350052	0.06484417876	-0.01138140861	-0.01607165771	-0.08330061502	0.08561133249	0.08174011915	0.1818830238	0.01973030521	-0.1457441189	-0.1226623796	0.06676166935	0.01072008557	0.06604295339
fwhm_x	-0.03112718403	0.01241448128	0.1528594085	-0.01780028566	0.9500146743	1	0.8193707648	0.8746897195	-0.08265690117	0.05674660371	0.04607478037	-0.1577346751	0.1519569031		0.126885325	-0.1753536513	-0.1685388935	-0.1732438091	-0.1963138089	0.09862256977	0.1567276901	0.1968909991	-0.119793405	-0.09967846917	-0.103899458	-0.1003489229	-0.06437855852	-0.02866641147	0.02682597552	-0.02866641147		-0.05095438161	0.1045392587	-0.2326871676	0.1365403805	-0.1195690313	-0.1278362311	-0.06594578964	-0.06394257143	-0.0185490055	-0.05107549016	0.02461439128	0.02506309961	0.01445248985	0.1117530847	-0.006347482613	-0.07249639664	-0.09156295852	-0.1279849213	0.008671549413	0.02186316837	0.0937149363	-0.06317879295	-0.1687430297	-0.1486900717	0.0890699085	0.06795648573	0.160233224
fwhm_y	-0.06999067365	0.06950283378	0.27331616	-0.07299858474	0.926492053	0.8193707648	1	0.8053903697	-0.01737309967	0.05312758839	-0.006908673506	-0.1431562196	0.0784972184		0.1343933633	-0.2018150513	-0.1900749369	-0.1940774413	-0.07441188555	0.1282027536	0.2480985332	0.3078960927	-0.03569971038	-0.02299173672	-0.02437503669	-0.02210410294	-0.005579505508	0.04415786172	-0.01058703833	0.04415786172		-0.04291881556	0.079638555	-0.2340117718	0.1167450384	-0.09003450098	-0.07183436175	-0.02294817333	-0.07835842072	-0.04793908001	-0.1422220237	0.116526554	-0.003547274162	-0.00699599133	0.1188810284	-0.03527509758	-0.1009045908	-0.1155535396	-0.1779435071	0.02101624611	0.04295652985	0.1691961727	-0.06357086137	-0.2700787196	-0.1612812971	0.01857117701	0.08625700292	0.1279079626
fwhm_z	0.2188979254	-0.211742071	0.1623511223	-0.2170528732	0.9460271703	0.8746897195	0.8053903697	1	-0.2524271338	-0.1367562562	0.2573648821	0.09833625733	0.3660305617		0.08997645586	-0.1975190603	-0.2040207658	-0.208107403	-0.2782519941	-0.08483652799	-0.04013526469	0.01548369845	-0.09946358801	-0.08334170314	-0.09121823008	-0.09334046397	-0.0475383	0.05129560653	0.2052181909	0.05129560653		0.2034613551	0.1654683719	-0.1240089722	0.3346764148	0.05685747641	0.02258271917	-0.08774660322	0.1621021587	0.2084892956	0.1444616533	0.264766613	0.2750353814	0.2643004707	0.2447699838	0.2299485151	0.1428672984	0.169101166	0.07383273875	0.2093817869	0.1608743115	0.2438995848	0.181697946	0.03496664036	-0.03899001494	0.1054881986	-0.1252144082	-0.103085522
icvs_csf	-0.5967201247	0.5953589993	-0.2253690973	0.5209679839	-0.1185281323	-0.08265690117	-0.01737309967	-0.2524271338	1	0.2199675208	-0.7403772281	-0.6402637466	-0.7088404672		-0.1639265892	0.2019585336	0.2321530826	0.2289266871	0.04847680478	0.2610054197	0.3262826993	0.3572272695	0.2430793006	0.2862067841	0.2884431517	0.3085411109	0.09764362906	-0.1748344028	-0.6330791957	-0.1748344028		-0.6152049478	-0.4618330518	-0.322656552	-0.5152495614	-0.7573022716	-0.7189019241	-0.1222649114	-0.8491690493	-0.8255093338	-0.3935790328	-0.4480072263	-0.7472617704	-0.7287532823	-0.6558608265	-0.5560686967	-0.4080813153	-0.7590182348	-0.3617952246	-0.5884346732	-0.4042784465	-0.4818782478	-0.6482942711	-0.4216488727	-0.680045523	-0.1573550992	0.6216697428	0.6257465972
icvs_gm	-0.7941863574	0.817024829	-0.2055162943	0.6186383528	-0.009582009926	0.05674660371	0.05312758839	-0.1367562562	0.2199675208	1	-0.781134032	-0.6715578919	-0.6558113599		-0.04203575318	0.123220004	0.1640185484	0.1644366036	0.2673212504	0.918947492	0.7989832321	0.6491133445	0.2013217006	0.1650998833	0.182788644	0.1901473303	0.1130614561	-0.2146439445	-0.6398580829	-0.2146439445		-0.714308086	-0.3540060915	-0.4130850804	-0.2127673173	-0.2046162174	-0.03806790051	-0.2317617765	-0.3582501275	-0.2714578246	-0.7667101951	-0.6080832719	-0.5998434738	-0.6350475701	0.1105806398	-0.8357737271	-0.9202486157	-0.4008200018	-0.8515147167	-0.4076704342	-0.2621205546	-0.2067336108	-0.6085763046	-0.6880146613	-0.1754860463	0.3103144219	0.491991078	0.6877994378
