	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv		2.687308451e-129	0.001840941234	1.091586357e-40	0.523899664	0.61462755	0.2571270148	0.0003392181432	7.432057239e-27	1.297951921e-58	2.72911557e-80	4.396621255e-66	5.34342751e-63		0.1436312311	0.1362842729	0.02178622647	0.0218268436	7.400716685e-07	1.064676656e-50	4.300246942e-66	3.673290441e-58	6.289361627e-05	0.0001157314248	3.7276984e-05	1.038671553e-05	0.03578124075	0.0001402156991	5.730161191e-50	0.0001402156991		4.661060052e-68	1.936527378e-14	5.840757607e-12	8.805591136e-19	7.437466966e-17	8.534051193e-09	0.03435378201	2.023219871e-35	3.965704252e-30	7.952813451e-47	6.157396704e-31	2.626016084e-63	4.562924782e-67	8.520318996e-07	1.211302549e-84	3.317182229e-74	7.538463271e-35	3.086787484e-83	7.923288201e-19	1.252664643e-06	1.375730665e-05	2.101478796e-46	2.247127479e-69	1.931957952e-09	0.7284950264	7.700404122e-31	8.399161964e-72
cnr	2.687308451e-129		4.364392842e-08	1.280797729e-47	0.4844227303	0.8408846604	0.2604661663	0.0005333368922	1.035758588e-26	1.345768347e-64	7.036944225e-95	3.292456748e-70	6.877561118e-73		0.0003254798128	0.005511292621	0.0003438105804	0.0003546631682	1.625053806e-05	1.828179592e-63	3.007003881e-71	1.231754428e-56	2.248948987e-09	6.713961315e-09	1.331232509e-09	2.608346812e-10	1.007931886e-05	4.573991414e-06	1.679159312e-80	4.573991414e-06		1.375975205e-81	7.056043602e-30	1.082730266e-14	4.720230649e-13	2.34428287e-16	3.107671336e-08	0.002772455088	1.965922543e-32	9.181418686e-26	3.931798012e-56	1.112469038e-28	2.127258892e-56	9.770989307e-60	0.0005852704852	1.992770089e-95	6.252822252e-91	3.540704011e-32	1.381794848e-83	2.314218561e-18	3.942124532e-07	5.929117094e-05	7.483839236e-44	5.452062585e-69	7.272832032e-12	0.2858099834	6.193539664e-35	3.285070298e-79
efc	0.001840941234	4.364392842e-08		7.910538357e-18	0.0005886148846	0.01290008377	6.609958446e-06	0.008219127047	0.000222455062	0.0007813179326	1.121775902e-07	6.994576994e-06	2.529994477e-09		1.886524463e-20	6.815115779e-23	6.449465291e-23	7.215167782e-23	5.017326372e-07	0.0003310625665	0.2884914324	0.8973343525	8.873213035e-15	5.553447064e-16	1.088939645e-15	7.230716489e-16	9.69524548e-09	0.001748777459	8.877710849e-19	0.001748777459		4.533026896e-08	6.272026038e-37	0.0004402924993	0.1265404998	3.003648695e-06	1.495838525e-05	9.813264976e-11	0.001502229546	0.1751689558	0.8298455354	5.577309634e-06	0.0009552483182	0.000709984529	0.63110286	1.233534774e-05	5.45794e-05	0.03790743216	0.0161428377	0.01205831278	0.04622914917	0.0009724995807	0.0001329994529	0.3278094448	1.490062296e-09	0.01433623563	0.01500523671	4.459893017e-08
fber	1.091586357e-40	1.280797729e-47	7.910538357e-18		0.08193328531	0.7734456304	0.2371914033	0.00038173348	9.051868463e-20	2.832044398e-29	1.186017441e-41	9.690542669e-49	1.430952565e-44		0.005496143073	0.175547056	0.06459747922	0.06590855915	0.008829570379	1.698244885e-28	4.195095766e-25	7.016040585e-19	2.346198341e-06	2.39011807e-06	1.135329886e-06	4.706560175e-07	0.0006123433846	9.97394429e-08	1.243061684e-62	9.97394429e-08		4.231296e-76	1.058048222e-23	2.133633143e-06	8.605811329e-09	2.027804921e-12	3.453644261e-08	0.0939202323	2.02603035e-21	1.089036423e-18	8.823473977e-19	2.659561639e-30	6.555906531e-29	2.129739908e-29	0.001512718521	1.193396321e-33	9.047743925e-36	3.632337588e-29	9.542548584e-31	9.264745245e-15	6.478288913e-06	2.764752326e-07	1.344300792e-34	7.836815977e-23	2.030706992e-09	0.3482712675	5.814293164e-14	2.208467146e-56
fwhm_avg	0.523899664	0.4844227303	0.0005886148846	0.08193328531		1.810507577e-134	3.307964401e-113	3.233955093e-130	0.05441709319	0.8768575705	0.1001713092	0.2317282459	0.0006694883497		0.03899799613	0.0008260149282	0.001090924707	0.0008344200257	0.00197252116	0.4085409972	0.03281683068	0.002187363261	0.1283538269	0.214122086	0.1877060426	0.1951333923	0.5310688229	0.7193350728	0.2085757184	0.7193350728		0.5473862356	0.04156899176	0.0007955040609	0.0008840750947	0.385534617	0.3161535792	0.3047859204	0.9261647867	0.4406359733	0.7487570777	0.01890800504	0.0943625727	0.1262897908	0.006721303797	0.2938566038	0.8539707376	0.794932281	0.1772089542	0.1654519849	0.1854916913	0.003016957081	0.749658746	0.0178126171	0.04647038282	0.2797826839	0.8623690671	0.2850035654
fwhm_x	0.61462755	0.8408846604	0.01290008377	0.7734456304	1.810507577e-134		2.930929382e-65	2.187894714e-84	0.1805918151	0.3584156326	0.4559875228	0.01026382439	0.01344867407		0.03938001566	0.004265678759	0.0060491973	0.004759170498	0.001346697826	0.1098821499	0.0107655225	0.001302391781	0.05187338431	0.1061105156	0.09204295141	0.1037691574	0.2973441703	0.6428919534	0.6643753536	0.6428919534		0.40964537	0.09004705313	0.0001360294788	0.02652819025	0.05231711101	0.03791607905	0.2857143749	0.3006346208	0.7641913857	0.4085317795	0.6905571603	0.6852140246	0.8151999673	0.06985663065	0.9182439124	0.2404419862	0.137867029	0.03769138154	0.8884782236	0.7236453802	0.128811233	0.3064568948	0.005987301357	0.01560953225	0.148959245	0.271247151	0.009107293412
fwhm_y	0.2571270148	0.2604661663	6.609958446e-06	0.2371914033	3.307964401e-113	2.930929382e-65		1.891584926e-61	0.7787401642	0.3899366093	0.9110443664	0.01996665806	0.2036079803		0.02902215417	0.0009753518308	0.001922015362	0.001531734153	0.2282094331	0.03736423255	4.583643383e-05	3.334313132e-07	0.5636130181	0.7100060255	0.6934136536	0.7207260487	0.9281070241	0.4749648402	0.8640605741	0.4749648402		0.4874569834	0.1970913365	0.000124233056	0.05817670664	0.1445897928	0.2447747368	0.710530835	0.2044109804	0.4379451425	0.02079797766	0.05865179971	0.9542559826	0.9099247992	0.05369743681	0.5682637675	0.1018597521	0.06080663823	0.003723238742	0.7339387894	0.4870741612	0.005851927526	0.3034589453	8.570388545e-06	0.008657649178	0.7639178464	0.1622735337	0.03780753888
fwhm_z	0.0003392181432	0.0005333368922	0.008219127047	0.00038173348	3.233955093e-130	2.187894714e-84	1.891584926e-61		3.33368245e-05	0.02628793013	2.302155008e-05	0.1109227922	8.611287937e-10		0.1448499355	0.001255703349	0.0008549753503	0.0006674081303	4.420051363e-06	0.1693273388	0.5161521748	0.8022768416	0.1068696742	0.1769946311	0.1393619583	0.1303531441	0.4417890043	0.406512409	0.0007955153088	0.406512409		0.0008841351265	0.007051898363	0.04410166524	2.495325041e-08	0.3574758111	0.714938826	0.1551157229	0.008319374259	0.0006519815219	0.018853363	1.303085327e-05	5.750523728e-06	1.351317205e-05	5.832662624e-05	0.0001638218812	0.02022062684	0.005880080766	0.2318605286	0.0006172059044	0.008829856268	6.208604276e-05	0.003047204188	0.5716536766	0.52820628	0.08715071562	0.04206801931	0.09463295342
icvs_csf	7.432057239e-27	1.035758588e-26	0.000222455062	9.051868463e-20	0.05441709319	0.1805918151	0.7787401642	3.33368245e-05		0.0003166327252	4.21468546e-47	7.435384329e-32	1.334364043e-41		0.007609303775	0.000967070054	0.0001410762442	0.0001754895163	0.4328180196	1.743785739e-05	5.778713529e-08	2.300600742e-09	6.5836761e-05	2.272925268e-06	1.878327312e-06	3.141693434e-07	0.1134722425	0.004382650135	5.641784079e-31	0.004382650135		6.975515172e-29	2.364601481e-15	8.241599304e-08	2.643808516e-19	2.139866334e-50	2.83436516e-43	0.04718957155	1.315027689e-74	4.879297687e-67	3.261735671e-11	1.945393138e-14	2.072041749e-48	5.522395955e-45	7.545726609e-34	7.902777359e-23	5.132298873e-12	9.577742065e-51	1.386794993e-09	5.471294963e-26	8.407993282e-12	9.357661224e-17	7.234716555e-33	8.375607569e-13	3.479813123e-37	0.01045045301	1.265985328e-29	4.227607154e-30
icvs_gm	1.297951921e-58	1.345768347e-64	0.0007813179326	2.832044398e-29	0.8768575705	0.3584156326	0.3899366093	0.02628793013	0.0003166327252		1.596645815e-55	5.601760407e-36	7.65968303e-34		0.4964665684	0.04547688506	0.007574987763	0.007420716613	1.066454646e-05	7.21859671e-108	8.334737196e-60	5.681952017e-33	0.001004328763	0.007181696923	0.002872841783	0.001914216014	0.06662435878	0.0004447076145	8.348749075e-32	0.0004447076145		1.679569946e-42	3.271726341e-09	2.655027826e-12	0.0005003057819	0.0008249131222	0.5380143865	0.0001448845553	2.055506315e-09	7.675826387e-06	2.396617437e-52	4.369758926e-28	3.449265803e-27	3.255359977e-31	0.07286077234	3.571685654e-70	9.456019184e-109	1.310116278e-11	1.986768774e-75	5.415090573e-12	1.600227592e-05	0.0007257358442	3.854222182e-28	2.348703763e-38	0.004236308001	2.665616357e-07	1.690172668e-17	2.528957626e-38
