	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv	1	-0.7501710683	0.2838909586	-0.1318879022	0.1917195249	0.07077628643	0.1542075116	0.265344251	-0.3568139007	-0.07577749587	0.2799369546	0.3526467535	0.4185291969		0.004128704878	0.1937108369	0.1832545266	0.1657017645	-0.09422980817	-0.01177103756	0.3665167416	0.9518010226	-0.1766808903	-0.134555799	-0.07412447622	0.7019105832	-0.1029331488	-0.1484029131	-0.284157921	-0.1484029131		-0.3137591084	-0.2342213509	0.2636532958	-0.4441240918	-0.4832045516	-0.4777611194	-0.4819521197	-0.4839887748	-0.4523353708	0.1827205296	-0.5050167224	-0.4592472994	-0.4557721139	-0.2907985861	-0.4514828191	-0.4319071234	-0.8945988544	0.2174348447	-0.1079075847	0.3612413889		-0.2606773536	-0.2729865836	0.4183062315	-0.0001768346596	0.3518394649	0.8170683889
cnr	-0.7501710683	1	-0.5138070363	0.27680775	-0.02357282897	0.08928629779	0.01573059624	-0.1253834621	0.3247068773	0.438503825	-0.5985315035	-0.3433129589	-0.2075270057		-0.125083612	0.108776381	0.1230000384	0.1417368239	0.2496213432	0.4672817437	0.05461115596	-0.6091800254	0.1436896936	0.1736516357	0.1044477761	-0.4503825011	-0.02477991773	-0.06871665836	-0.05941644562	-0.06871665836		-0.03603205327	-0.1233921501	-0.3135246099	0.191688771	0.1707069542	0.166970361	0.3747469991	0.1618190905	0.1286971899	-0.3487532171	0.202206589	0.183492869	0.1819705532	0.5498090367	0.1472728007	0.1012570638	0.6203744282	-0.274475884	-0.1144274017	-0.4068151064		-0.002145081306	0.005827855303	-0.24293238	0.3476953831	-0.08262022835	-0.5159958482
efc	0.2838909586	-0.5138070363	1	-0.4900296403	-0.05833823493	-0.1481313469	-0.1474890533	0.08858185234	-0.03357668164	-0.4698275036	0.434332484	0.3545042502	0.1216357004		0.1784976993	-0.5205577407	-0.5248788067	-0.5366348741	-0.25129459	-0.4778084048	-0.2486996438	0.1539437417	-0.2575301496	-0.3084679824	-0.2892346256	-0.03161605562	0.02114016171	0.2482067597	0.3059383904	0.2482067597		0.3130587556	0.2984303461	0.1591185624	0.01247496358	0.0212824032	0.01640390435	-0.1502430623	0.0284021667	0.03715962958	0.134629912	0.03939320549	0.008645976301	0.01028367568	-0.3334313653	0.04000453638	0.0683182058	-0.2108134293	0.1323026533	0.07000588192	0.122957185		0.05125307072	0.05206423168	0.009814663182	-0.3849900625	0.05815370543	0.04318759349
fber	-0.1318879022	0.27680775	-0.4900296403	1	0.1803175335	0.2189524833	0.1670318687	0.09586745089	0.1996463307	0.4541575366	-0.5230538577	-0.4171837158	0.104993657		-0.1641871372	0.282066659	0.2831046015	0.2937608119	0.4426094645	0.5287510091	0.4238649906	-0.02606389113	0.3179025872	0.3984469304	0.3696075039	0.2508438089	-0.04111021412	-0.2928763038	-0.2559258832	-0.2928763038		-0.2416065844	-0.1756890785	-0.1080961598	-0.009057009957	0.01658401568	0.02568715642	0.2146754957	-0.02416484066	-0.05862453389	0.1053782827	-0.02666359128	0.06086956522	0.06466766617	0.4095706545	0.0191135569	-0.02786299158	-0.04403183024	0.1172958749	0.1320647369	0.1575224505		0.1083919579	0.1034636528	0.07090301003	0.4776688579	0.2761080998	0.160435167
fwhm_avg	0.1917195249	-0.02357282897	-0.05833823493	0.1803175335	1	0.8958922383	0.8947603122	0.9144504671	0.1627109522	0.04453926883	-0.1579210395	0.09436051205	0.4501595356		-0.02094337447	-0.1122131242	-0.11383539	-0.1099988467	0.2672509899	0.2203359859	0.3435666782	0.262707108	0.1855456887	0.1611271287	0.2034444316	0.3212086265	0.03043862684	-0.1276556499	-0.1660861877	-0.1276556499		-0.1475611186	-0.04966747396	0.07801498869	-0.144773767	-0.07716141929	-0.06845807865	0.164615429	-0.1126898089	-0.1347095683	-0.04611933672	-0.1720216815	-0.1001729904	-0.1002498751	0.1118370344	-0.1166611246	-0.1262830123	-0.244508515	0.1039678467	-0.01286279937	0.104917579		-0.03330642371	-0.03919578672	-0.09348402722	-0.0248491139	0.1668627225	0.238619152
fwhm_x	0.07077628643	0.08928629779	-0.1481313469	0.2189524833	0.8958922383	1	0.7736877209	0.7114379569	0.1800218737	0.1700768271	-0.2909281723	-0.0786454439	0.4089194036		0.01006421801	-0.05820946875	-0.0587361295	-0.05139747703	0.3613008136	0.308350264	0.3757897509	0.1583134554	0.290939705	0.2765122756	0.3108682406	0.3029029772	0.06130792548	-0.1586884162	-0.20967249	-0.1586884162		-0.1909245028	-0.1038059889	-0.05535330548	-0.1486298171	-0.06867733187	-0.06226898526	0.1936746282	-0.1101951144	-0.1449239706	0.01823326119	-0.1663863576	-0.08496152878	-0.08532673149	0.1683132919	-0.107604304	-0.1287320354	-0.1465885261	0.06423376184	-0.01023336454	0.06521417382		-0.02030911527	-0.02541426482	-0.164560344	0.08100580672	0.1377852185	0.2138934646
fwhm_y	0.1542075116	0.01573059624	-0.1474890533	0.1670318687	0.8947603122	0.7736877209	1	0.7553684696	0.1211163649	0.04206358359	-0.1329027794	0.102887018	0.4095567601		0.06429861992	-0.04057971014	-0.03961865221	-0.0367816092	0.2298850575	0.2296851574	0.3093607043	0.2236958444	0.2624457002	0.2490677738	0.2830200284	0.3283588975	0.1348402722	-0.1447386911	-0.1892361512	-0.1447386911		-0.1825206291	-0.01564602314	0.07984100227	-0.156452543	-0.09047014954	-0.08151308961	0.1486348041	-0.1194864106	-0.1358705263	-0.1142661636	-0.1703609734	-0.1143197632	-0.1132895091	0.08894834668	-0.1286820603	-0.1384461615	-0.1655556837	0.04656929172	-0.05639487948	0.04029554681		-0.07699227309	-0.07999077384	-0.1488486526	-0.05823242225	0.05905508784	0.1781647638
fwhm_z	0.265344251	-0.1253834621	0.08858185234	0.09586745089	0.9144504671	0.7114379569	0.7553684696	1	0.1627186407	-0.03544381655	-0.08737169877	0.2276169608	0.4604774536		-0.04903701995	-0.1858070965	-0.1883442894	-0.1868757929	0.1580748087	0.1367546996	0.2877484335	0.3155037866	0.03978779841	0.003851920194	0.04919847768	0.2726867336	-0.05394225964	-0.04819624623	-0.08387344789	-0.04819624623		-0.06578646405	-0.008995502249	0.1603855003	-0.1231307423	-0.06936531734	-0.06059278053	0.1035453768	-0.09782032061	-0.1112981971	-0.05648340538	-0.152769769	-0.09206166148	-0.09143889594	0.0772733476	-0.1031024932	-0.1063468266	-0.3266289932	0.1576144098	0.02551032176	0.1658145221		-0.003236843117	-0.01158651444	-0.002452619844	-0.06415253912	0.2339599431	0.2567177949
icvs_csf	-0.3568139007	0.3247068773	-0.03357668164	0.1996463307	0.1627109522	0.1800218737	0.1211163649	0.1627186407	1	-0.1996309538	-0.4211355861	-0.1836773921	0.1188713336		0.0298158613	-0.4211278976	-0.4194518126	-0.4043516703	0.5699611733	0.1835466882	0.2291315881	-0.2573713143	0.1649252297	-0.02559489486	0.02636374121	-0.2198516127	-0.06743551301	-0.02508050372	-0.01366239957	-0.02508050372		0.001291664344	0.01368546496	0.3375318832	-0.08948602622	0.1224310921	0.1049475262	0.6367031552	0.06752008611	-0.03028485757	-0.3274253785	-0.02248875562	0.006996501749	0.004982124322	0.1697584079	-0.01468499344	-0.04801445431	0.1835466882	-0.1508831212	-0.08546495983	-0.2000361361		-0.02810902241	-0.02677891823	-0.610517818	-0.1347480106	0.3143120747	-0.2298927459
icvs_gm	-0.07577749587	0.438503825	-0.4698275036	0.4541575366	0.04453926883	0.1700768271	0.04206358359	-0.03544381655	-0.1996309538	1	-0.756652443	-0.3727905278	0.2611079076		-0.03027716911	0.631668781	0.6345442663	0.6432629839	0.324668435	0.8128012917	0.5502787068	0.053865375	0.03043093838	0.2409795102	0.1691846385	0.2243647407	-0.1167646946	-0.1022021875	-0.242186599	-0.1022021875		-0.2696925954	-0.2670357129	-0.4155391834	-0.0003767347096	-0.1183100757	-0.1027332488	-0.06113924902	-0.1455503018	-0.1488947834	0.2034448227	-0.09138507669	0.01276284934	0.02145850152	0.5841728223	-0.04730336236	-0.1043401376	-0.09171568062	0.1665945869	0.1402375735	0.1895951224		0.1086149233	0.09996540191	0.4932995041	0.8421327798	0.3126206128	0.324468535
