	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv		3.278962723e-22	0.002013142322	0.1581662665	0.0392375832	0.4502633009	0.09837542652	0.003993367692	8.437816893e-05	0.4188181533	0.002338791492	0.0001033953397	2.934521805e-06		0.9649154617	0.03720445762	0.04894789369	0.07546206212	0.3143501472	0.9001995042	5.198906406e-05	2.407592571e-60	0.05779393185	0.1498466034	0.4290677505	1.673503529e-18	0.2715319524	0.1118673867	0.001992711075	0.1118673867		0.0006041916327	0.01138588542	0.004240949691	5.917251044e-07	3.9309097e-08	5.853968821e-08	4.310762141e-08	3.709596898e-08	3.441203569e-07	0.04962191877	7.420180802e-09	2.156355032e-07	2.731106445e-07	0.001541220687	3.642837856e-07	1.291679572e-06	1.098110098e-41	0.01904708652	0.2489168748	6.777928209e-05		0.00471021546	0.003028375194	2.974052832e-06	0.998496833	0.0001075128318	4.932348959e-29
cnr	3.278962723e-22		3.66408046e-09	0.002629462128	0.8016807249	0.3405222128	0.8668985491	0.1798894202	0.0003762706753	8.506115254e-07	1.285938898e-12	0.0001613680389	0.02539614456		0.1809411223	0.2451044943	0.188373752	0.1290917432	0.006886012046	1.236162801e-07	0.5604015864	3.98837905e-13	0.1238476247	0.06229073871	0.2645037547	3.919737468e-07	0.7917505447	0.4635870814	0.5263650575	0.4635870814		0.700979125	0.1869582795	0.0006102330201	0.03926969853	0.06693182258	0.07322130616	3.405372976e-05	0.08266510547	0.1685638824	0.0001247027552	0.02949661867	0.04864950876	0.05058151256	1.63508687e-10	0.1146542874	0.2794552164	1.110260996e-13	0.0028668389	0.2212934188	5.851806813e-06		0.981767486	0.9504922047	0.008598647767	0.0001311603662	0.3779287547	3.064063071e-09
efc	0.002013142322	3.66408046e-09		2.36233225e-08	0.5339105543	0.1125322177	0.1141168706	0.3443607458	0.7204806418	1.033258784e-07	1.108909e-06	9.447252042e-05	0.193359613		0.05522712704	2.102071152e-09	1.463492729e-09	5.323527651e-10	0.006508019176	5.833925584e-08	0.007102433745	0.09895934372	0.005256442173	0.0007547797587	0.001638260656	0.736183299	0.8217879776	0.007220621565	0.0008382983616	0.007220621565		0.0006223996853	0.001138468393	0.08799175953	0.8942649028	0.8206089563	0.8612573199	0.1074426833	0.7621573973	0.6920873051	0.1496202832	0.6745979163	0.9266080452	0.912756759	0.0002546705249	0.6698406608	0.4661894679	0.02311474419	0.1568507096	0.4552218328	0.1885289189		0.5847953597	0.5788584918	0.9167210719	1.979038509e-05	0.5352073038	0.6452850168
fber	0.1581662665	0.002629462128	2.36233225e-08		0.05275078722	0.01820704725	0.07311404365	0.3059759429	0.03166208335	3.045299779e-07	1.706376853e-09	3.180846699e-06	0.2620013592		0.07820938645	0.002157913348	0.002074431058	0.001371608765	6.529407157e-07	1.053374876e-09	2.124321762e-06	0.7812243777	0.0005061080257	9.432117917e-06	4.441095675e-05	0.006607995669	0.6612697119	0.001420383297	0.005556042066	0.001420383297		0.008979583876	0.05923595787	0.2480859286	0.9231293884	0.8597494503	0.7843088892	0.02066029209	0.7968064517	0.5319017419	0.2602479038	0.7763213558	0.5162816392	0.4904006747	4.986428295e-06	0.8386281766	0.7665418312	0.638834325	0.2098537913	0.1576043565	0.09126624182		0.2467863723	0.2690560776	0.4494505754	5.893266156e-08	0.002698751442	0.08536167215
fwhm_avg	0.0392375832	0.8016807249	0.5339105543	0.05275078722		5.639995059e-42	1.010948984e-41	1.329125786e-46	0.0809637213	0.6349699545	0.09043960713	0.3136763738	3.97823775e-07		0.8234197761	0.2304207273	0.2237082745	0.2398089315	0.003729789065	0.01746934014	0.0001594564699	0.004385400788	0.0461414211	0.08400474641	0.02849557113	0.0004385976011	0.745666342	0.1720652135	0.07477728769	0.1720652135		0.113938214	0.5964802441	0.405173468	0.121008193	0.4103474909	0.4652750152	0.07742450327	0.2284338557	0.1493773221	0.6230001215	0.06482611209	0.2846616944	0.2842903212	0.2319968512	0.212348068	0.1767612186	0.008164384304	0.2667172081	0.8909976411	0.26234914		0.7226384095	0.6761369468	0.3182125716	0.7911822914	0.07340932117	0.009892908496
fwhm_x	0.4502633009	0.3405222128	0.1125322177	0.01820704725	5.639995059e-42		2.431388514e-24	3.564826076e-19	0.05314675912	0.06796057348	0.001533419331	0.4013767088	5.179299967e-06		0.9146114571	0.5348152715	0.5311197577	0.5837364117	6.7578819e-05	0.0007584906874	3.224989073e-05	0.08963159245	0.001532726779	0.002658526056	0.0006826506846	0.0009496435184	0.5132593137	0.08886488796	0.02388602724	0.08886488796		0.04007490322	0.2674665294	0.555076858	0.1113142428	0.4638435761	0.5066651359	0.03724062093	0.2389661977	0.1206187728	0.8459663037	0.07424608347	0.3645153043	0.3624498295	0.07090809362	0.2502572887	0.1684476617	0.1163677544	0.4933221264	0.9131819115	0.486734174		0.8286842738	0.7865452795	0.07752509523	0.3873503058	0.140221753	0.02113834182
fwhm_y	0.09837542652	0.8668985491	0.1141168706	0.07311404365	1.010948984e-41	2.431388514e-24		1.163599505e-22	0.1952823954	0.6539143869	0.1549616741	0.2717479711	4.9904714e-06		0.492884857	0.6653766699	0.6728420281	0.6950636992	0.01304762846	0.01312909087	0.0007271746703	0.01578457902	0.004426077208	0.007015281757	0.002081122277	0.0003200019186	0.1489793038	0.1210992709	0.04190275994	0.1210992709		0.04987620636	0.8676076136	0.3942348998	0.09351476392	0.3341325777	0.3843747573	0.1113021095	0.2014068949	0.1458699028	0.2219492856	0.06749509641	0.2217311067	0.2259513854	0.342360325	0.1686143627	0.1383110783	0.0757236078	0.6196092038	0.5476452372	0.6675806443		0.4113773724	0.3933456017	0.1107827881	0.5346539432	0.5288878975	0.05569035427
fwhm_z	0.003993367692	0.1798894202	0.3443607458	0.3059759429	1.329125786e-46	3.564826076e-19	1.163599505e-22		0.0809491771	0.7056340173	0.3510182189	0.01399830594	1.982083752e-07		0.6011552762	0.04582989253	0.04289608888	0.04457441878	0.09012229801	0.1432406889	0.001735582623	0.000560939258	0.6715257898	0.9672661484	0.5999564574	0.003061872221	0.5652215675	0.6074151673	0.3707120668	0.6074151673		0.482910423	0.9236498492	0.08545973646	0.1879010637	0.4593676737	0.5181946419	0.2686760334	0.2961823555	0.2342681421	0.5470158515	0.1015913891	0.3256637262	0.3289610786	0.4096668243	0.2707399507	0.2558680037	0.0003456087013	0.09107499727	0.7857578783	0.07526068518		0.9724908723	0.9017560913	0.9791540557	0.4938700142	0.01148053694	0.005406301839
icvs_csf	8.437816893e-05	0.0003762706753	0.7204806418	0.03166208335	0.0809637213	0.05314675912	0.1952823954	0.0809491771		0.03167548495	2.507817349e-06	0.04841953747	0.2037535797		0.7506976329	2.508984878e-06	2.776171063e-06	6.743773088e-06	2.425657823e-11	0.0485823405	0.0133569995	0.005285448813	0.07686072202	0.7850647918	0.7787717807	0.01772461943	0.4719829405	0.7892828672	0.8842673561	0.7892828672		0.9890206597	0.8840733332	0.0002111302659	0.3394388309	0.1904414219	0.2622122027	1.564824267e-14	0.4714261625	0.7469076506	0.000333594029	0.8106259874	0.9405811356	0.9576694929	0.06848528707	0.8756721779	0.6087724451	0.0485823405	0.1059361136	0.3616699431	0.03132395147		0.7645402471	0.7753794679	3.432214332e-13	0.1492601749	0.0005901623921	0.01304450411
icvs_gm	0.4188181533	8.506115254e-07	1.033258784e-07	3.045299779e-07	0.6349699545	0.06796057348	0.6539143869	0.7056340173	0.03167548495		8.972588397e-23	3.769601527e-05	0.004639572926		0.7469697331	2.898653095e-14	2.041158776e-14	6.888773975e-15	0.0003769087443	1.613882794e-28	1.566212759e-10	0.5657768457	0.745728392	0.009164883077	0.069439077	0.0154665464	0.2119396492	0.274968518	0.00881113786	0.274968518		0.003415101413	0.003758745572	3.508519701e-06	0.9967976073	0.2059120074	0.2724688722	0.5144211959	0.1190053613	0.1106710096	0.02849525951	0.3292470339	0.891839482	0.8191498544	5.832031934e-12	0.6140942799	0.2649990973	0.3274929614	0.0738793753	0.133231958	0.04150840715		0.2458099139	0.2856660192	1.843592205e-08	2.352704468e-32	0.0006340454355	0.0003802428197
