	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv	1	-0.8875496067	0.3645067786	-0.4441803287	0.1406688363	0.0795543812	0.1920812887	0.1357209169	0.06457799859	-0.7372705849	0.66022587	0.5451382867	0.3868150702		0.1177043695	-0.1253251854	-0.1521663725	-0.1557676416	0.0007498393201	-0.5609104172	-0.5933116373	-0.5483620857	-0.2224115241	-0.1827057467	-0.1975801104	-0.2011456729	-0.134639516	0.1823305725	0.3896460962	0.1823305725		0.5046984083	0.3001448669	0.09590328566	-0.1734628294	-0.273971904	-0.323126842	0.1982788461	-0.3035934084	-0.4130013122	0.03823430018	0.1405464135	0.1929637527	0.2741652138	-0.3357891298	0.6500456919	0.6232950082	-0.2385620373	0.7408004407	-0.7032523643	-0.8498851811	-0.4891445556	-0.2784145352	0.5070801155	-0.1378531131	0.1855826813	0.08356372614	-0.48213138
cnr	-0.8875496067	1	-0.4796668031	0.3942522521	-0.04748982361	-0.05818651105	-0.04974444252	-0.03832852144	-0.07362197896	0.7500178533	-0.681313188	-0.5372522215	-0.4159771886		-0.2755072893	0.2454372022	0.2733036798	0.2767111129	-0.01323185848	0.6737127758	0.6793646259	0.6153732363	0.4391916018	0.3930280246	0.4086675304	0.4082390508	0.2801644546	-0.1647261202	-0.5616245498	-0.1647261202		-0.5015139485	-0.5208220687	-0.2231622171	0.2889431856	0.2811132308	0.3578377631	-0.2493115548	0.3408296424	0.4758833259	-0.1997436764	-0.009242917334	-0.1285336816	-0.1927418283	0.4451771665	-0.7634103583	-0.7301496618	0.264875377	-0.7333173504	0.7419073464	0.83112304	0.5741106934	0.3593685106	-0.5804776527	0.07062262168	-0.05190724437	0.0303557401	0.5077942482
efc	0.3645067786	-0.4796668031	1	-0.6429342954	0.1093908011	0.0888108437	0.1619080776	0.06089310741	-0.2367728056	-0.3020170603	0.5070667886	0.5446228517	0.6464259253		0.5342780373	-0.5248514017	-0.5260093272	-0.5258562974	0.3043635172	-0.2766574721	-0.05344565721	0.007552020568	-0.6214769671	-0.633324024	-0.632234962	-0.6362060853	-0.3559855693	0.05769683748	0.6868819031	0.05769683748		0.433905742	0.7219537825	0.2624547604	-0.231541737	0.221640709	0.1693983575	0.3577142926	0.1736507558	-0.002407671904	-0.376927864	0.2876985721	0.2374104298	0.2473287403	-0.09375745587	0.3997380052	0.3317635027	0.3272784311	0.1261679681	-0.07931024369	-0.2417318791	0.06711410346	0.2645839277	-0.03451077011	0.3407463518	-0.1231328771	-0.2134510643	-0.688519322
fber	-0.4441803287	0.3942522521	-0.6429342954	1	-0.2215698677	-0.1804970363	-0.2679578866	-0.176528499	0.08094693994	0.3327093174	-0.3255016782	-0.6769467767	-0.5904908132		-0.1414135746	0.04268473082	0.04710215158	0.0492190449	-0.03050366758	0.253761949	0.1901837361	0.1536864549	0.288422889	0.2819395844	0.2832403261	0.2849593454	0.1677191622	-0.151820094	-0.4881402965	-0.151820094		-0.6127905608	-0.3819742708	0.001537941632	0.04301119148	0.04836208568	0.05637973909	-0.07009631439	0.0498166633	0.07093897091	0.2633680412	-0.2768488385	-0.1030136399	-0.1120892365	0.1258319566	-0.2261093937	-0.280317483	-0.2930480192	-0.2832760327	0.216856592	0.3746915948	0.09612132338	-0.2400439808	-0.125850583	-0.03184521684	-0.1880056314	-0.06574101468	0.5079676804
fwhm_avg	0.1406688363	-0.04748982361	0.1093908011	-0.2215698677	1	0.9345599412	0.9457208149	0.9648391671	0.0577427286	-0.1659950419	0.05168280266	0.102712684	0.1123993838		0.05735505657	-0.03875700105	-0.03599228737	-0.04358759858	-0.5062996705	-0.027728752	0.06225196642	0.1723049143	-0.08152844799	-0.03453851726	-0.04570449189	-0.03758378307	-0.04589322696	-0.07355204633	0.02230644454	-0.07355204633		-0.005181798006	0.0157976352	-0.4859334451	0.4372736454	-0.4279644158	-0.4099832187	-0.2752449972	-0.270958775	-0.07057425268	-0.1476985073	0.2710745657	0.1880668428	0.1621066049	0.09242625836	0.137845883	0.05570745044	-0.03496458016	-0.04940267902	0.0506932188	-0.01969361302	0.1634452789	-0.01874968364	-0.1859448486	-0.4759439304	0.04918843921	0.1300129564	0.1488711603
fwhm_x	0.0795543812	-0.05818651105	0.0888108437	-0.1804970363	0.9345599412	1	0.810678324	0.8860805338	0.01894491997	-0.1211985187	0.05647259261	0.08187021149	0.08406361902		0.08834841514	-0.01406331296	-0.01189541017	-0.01956213464	-0.5346813438	-0.02394384877	0.04316932086	0.1464941186	-0.1330327175	-0.0836555432	-0.09392375103	-0.08475224697	-0.1008100305	-0.0562932388	0.07316799461	-0.0562932388		-0.03464702447	0.074790096	-0.4823245108	0.4146713459	-0.4462564144	-0.4317591692	-0.2692373977	-0.284386062	-0.07932238924	-0.06133658095	0.1642199121	0.1677344651	0.1355984461	0.07963285808	0.129804533	0.04461288907	-0.08069730223	-0.06667448812	0.03948643658	0.0007834571978	0.1271150358	-0.07150887655	-0.1563593516	-0.4682466002	0.07051040083	0.1412095367	0.1725752645
fwhm_y	0.1920812887	-0.04974444252	0.1619080776	-0.2679578866	0.9457208149	0.810678324	1	0.8717774763	0.05788045419	-0.2067822201	0.07726405566	0.1537629692	0.1592056804		0.04570449189	-0.04713785821	-0.04468430234	-0.05093296334	-0.4044235419	-0.0671641791	0.06376184695	0.1753858867	-0.04758164067	-0.01001316045	-0.01901123229	-0.01425204803	0.005993613613	-0.06075147116	0.01358382387	-0.06075147116		0.02911139761	-0.005060140174	-0.4058355066	0.3848920129	-0.3459564787	-0.3269172909	-0.2123858633	-0.2036514378	-0.04287862152	-0.2148272366	0.3706042583	0.1797318942	0.168977389	0.07078589653	0.1576533199	0.09702512727	0.02179388267	-0.02479060609	0.06446067679	-0.02774765509	0.1846740587	0.07541005749	-0.189806266	-0.4079533977	0.01037022679	0.07374440171	0.06131339203
fwhm_z	0.1357209169	-0.03832852144	0.06089310741	-0.176528499	0.9648391671	0.8860805338	0.8717774763	1	0.0554779078	-0.13600657	0.04397016966	0.07256098183	0.09216392406		0.02061292988	-0.04165944032	-0.03908346171	-0.04700013262	-0.5334265106	0.02163822038	0.07073994348	0.1703155446	-0.04432213505	0.004198080003	-0.008278838208	0.0005458014099	-0.06684792034	-0.06591270994	-0.01688413707	-0.06591270994		-0.01596332231	-0.01839401761	-0.5299956004	0.4777547668	-0.4385437814	-0.4187884877	-0.3143007718	-0.2764250888	-0.05613345117	-0.1353873228	0.2201058957	0.2063996491	0.1795030627	0.124640627	0.1097649377	0.008003387029	-0.03559454962	-0.05395782536	0.03814488732	-0.0333211747	0.1566470695	-0.06989168759	-0.1852001102	-0.4915375277	0.08802195448	0.1596443619	0.1870211485
icvs_csf	0.06457799859	-0.07362197896	-0.2367728056	0.08094693994	0.0577427286	0.01894491997	0.05788045419	0.0554779078	1	-0.4952255129	-0.4890788709	-0.08914416299	-0.2310015201		-0.2146886892	0.2865253364	0.2788229053	0.2759051632	-0.1994521582	-0.4771987635	-0.4588659573	-0.3427479826	0.2242427643	0.2770324726	0.2722222789	0.2809755052	0.0719488681	-0.07659254908	-0.2614490772	-0.07659254908		-0.1415879513	-0.3135909652	0.07205371319	-0.1639036533	-0.6004274594	-0.602331921	-0.1122464491	-0.744038522	-0.6747312754	0.2460885145	0.1621489273	-0.5418226707	-0.4678207645	-0.6282414133	0.1499028056	0.4174870691	-0.4882314309	0.3723487824	-0.2201314004	-0.07204488649	-0.3437776669	-0.1646926837	0.3673753583	-0.5363493537	-0.04770406341	0.4489599168	0.1914487712
icvs_gm	-0.7372705849	0.7500178533	-0.3020170603	0.3327093174	-0.1659950419	-0.1211985187	-0.2067822201	-0.13600657	-0.4952255129	1	-0.4349629161	-0.315753767	-0.1731057631		-0.008482876118	0.1529366156	0.1778139378	0.1826547373	0.05814570347	0.8480478673	0.6214331623	0.4471490803	0.1064567797	0.04505157058	0.05947705084	0.05648789545	0.06787321084	-0.1698404918	-0.2357811081	-0.1698404918		-0.3321811995	-0.1618683751	-0.2408651241	0.3452270432	0.4693280011	0.5495385689	-0.2289061243	0.5716060366	0.726574824	-0.203702027	-0.3327195193	0.01206374144	-0.08866935731	0.6652032432	-0.831422525	-0.8940533151	0.3367250515	-0.6268758735	0.4847430653	0.5359919064	0.3866484761	0.1652879523	-0.4325909754	0.2598881872	0.1573285316	-0.1150671795	0.2458860856
icvs_wm	0.66022587	-0.681313188	0.5070667886	-0.3255016782	0.05168280266	0.05647259261	0.07726405566	0.04397016966	-0.4890788709	-0.4349629161	1	0.3568265984	0.3630446537		0.2977576234	-0.4176451985	-0.4329633446	-0.4350802379	0.1928056233	-0.3304495975	-0.1434794585	-0.08969506534	-0.3646616541	-0.3551483866	-0.3655390171	-0.3723487824	-0.1431223921	0.2063030913	0.5031472848	0.2063030913		0.4246997543	0.4921547424	0.2162657094	-0.1950551412	0.1437396068	0.06443763149	0.3841674964	0.1642827547	-0.048846738	-0.09680615687	0.1207598372	0.5118035931	0.5566304981	-0.01886994654	0.677909786	0.4351516512	0.06312446998	0.2257883515	-0.2738188755	-0.4652128009	-0.04356210927	-0.09216188684	0.05032595056	0.3005835484	-0.1365217657	-0.32034462	-0.3948286592
inu_med	0.5451382867	-0.5372522215	0.5446228517	-0.6769467767	0.102712684	0.08187021149	0.1537629692	0.07256098183	-0.08914416299	-0.315753767	0.3568265984	1	0.8980422563		0.1791452852	-0.1690352067	-0.1823537813	-0.1826343335	0.02676467288	-0.3271186787	-0.4749390437	-0.4919200988	-0.3171463258	-0.3050060701	-0.3071484682	-0.3083930994	-0.106716928	0.06746518244	0.4180940819	0.06746518244		0.5118134451	0.3566327624	0.05098926884	-0.07881474378	-0.09268932168	-0.1210928541	0.1288559951	-0.1179121904	-0.1211323608	-0.03501048886	-0.01849603656	-0.04501586395	-0.03434626353	-0.2299980411	0.2403373788	0.319763112	0.1493690741	0.5619204048	-0.4889768519	-0.5997147931	-0.4107444932	0.1704895269	0.4683996287	0.06492486304	0.3052509156	0.0514940676	-0.6544515971
inu_range	0.3868150702	-0.4159771886	0.6464259253	-0.5904908132	0.1123993838	0.08406361902	0.1592056804	0.09216392406	-0.2310015201	-0.1731057631	0.3630446537	0.8980422563	1		0.2822456412	-0.3425745504	-0.3477571133	-0.3481600881	0.1532222687	-0.1822160557	-0.2580110385	-0.2822762469	-0.4135746422	-0.4185429653	-0.4172218198	-0.4196957795	-0.1277328328	-0.05062232038	0.3999857173	-0.05062232038		0.3616284782	0.4177574193	0.1120861043	-0.09665275808	0.09565807327	0.05409424634	0.2510105192	0.07411535938	0.0185572716	-0.1723438307	0.006345579009	0.05554422012	0.05792693744	-0.07422212986	0.1932602749	0.1897654584	0.2572290271	0.3434264086	-0.283541282	-0.411182326	-0.2040151556	0.2485616869	0.2637496047	0.2592454678	0.1430458779	-0.053310005	-0.6623325614
qi_1																																																										
qi_2	0.1177043695	-0.2755072893	0.5342780373	-0.1414135746	0.05735505657	0.08834841514	0.04570449189	0.02061292988	-0.2146886892	-0.008482876118	0.2977576234	0.1791452852	0.2822456412		1	-0.3561889799	-0.3543067302	-0.3557758031	0.1958202834	-0.002070984789	0.04959651503	0.05203476806	-0.7601534365	-0.7647493904	-0.7642392957	-0.7651676682	-0.3667122351	-0.01362074932	0.6738096938	-0.01362074932		0.006084317995	0.8091021312	0.1415390894	-0.09829016231	0.1687291499	0.1470342171	0.1670418794	0.1507330304	0.07242079812	-0.2455452615	-0.01529264137	0.1855265708	0.1859935545	0.09410228309	0.1501885388	0.04259801471	0.04387596998	-0.01217596229	-0.0294375695	-0.08724957048	0.05453107746	-0.01768688647	-0.06515950664	0.2155048408	-0.1280592934	-0.1847512268	-0.3286693668
rpve_csf	-0.1253251854	0.2454372022	-0.5248514017	0.04268473082	-0.03875700105	-0.01406331296	-0.04713785821	-0.04165944032	0.2865253364	0.1529366156	-0.4176451985	-0.1690352067	-0.3425745504		-0.3561889799	1	0.9989747095	0.9986482488	-0.2903051387	0.17701819	-0.09917262627	-0.1643474358	0.3969557544	0.4155181033	0.414763163	0.4183287255	0.1224176452	0.03635714851	-0.3608002367	0.03635714851		-0.1401931476	-0.4252048031	-0.2549259403	0.2292161884	-0.3331786046	-0.2435350672	-0.4421338168	-0.2748206505	-0.05303462145	0.1825253614	-0.1838228543	-0.2214321421	-0.1990332409	-0.01071941535	-0.3585824711	-0.2372705849	-0.2292476711	0.07682537415	-0.1328337805	-0.0235419956	-0.2059411024	-0.2247892648	0.1641484988	-0.4218279756	0.2296854756	0.4010671183	0.323476602
