	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
cjv		6.348850177e-46	1.607838397e-05	8.528686375e-08	0.1063107232	0.3626910403	0.02676369784	0.1193158014	0.4602160425	4.584446369e-24	5.402182006e-18	1.166861063e-11	4.241372278e-06		0.1772357861	0.1506182509	0.08037740369	0.07339151847	0.9931654508	2.188882919e-12	5.256733072e-14	8.347134038e-12	0.01007991715	0.03529759558	0.0226304015	0.02025397582	0.1223157944	0.03568211971	3.556121588e-06	0.03568211971		5.851470524e-10	0.0004480169333	0.2721591357	0.04585217962	0.001417521416	0.0001484851273	0.0221466857	0.0003817556959	7.797225761e-07	0.6621569717	0.1066185102	0.0260598835	0.001406074096	7.772390733e-05	2.534580178e-17	1.12695608e-15	0.005686951326	2.14897734e-24	3.821453495e-21	2.921426928e-38	2.312545991e-09	0.001174787279	4.711976074e-10	0.1135680166	0.03246354806	0.33893031	4.203207935e-09
cnr	6.348850177e-46		5.168832378e-09	2.660333762e-06	0.5872564811	0.5058782281	0.5696154687	0.6613756767	0.3996876263	2.80040914e-25	1.802060509e-19	2.608840598e-11	6.372697804e-07		0.001328894402	0.004406537719	0.001457749231	0.001262973627	0.8798468024	6.339591092e-19	2.496826513e-19	3.236637376e-15	1.233678143e-07	2.874885322e-06	1.042407716e-06	1.072528817e-06	0.001090083025	0.0581259377	2.024899104e-12	0.0581259377		7.796602804e-10	1.306436379e-10	0.009823362534	0.0007434194214	0.001046528441	2.350186951e-05	0.0038048684	5.959403101e-05	7.077687196e-09	0.02116140467	0.9159071942	0.1403594573	0.02623537518	7.916598414e-08	1.231053969e-26	2.038373442e-23	0.00206248986	1.055823716e-23	1.690220633e-24	3.429412875e-35	5.032891586e-13	2.155688568e-05	2.418686934e-13	0.419216618	0.5529314667	0.7287003355	4.414261865e-10
efc	1.607838397e-05	5.168832378e-09		7.209687774e-17	0.2100553936	0.309363276	0.06261801568	0.4862589821	0.006070428986	0.0004108322227	4.717711929e-10	1.230654475e-11	4.330123591e-17		3.514783322e-11	8.870843362e-11	7.929413153e-11	8.048053914e-11	0.0003682529548	0.001265846247	0.5412100454	0.9312491945	1.439489445e-15	2.836883568e-16	3.303327378e-16	1.890686805e-16	2.607597692e-05	0.5094711861	6.997487609e-20	0.5094711861		1.812558256e-07	1.071732853e-22	0.002274045181	0.007326947266	0.01034946776	0.05126340541	2.366574183e-05	0.04561395348	0.9780572987	7.749470755e-06	0.0007854636413	0.005931207139	0.004102890991	0.2830810323	1.872122919e-06	9.577748992e-05	0.0001204642095	0.1478703963	0.3641704212	0.005060292841	0.4427501149	0.002086980397	0.693316545	5.985838734e-05	0.1579462316	0.01362880071	5.277050107e-20
fber	8.528686375e-08	2.660333762e-06	7.209687774e-17		0.01037455592	0.03761253056	0.00181896601	0.04209288697	0.354323954	9.121451786e-05	0.0001317917148	3.729122397e-19	7.394701572e-14		0.1044533296	0.6256631077	0.5903147849	0.5737039753	0.7274302132	0.003205590987	0.02833221735	0.07736619381	0.0007607376556	0.001009896929	0.0009546068761	0.0008857876769	0.05364827197	0.08107635836	2.521204352e-09	0.08107635836		4.536351643e-15	5.711244672e-06	0.9859826899	0.6230200799	0.5804019466	0.5192004712	0.422699747	0.5690545417	0.4171310565	0.002192021339	0.001255625248	0.2380244246	0.1989579184	0.1489613721	0.008870907236	0.001082947844	0.0006189658645	0.0009531289641	0.01216865174	8.857376258e-06	0.2710655415	0.005385845909	0.1489007365	0.715945682	0.03022849891	0.4521595549	4.344746362e-10
fwhm_avg	0.1063107232	0.5872564811	0.2100553936	0.01037455592		1.203070213e-60	8.309687206e-66	6.879743105e-78	0.5091339022	0.05619147264	0.5546517539	0.2394057004	0.1977100869		0.5119867921	0.6578272755	0.6808536773	0.6183652008	5.059473844e-10	0.7513756792	0.4765646294	0.04734298095	0.3508659709	0.6930823615	0.6014004732	0.6675610293	0.5998980869	0.4001367111	0.7988359486	0.4001367111		0.9527962252	0.8567767445	3.045289919e-09	1.419574223e-07	2.771688856e-07	9.548665285e-07	0.00134366737	0.001607280349	0.4195360285	0.08977574345	0.001599580873	0.03017377117	0.06229252903	0.2900021668	0.113587136	0.524202903	0.6894900782	0.5722734207	0.5622673568	0.8219825494	0.06013371083	0.830383586	0.03212082626	7.042355217e-09	0.5739425638	0.135812497	0.0872282436
fwhm_x	0.3626910403	0.5058782281	0.309363276	0.03761253056	1.203070213e-60		3.000319671e-32	1.414079078e-45	0.8286443631	0.1646308581	0.5185114775	0.3488435486	0.3360386139		0.31189918	0.8723588011	0.8919047416	0.8231515302	3.376125545e-11	0.7844176859	0.6217415842	0.0924534429	0.1268805187	0.3383980022	0.2822242732	0.3320809395	0.2482675074	0.5198427427	0.4026083069	0.5198427427		0.6921668483	0.3922307488	4.135356333e-09	6.964247419e-07	7.301370969e-08	2.115147933e-07	0.001725790027	0.0009082161793	0.3640967358	0.4830836217	0.05891275972	0.05362613183	0.1196526673	0.3622162913	0.1364462512	0.6101226745	0.35581495	0.445750582	0.6518040742	0.9928590424	0.144827898	0.4133891978	0.07229211633	1.319509193e-08	0.4199578984	0.1049596523	0.04699135122
fwhm_y	0.02676369784	0.5696154687	0.06261801568	0.00181896601	8.309687206e-66	3.000319671e-32		2.020035198e-42	0.5081223609	0.01693625058	0.3767156897	0.07721705784	0.06718846618		0.6014004732	0.5900327961	0.6095503685	0.560417765	1.379806654e-06	0.4424090639	0.4659167884	0.04346272165	0.5865332094	0.9089284616	0.8280538217	0.8706606194	0.9454116051	0.4872754718	0.8766756988	0.4872754718		0.7394132513	0.9539032373	1.257442298e-06	4.776260893e-06	4.527183542e-05	0.0001226904187	0.01411588401	0.01871556556	0.624092791	0.01302129015	1.127905203e-05	0.03844368763	0.05185288951	0.4181394574	0.06993433259	0.2665641701	0.803363565	0.7769897708	0.4610331429	0.7512117265	0.03333704258	0.3883072284	0.0286533974	1.093067545e-06	0.9056956101	0.3989021889	0.4832493828
fwhm_z	0.1193158014	0.6613756767	0.4862589821	0.04209288697	6.879743105e-78	1.414079078e-45	2.020035198e-42		0.5259164808	0.1185329449	0.6152840017	0.4065331839	0.2913792588		0.8138199071	0.633994713	0.6551288324	0.5911208048	3.825862445e-11	0.8047398774	0.4184424569	0.04999826861	0.6124552079	0.961749855	0.924651138	0.9950251638	0.4445655052	0.4509768932	0.8470426886	0.4509768932		0.8552909104	0.8335540704	5.371426729e-11	6.061516089e-09	1.293697704e-07	5.257444374e-07	0.0002293355134	0.001278360041	0.5210302429	0.120235107	0.01090512803	0.01714549362	0.03869523983	0.1528784009	0.2084908309	0.9271511077	0.6841912621	0.5373351566	0.6628987312	0.7033836087	0.07176237126	0.4240584886	0.03282893608	1.88019395e-09	0.3136975849	0.06642861137	0.03112035203
icvs_csf	0.4602160425	0.3996876263	0.006070428986	0.354323954	0.5091339022	0.8286443631	0.5081223609	0.5259164808		1.36241021e-09	2.325669353e-09	0.307543768	0.007469015465		0.01308136092	0.0008270831967	0.001154499374	0.001306767726	0.02135442176	6.347770777e-09	2.778268889e-08	5.379955514e-05	0.009464178273	0.001245888106	0.001525058889	0.001052750525	0.4105138097	0.3808894788	0.002367575125	0.3808894788		0.1040221331	0.0002373572164	0.4098303737	0.05940875611	2.189642373e-14	1.725740802e-14	0.1983246874	1.060827788e-24	5.36781602e-19	0.004299783232	0.06222332044	1.640735672e-11	1.365535677e-08	5.743186114e-16	0.08503507517	5.748382682e-07	2.501545417e-09	1.017758716e-05	0.01089568435	0.409887885	5.091128208e-05	0.05817764184	1.362056757e-05	2.856790099e-11	0.5855694826	5.954674643e-08	0.02727809291
icvs_gm	4.584446369e-24	2.80040914e-25	0.0004108322227	9.121451786e-05	0.05619147264	0.1646308581	0.01693625058	0.1185329449	1.36241021e-09		1.679192428e-07	0.0002136932058	0.04630767155		0.9227997814	0.07884003463	0.0405951756	0.03534967008	0.5061771476	6.085557202e-38	1.447975615e-15	6.827351188e-08	0.2226166862	0.606610815	0.4964724772	0.5183979719	0.4375960205	0.05065027168	0.006292746927	0.05065027168		9.373670545e-05	0.06268327453	0.005225203475	4.709116223e-05	1.209223325e-08	7.380033835e-12	0.008043447789	6.685586652e-13	4.235333831e-23	0.01868557688	9.116642532e-05	0.8903845744	0.3101377368	2.481846568e-18	3.08480375e-35	1.59480707e-47	7.400922997e-05	6.926185758e-16	3.369999715e-09	2.961125527e-11	4.28536465e-06	0.0572627838	1.992571653e-07	0.002519649035	0.07052019167	0.1872097231	0.004332711733
icvs_wm	5.402182006e-18	1.802060509e-19	4.717711929e-10	0.0001317917148	0.5546517539	0.5185114775	0.3767156897	0.6152840017	2.325669353e-09	1.679192428e-07		2.487593065e-05	1.748643395e-05		0.0004999340168	5.686479498e-07	1.939925202e-07	1.664983849e-07	0.02618482475	0.0001024705837	0.09943415628	0.3045519092	1.593566096e-05	2.732442419e-05	1.5149415e-05	1.017758716e-05	0.100287802	0.01719865778	6.73187985e-10	0.01719865778		3.488244982e-07	1.781991524e-09	0.01241171597	0.02445476835	0.09881583069	0.4611937386	4.993870915e-06	0.05881460789	0.5766094664	0.2676500512	0.1661757011	3.051403885e-10	3.477171459e-12	0.8293121508	3.179916368e-19	1.656391478e-07	0.4703956336	0.008970544071	0.00142664353	1.682892499e-08	0.6185707264	0.2913899699	0.5651064134	0.0004390356137	0.1171310801	0.0001705384616	2.564659577e-06
inu_med	1.166861063e-11	2.608840598e-11	1.230654475e-11	3.729122397e-19	0.2394057004	0.3488435486	0.07721705784	0.4065331839	0.307543768	0.0002136932058	2.487593065e-05		1.475563292e-48		0.03909131083	0.05177159732	0.03565823043	0.03537051801	0.7597520186	0.000121444302	7.65070232e-09	1.818728204e-09	0.0001996362615	0.000357325948	0.000323021577	0.0003045183681	0.2214819131	0.4403621486	5.514196325e-07	0.4403621486		3.048618522e-10	2.514781505e-05	0.5599837998	0.3671844075	0.2886256036	0.1650019813	0.1393590059	0.1764667611	0.1648631499	0.6891034169	0.8326443752	0.6068963299	0.6947055608	0.007739407506	0.005327948509	0.0001755167716	0.08616416337	1.960509431e-12	2.346194293e-09	2.392707708e-14	9.074572776e-07	0.04976122728	1.303335889e-08	0.4578049579	0.0003532416505	0.5561003586	1.307722962e-17
inu_range	4.241372278e-06	6.372697804e-07	4.330123591e-17	7.394701572e-14	0.1977100869	0.3360386139	0.06718846618	0.2913792588	0.007469015465	0.04630767155	1.748643395e-05	1.475563292e-48			0.0009966301413	5.43008804e-05	4.105887266e-05	4.01677895e-05	0.0782759312	0.03580019166	0.002714200662	0.0009953122726	7.501108049e-07	5.346894255e-07	5.853664606e-07	4.93911062e-07	0.1428689003	0.562814885	1.84237912e-06	0.562814885		1.89603045e-05	5.642934113e-07	0.1989705492	0.2684125484	0.2733925898	0.5363053712	0.003565136665	0.3965278204	0.8320984533	0.04729223011	0.9422113815	0.5254211566	0.5077811947	0.3958459864	0.02582696819	0.0286883045	0.002799178232	5.187983156e-05	0.0009422156023	8.812144054e-07	0.01850088079	0.003915209575	0.002158553367	0.002584794404	0.1004714753	0.5422386496	3.893861629e-18
qi_1																																																										
qi_2	0.1772357861	0.001328894402	3.514783322e-11	0.1044533296	0.5119867921	0.31189918	0.6014004732	0.8138199071	0.01308136092	0.9227997814	0.0004999340168	0.03909131083	0.0009966301413			2.578084426e-05	2.86360117e-05	2.638365548e-05	0.02388907385	0.9811251385	0.5707652107	0.5519551844	2.681784487e-26	8.905778785e-27	1.007730353e-26	8.045612162e-27	1.415504719e-05	0.876343124	6.240180975e-19	0.876343124		0.9445867958	4.887299323e-32	0.1041428171	0.2603495103	0.05220311583	0.09124491269	0.05463574632	0.0833023062	0.407442794	0.004388663401	0.8613084581	0.03251692185	0.03207497015	0.2813064058	0.08443549624	0.626365964	0.6160420596	0.8893713505	0.7366002057	0.3179792916	0.5330145333	0.8398654973	0.4561779119	0.01273095893	0.1418418642	0.03326209369	0.0001122369025
rpve_csf	0.1506182509	0.004406537719	8.870843362e-11	0.6256631077	0.6578272755	0.8723588011	0.5900327961	0.633994713	0.0008270831967	0.07884003463	5.686479498e-07	0.05177159732	5.43008804e-05		2.578084426e-05		5.705144451e-178	4.121197029e-170	0.0006997858392	0.04151696912	0.2560734194	0.05871372496	2.239089407e-06	6.574987174e-07	6.921000781e-07	5.426130359e-07	0.1603937949	0.6777973949	1.987569139e-05	0.6777973949		0.1075105822	3.366872246e-07	0.003063576547	0.00795605503	8.902660092e-05	0.004732035551	9.930252264e-08	0.001367885091	0.5443297479	0.03548203787	0.03417328836	0.01042348402	0.02163444388	0.9025355763	2.253588955e-05	0.005961495655	0.007947228682	0.3794391723	0.1274546745	0.7879496673	0.0173992413	0.009286964422	0.05902446083	4.261746298e-07	0.007825383196	1.717707772e-06	0.0001459087994
