subject	session	n_t1w	run	acq	ProtocolName	SeriesDescription	ImageType	NORM_status	SeriesInstanceUID	AcquisitionNumber	SeriesNumber	RepetitionTime	EchoTime	FlipAngle	SliceThickness	voxel_size	size_x	size_y	size_z	SAR	ShimSetting	series_time	n_dicom_files	dicom_match	n_acquisition_clusters	session_pattern	has_norm_non_norm_pair	consecutive_series	same_acquisition_parameters	same_SeriesInstanceUID	series_time_delta_s	json_differing_keys	bids_name
sub-001	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2023050515351243184247687.0.0.0	1	46	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0420092	-1552,1330,-11325,313,34,-296,35,49	153513.143	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.056	ImageType,SeriesNumber	sub-001_ses-01_run-01_T1w
sub-001	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2023050515273847875147458.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0420092	-1552,1330,-11325,313,34,-296,35,49	153513.199	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.056	ImageType,SeriesNumber	sub-001_ses-01_run-02_T1w
sub-001	ses-02	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2023110810154137540047714.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0415754	-1560,1303,-11203,450,34,-111,20,39	101541.67	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.101	ImageType,SeriesNumber	sub-001_ses-02_run-01_T1w
sub-001	ses-02	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.202311081008394918447487.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0415754	-1560,1303,-11203,450,34,-111,20,39	101541.771	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.101	ImageType,SeriesNumber	sub-001_ses-02_run-02_T1w
sub-002	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2023051115524144342439079.0.0.0	1	50	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0338469	-1546,1299,-11232,434,36,48,-53,12	155244.445	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.101	ImageType,SeriesNumber	sub-002_ses-01_run-01_T1w
sub-002	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2023051115453217337238860.0.0.0	1	51	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.0338469	-1546,1299,-11232,434,36,48,-53,12	155244.546	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.101	ImageType,SeriesNumber	sub-002_ses-01_run-02_T1w
sub-002	ses-02	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2023112015511726644547711.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.035819	-1562,1277,-11226,462,14,-218,-31,-3	155134.952	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.496	ImageType,SeriesNumber	sub-002_ses-02_run-01_T1w
sub-002	ses-02	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2023112015440723545147488.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.035819	-1562,1277,-11226,462,14,-218,-31,-3	155135.448	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.496	ImageType,SeriesNumber	sub-002_ses-02_run-02_T1w
sub-003	ses-01	2	1		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND	non-NORM	1.3.12.2.1107.5.2.43.166092.2023051914073359573047688.0.0.0	1	47	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.039611	-1567,1314,-11288,412,11,-105,24,12	140747.517	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.35	ImageType,SeriesNumber	sub-003_ses-01_run-01_T1w
sub-003	ses-01	2	2		T1w_MPR	T1w_MPR	ORIGINAL,PRIMARY,M,ND,NORM	NORM	1.3.12.2.1107.5.2.43.166092.2023051914003214561347475.0.0.0	1	48	2.5	0.00222	8	0.8	0.8x0.8x0.8	208.0	300.0	320.0	0.039611	-1567,1314,-11288,412,11,-105,24,12	140747.867	208	unique	1	PAIRED_NORM_NON_NORM	True	True	True	False	0.35	ImageType,SeriesNumber	sub-003_ses-01_run-02_T1w
